"109年04月15日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,920.15","+","131.82","1.12","",
"發行量加權股價指數","10,447.21","+","114.27","1.11","",
"臺灣公司治理100指數","5,993.66","+","61.26","1.03","",
"臺灣50指數","8,107.74","+","76.45","0.95","",
"臺灣50權重上限30%指數","7,991.88","+","76.46","0.97","",
"臺灣中型100指數","7,698.66","+","93.12","1.22","",
"臺灣資訊科技指數","11,738.60","+","92.39","0.79","",
"臺灣發達指數","7,468.98","+","69.84","0.94","",
"臺灣高股息指數","6,187.84","+","92.53","1.52","",
"臺灣就業99指數","6,016.06","+","71.96","1.21","",
"臺灣高薪100指數","5,688.09","+","58.13","1.03","",
"未含金融指數","8,818.50","+","88.47","1.01","",
"未含電子指數","13,183.13","+","179.31","1.38","",
"未含金融電子指數","10,748.86","+","130.90","1.23","",
"小型股300指數","5,944.89","+","102.25","1.75","",
"水泥窯製類指數","567.64","+","5.48","0.97","",
"塑膠化工類指數","711.60","+","7.16","1.02","",
"機電類指數","2,577.66","+","23.07","0.90","",
"水泥類指數","160.75","+","1.28","0.80","",
"食品類指數","1,685.63","+","15.68","0.94","",
"塑膠類指數","216.97","+","2.17","1.01","",
"紡織纖維類指數","438.99","+","3.95","0.91","",
"電機機械類指數","166.57","+","1.59","0.96","",
"電器電纜類指數","43.73","+","0.19","0.44","",
"化學生技醫療類指數","87.46","+","1.24","1.44","",
"化學類指數","91.58","+","1.73","1.93","",
"生技醫療類指數","57.45","+","0.54","0.95","",
"玻璃陶瓷類指數","24.57","+","0.76","3.19","",
"造紙類指數","185.50","+","4.33","2.39","",
"鋼鐵類指數","87.01","+","1.15","1.34","",
"橡膠類指數","216.40","+","0.50","0.23","",
"汽車類指數","272.36","+","5.77","2.16","",
"電子工業類指數","460.50","+","4.12","0.90","",
"半導體類指數","194.21","+","1.58","0.82","",
"電腦及週邊設備類指數","97.58","+","0.80","0.83","",
"光電類指數","33.06","+","0.13","0.39","",
"通信網路類指數","120.85","+","0.82","0.68","",
"電子零組件類指數","103.93","+","2.12","2.08","",
"電子通路類指數","113.56","+","1.57","1.40","",
"資訊服務類指數","115.04","+","1.60","1.41","",
"其他電子類指數","73.67","+","0.58","0.79","",
"建材營造類指數","275.74","+","4.29","1.58","",
"航運類指數","55.46","+","1.23","2.27","",
"觀光類指數","77.71","+","3.33","4.48","",
"金融保險類指數","1,216.09","+","20.10","1.68","",
"貿易百貨類指數","247.99","+","0.95","0.38","",
"油電燃氣類指數","107.92","+","1.20","1.12","",
"其他類指數","226.54","+","3.04","1.36","",
"臺指日報酬兩倍指數","14,844.46","+","321.22","2.21","",
"臺指反向一倍指數","7,122.54","-","79.65","-1.11","",
"電子類兩倍槓桿指數","13,117.53","+","232.64","1.81","",
"電子類反向指數","7,018.04","-","63.93","-0.90","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,707.09","+","36.95","1.01","",
"臺灣中小型公司治理指數","5,211.31","+","80.39","1.57","",
"臺灣IPO指數","4,877.70","+","57.54","1.19","",
"智慧中立指數","5,004.15","+","44.66","0.90","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
