"109年04月06日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"汽車類報酬指數","368.59","+","10.79","3.02","",
"電子工業類報酬指數","747.73","+","13.19","1.80","",
"半導體類報酬指數","302.52","+","5.27","1.77","",
"電腦及週邊設備類報酬指數","176.04","+","4.85","2.83","",
"光電類報酬指數","42.74","+","1.06","2.54","",
"通信網路類報酬指數","220.44","+","3.82","1.76","",
"電子零組件類報酬指數","156.72","+","2.62","1.70","",
"電子通路類報酬指數","213.15","+","2.52","1.20","",
"資訊服務類報酬指數","214.64","+","3.68","1.74","",
"其他電子類報酬指數","98.09","+","0.47","0.48","",
"建材營造類報酬指數","441.77","+","0.44","0.10","",
"航運類報酬指數","66.86","+","0.10","0.15","",
"觀光類報酬指數","90.36","+","0.29","0.32","",
"金融保險類報酬指數","1,707.91","+","8.64","0.51","",
"貿易百貨類報酬指數","337.85","-","0.53","-0.16","",
"油電燃氣類報酬指數","151.99","+","4.20","2.84","",
"其他類報酬指數","318.37","+","0.53","0.17","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","3,604.85","+","85.85","2.44","",
"臺灣中小型公司治理報酬指數","5,661.49","+","133.16","2.41","",
"臺灣IPO報酬指數","4,920.93","+","78.95","1.63","",
"智慧中立報酬指數","4,971.27","-","37.18","-0.74","",
"加權指數掩護性臺指買權價外5%報酬指數","4,220.42","+","40.37","0.97","",
"臺灣5G報酬指數","4,382.74","+","86.00","2.00","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","6,337.99","+","127.16","2.05","",
"漲升股利100報酬指數","6,385.63","+","145.12","2.33","",
"藍籌30報酬指數","5,914.15","+","114.64","1.98","",
"工業菁英30報酬指數","6,188.80","+","147.40","2.44","",
"電子菁英30報酬指數","6,412.18","+","138.29","2.20","",
"低波動股利精選30報酬指數","5,987.82","+","85.61","1.45","",
"低貝塔100報酬指數","5,963.24","+","58.87","1.00","",
"中小型精選50報酬指數","5,730.55","+","91.16","1.62","",
"中小型A級動能50報酬指數","6,833.30","+","172.78","2.59","",
"特選高息低波報酬指數","5,479.20","+","62.15","1.15","",
"臺灣永續報酬指數","5,585.51","+","78.89","1.43","",
"特選內需高收益報酬指數","5,733.22","+","76.86","1.36","",
"價值投資報酬指數","5,729.70","+","107.69","1.92","",
"存股雙十等權重報酬指數","4,758.44","+","103.83","2.23","",
"特選大蘋果報酬指數","5,314.09","+","119.77","2.31","",
"中小型300報酬指數","5,231.27","+","75.75","1.47","",
"特股高息20報酬指數","5,192.37","+","45.51","0.88","",
"臺灣500報酬指數","5,284.06","+","84.58","1.63","",
"特選外資豐擁50報酬指數","5,331.20","+","94.82","1.81","",
"臺灣勞工權益報酬指數","4,983.57","+","79.61","1.62","",
"微波高息精選20報酬指數","4,464.03","+","89.61","2.05","",
"特選世代行動通訊報酬指數","4,208.63","+","80.80","1.96","",
"智慧投資多因子30報酬指數","4,407.55","+","71.14","1.64","",
"特選大蘋果報酬正向兩倍指數","6,405.87","+","282.39","4.61","",
"特選大蘋果報酬反向一倍指數","11,825.73","-","279.11","-2.31","",
"特選價值成長報酬指數","4,020.66","+","41.84","1.05","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

