# 2025-04 月中(2025-04-11,上月月報甫公佈)全池量化快照(1174 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1528 恩德|電機機械|-31 -24 -17|55 55 -17 -13|0.4 43|4 7 0 -38 -20
1529 樂事綠能|電機機械|20 145 81|52 71 -15 -29|0.7 22|1 1 0 -13 16
1532 勤美|電機機械|-50 -36 -37|47 66 -18 -32|1.3 30|11 -11 -0 -31 6
1536 和大|汽車工業|-17 -17 -4|59 59 -24 -10|0.3 539|8 -5 -0 -38 16
1537 廣隆|電機機械|1 0 -22|86 86 -8 -8|3.4 26|19 -20 0 -68 9
1540 喬福|電機機械|11 6 -8|53 58 -27 -39|0.3 27|2 2 0 -39 -10
1558 伸興|電機機械|-1 16 4|82 86 -12 -14|2.4 12|7 -5 0 -22 8
1560 中砂|電機機械|10 11 -1|50 50 -36 -44|0.8 254|22 10 -1 -38 -6
1563 巧新|汽車工業|5 -1 4|na 78 -11 -8|1.5 45|2 7 0 -41 -18
1565 精華|生技醫療|-0 3 -2|72 72 -11 -17|2.0 30|17 1 0 -19 4
1569 濱川|電腦及週|29 36 33|69 69 25 44|0.2 1085|3 -1 0 -7 -30
1580 新麥|電機機械|29 20 10|85 85 -9 -10|2.9 8|6 -2 0 -49 7
1582 信錦|電子零組|-11 8 1|62 69 -17 -28|2.3 48|16 -16 -0 -26 -5
1584 精剛|其他|25 14 4|65 76 -0 -26|1.9 251|1 -1 0 12 25
1587 吉茂|汽車工業|22 13 5|34 55 -22 -37|1.7 6|23 14 0 -44 -9
1589 永冠-KY|電機機械|23 32 31|54 67 -18 -33|2.3 9|7 7 0 -28 -15
1590 亞德客-KY|電機機械|20 22 15|62 76 -12 -21|1.7 924|77 7 2 -23 7
1591 駿吉-KY|電機機械|-89 -53 -323|43 57 -38 -24|0.5 5|3 -3 0 -19 -6
1595 川寶|半導體業|25 9 26|41 41 -34 -34|0.8 11|2 2 0 -32 -23
1597 直得|電機機械|-18 4 -1|55 55 -44 -27|0.3 62|6 9 -1 -52 -1
1598 岱宇|運動休閒|8 6 6|65 65 -21 -25|1.2 21|5 -11 0 -21 -11
1603 華電|電器電纜|98 50 24|58 78 -16 -21|2.1 11|3 4 0 -30 -9
1604 聲寶|電器電纜|-1 -1 -7|90 94 -4 -5|4.7 9|8 -11 0 105 15
1605 華新|電器電纜|1 12 9|50 60 -15 -42|0.7 482|16 -3 -5 -32 26
1608 華榮|電器電纜|27 8 -11|50 72 -13 -30|0.6 51|2 -2 0 -30 15
1609 大亞|電器電纜|5 7 -7|53 68 -27 -32|1.2 176|12 -2 -0 -34 15
1611 中電|電器電纜|16 3 13|62 74 -15 -20|1.5 13|10 -10 0 -26 -6
1612 宏泰|電器電纜|5 26 12|67 83 -11 -12|1.9 28|13 -8 0 -28 8
1615 大山|電器電纜|13 14 -6|70 84 -7 -15|2.0 6|1 -2 0 -27 -29
1616 億泰|電器電纜|27 19 5|79 91 15 -0|1.2 62|2 -1 0 0 34
1617 榮星|電器電纜|5 19 -6|52 75 -11 -26|0.8 8|21 -0 0 -19 -14
1618 合機|電器電纜|0 22 -2|55 67 -24 -19|0.4 80|1 -1 0 -36 14
1702 南僑|食品工業|5 5 0|71 79 -8 -23|2.1 29|13 -14 0 -5 24
1707 葡萄王|生技醫療|-4 -3 -8|86 86 -8 -11|3.6 18|16 -7 -0 -19 -9
1708 東鹼|化學工業|-5 7 -6|73 73 -14 -21|1.0 80|15 -11 0 -39 18
1709 和益|化學工業|-2 3 -7|68 74 -14 -27|2.3 9|3 -14 0 -32 -2
