# 2025-04 月中(2025-04-11,上月月報甫公佈)全池量化快照(1174 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
2464 盟立|其他電子|20 22 21|57 60 -35 -34|0.4 172|4 1 -0 -36 -4
2465 麗臺|電腦及週|-11 -12 -8|32 50 -39 -53|0.6 13|1 12 0 -41 na
2466 冠西電|光電業|145 66 30|89 89 24 133|0.8 54|11 0 0 56 -3
2467 志聖|電子零組|14 23 -19|49 50 -38 -49|1.1 58|11 23 0 -59 -11
2468 華經|資訊服務|79 57 37|80 80 103 115|0.1 364|12 2 0 -34 -71
2471 資通|資訊服務|30 23 7|81 81 -3 6|0.6 97|7 3 0 -30 -8
2472 立隆電|電子零組|21 27 5|66 66 -16 -11|0.4 159|12 -2 0 -12 5
2474 可成|其他電子|18 20 8|82 82 -1 -16|1.5 545|35 6 -6 12 31
2476 鉅祥|電子零組|16 20 0|59 70 -20 -23|1.6 87|8 -1 0 -21 -9
2477 美隆電|其他電子|10 42 19|54 54 -22 -31|1.2 9|24 7 0 -48 -30
2478 大毅|電子零組|22 27 10|69 81 -12 -20|3.2 7|6 11 0 -48 -0
2480 敦陽科|資訊服務|16 18 10|79 79 -7 2|1.1 43|9 -16 -0 -63 13
2481 強茂|半導體業|-4 6 6|62 67 -20 -31|1.2 112|12 -1 4 -22 6
2484 希華|電子零組|18 16 15|59 66 -23 -34|2.2 6|5 6 0 -18 -2
2485 兆赫|通信網路|-59 -55 6|50 60 -25 -37|1.5 18|5 -7 0 -23 -30
2486 一詮|光電業|23 17 5|50 54 -33 -36|0.7 644|6 -1 0 -28 9
2488 漢平|其他電子|48 35 3|73 73 -17 -9|0.8 14|11 -13 0 -12 13
2489 瑞軒|光電業|28 23 -16|49 55 -30 -38|1.4 38|11 8 0 -34 -13
2492 華新科|電子零組|8 8 1|58 69 -20 -30|1.5 78|11 8 0 -24 -12
2493 揚博|電子零組|-0 8 -2|66 66 -14 -14|2.0 19|4 3 0 -33 -20
2495 普安|電腦及週|-32 -22 -15|57 57 -30 -35|0.9 24|12 5 0 -40 -1
2496 卓越|其他|4 4 -3|85 85 -1 8|1.6 5|24 -4 0 3 57
2497 怡利電|汽車工業|40 28 2|50 53 -24 -49|1.5 17|8 7 0 -34 -6
2498 宏達電|通信網路|68 20 33|61 61 -24 -27|0.4 255|12 1 0 -24 -9
2501 國建|建材營造|-64 -19 -47|46 73 -19 -24|1.7 23|7 -11 0 -21 13
2504 國產|建材營造|11 6 2|69 69 -17 -21|0.9 131|10 -11 -5 -29 22
2506 太設|建材營造|-62 -34 -35|74 81 -11 -9|2.6 6|5 -6 0 -33 -1
2516 新建|建材營造|5 16 -1|62 62 12 35|0.7 43|6 4 0 na na
2520 冠德|建材營造|-33 7 -44|72 75 -7 -2|1.1 177|21 -3 3 -34 4
2524 京城|建材營造|266 849 495|35 54 -27 -47|3.6 39|2 6 0 -50 -17
2527 宏璟|建材營造|-13 -55 -1526|45 67 -27 -20|2.8 10|43 10 0 -35 -22
2528 皇普|建材營造|3612112 2239734 -435314|63 70 -19 -12|1.7 37|4 10 0 -24 -0
2530 華建|建材營造|-97 271 -37967|57 77 -16 -13|2.4 24|4 -11 0 -16 16
2534 宏盛|建材營造|420 439 295|75 82 -11 -12|2.1 16|8 10 0 -3 -14
2535 達欣工|建材營造|132 39 29|92 92 7 15|2.6 37|7 -7 0 102 45
2536 宏普|建材營造|1952 802 556|74 90 -8 -5|2.7 10|9 7 0 -34 -22
2537 聯上發|建材營造|-100 4132 -19077|37 63 -15 -38|1.2 36|4 -8 0 -16 35
2539 櫻花建|建材營造|835 328 na|72 87 15 21|1.4 109|3 17 0 -13 -51
2540 愛山林|建材營造|-49 -2 -33|38 80 -8 -19|2.0 78|2 3 0 39 10
2542 興富發|建材營造|-86 -70 -88|61 82 -8 -12|1.9 205|11 -7 4 -20 14
2543 皇昌|建材營造|4 3 -7|71 71 1 -15|0.8 701|4 -0 1 -22 20
2545 皇翔|建材營造|-71 198 -113|65 65 -19 -15|2.2 48|7 -16 0 -27 -18
2546 根基|建材營造|29 32 21|62 90 10 6|1.7 9|2 1 0 -20 -10
2547 日勝生|建材營造|-22 -4 1|84 84 11 19|1.7 138|19 16 0 3 -15
2548 華固|建材營造|-1 62 -501|61 79 -10 -20|1.6 122|16 -23 0 -23 33
2597 潤弘|建材營造|18 20 1|69 87 10 19|1.5 64|2 -2 11 -31 16
2603 長榮|航運業|11 25 -40|86 86 -11 9|1.9 3542|21 -10 8 -39 3
2605 新興|航運業|7 -16 -17|65 75 -15 -24|0.8 105|35 3 0 -25 -15
2606 裕民|航運業|-7 -12 -17|67 67 -11 -9|0.8 559|9 1 0 -51 5
2607 榮運|航運業|-10 3 -20|84 87 -8 -5|2.2 57|10 11 -0 -28 -4
2608 嘉里大榮|航運業|3 5 -1|84 87 -7 -9|3.9 5|5 -19 0 -6 2
2609 陽明|航運業|-15 5 -51|82 82 -12 8|1.4 1931|21 13 3 -37 -37
2610 華航|航運業|5 8 -1|81 81 -16 7|1.9 323|21 -7 1 -11 7
2611 志信|航運業|-2 1 -4|55 80 -12 -18|2.0 9|2 -2 0 -16 19
2612 中航|航運業|17 21 2|76 79 -5 -15|1.0 25|3 11 0 -51 -4
2613 中櫃|航運業|1 1 -2|58 75 -22 -18|1.2 9|3 13 0 -37 3
2614 東森|其他|-13 -10 -6|72 84 -2 -14|2.0 8|3 5 0 -1 -21
2615 萬海|航運業|24 34 -34|69 77 -13 -14|0.9 821|42 4 11 -25 -3
2617 台航|航運業|1 -0 -9|66 81 -11 -17|1.5 18|5 3 0 -49 -6
2618 長榮航|航運業|3 6 -2|85 85 -14 11|1.3 1667|24 -24 19 -30 136
2630 亞航|航運業|-4 2 -4|79 88 -9 8|1.0 266|1 1 0 na 3
2633 台灣高鐵|航運業|0 0 -4|86 90 -3 -9|2.9 81|10 -2 1 4 4
2634 漢翔|航運業|-32 -27 -19|80 86 6 0|2.3 1981|3 0 1 13 12
2636 台驊控股|航運業|4 20 -50|62 81 -15 -18|2.2 29|10 -8 0 -27 -13
2637 慧洋-KY|航運業|-26 -25 -33|67 67 -11 -22|0.9 800|9 -6 1 -47 18
2640 大車隊|數位雲端|10 5 0|91 91 0 11|2.1 7|8 -1 0 -45 6
2641 正德|航運業|40 30 9|79 79 6 -1|0.8 125|4 3 0 -26 -26
2645 長榮航太|航運業|24 14 2|78 88 -5 -3|1.2 114|6 3 -2 -27 15
2646 星宇航空|航運業|34 41 na|na na -8 na|1.5 163|2 -11 -0 na na
2707 晶華|觀光餐旅|3 6 12|85 95 8 2|2.7 76|7 -1 0 18 -10
2718 全心投控|建材營造|-79 -93 -323|37 52 -32 -47|1.4 9|1 -1 0 -42 19
2723 美食-KY|觀光餐旅|7 4 7|87 87 -6 0|1.3 24|49 6 0 -10 3
2727 王品|觀光餐旅|3 6 5|86 86 -8 -7|1.7 58|24 -11 -0 -18 7
2731 雄獅|觀光餐旅|13 22 -0|73 82 -6 -9|1.0 36|5 -7 7 -33 -16
2739 寒舍|觀光餐旅|-3 3 1|51 67 -22 -28|1.3 7|3 18 0 -37 -18
2743 山富|觀光餐旅|-15 -5 -19|45 70 -26 -25|1.4 10|1 4 0 -21 -3
2745 五福|觀光餐旅|16 23 -10|63 74 -19 0|1.0 17|2 -5 0 -39 37
2748 雲品|觀光餐旅|-3 -2 -1|65 75 -19 -20|2.1 8|2 7 1 -30 -7
2753 八方雲集|觀光餐旅|16 13 3|100 100 23 23|3.3 73|7 15 3 -5 -18
2755 揚秦|觀光餐旅|24 21 2|83 83 11 17|1.2 7|1 10 0 -42 43
2801 彰銀|金融保險|7 6 -3|94 95 -2 -1|2.4 371|14 4 2 6 -41
2809 京城銀|金融保險|-33 -27 -13|71 88 -6 -13|1.2 110|16 9 -3 -12 29
2812 台中銀|金融保險|2 8 -2|89 89 3 6|2.9 151|11 -3 0 45 25
2816 旺旺保|金融保險|-14 -10 -12|73 79 -13 -16|2.7 7|2 -2 0 -51 -0
2820 華票|金融保險|40 -4 -22|94 96 -1 -1|3.8 12|7 -1 0 13 -8
2832 台產|金融保險|-2 0 -5|90 90 11 15|2.7 44|4 13 0 194 21
2834 臺企銀|金融保險|1 1 -4|73 88 -6 -10|2.5 272|16 -16 -4 -13 31
2836 高雄銀|金融保險|25 19 1|85 93 -3 -6|2.5 11|6 -7 0 -13 4
2838 聯邦銀|金融保險|-37 -6 -11|93 93 6 7|2.9 44|4 2 0 -34 6
2845 遠東銀|金融保險|-5 -4 -2|75 90 -3 -6|2.6 63|9 -7 3 1 9
2850 新產|金融保險|-0 -1 -3|95 95 3 15|2.9 32|10 3 1 -62 -15
2851 中再保|金融保險|-15 -9 -7|89 89 -1 -1|3.0 45|4 -9 0 -28 0
2852 第一保|金融保險|-6 -3 -5|88 88 8 21|2.4 41|7 -3 0 6 19
2855 統一證|金融保險|-75 -55 -114|77 78 -14 -16|1.3 54|10 -25 -1 -18 44
2880 華南金|金融保險|-4 3 -7|94 94 1 5|2.1 364|17 -9 13 3 12
2881 富邦金|金融保險|25 26 -69|85 85 -12 -12|1.9 1382|20 -24 7 8 119
2882 國泰金|金融保險|-31 -9 -22|77 77 -20 -20|2.3 1159|25 -22 8 15 44
2883 凱基金|金融保險|410 150 -65|82 82 -12 -8|2.3 818|27 -10 2 -9 162
2884 玉山金|金融保險|23 26 7|92 92 2 -1|2.2 868|32 -1 9 -3 4
2885 元大金|金融保險|-13 2 -17|81 81 -13 -5|2.0 751|26 -32 14 0 30
2886 兆豐金|金融保險|-30 -15 -15|92 95 -1 -2|2.7 569|19 -4 9 88 15
2887 台新新光金|金融保險|20 17 -12|77 85 -13 -16|3.0 462|18 -12 2 16 6
2888 新光金|金融保險|-113 -52 928|79 85 -10 -12|2.7 575|34 15 0 7 26
2889 國票金|金融保險|-22 -14 -25|73 80 -15 -20|2.0 54|9 -24 -2 -10 16
2890 永豐金|金融保險|-8 13 -2|78 85 -9 -13|2.3 605|23 -15 6 -4 104
2891 中信金|金融保險|37 29 -1|91 91 -4 6|1.9 2102|32 -5 9 -0 303
2892 第一金|金融保險|-11 -2 -8|90 92 -6 -4|2.8 462|23 -20 7 -7 139
2903 遠百|貿易百貨|-3 -4 0|68 83 4 -16|1.0 65|12 3 0 -21 1
2905 三商|貿易百貨|1 -21 -88|61 72 -16 -29|2.3 12|5 -19 0 8 6
2908 特力|貿易百貨|-6 -8 -8|93 94 -2 -5|0.9 11|2 -8 0 -12 7
2912 統一超|貿易百貨|4 4 -2|84 86 -3 -14|2.4 438|23 -15 1 -0 81
2913 農林|貿易百貨|39 41 15|66 71 -23 -27|3.0 13|8 8 0 -24 -4
2915 潤泰全|貿易百貨|4 -7 -17|66 66 -24 -30|1.5 153|8 -7 -1 -31 26
2929 淘帝-KY|貿易百貨|-2 -0 7|63 63 -28 -28|0.7 15|21 5 0 24 -6
3003 健和興|電子零組|-3 -2 -11|52 62 -32 -39|1.0 35|3 20 0 -39 -22
3004 豐達科|鋼鐵工業|15 13 -0|70 78 -13 -11|2.2 20|3 -3 0 -3 -8
3005 神基|電腦及週|29 10 7|65 74 -12 -18|1.3 243|15 9 -6 -26 6
3006 晶豪科|半導體業|-22 -12 -17|46 68 -21 -32|0.9 128|12 -8 0 -22 5
3008 大立光|光電業|42 31 3|65 74 -19 -16|1.6 1584|33 6 -7 -35 -62
3010 華立|電子通路|8 8 -9|60 69 -26 -28|2.1 49|9 -6 -2 -40 15
3011 今皓|電子零組|-13 -9 -8|37 37 -40 -56|0.8 13|6 12 0 -36 -2
3013 晟銘電|電腦及週|42 78 8|49 49 -43 -33|0.3 534|7 5 -1 -33 -19
3014 聯陽|半導體業|5 16 9|66 76 -17 -11|1.5 80|25 -26 -3 -28 13
3015 全漢|電子零組|21 13 16|69 69 -17 -17|0.5 32|11 10 -1 -52 -2
3016 嘉晶|半導體業|-6 -13 -8|43 51 -31 -46|1.2 13|2 -4 0 -24 -2
3017 奇鋐|電腦及週|68 55 27|51 58 -34 -33|0.8 3370|37 -4 -1 -12 13
3019 亞光|光電業|21 27 -5|61 61 -24 13|0.5 2445|23 -3 0 -28 67
3021 鴻名|電子零組|-37 -6 -21|43 43 -36 -43|1.1 5|6 14 0 -66 -47
3022 威強電|電腦及週|27 7 9|65 65 -3 -2|0.4 408|18 -4 -0 -28 37
3023 信邦|電子零組|-4 3 -1|64 67 -21 -25|1.0 369|50 -3 -0 -33 7
3024 憶聲|光電業|77 78 -26|55 61 -30 -28|1.2 19|3 7 0 -16 -13
3025 星通|通信網路|-53 -12 -50|55 55 -39 -42|0.4 19|6 12 0 -35 -11
3026 禾伸堂|電子零組|24 19 13|80 85 -7 -14|1.4 43|13 -2 0 -43 -29
3027 盛達|通信網路|51 26 17|51 63 -13 -32|0.8 19|2 0 0 -8 2
3028 增你強|電子通路|3 7 -3|89 92 9 -3|1.9 15|7 0 0 -1 -17
3029 零壹|資訊服務|27 71 21|68 68 -13 26|0.5 573|10 -1 -1 -45 1
3030 德律|其他電子|9 32 -23|50 63 -21 -33|1.6 134|14 1 -1 -44 18
3031 佰鴻|光電業|-8 -1 -10|66 66 -29 -18|0.7 8|3 -2 0 -32 -10
3032 偉訓|電子零組|36 16 23|57 57 -34 -14|0.3 355|11 -3 0 -22 -14
3033 威健|電子通路|49 42 8|82 85 -8 -12|1.8 96|9 -7 -2 -33 8
3034 聯詠|半導體業|9 12 16|80 91 3 0|1.3 1439|29 -12 16 -19 6
3035 智原|半導體業|312 193 147|56 73 -14 -23|1.2 1507|14 3 6 -32 -1
3036 文曄|電子通路|32 31 -28|55 76 -22 -17|1.3 349|12 3 -10 -26 26
3037 欣興|電子零組|19 14 -0|36 44 -48 -43|1.1 1346|28 -1 -1 -38 -17
3038 全台|光電業|-20 -17 0|67 77 -19 -13|1.7 9|5 -6 0 -6 -18
3040 遠見|其他|3 1 10|78 78 -20 -9|1.8 13|17 -2 0 -6 -5
3041 揚智|半導體業|-20 -17 -30|54 56 -39 -38|0.3 26|10 1 0 -16 4
3042 晶技|電子零組|13 15 -1|70 70 -18 -23|1.2 72|10 -13 -6 -42 18
3044 健鼎|電子零組|15 15 1|71 80 -17 -12|1.6 377|36 3 4 -19 13
3045 台灣大|通信網路|1 -0 -6|98 98 4 4|3.6 540|16 9 10 104 46
3046 建碁|電腦及週|21 13 -4|63 72 -14 -28|2.7 7|3 -2 0 -6 -3
3047 訊舟|通信網路|68 32 -41|41 52 -36 -48|0.9 34|9 17 0 -42 -16
3048 益登|電子通路|17 20 9|43 52 -26 -48|1.7 14|5 16 0 -35 -18
3050 鈺德|光電業|3 -1 -9|46 61 -27 -38|1.3 11|9 9 0 -26 -1
3051 力特|光電業|14 23 16|64 70 -26 -19|1.5 15|2 9 0 -31 -11
3052 夆典|建材營造|-19 17 30|78 85 -6 -12|2.3 7|2 1 0 -10 4
3055 蔚華科|電子通路|-72 -61 -9|39 49 -40 -38|2.6 10|2 7 0 -16 -11
3056 富華新|建材營造|943 12878 -1429|83 83 3 9|1.5 321|7 4 0 -43 19
3058 立德|電子零組|12 8 19|43 54 -36 -45|1.8 6|5 11 0 -22 -7
3059 華晶科|光電業|43 19 28|65 65 -15 -7|0.3 285|13 2 -0 -39 -5
3060 銘異|電腦及週|18 30 0|55 66 -15 -24|1.4 76|8 2 0 15 -14
3062 建漢|通信網路|21 34 20|51 51 -39 -37|0.9 91|14 11 0 -45 -9
3078 僑威|電子零組|44 47 52|71 71 0 3|0.4 635|19 6 0 -28 -15
3081 聯亞|通信網路|64 41 8|42 42 -40 -36|0.6 869|24 3 3 -48 -11
3086 華義*|文化創意|-6 -1 -2|48 53 -13 -47|0.4 18|40 -2 0 -32 -18
3088 艾訊|電腦及週|27 16 5|66 66 -11 8|0.2 105|16 3 -2 -27 -12
3090 日電貿|電子零組|25 37 17|78 78 -11 -3|1.1 113|9 7 -0 -46 -17
3105 穩懋|半導體業|-24 -19 -16|43 59 -28 -39|1.3 341|17 -7 4 -12 42
3128 昇銳|光電業|35 26 4|58 58 -23 -28|0.8 32|1 -0 0 -44 71
3130 一零四|數位雲端|9 10 1|89 95 -1 -4|3.1 10|25 -27 0 -50 35
3131 弘塑|半導體業|62 39 13|41 47 -38 -54|0.6 609|23 14 -12 na -21
3138 耀登|通信網路|-12 -12 -9|54 61 -34 -37|0.9 17|2 -11 0 -31 24
3141 晶宏|半導體業|-8 -0 5|49 51 -30 -44|1.9 13|7 -2 0 -20 -27
3147 大綜|資訊服務|329 248 168|79 79 -5 10|0.7 307|2 -4 -0 -34 8
3149 正達|光電業|21 14 -4|63 63 -8 -24|0.8 121|1 -2 0 -24 -7
3152 璟德|通信網路|-9 -3 -10|47 58 -39 -39|2.0 13|14 4 -1 -28 12
3162 精確|電機機械|129 198 113|67 67 10 15|0.4 476|57 6 0 -15 -39
3163 波若威|通信網路|28 0 27|61 61 -13 -20|0.2 4041|14 2 -1 -17 -10
3167 大量|電機機械|103 120 5|36 36 -39 -59|0.6 60|4 10 0 -37 -17
3169 亞信|半導體業|30 34 28|62 70 -19 -25|1.5 21|3 4 0 -23 -0
3188 鑫龍騰|建材營造|-67 -73 na|45 77 -10 -26|1.8 9|1 -9 0 -14 -3
3189 景碩|半導體業|29 23 3|50 56 -36 -38|0.7 224|11 -16 -2 -36 15
3207 耀勝|電子零組|24 23 -33|44 50 -20 -49|1.0 27|1 -4 0 -3 25
3209 全科|電子通路|134 47 43|80 80 1 -18|1.0 79|6 7 -0 -43 -17
3211 順達|電腦及週|-32 -30 -7|67 67 -27 49|0.3 1241|13 -2 0 -51 2
3213 茂訊|電腦及週|-47 10 14|63 63 6 -7|0.5 288|7 -1 0 -36 -14
3217 優群|電子零組|34 37 16|71 76 -18 -15|1.2 90|9 5 -0 -8 1
3218 大學光|生技醫療|-2 5 1|67 75 -10 -26|2.2 23|10 8 -1 -25 -15
3227 原相|半導體業|33 34 -4|67 67 -20 -22|0.5 727|28 -3 -2 -12 -11
3228 金麗科|半導體業|-37 -29 -55|24 49 -34 -42|0.8 55|8 5 0 na -8
3230 錦明|光電業|1 23 51|57 57 -36 -35|0.8 96|1 0 0 -19 -11
3231 緯創|電腦及週|70 44 15|68 73 -14 -11|1.5 1429|24 -13 3 -29 17
3234 光環|通信網路|30 42 42|54 54 -30 -40|0.4 26|3 -4 0 na na
3257 虹冠電|半導體業|3 -7 19|58 58 -18 -23|1.6 14|2 -3 0 -19 -11
3260 威剛|半導體業|-6 -9 -19|67 78 0 -13|1.0 579|11 4 3 -25 -45
3264 欣銓|半導體業|-1 -2 5|84 86 20 15|0.4 412|19 2 5 -46 0
3265 台星科|半導體業|13 8 -4|59 67 -28 -32|0.8 28|2 3 0 -15 1
3287 廣寰科|電腦及週|7 -2 -15|54 72 -15 -19|1.2 15|1 -0 0 2 4
3289 宜特|其他電子|1 7 -7|51 51 -25 -43|1.5 37|12 -4 0 -40 -11
3290 東浦|電子零組|33 32 19|65 65 -13 -25|1.4 18|3 -3 0 -4 -6
3293 鈊象|文化創意|27 28 -3|73 73 -16 -14|1.5 1438|25 2 -1 -29 8
3294 英濟|電子零組|-38 -25 -21|48 59 -27 -27|0.1 37|7 9 0 -15 -43
3297 杭特|光電業|24 17 12|78 100 42 14|7.3 7|1 -0 0 108 8
3303 岱稜|其他電子|15 17 -6|56 56 -19 -33|1.1 17|5 -2 0 -37 0
3305 昇貿|其他電子|53 56 10|61 70 -22 -31|0.9 37|4 -4 0 -30 14
3312 弘憶股|電子通路|55 45 22|38 54 -24 -44|0.3 125|2 -1 0 -31 -12
3313 斐成|建材營造|-6 -63 na|48 73 -18 -25|1.6 5|1 8 0 -61 na
3317 尼克森|半導體業|18 26 15|66 66 -20 -25|2.0 6|4 4 0 -23 -13
3323 加百裕|電腦及週|-12 -6 10|57 57 -28 8|0.2 362|5 1 0 -3 -31
3324 雙鴻|其他電子|53 46 7|51 64 -28 -34|0.9 1284|12 3 0 -19 7
3338 泰碩|電子零組|-4 18 14|50 61 -27 -35|1.9 29|2 5 0 -39 -13
3339 泰谷|光電業|-13 -6 -26|53 62 -18 -27|2.0 7|3 4 0 -1 -16
3346 麗清|汽車工業|38 18 6|53 62 -27 -38|2.0 7|3 -5 0 -31 -23
3356 奇偶|光電業|-6 -19 -7|62 69 -14 -23|1.9 22|6 -8 0 -13 -2
3357 臺慶科|電子零組|37 37 2|66 72 -21 -27|1.7 20|13 -12 -1 -28 -6
3360 尚立|電子通路|34 26 5|58 60 -18 -37|0.9 7|1 -5 0 -8 -11
3362 先進光|光電業|11 10 3|40 47 -42 -49|2.3 71|4 9 0 -42 -9
3363 上詮|通信網路|46 53 26|44 44 -36 -32|0.2 284|12 0 -1 -35 34
3373 熱映|其他電子|16 4 -7|60 60 -22 -22|0.2 6|5 14 0 -13 11
3374 精材|半導體業|41 9 -1|46 54 -34 -44|0.3 238|6 15 -2 -31 -20
3376 新日興|電子零組|-19 -1 -23|60 60 -10 -5|0.9 1247|25 -8 1 -22 13
3379 彬台|電機機械|182 261 97|62 62 24 35|0.1 213|8 2 0 -36 -39
3380 明泰|通信網路|-24 -10 6|64 64 -26 -29|1.0 19|9 6 -1 -26 -11
3390 旭軟|電子零組|-6 17 1|60 71 -18 -28|2.0 9|2 -3 0 -6 -1
3402 漢科|其他電子|-3 -5 -20|65 69 -25 -21|1.0 13|3 -7 0 -41 4
3406 玉晶光|光電業|-3 2 -14|54 68 -27 -26|0.9 322|25 -1 -5 -29 -12
3413 京鼎|半導體業|43 47 7|61 66 -20 -33|1.5 194|27 -17 -0 -29 41
3416 融程電|電腦及週|19 14 -6|70 70 -23 -3|1.2 41|4 -15 0 -20 7
3419 譁裕|通信網路|14 32 13|71 74 -22 -17|1.4 6|2 -16 0 2 -6
3430 奇鈦科|化學工業|-20 14 -3|48 51 -23 -46|1.3 6|4 2 0 -41 -0
3434 哲固|光電業|26 11 -2|100 100 83 92|2.1 115|4 1 0 82 406
3437 榮創|光電業|-12 -9 -7|48 52 -34 -45|2.0 7|5 9 0 -29 -18
3441 聯一光電|光電業|14 55 26|73 73 -18 -22|1.1 5|5 -4 0 -33 0
3443 創意|半導體業|32 23 19|58 66 -23 -16|1.2 1278|23 7 -7 -24 -13
3444 利機|電子通路|11 28 6|41 59 -30 -40|1.1 16|12 10 0 -43 4
3447 展達|通信網路|103 82 33|46 46 -25 6|0.2 79|4 3 0 -32 -38
3450 聯鈞|半導體業|105 116 49|57 57 -32 0|0.2 3654|18 1 1 -33 -8
3454 晶睿|光電業|15 26 27|67 67 -8 -17|0.5 60|4 2 -1 -20 -3
3455 由田|光電業|89 9 7|57 57 -28 -38|1.1 25|7 -8 -0 -31 8
3466 德晉|通信網路|-2 -64 -2|33 39 -42 -49|2.6 26|5 -2 0 -18 61
3479 安勤|電腦及週|30 24 19|75 77 0 -17|0.5 91|9 13 1 -40 -17
3481 群創|光電業|-7 13 10|78 80 -5 -16|1.5 1114|26 10 1 -17 -50
3483 力致|電腦及週|-8 -3 -8|45 57 -32 -41|1.1 61|6 -1 0 -27 2
3484 崧騰|電子零組|20 29 -4|64 64 -21 -22|0.6 70|11 -5 0 -39 36
3491 昇達科|通信網路|31 50 -12|75 75 3 14|0.7 1113|22 3 -0 -15 -19
3498 陽程|其他電子|121 110 -14|45 45 -42 -43|1.1 16|6 5 0 -35 -10
3501 維熹|電子零組|-1 11 -1|71 82 -10 -18|2.3 23|7 -0 0 -70 -16
3504 揚明光|光電業|7 26 28|58 58 -32 -24|0.4 31|4 8 0 -44 -1
3511 矽瑪|電子零組|21 38 18|42 42 -38 -45|2.2 8|6 8 0 -42 -7
3515 華擎|電腦及週|98 108 50|59 59 -32 -25|0.7 74|11 -14 -1 -33 1
3518 柏騰|其他電子|-5 -1 -0|41 52 -31 -46|1.3 7|6 8 0 -24 -31
3526 凡甲|電子零組|51 67 25|79 79 -14 -10|2.8 53|23 -25 5 -29 -3
3528 安馳|電子通路|43 45 36|65 65 11 10|0.8 120|5 3 0 -32 18
3529 力旺|半導體業|7 10 -5|63 63 -27 -25|1.3 1363|64 17 -8 -62 -2
3530 晶相光|半導體業|12 9 -4|49 54 -38 -45|2.0 7|40 -4 0 -19 -2
3532 台勝科|半導體業|-1 -1 10|40 54 -22 -46|1.4 30|48 -9 0 -20 -2
3533 嘉澤|電子零組|22 27 0|56 56 -39 -26|1.0 985|41 -0 -6 -27 -67
3535 晶彩科|光電業|16 -45 -383|37 46 -43 -46|0.7 34|5 21 0 -44 -26
3537 堡達|電子零組|-6 -3 -1|55 60 -26 -37|2.5 6|2 6 0 -51 -15
3540 曜越|電腦及週|27 20 25|47 60 -32 -36|1.8 7|3 -3 0 -29 -4
3545 敦泰|半導體業|-9 -15 -16|59 62 -29 -34|1.6 47|21 -4 -0 -21 5
3546 宇峻|文化創意|6 -7 -7|98 100 11 7|7.8 19|10 2 1 4 1
3548 兆利|電子零組|29 12 4|41 53 -32 -33|0.7 89|3 7 -0 -38 -28
3550 聯穎|電子零組|15 31 24|41 46 -31 -54|2.0 6|7 4 0 -9 -13
3551 世禾|綠能環保|16 12 -2|61 61 -25 -8|0.4 38|5 7 0 -48 4
3552 同致|其他電子|10 -2 12|54 55 -33 -32|2.0 14|12 11 0 -29 -10
3557 嘉威|居家生活|-4 3 -9|63 63 -29 -32|2.0 8|3 -16 0 -40 25
3558 神準|通信網路|70 45 51|64 64 -15 1|0.2 168|11 8 -4 -36 -25
3563 牧德|光電業|226 197 122|67 67 3 5|1.0 643|16 2 0 -18 -3
3564 其陽|通信網路|26 18 -9|35 45 -39 -52|0.9 9|3 10 0 -28 -13
3570 大塚|資訊服務|88 64 23|90 90 -1 25|1.1 13|45 0 0 na 5
3577 泓格|電腦及週|1 38 18|65 65 -15 -26|0.5 7|1 -2 0 -53 29
3580 友威科|其他電子|-17 -3 -1|45 51 -35 -43|0.6 20|4 10 0 -39 -19
3583 辛耘|半導體業|30 25 -12|47 48 -38 -53|0.7 150|14 10 -1 -40 -8
3587 閎康|其他電子|3 3 -3|49 52 -37 -46|1.9 95|12 1 -10 -11 -19
3588 通嘉|半導體業|3 12 -9|41 50 -32 -49|1.9 10|4 2 0 -45 -22
3591 艾笛森|光電業|5 6 -19|56 62 -29 -36|1.7 36|2 -4 0 -7 23
3592 瑞鼎|半導體業|-7 -3 -21|64 77 -20 -12|1.2 96|14 -5 -3 -46 -3
3594 磐儀|電腦及週|63 48 35|62 62 -27 -2|0.2 44|7 -1 0 -25 -2
3596 智易|通信網路|10 2 8|85 85 15 33|0.9 446|36 13 1 -0 68
3597 映興|電子零組|49 51 7|48 48 -33 -24|0.5 5|3 7 0 -19 3
3605 宏致|電子零組|36 33 9|63 63 -10 -21|0.4 319|22 -0 0 -31 -29
3607 谷崧|電子零組|2 15 -11|58 61 -24 -32|1.7 6|6 2 0 -18 2
3609 三一東林|電子零組|-48 58 66|70 70 -4 8|0.5 20|4 1 0 -17 na
3611 鼎翰|電腦及週|66 53 34|78 79 -10 -20|3.0 14|12 -9 0 3 29
3615 安可|光電業|-3 -11 -1|48 48 -30 -41|1.2 6|4 16 0 -24 -12
3617 碩天|其他電子|25 12 3|64 64 -32 -21|1.4 122|15 2 -0 -16 -3
3622 洋華|光電業|-2 23 19|56 62 -23 -35|1.4 15|3 -6 0 -35 10
3625 西勝|電腦及週|-1 -36 22|60 60 -24 1|0.4 9|7 -1 0 na na
3630 新鉅科|光電業|31 10 -6|55 60 -34 -33|0.8 14|39 -9 0 -25 -15
3645 達邁|電子零組|5 20 -15|55 55 -6 5|0.1 220|15 3 -0 -37 -24
