strategy,start,end,full_cagr,full_mdd,full_sortino,oos_cagr,oos_mdd,oos_sortino,recent_1y_start,recent_1y_end,recent_1y_cagr,dsr,pbo
Iter95 realistic,,2026-05-22,0.34705430602459986,-0.3310634958635796,2.1787086083052754,0.3913818985389177,-0.22087283356504123,2.471756148108577,2025-05-22,2026-05-22,3.1263924602178585,0.9999904456926582,0.032
Iter92 realistic,,2026-05-18,0.3366628356139514,-0.3495450082754096,2.117633635340412,0.38106075542002094,-0.265464493738098,2.3972524815955154,2025-05-16,2026-05-18,2.6054816994370094,0.9999687815962571,0.032
Iter89 robust,,2026-05-18,0.31540103931419927,-0.3508948963654195,1.9839411321903113,0.35796978335340457,-0.26216186108906536,2.234335288977983,2025-05-16,2026-05-18,2.5384300172463843,0.9997811207929223,0.034
Iter86/87 realistic,,2026-05-15,0.3217185064038768,-0.3489113678799035,1.8455126690013703,0.36606418680433706,-0.3294726731954204,2.038228433072873,2025-05-15,2026-05-15,2.6301917683676828,0.999042009377671,0.054
