market,fn_date,content_date,kind,bytes,path
twse,2016-11-08,2016-11-08,csv,106616,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_11_8.csv
twse,2016-11-09,2016-11-09,csv,108534,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_11_9.csv
twse,2016-12-01,2016-12-01,csv,106968,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_1.csv
twse,2016-12-12,2016-12-12,csv,106985,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_12.csv
twse,2016-12-13,2016-12-13,csv,107016,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_13.csv
twse,2016-12-14,2016-12-14,csv,106928,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_14.csv
twse,2016-12-15,2016-12-15,csv,107318,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_15.csv
twse,2016-12-16,,0-byte sentinel,0,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_16.csv
twse,2016-12-19,,0-byte sentinel,0,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_19.csv
twse,2016-12-02,2016-12-02,csv,107695,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_2.csv
twse,2016-12-20,2017-01-18,csv,107261,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_20.csv
twse,2016-12-21,2016-12-21,csv,107446,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_21.csv
twse,2016-12-22,2016-12-22,csv,107484,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_22.csv
twse,2016-12-23,2016-12-23,csv,107991,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_23.csv
twse,2016-12-26,2016-12-26,csv,107365,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_26.csv
twse,2016-12-27,2016-12-27,csv,107798,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_27.csv
twse,2016-12-28,2016-12-28,csv,106959,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_28.csv
twse,2016-12-29,2016-12-29,csv,106905,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_29.csv
twse,2016-12-30,2016-12-30,csv,106672,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_30.csv
twse,2016-12-04,,0-byte sentinel,0,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_4.csv
twse,2016-12-05,2016-12-05,csv,106957,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_5.csv
twse,2016-12-06,2016-12-06,csv,106970,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_6.csv
twse,2016-12-07,2016-12-07,csv,106668,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_7.csv
twse,2016-12-08,2016-12-08,csv,107019,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_8.csv
twse,2016-12-09,2016-12-09,csv,107080,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_12_9.csv
twse,2016-01-11,2016-01-11,csv,103818,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_11.csv
twse,2016-01-12,2016-01-12,csv,104177,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_12.csv
twse,2016-01-13,2016-01-13,csv,104169,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_13.csv
twse,2016-01-14,2016-01-14,csv,104383,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_14.csv
twse,2016-01-15,2016-01-15,csv,104919,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_15.csv
twse,2016-01-18,2016-01-18,csv,103986,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_18.csv
twse,2016-01-19,2016-01-19,csv,103709,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_19.csv
twse,2016-01-20,2016-01-20,csv,104439,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_20.csv
twse,2016-01-21,2016-01-21,csv,103803,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_21.csv
twse,2016-01-22,2016-01-22,csv,103302,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_22.csv
twse,2016-01-25,2016-01-25,csv,103116,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_1_25.csv
