出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"108/11/24","102/8","1731","美吾華","生技醫療業","87386","87830","176091","-0.5055220311966299","-50.37452226405665","1127838","1434231","-21.362876691411635","營收較去年同期減少，主因係自5月起代理糖尿病藥新合約營收改以物流服務淨額認列，致帳面營收減少；同基礎下實質業務係有成長。"
"108/11/24","102/8","1732","毛寶","化學工業","43787","43889","50156","-0.23240447492537994","-12.698381051120505","392110","425049","-7.749459474084165","本月公告之合併營業收入金額係依IFRSs計算申報，去年同期及去年同期累計營收亦依IFRSs重新計算申報。"
"108/11/24","102/8","1733","五鼎","生技醫療業","153978","145877","153742","5.553308609307842","0.15350392215529915","1320388","1401721","-5.802367232851616","-"
"108/11/24","102/8","1734","杏輝","生技醫療業","285600","283440","169856","0.7620660457239627","68.14242652599849","1679883","1413146","18.875402824619677","-"
"108/11/24","102/8","1735","日勝化","化學工業","410883","388936","387983","5.642830697081268","5.902320462494491","3056576","3079539","-0.745663555486714","-"
"108/11/24","102/8","1736","喬山","生技醫療業","1267121","1069117","1493341","18.5203303286731","-15.148582942542928","8669651","8696218","-0.3055006210745867","-"
"108/11/24","102/8","1737","臺鹽","食品工業","202205","206681","190687","-2.1656562528727847","6.040264936781218","1584631","1518669","4.343408603191347","-"
"108/11/24","102/8","1760","寶齡富錦","生技醫療業","107562","53773","59175","100.02975470961263","81.76932826362484","546047","427657","27.683400482162106","-"
"108/11/24","102/8","1762","中化生","生技醫療業","64607","88107","122512","-26.672114587944204","-47.2647577380175","723011","966824","-25.21793004724748","-"
"108/11/24","102/8","1773","勝一","化學工業","591601","596099","576519","-0.7545726464899287","2.6160456116797537","4404904","4644250","-5.1535985358238685","-"
"108/11/24","102/8","1776","展宇","化學工業","251621","219522","224463","14.622224651743334","12.099098737876622","1566046","1575076","-0.5733056690597788","-"
"108/11/24","102/8","1783","和康生","生技醫療業","18659","16583","20244","12.518844599891455","-7.8294803398537836","149138","156634","-4.785678715987589","-"
"108/11/24","102/8","1786","科妍","生技醫療業","17580","17914","17519","-1.8644635480629674","0.3481933900336777","130607","105757","23.497262592547067","-"
"108/11/24","102/8","1789","神隆","生技醫療業","406801","474872","433862","-14.334599639481798","-6.237236725041603","3405810","2759150","23.436928039432434","-"
"108/11/24","102/8","1802","台玻","玻璃陶瓷","3367669","2968464","2753124","13.448200820356925","22.321733419925874","22700978","21639269","4.906399564606365","-"
"108/11/24","102/8","1805","寶徠","建材營造","15169","14327","13898","5.8770154254205345","9.14520074830911","130957","109421","19.68177954871551","因應IFRSs導入致會計政策改變，故本公司營收公告數IFRSs前後會有所差異。"
"108/11/24","102/8","1806","冠軍","玻璃陶瓷","645196","685432","624799","-5.8701665518971975","3.264569885675233","4586590","4556160","0.6678869925551342","-"
"108/11/24","102/8","1808","潤隆","建材營造","54162","6613","15290","719.0231362467866","254.23152387181165","226837","262453","-13.570429753136752","-"
"108/11/24","102/8","1809","中釉","玻璃陶瓷","324199","357724","324824","-9.371750287931478","-0.19241189074698914","2320325","2546662","-8.887594820199933","-"
"108/11/24","102/8","1810","和成","玻璃陶瓷","447089","537252","458543","-16.782254882252648","-2.4979118643180684","3681898","3591292","2.522936035276441","-"
"108/11/24","102/8","1817","凱撒衛","玻璃陶瓷","151018","150586","123798","0.28687925836399136","21.98743113782129","1078416","909692","18.547376474674945","-"
"108/11/24","102/8","1902","台紙","造紙工業","513334","576545","530268","-10.963758249572887","-3.193479523561671","4472509","3898971","14.70998373673464","-"
"108/11/24","102/8","1903","士紙","造紙工業","170889","172109","170699","-0.7088531105287929","0.11130703753390471","1424900","1423985","0.06425629483456638","-"
"108/11/24","102/8","1904","正隆","造紙工業","3628543","3580126","3661379","1.3523825697754772","-0.8968205695176599","27959188","29306475","-4.597233205289958","-"
"108/11/24","102/8","1905","華紙","造紙工業","1692496","1651608","596803","2.4756479745799247","183.59374869094157","13134827","5515624","138.13854969084187","-"
"108/11/24","102/8","1906","寶隆","造紙工業","37815","42980","56480","-12.01721731037692","-33.047096317280456","385997","284933","35.469391049825745","-"
"108/11/24","102/8","1907","永豐餘","造紙工業","4718469","4993482","4458416","-5.507439498129762","5.832856332832109","37391192","35580841","5.087993844777306","-"
"108/11/24","102/8","1909","榮成","造紙工業","2288247","2214698","1872057","3.3209494025822033","22.23169486826523","15331792","14379891","6.6196677012364","-"
