出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"109/03/17","109/2","1101","台泥","水泥工業","5000692","7502141","5085162","-33.34313497973445","-1.661107355085246","12502833","14479402","-13.650902157423353","-"
"109/03/17","109/2","1102","亞泥","水泥工業","2851105","5210319","3165899","-45.279646025512065","-9.943273616751513","8061424","11071636","-27.18850222315835","-"
"109/03/17","109/2","1103","嘉泥","水泥工業","150813","165029","108448","-8.614243557192978","39.06480525228681","315842","285508","10.624570940218838","-"
"109/03/17","109/2","1104","環泥","水泥工業","414075","359966","270638","15.031697438091376","52.99957877312129","774041","750157","3.1838668438740156","108年2月適逢農曆春節，工作天數較少。"
"109/03/17","109/2","1108","幸福","水泥工業","390288","296395","168065","31.67833465476813","132.2244369737899","686683","521254","31.736734873976985","因去年同期適逢農曆春節假期發貨天數較少外，本月因部分同業設備維修出貨量下降，惟整體市場需求上升，致本公司發貨量增加。"
"109/03/17","109/2","1109","信大","水泥工業","199776","476715","149960","-58.093200339825685","33.21952520672179","676491","818852","-17.385437173017834","-"
"109/03/17","109/2","1110","東泥","水泥工業","115270","126262","82927","-8.705707180307614","39.00177264340926","241532","269220","-10.284525666740956","-"
"109/03/17","109/2","1201","味全","食品工業","1108658","1442127","1358770","-23.12341423466865","-18.407235956048485","2550785","2942263","-13.305336742500586","-"
"109/03/17","109/2","1203","味王","食品工業","539918","544513","443171","-0.8438733326844354","21.830625198851006","1084431","987278","9.840490722977723","-"
"109/03/17","109/2","1210","大成","食品工業","6001214","6488716","4971488","-7.513073464765602","20.7126317110692","12490406","12148001","2.8186118851982314","-"
"109/03/17","109/2","1213","大飲","食品工業","23944","31854","39925","-24.832046210836943","-40.0275516593613","55798","103351","-46.01116583293824","-"
"109/03/17","109/2","1215","卜蜂","食品工業","1643656","1686306","1463626","-2.5291969547638447","12.30027343050752","3329962","3349095","-0.5712886615637955","-"
"109/03/17","109/2","1216","統一","食品工業","30787526","41529085","29826477","-25.865147281718343","3.2221338108419575","72316611","70970886","1.8961648583617796","-"
"109/03/17","109/2","1217","愛之味","食品工業","302786","405408","303197","-25.31326466177283","-0.1355554309574303","708194","682708","3.733074755239429","-"
"109/03/17","109/2","1218","泰山","食品工業","505641","736974","467918","-31.38957412337477","8.061882637556153","1242615","1174402","5.8083177651264215","-"
"109/03/17","109/2","1219","福壽","食品工業","911889","1016959","715431","-10.331783287231834","27.46009049090688","1928847","1915246","0.7101437622112251","-"
"109/03/17","109/2","1220","台榮","食品工業","178161","201511","143511","-11.58745676414687","24.144490666220708","379672","405248","-6.311197094125079","-"
"109/03/17","109/2","1225","福懋油","食品工業","785185","850077","633413","-7.633661421259486","23.960985960187113","1635262","1597513","2.362985465532988","-"
