出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"108/11/25","104/7","1101","台泥","水泥工業","8250361","8545853","10327799","-3.4577238808109616","-20.115011920739356","54694674","68917483","-20.63744695957628","-"
"108/11/25","104/7","1102","亞泥","水泥工業","5746639","5516532","6647943","4.171225690343136","-13.55763730224522","38060298","44139778","-13.77324552923669","-"
"108/11/25","104/7","1103","嘉泥","水泥工業","175596","143719","246735","22.180087531919927","-28.832147850933186","1584326","2155637","-26.503117176036596","-"
"108/11/25","104/7","1104","環泥","水泥工業","412816","411286","491532","0.3720039096881489","-16.014420220860494","2971031","3327078","-10.701492420676642","-"
"108/11/25","104/7","1108","幸福","水泥工業","463001","441613","413460","4.84315452670098","11.982053886712137","3100256","2909014","6.5741175532328135","-"
"108/11/25","104/7","1109","信大","水泥工業","336770","325459","358231","3.475399359059052","-5.990827147845943","2389011","3043379","-21.501364108775146","-"
"108/11/25","104/7","1110","東泥","水泥工業","147765","167928","161173","-12.006931542089466","-8.319011248782365","1106606","1165482","-5.0516438692317855","-"
"108/11/25","104/7","1201","味全","食品工業","2026924","1891535","2795122","7.1576259492951495","-27.483523080566787","12255547","16835762","-27.205272918445864","-"
"108/11/25","104/7","1203","味王","食品工業","541313","588358","646386","-7.995982038146843","-16.255457265472952","3886379","3648462","6.521021734637773","-"
"108/11/25","104/7","1210","大成","食品工業","6517264","6191953","7456796","5.253770498580981","-12.599674176415716","45542389","52008763","-12.433239375449094","-"
"108/11/25","104/7","1213","大飲","食品工業","102021","73269","103223","39.24169839905007","-1.1644691590052605","448555","427518","4.920728483946875","-"
"108/11/25","104/7","1215","卜蜂","食品工業","1444896","1349534","1487997","7.066291030829901","-2.896578420521009","9382846","9955618","-5.753254092312502","-"
"108/11/25","104/7","1216","統一","食品工業","36452231","36605427","37295825","-0.41850625045297246","-2.2618992876548516","246425465","248929006","-1.0057249013399427","2015年起合資公司自比例合併法改採以權益法投資認列，為求兩期比較基礎一致，故同步調整去年同期公告之影響數。"
"108/11/25","104/7","1217","愛之味","食品工業","601653","466578","592324","28.95014338438589","1.574982610868376","2763742","2546824","8.517196319808514","-"
"108/11/25","104/7","1218","泰山","食品工業","831275","707024","941679","17.57380230374075","-11.724165028635023","4772441","5398707","-11.600296144984345","-"
"108/11/25","104/7","1219","福壽","食品工業","875546","841818","930389","4.00656674007921","-5.894631170402917","5507058","5987302","-8.021041864933487","-"
"108/11/25","104/7","1220","台榮","食品工業","301623","265932","344068","13.421100130860522","-12.336224234744295","1902356","1904649","-0.12038963609567957","-"
"108/11/25","104/7","1225","福懋油","食品工業","1004967","933214","1043879","7.688804497146421","-3.727635099470341","6345246","7091811","-10.527141797772106","-"
"108/11/25","104/7","1227","佳格","食品工業","1854576","1971908","1867907","-5.950176174547697","-0.7136864950985247","14230991","11795741","20.64516336871079","-"
"108/11/25","104/7","1229","聯華","食品工業","462339","436366","461606","5.95211359271804","0.15879342989475873","3024583","3039242","-0.4823242111026368","-"
"108/11/25","104/7","1231","聯華食","食品工業","626209","540227","650409","15.9159020189661","-3.720735721676668","3768277","3320404","13.48850922959977","-"
"108/11/25","104/7","1232","大統益","食品工業","1518587","1379681","1818232","10.067979482213643","-16.48002015144382","10459787","12748072","-17.95004766210922","-"
"108/11/25","104/7","1233","天仁","食品工業","167480","156402","168328","7.083029628777125","-0.5037783375314862","1233319","1241612","-0.6679220239495108","-"
"108/11/25","104/7","1234","黑松","食品工業","717998","611734","733160","17.370948811084556","-2.0680342626438977","3579928","3437658","4.138573412480241","-"
"108/11/25","104/7","1235","興泰","食品工業","11281","10682","10411","5.607564126568058","8.356545961002785","60174","111320","-45.94502335609055","-"
"108/11/25","104/7","1236","宏亞","食品工業","165934","124304","179418","33.49047496460291","-7.515410939816518","1284700","1311581","-2.049511238726392","-"
"108/11/25","104/7","1256","鮮活果汁-KY","食品工業","231460","227120","219298","1.9108841141246917","5.545878211383597","1418695","1258870","12.695909823889679","-"
"108/11/25","104/7","1301","台塑","塑膠工業","15886838","16177168","19948042","-1.7946898987511288","-20.358910413362874","114591315","130966893","-12.503601196372582","-"
"108/11/25","104/7","1303","南亞","塑膠工業","24451220","26187624","29625737","-6.630628269292395","-17.466289530619946","186000821","190314718","-2.266717490551624","-"
"108/11/25","104/7","1304","台聚","塑膠工業","4233207","4463759","5489302","-5.164974184314162","-22.882599645638006","31387362","35557013","-11.726662754264538","-"
"108/11/25","104/7","1305","華夏","塑膠工業","1021597","1186984","1172871","-13.933380736387349","-12.897752608769421","8367565","8879247","-5.762673343809447","-"
"108/11/25","104/7","1307","三芳","塑膠工業","907332","794811","871266","14.156950520312376","4.139493564537122","6432806","6399185","0.5253950307734501","-"
"108/11/25","104/7","1308","亞聚","塑膠工業","387570","349319","512931","10.95016303149843","-24.440129374126343","2875053","3425065","-16.058439766836543","-"
"108/11/25","104/7","1309","台達化","塑膠工業","1485593","1582191","1960440","-6.1053311515487065","-24.22145028667034","10586925","12045856","-12.111476345060078","-"
"108/11/25","104/7","1310","台苯","塑膠工業","1264506","1387482","1672940","-8.863250117839367","-24.41414515762669","7732648","11772852","-34.317971550139255","-"
"108/11/25","104/7","1312","國喬","塑膠工業","1839707","1972823","2190379","-6.747488244003644","-16.00964947162112","12865471","14512217","-11.347308271368876","-"
"108/11/25","104/7","1313","聯成","塑膠工業","3479901","3672396","4040501","-5.241673283600135","-13.874517046277182","26199368","31280839","-16.244676173807232","-"
"108/11/25","104/7","1314","中石化","塑膠工業","2524528","2703880","2909904","-6.63313460656538","-13.24359841424322","17575961","20060469","-12.38509428667894","-"
