出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"108/11/24","102/11","1101","台泥","水泥工業","11201088","10654077","9647059","5.134288028892602","16.108836900448104","104740635","103838494","0.8687924537888617","-"
"108/11/24","102/11","1102","亞泥","水泥工業","6884975","6478670","5982277","6.271426079735502","15.089538648912447","63094013","58041849","8.704347099624618","-"
"108/11/24","102/11","1103","嘉泥","水泥工業","509527","429783","309917","18.554479818885344","64.4075671873437","3676730","3738851","-1.6614997495219788","本月較去年同期增加主係本月認列營建收入及大陸水泥銷貨收入增加所致"
"108/11/24","102/11","1104","環泥","水泥工業","477826","521445","436422","-8.365024115678548","9.487147760653679","4759912","4380366","8.664709752564056","-"
"108/11/24","102/11","1108","幸福","水泥工業","456920","450770","360542","1.3643321427779134","26.731421027231224","4428941","3788838","16.89444098692","-"
"108/11/24","102/11","1109","信大","水泥工業","554767","536767","349295","3.3534103251503913","58.82477561946206","4003503","3283109","21.94243322411775","本月營收增加,係因大陸子公司銷售水泥數量增加。"
"108/11/24","102/11","1110","東泥","水泥工業","182625","188902","171274","-3.3228869996082624","6.627392365449514","1820400","1469448","23.883254119914415","-"
"108/11/24","102/11","1201","味全","食品工業","2203239","2448759","2082391","-10.026303119253466","5.803328961755981","27370058","24602338","11.249825118246893","-"
"108/11/24","102/11","1203","味王","食品工業","462318","408637","461559","13.136598007522569","0.16444268230063763","5557132","5612085","-0.9791904434804534","-"
"108/11/24","102/11","1210","大成","食品工業","8425620","7951762","7753764","5.959157228297326","8.664901330502191","81716296","79673843","2.5635176151851993","-"
"108/11/24","102/11","1213","大飲","食品工業","40698","42159","42840","-3.4654522166085533","-5.0","674489","682404","-1.1598701062713583","-"
"108/11/24","102/11","1215","卜蜂","食品工業","1467616","1608977","1485881","-8.785768845670262","-1.2292370654177556","16481385","16200906","1.7312550298112956","-"
"108/11/24","102/11","1216","統一","食品工業","30990399","34184673","31152863","-9.34417011974928","-0.5215058404102377","390628136","373550169","4.571800100028867","-"
"108/11/24","102/11","1217","愛之味","食品工業","209140","261488","258348","-20.01927430704277","-19.047176676420953","4040993","4020444","0.5111127029750943","-"
"108/11/24","102/11","1218","泰山","食品工業","612937","731209","810809","-16.17485561583624","-24.404267836198166","8609228","9520431","-9.571026773892905","-"
"108/11/24","102/11","1219","福壽","食品工業","893732","1063170","915120","-15.937056162231816","-2.3371798234111374","9687603","9569195","1.2373872619379165","-"
"108/11/24","102/11","1220","台榮","食品工業","261494","282160","256311","-7.324213212361781","2.022152775339334","3100133","3370338","-8.017148428436554","-"
"108/11/24","102/11","1225","福懋油","食品工業","1138165","1292061","1422150","-11.910892751967593","-19.968709348521603","13052808","13470782","-3.1028191236410776","-"
"108/11/24","102/11","1227","佳格","食品工業","1699424","1467373","1508344","15.814043191472107","12.668197705563188","18257658","16074132","13.584098973431349","-"
"108/11/24","102/11","1229","聯華","食品工業","507189","466870","457446","8.636022875746995","10.874070382077885","4898838","4712553","3.952952889866703","-"
"108/11/24","102/11","1231","聯華食","食品工業","368775","365007","387927","1.0323089694170249","-4.9370113449179875","4752937","4653857","2.128986773766362","-"
"108/11/24","102/11","1232","大統益","食品工業","1753388","1778606","1688446","-1.4178519582189648","3.8462586307172395","18232286","17477362","4.319439054932889","-"
"108/11/24","102/11","1233","天仁","食品工業","181869","160922","171754","13.016865313630205","5.88923693189096","1871585","1865423","0.33032722336971293","-"
"108/11/24","102/11","1234","黑松","食品工業","321870","535119","498783","-39.85076216691988","-35.46893137897643","6178794","6307034","-2.0332853762957357","-"
"108/11/24","102/11","1235","興泰","食品工業","20596","21492","24656","-4.1689931137167315","-16.46658014276444","231936","298461","-22.289344336445968","-"
"108/11/24","102/11","1236","宏亞","食品工業","237069","220710","274172","7.411988582302569","-13.532745867557592","2318087","2074997","11.715197660526739","-"
"108/11/24","102/11","1256","鮮活果汁-KY","食品工業","114480","114506","84646","-0.022706233734476795","35.24561113342627","1598164","1208661","32.225992234381685","-"
"108/11/24","102/11","1301","台塑","塑膠工業","18507323","17556100","17255770","5.418190828259124","7.252953649706736","195542431","181414055","7.787916983609676","-"
"108/11/24","102/11","1303","南亞","塑膠工業","26401702","26526215","22317782","-0.46939602955039006","18.29895103375416","283470922","275534164","2.8804986956172884","-"
"108/11/24","102/11","1304","台聚","塑膠工業","5016844","5102128","4618697","-1.6715378367614455","8.620331664969578","53718201","50943071","5.447512184728714","-"
"108/11/24","102/11","1305","華夏","塑膠工業","1134886","1187528","1322692","-4.432906003058454","-14.198770386454292","13039204","12968380","0.5461283521920239","-"
"108/11/24","102/11","1307","三芳","塑膠工業","886708","984710","874612","-9.952371764275776","1.3830132675975175","9713622","9765722","-0.533498700864104","-"
"108/11/24","102/11","1308","亞聚","塑膠工業","563171","581679","302902","-3.1818236518767224","85.92515070881011","5270038","4399151","19.7967062280881","-"
"108/11/24","102/11","1309","台達化","塑膠工業","1792910","1829005","1602661","-1.9734773825112562","11.870819842749029","19727157","17121178","15.220792634712401","-"
"108/11/24","102/11","1310","台苯","塑膠工業","1818478","2050356","1644868","-11.309158019387853","10.554646330283038","19809019","17364110","14.08024367502855","-"
"108/11/24","102/11","1312","國喬","塑膠工業","2182966","2245847","1641988","-2.799879065670992","32.946525796778054","24066683","21062550","14.262912135520153","-"
"108/11/24","102/11","1313","聯成","塑膠工業","4828947","4075495","4097791","18.48737392635741","17.842686462047478","47129256","45356550","3.908379274878711","-"
"108/11/24","102/11","1314","中石化","塑膠工業","2840644","2964454","2647131","-4.176485787939364","7.310291783821806","32189608","35346635","-8.93161965771282","-"
"108/11/24","102/11","1315","達新","塑膠工業","240559","269553","188124","-10.756326214139705","27.87257340902809","3171868","3265047","-2.8538333445123456","-"
"108/11/24","102/11","1316","上曜","建材營造","93629","107281","117307","-12.725459307799145","-20.184643712651418","1188269","1452347","-18.18284473338672","-"
"108/11/24","102/11","1319","東陽","汽車工業","1759695","1718070","1491924","2.4227767203897397","17.94803220539384","17754382","15512313","14.453479632598956","-"
"108/11/24","102/11","1321","大洋","塑膠工業","536169","432027","477145","24.105437854578533","12.370243846210272","5341156","4986097","7.120980598652613","-"
"108/11/24","102/11","1323","永裕","塑膠工業","278173","278022","270426","0.05431224867096848","2.864739337193909","3001030","2802600","7.080211232427032","-"
"108/11/24","102/11","1324","地球","塑膠工業","116700","134001","121534","-12.911097678375535","-3.9774877811970315","1338684","1254103","6.744342370602734","-"
"108/11/24","102/11","1325","恆大","塑膠工業","101338","95389","88818","6.236568157754038","14.096241752797857","975859","950579","2.659431777895367","-"
"108/11/24","102/11","1326","台化","塑膠工業","35919915","35616621","31487920","0.8515518639457684","14.075223133188855","390249346","356435063","9.486800404930982","-"
"108/11/24","102/11","1337","再生-KY","塑膠工業","904907","677736","503363","33.519098882160606","79.77225183416341","6098539","5444994","12.002676219661582","-"
"108/11/24","102/11","1338","廣華-KY","汽車工業","791330","670675","351041","17.99008461624483","125.4238108938842","6525677","4898994","33.204429317529275","匯率採2013/11/29日兆豐銀行現金買賣平均價"
"108/11/24","102/11","1339","昭輝","汽車工業","115035","107365","117913","7.143855073813627","-2.4407826109080424","1101627","1047019","5.215569153950406","-"
"108/11/24","102/11","1340","勝悅-KY","塑膠工業","239042","0","188322","","26.93259417380869","2387344","1853211","28.82202836050509","-"
"108/11/24","102/11","1402","遠東新","紡織纖維","18997488","19735696","18815611","-3.7404710733282474","0.9666281897515845","217753583","216186709","0.7247781361064153","無"
"108/11/24","102/11","1409","新纖","紡織纖維","3172696","3322194","2914453","-4.499978026569189","8.860770786147521","38570594","38382150","0.4909678066497057","-"
"108/11/24","102/11","1410","南染","紡織纖維","48391","46579","46499","3.8901650958586487","4.068904707628121","548353","612386","-10.456313501614995","-"
"108/11/24","102/11","1413","宏洲","紡織纖維","353168","379067","365683","-6.832301413734248","-3.422363084967034","4288402","3638745","17.853875443319055","-"
"108/11/24","102/11","1414","東和","紡織纖維","107064","85834","96776","24.733788475429318","10.630734892948665","1251245","1317171","-5.0051208233403255","-"
"108/11/24","102/11","1416","廣豐","紡織纖維","12571","34326","24633","-63.377614636135874","-48.96683311005562","314973","1803331","-82.53382213248705","-"
"108/11/24","102/11","1417","嘉裕","紡織纖維","311867","307695","242216","1.3558881359788102","28.755738679525713","3010260","2902295","3.7199871136462694","-"
"108/11/24","102/11","1418","東華","紡織纖維","224790","306146","98382","-26.574248887785565","128.4869183387205","1996338","2063834","-3.2704180665693072","-"
"108/11/24","102/11","1419","新紡","紡織纖維","98202","109113","119679","-9.999725055676226","-17.94550422379866","924853","876646","5.499026973259445","-"
"108/11/24","102/11","1423","利華","紡織纖維","48767","52170","75531","-6.522905884608012","-35.4344573751175","771531","973243","-20.725759137235","-"
"108/11/24","102/11","1432","大魯閣","貿易百貨","51410","38245","39207","34.422800366060926","31.12454408651516","876401","853101","2.73121236524163","-"
"108/11/24","102/11","1434","福懋","紡織纖維","3669062","3899104","3804252","-5.899868277429891","-3.5536552257842016","43512327","46679362","-6.784657853721308","-"
"108/11/24","102/11","1435","中福","其他","2054","2009","1922","2.2399203583872573","6.867845993756504","21609","21300","1.4507042253521127","-"
"108/11/24","102/11","1436","華友聯","建材營造","181","198","230","-8.585858585858587","-21.304347826086957","2252","2687","-16.189058429475253","-"
"108/11/24","102/11","1437","勤益控","其他","113126","124280","127737","-8.97489539748954","-11.438345976498587","1256319","1511861","-16.90247979146231","-"
"108/11/24","102/11","1438","裕豐","建材營造","0","11686","188","-100.0","-100.0","60914","18873","222.75737826524664","-"
"108/11/24","102/11","1439","中和","紡織纖維","19482","34103","57963","-42.87306102102454","-66.38890326587651","393768","687231","-42.70223549286921","-"
"108/11/24","102/11","1440","南紡","紡織纖維","1701143","1846262","1813369","-7.860152026093805","-6.188812095056218","19910883","20026765","-0.5786356408536276","-"
"108/11/24","102/11","1441","大東","紡織纖維","99026","113863","138019","-13.03057182754714","-28.251907346090032","1197831","1469033","-18.461259890009277","-"
