出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"108/11/26","107/11","1101","台泥","水泥工業","11784150","11753303","9985897","0.2624538821129686","18.007926578854157","113194808","87325356","29.624215903568718","-"
"108/11/26","107/11","1102","亞泥","水泥工業","7626297","7657714","6639248","-0.41026604023080515","14.866879502015891","76199623","57828557","31.76815565361591","-"
"108/11/26","107/11","1103","嘉泥","水泥工業","183786","178401","181868","3.018480838111894","1.0546110365759782","1857394","1914494","-2.9825113058594073","-"
"108/11/26","107/11","1104","環泥","水泥工業","421815","457241","381565","-7.7477741497372286","10.54866143383172","4315498","4005579","7.737183563225192","-"
"108/11/26","107/11","1108","幸福","水泥工業","269955","300242","258913","-10.087529392956348","4.264753025147443","3030620","3111700","-2.605649644888646","-"
"108/11/26","107/11","1109","信大","水泥工業","546290","729870","673172","-25.15242440434598","-18.84837753204233","5993178","4794176","25.009553257952984","-"
"108/11/26","107/11","1110","東泥","水泥工業","138622","177767","183382","-22.020397486597624","-24.408066222420956","1492553","1495201","-0.17709993505889843","-"
"108/11/26","107/11","1201","味全","食品工業","1633866","1772387","1642814","-7.815505304428434","-0.5446751732088965","17905542","16371979","9.366998332944355","-"
"108/11/26","107/11","1203","味王","食品工業","506912","515554","493888","-1.6762550576661224","2.6370351172735518","5554978","5651822","-1.7135005313330816","-"
"108/11/26","107/11","1210","大成","食品工業","6735632","6123232","6490644","10.001254239591118","3.7744790809663877","66405448","69341688","-4.234451287081445","-"
"108/11/26","107/11","1213","大飲","食品工業","26745","36069","32994","-25.850453297845796","-18.939807237679577","564461","611375","-7.673522796974034","-"
"108/11/26","107/11","1215","卜蜂","食品工業","1765886","1871127","1699007","-5.624471241129009","3.936358119772314","19444072","18148130","7.140912038871223","-"
"108/11/26","107/11","1216","統一","食品工業","33229601","35398601","31140541","-6.1273607959817395","6.7084897465333055","398887399","369297465","8.01249312664521","-"
"108/11/26","107/11","1217","愛之味","食品工業","269672","244422","253185","10.33049398172014","6.5118391689871045","4052940","3887061","4.267465830868103","-"
"108/11/26","107/11","1218","泰山","食品工業","635927","637382","546892","-0.22827754784414997","16.280179633273114","7443836","7113767","4.639862396392798","-"
"108/11/26","107/11","1219","福壽","食品工業","996487","1019854","917403","-2.291210310495424","8.620420905534427","10730526","9846105","8.982445342599942","-"
"108/11/26","107/11","1220","台榮","食品工業","280415","250718","253547","11.844781786708573","10.596851865729036","2473719","2141129","15.533393831011583","-"
"108/11/26","107/11","1225","福懋油","食品工業","1029697","932581","950447","10.413679884106582","8.338181929134397","10307143","9795240","5.2260383614898664","-"
"108/11/26","107/11","1227","佳格","食品工業","2519735","1904523","2291703","32.302681563835144","9.950329514775692","23918530","23757252","0.6788579756614949","-"
"108/11/26","107/11","1229","聯華","食品工業","452166","427306","410026","5.817844823147815","10.27739704311434","4645490","4359094","6.570080847075103","2018年起本公司遵循IFRS15揭露合併營收，同時將去年同期重分類表達。"
"108/11/26","107/11","1231","聯華食","食品工業","675148","654976","557274","3.079807504397108","21.151892964681647","7323676","6445818","13.619031750508624","-"
"108/11/26","107/11","1232","大統益","食品工業","1466021","1463517","1405095","0.17109469859250012","4.336076920065903","15485475","15464245","0.13728442610680314","-"
"108/11/26","107/11","1233","天仁","食品工業","191187","159372","189012","19.962728710187484","1.1507205891689416","2013225","1961920","2.615040368618496","-"
"108/11/26","107/11","1234","黑松","食品工業","718541","714538","691728","0.5602221295438451","3.876234589318345","8436774","8491675","-0.6465273341243041","-"
"108/11/26","107/11","1235","興泰","食品工業","2042","3281","4264","-37.76287717159403","-52.110694183864915","55354","73151","-24.329127421361292","水產飼料銷售較去年同期減少"
"108/11/26","107/11","1236","宏亞","食品工業","153437","152475","165377","0.630923102147893","-7.219867333426051","1716628","1611032","6.554556334076542","-"
"108/11/26","107/11","1256","鮮活果汁-KY","食品工業","161680","156701","151745","3.1773887850109443","6.547167946225576","2982396","2728882","9.290031595356632","-"
"108/11/26","107/11","1301","台塑","塑膠工業","18533274","19685549","18616550","-5.853405460015365","-0.4473224093615627","212236404","188839533","12.389816172654907","-"
"108/11/26","107/11","1303","南亞","塑膠工業","25374298","27512745","27390672","-7.772568676807785","-7.3615353431270325","308248945","278096447","10.842460709323625","-"
"108/11/26","107/11","1304","台聚","塑膠工業","5089877","5189645","5204398","-1.9224436353546341","-2.200465836778817","55917782","52812888","5.879046038913835","-"
"108/11/26","107/11","1305","華夏","塑膠工業","1324029","1298161","1184875","1.9926650084234545","11.744192425361325","13920819","13202953","5.43716242873848","-"
"108/11/26","107/11","1307","三芳","塑膠工業","836558","891249","712095","-6.136444472868974","17.478426333565043","8795200","9147472","-3.851031192005835","-"
"108/11/26","107/11","1308","亞聚","塑膠工業","657106","607727","548296","8.125194371814976","19.84512015407736","5753748","5929311","-2.960934246829016","-"
"108/11/26","107/11","1309","台達化","塑膠工業","1648171","1735529","1907532","-5.033508515271136","-13.59667884994852","19968122","17979639","11.059638071709893","-"
"108/11/26","107/11","1310","台苯","塑膠工業","1114760","1204873","1266319","-7.479045509360738","-11.968469240373082","14301040","13444170","6.37354332770264","-"
"108/11/26","107/11","1312","國喬","塑膠工業","1600655","2167307","2117330","-26.145442246991312","-24.40219521756174","22796768","21218097","7.440210118749103","-"
"108/11/26","107/11","1313","聯成","塑膠工業","5636577","5506316","5034585","2.3656651743198176","11.957132514397909","54964460","45431271","20.983760282647605","-"
"108/11/26","107/11","1314","中石化","塑膠工業","2938635","3303111","3017720","-11.034324913694999","-2.6206871412854738","36152499","29949184","20.71280139051535","-"
"108/11/26","107/11","1315","達新","塑膠工業","209410","209035","205141","0.17939579496256608","2.0810076971448908","2328727","2455016","-5.144121260309505","-"
"108/11/26","107/11","1316","上曜","建材營造","45708","43392","401629","5.337389380530974","-88.61934770646542","1476556","1245951","18.508352254623176","本月減少房地收入"
"108/11/26","107/11","1319","東陽","汽車工業","1960424","1847980","2326706","6.084697886340761","-15.742513235449602","21254384","22335674","-4.841089639829091","-"
"108/11/26","107/11","1321","大洋","塑膠工業","418121","382296","384162","9.371010944399105","8.839760309452783","4329116","4033806","7.320877602938763","-"
"108/11/26","107/11","1323","永裕","塑膠工業","343015","335441","287147","2.25792315191047","19.456236701062522","3464408","2943416","17.700250321395277","-"
"108/11/26","107/11","1324","地球","塑膠工業","100342","96976","105613","3.470961887477314","-4.99086286726066","1044783","1107611","-5.672388591301459","-"
"108/11/26","107/11","1325","恆大","塑膠工業","88320","74151","65771","19.108306024193876","34.28410697723921","825810","797219","3.5863420214520727","-"
"108/11/26","107/11","1326","台化","塑膠工業","33592042","36070001","31575535","-6.8698611901895985","6.386295592457895","375950858","322886611","16.434328706184722","-"
"108/11/26","107/11","1337","再生-KY","塑膠工業","143367","129167","372938","10.993520016722538","-61.55741705055532","1324786","4236957","-68.73260691576526","因中國禁止國際廢塑進口致公司因外購料質不佳而產生大量瑕疵貨品並折價出售。未免品質不佳影響信譽，業務方面減少接單及生產所致"
"108/11/26","107/11","1338","廣華-KY","汽車工業","807588","709096","772875","13.88979771427282","4.491411935953421","7492452","7215476","3.8386379498733003","-"
"108/11/26","107/11","1339","昭輝","汽車工業","274397","229018","290446","19.814599725785747","-5.525639877980761","2596971","2565237","1.2370786792799262","-"
"108/11/26","107/11","1340","勝悅-KY","塑膠工業","94480","105775","271098","-10.678326636728906","-65.149134261411","1941499","3103012","-37.43179207814858","近月持續受中美貿易爭端影響，外銷訂單銳減，加上中國大陸經濟低迷及市場競爭激烈，知名運動品牌大幅壓低價格，致公司營收下滑。"
"108/11/26","107/11","1341","富林-KY","塑膠工業","250848","282806","223783","-11.300326018542746","12.094305644307209","2667859","2560644","4.187032637102229","-"
"108/11/26","107/11","1402","遠東新","紡織纖維","20407968","20682552","19453831","-1.3276117956816935","4.904622642193201","208276904","197623437","5.390791275429543","-"
"108/11/26","107/11","1409","新纖","紡織纖維","3448039","3617635","3244104","-4.688035138978918","6.286327442030219","39339783","33584701","17.136022738448677","-"
"108/11/26","107/11","1410","南染","紡織纖維","40088","43931","45141","-8.747809064214335","-11.193814935424559","471487","492851","-4.334778665357279","-"
"108/11/26","107/11","1413","宏洲","紡織纖維","298537","343989","252670","-13.213213213213214","18.152926742391262","3359602","2847489","17.98472268022809","-"
"108/11/26","107/11","1414","東和","紡織纖維","79492","93731","85131","-15.191345446010391","-6.623909034311826","917858","719924","27.49373544985304","-"
"108/11/26","107/11","1416","廣豐","紡織纖維","18174","19381","32485","-6.22774882616996","-44.05417885177774","250195","2214286","-88.70087242569389","去年累計1-11月子公司寶豐預售案(廣豐公園NO.3)完工交屋戶及餘屋合計1,849,607仟元，今年累計餘屋出售建案收入28,710仟元"
"108/11/26","107/11","1417","嘉裕","紡織纖維","137675","137527","156052","0.10761523191809608","-11.776202804193474","1348036","1885938","-28.521722347182145","-"
"108/11/26","107/11","1418","東華","紡織纖維","20268","40738","178787","-50.24792576955177","-88.66360529568705","635604","1614652","-60.63523285512915","因本公司生產線調整，改以特殊品種為主的接單方式。"
"108/11/26","107/11","1419","新紡","紡織纖維","178926","162612","160351","10.032469928418568","11.583962681866655","1473842","1331031","10.729351908407843","-"
"108/11/26","107/11","1423","利華","紡織纖維","74239","54597","95680","35.97633569610052","-22.409071906354516","723590","588832","22.88564480191294","-"
"108/11/26","107/11","1432","大魯閣","貿易百貨","58929","65272","78278","-9.717796298566","-24.718311658448094","935656","1108742","-15.611025829273176","-"
"108/11/26","107/11","1434","福懋","紡織纖維","3565075","3625792","3240401","-1.6745858560005649","10.01956239366671","40995245","37384484","9.658448141212808","-"
"108/11/26","107/11","1435","中福","其他","2551","2209","2997","15.482118605703938","-14.881548214881548","28124","31869","-11.751231604380433","-"
"108/11/26","107/11","1436","華友聯","建材營造","392082","408461","316593","-4.009929956593163","23.8441784878377","2464633","1938771","27.123471518812693","-"
