出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"108/11/25","103/6","1101","台泥","水泥工業","9677933","10625467","9517630","-8.917575105169496","1.6842743414064216","58589684","53113464","10.310417712540835","-"
"108/11/25","103/6","1102","亞泥","水泥工業","6899620","7588325","5952754","-9.075850072315037","15.906351917112652","37491835","32122503","16.715173160696725","-"
"108/11/25","103/6","1103","嘉泥","水泥工業","222444","281325","303342","-20.929885363902958","-26.66890836086002","1908902","1792335","6.5036391076444975","本月營收較去年同期減少，主係大陸子公司季節性因素停產檢修等影響"
"108/11/25","103/6","1104","環泥","水泥工業","479702","477012","415968","0.5639271129447477","15.321851680898531","2835547","2465349","15.016048437766823","-"
"108/11/25","103/6","1108","幸福","水泥工業","412580","408903","368109","0.8992352709566817","12.08093254986974","2495554","2315202","7.789903429592752","-"
"108/11/25","103/6","1109","信大","水泥工業","453047","546713","296767","-17.13257230027455","52.66084167040136","2685148","1926412","39.385967280104154","本月營收增加係因大陸子公司銷售水泥數量增加。"
"108/11/25","103/6","1110","東泥","水泥工業","161089","169148","155070","-4.764466620947336","3.881472883214032","1004310","947877","5.95362056469352","-"
"108/11/25","103/6","1201","味全","食品工業","2444614","2500175","2506333","-2.2222844400891937","-2.4625219394230533","14007179","14430055","-2.9305224408361576","-"
"108/11/25","103/6","1203","味王","食品工業","527696","505641","540437","4.361790282038047","-2.3575365861330737","3002076","3093694","-2.9614435041086806","-"
"108/11/25","103/6","1210","大成","食品工業","6985580","7742388","7146366","-9.774865325788374","-2.2498987597332687","44551968","42205747","5.559008350213539","-"
"108/11/25","103/6","1213","大飲","食品工業","66057","49003","65337","34.801950900965245","1.1019789705679783","324295","334031","-2.9146995338755985","-"
"108/11/25","103/6","1215","卜蜂","食品工業","1406194","1474185","1441950","-4.612107706970292","-2.4796976316793233","8467621","8584079","-1.3566743735699542","-"
"108/11/25","103/6","1216","統一","食品工業","36462432","34996778","35659394","4.187968389547175","2.2519676021415282","214697741","210952522","1.7753847948781574","-"
"108/11/25","103/6","1217","愛之味","食品工業","442173","359451","433712","23.01342881227205","1.9508337329841001","1954500","2016712","-3.084823217197101","-"
"108/11/25","103/6","1218","泰山","食品工業","795129","842476","769454","-5.61998205290121","3.336781665960538","4457028","4821449","-7.558329456559636","-"
"108/11/25","103/6","1219","福壽","食品工業","782352","880194","905491","-11.115958527324658","-13.599141239393877","5056913","5006141","1.0141943664790904","-"
"108/11/25","103/6","1220","台榮","食品工業","293762","261195","257514","12.46846225999732","14.076127899842339","1560581","1640295","-4.859735596340902","-"
"108/11/25","103/6","1225","福懋油","食品工業","974147","1070398","1313996","-8.99207584468581","-25.863777363096997","6047932","7146566","-15.372893778634381","-"
"108/11/25","103/6","1227","佳格","食品工業","1615286","1528325","1497189","5.689954688956864","7.887915286580385","9927834","9517658","4.309631634168826","-"
"108/11/25","103/6","1229","聯華","食品工業","412791","456171","423999","-9.509591797812663","-2.6434024608548605","2577636","2581043","-0.13200090041119036","-"
"108/11/25","103/6","1231","聯華食","食品工業","528554","456035","400255","15.902068920148674","32.05431537394911","2669995","2654544","0.5820585381142674","-"
"108/11/25","103/6","1232","大統益","食品工業","1674583","1857562","1454264","-9.850492204297892","15.149862748441823","10929840","9864363","10.801275257206168","-"
"108/11/25","103/6","1233","天仁","食品工業","168795","186003","149943","-9.25146368606958","12.572777655509093","1073284","999964","7.332263961502614","-"
"108/11/25","103/6","1234","黑松","食品工業","526549","489293","599509","7.614251583407079","-12.169959083183072","2704498","3193607","-15.31525325439229","-"
"108/11/25","103/6","1235","興泰","食品工業","34327","14153","22263","142.54221719776726","54.18856398508736","100890","129815","-22.281708585294457","-"
"108/11/25","103/6","1236","宏亞","食品工業","146972","163176","148599","-9.930381918909644","-1.0948929669782435","1132163","1206663","-6.174051910102489","-"
