出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"108/11/25","103/9","1101","台泥","水泥工業","9816025","9951133","10060975","-1.3577147446426452","-2.4346546930093753","88684641","82885470","6.996607487416069","-"
"108/11/25","103/9","1102","亞泥","水泥工業","6506670","6631880","5879394","-1.8880015923086666","10.669058749932391","57278328","49730368","15.177768240122413","-"
"108/11/25","103/9","1103","嘉泥","水泥工業","337047","325227","314563","3.6343845990646533","7.147693784710853","2817911","2737420","2.9403964316765423","-"
"108/11/25","103/9","1104","環泥","水泥工業","463181","452066","448691","2.458711781023125","3.2293939481736875","4242326","3760641","12.808587684918608","-"
"108/11/25","103/9","1108","幸福","水泥工業","407238","415985","387362","-2.102720050001803","5.131117662548211","3732237","3521251","5.991790985646863","-"
"108/11/25","103/9","1109","信大","水泥工業","357704","228122","367941","56.80381550223126","-2.7822395438399092","3629205","2911969","24.630619350686768","-"
"108/11/25","103/9","1110","東泥","水泥工業","180353","139921","161952","28.896305772543077","11.362008496344595","1485757","1448873","2.5457027634582188","-"
"108/11/25","103/9","1201","味全","食品工業","2422226","2598207","2642063","-6.773170882843438","-8.32065700174447","21856195","22718060","-3.7937438319997394","-"
"108/11/25","103/9","1203","味王","食品工業","311388","601374","521744","-48.22057488351675","-40.317857033334356","4575760","4686177","-2.356227688369432","-"
"108/11/25","103/9","1210","大成","食品工業","7975042","7704769","8121104","3.507866361729988","-1.7985485717212832","67688575","65318453","3.628564197624215","-"
"108/11/25","103/9","1213","大飲","食品工業","57141","83195","58460","-31.316785864535127","-2.2562435853575096","567854","591632","-4.0190523839143255","-"
"108/11/25","103/9","1215","卜蜂","食品工業","1509859","1543281","1667967","-2.1656457897168435","-9.479084418336814","13008758","13404793","-2.9544283153048316","-"
"108/11/25","103/9","1216","統一","食品工業","36661811","38157609","35846642","-3.9200516992561036","2.274045641429956","327395425","325453064","0.5968175490890447","-"
"108/11/25","103/9","1217","愛之味","食品工業","425251","537737","415275","-20.918404350081918","2.4022635602913733","3509812","3570365","-1.6959890655437189","-"
"108/11/25","103/9","1218","泰山","食品工業","820713","885963","767613","-7.364867381594943","6.917548295820941","7105383","7265082","-2.198172023385283","-"
"108/11/25","103/9","1219","福壽","食品工業","906692","908118","872071","-0.15702805142063037","3.969974921766691","7802112","7730702","0.9237194759285767","-"
"108/11/25","103/9","1220","台榮","食品工業","298897","298197","286383","0.2347441456486819","4.369672780856406","2501743","2556479","-2.141069807340487","-"
"108/11/25","103/9","1225","福懋油","食品工業","1007374","1051380","1069826","-4.185546614925146","-5.8375848035101034","9150565","10622582","-13.857431272359205","-"
