出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"108/11/25","105/4","1101","台泥","水泥工業","7255945","7523593","8468346","-3.55744921342768","-14.316857152506522","24987181","29908489","-16.45455241821143","-"
"108/11/25","105/4","1102","亞泥","水泥工業","5557712","5338549","5767824","4.10529153146295","-3.6428296009032177","18557500","21173414","-12.354710487406518","-"
"108/11/25","105/4","1103","嘉泥","水泥工業","200905","200449","273126","0.22748928655169146","-26.442374581694896","742231","944449","-21.41121436943657","-"
"108/11/25","105/4","1104","環泥","水泥工業","427717","434381","447811","-1.5341370824230343","-4.487160878138321","1533521","1775209","-13.614622278278219","-"
"108/11/25","105/4","1108","幸福","水泥工業","383656","392746","432670","-2.3144729672612834","-11.328264034945802","1374020","1724558","-20.32625171203288","-"
"108/11/25","105/4","1109","信大","水泥工業","410873","400065","374165","2.701560996338095","9.810645036280786","1286872","1325954","-2.9474627324929825","-"
"108/11/25","105/4","1110","東泥","水泥工業","146295","143256","167054","2.121377115094656","-12.426520765740419","529965","642487","-17.51350610985125","-"
"108/11/25","105/4","1201","味全","食品工業","1325001","1241896","1747838","6.691784175164426","-24.192001775908295","4664623","6449492","-27.674567237233568","-"
"108/11/25","105/4","1203","味王","食品工業","518779","511693","538441","1.3848147228904832","-3.6516535702147497","2064263","2198535","-6.107339660273773","-"
"108/11/25","105/4","1210","大成","食品工業","5717685","6301420","6503540","-9.26354694656125","-12.083496065219865","23751994","26714352","-11.089013126726787","-"
"108/11/25","105/4","1213","大飲","食品工業","43296","35874","44865","20.689078441210906","-3.4971581410899364","195754","227591","-13.988690238190438","-"
"108/11/25","105/4","1215","卜蜂","食品工業","1349991","1560252","1273970","-13.476092323547734","5.967251976106188","5605515","5282434","6.116138885975669","-"
"108/11/25","105/4","1216","統一","食品工業","33807543","35787584","33626211","-5.5327596297084485","0.5392579021168933","140520301","138564584","1.411411879964941","-"
"108/11/25","105/4","1217","愛之味","食品工業","278133","265688","323942","4.684065520460089","-14.141111680486013","1184948","1336188","-11.318766520878798","愛之味104年9月17日喪失對第一生技(股)公司控制權，104年9月17日起該公司營收不納入愛之味合併營收。"
"108/11/25","105/4","1218","泰山","食品工業","628759","595418","576355","5.599595578232435","9.092312897433006","2454578","2564454","-4.284576755909835","-"
"108/11/25","105/4","1219","福壽","食品工業","872985","864594","757601","0.9705133276428012","15.230180530384727","3493626","3072353","13.711738201957912","-"
"108/11/25","105/4","1220","台榮","食品工業","243929","242175","261946","0.7242696397233406","-6.878135188168554","890281","1088807","-18.233350814239806","-"
"108/11/25","105/4","1225","福懋油","食品工業","917262","882670","845041","3.919018432709846","8.546449225540536","3471696","3563654","-2.5804413110812665","-"
"108/11/25","105/4","1227","佳格","食品工業","1642669","1460198","1552355","12.496318992355832","5.817870268076567","9064677","8735407","3.769372165486966","-"
"108/11/25","105/4","1229","聯華","食品工業","447503","467929","437328","-4.36519215522013","2.326628983280284","1758036","1691367","3.9417228785946516","-"
"108/11/25","105/4","1231","聯華食","食品工業","464621","515146","456384","-9.807899119861165","1.804839784041509","2156350","2134054","1.044772062937489","-"
"108/11/25","105/4","1232","大統益","食品工業","1371350","1402464","1476255","-2.218523969242704","-7.106157134099461","5298853","6227244","-14.908537388289266","-"
"108/11/25","105/4","1233","天仁","食品工業","167028","165239","162983","1.0826741870865837","2.481853935686544","729991","730607","-0.0843134544289885","-"
"108/11/25","105/4","1234","黑松","食品工業","600077","501361","406628","19.689604895474517","47.573949654229416","2355700","1737817","35.55512461899038","-"
"108/11/25","105/4","1235","興泰","食品工業","5639","6523","8228","-13.552046604323165","-31.4657267865824","24759","30559","-18.979678654406232","-"
"108/11/25","105/4","1236","宏亞","食品工業","114886","141682","137663","-18.91277649948476","-16.545476998176706","719345","843623","-14.731461802250532","-"
"108/11/25","105/4","1256","鮮活果汁-KY","食品工業","239515","212552","233015","12.685366404456321","2.7895199879836063","776727","739962","4.968498382349364","-"
"108/11/25","105/4","1301","台塑","塑膠工業","15203195","17461233","18026497","-12.931721373857162","-15.661955842003024","57985565","65723609","-11.77361395354902","-"
"108/11/25","105/4","1303","南亞","塑膠工業","23618664","25729722","28730095","-8.204744691761535","-17.791208139061148","89087747","108255867","-17.706310550355667","-"
"108/11/25","105/4","1304","台聚","塑膠工業","4515410","4954019","4790062","-8.853599471459436","-5.733787996898579","17215475","17865820","-3.640163171911505","-"
"108/11/25","105/4","1305","華夏","塑膠工業","1234798","1402179","1155237","-11.937206305329063","6.886985094833355","5000539","4816294","3.825451685466045","-"
"108/11/25","105/4","1307","三芳","塑膠工業","926162","1298325","954498","-28.66485664221208","-2.9686809191847443","3997226","3926082","1.8120864515820096","-"
"108/11/25","105/4","1308","亞聚","塑膠工業","466720","513785","462895","-9.160446490263437","0.8263213039674224","1800628","1693560","6.3220671248730484","-"
"108/11/25","105/4","1309","台達化","塑膠工業","1411067","1567521","1805668","-9.980982710917429","-21.853463648909987","5099387","5880563","-13.284034198766342","-"
"108/11/25","105/4","1310","台苯","塑膠工業","1195837","1325842","1372160","-9.805467016431821","-12.850032066231343","4705645","3640200","29.268858853909126","-"
"108/11/25","105/4","1312","國喬","塑膠工業","1351742","1796339","2057338","-24.750172434045023","-34.29655214651166","5920447","7068519","-16.242044479190053","-"
"108/11/25","105/4","1313","聯成","塑膠工業","3557369","3656880","4066861","-2.721199492463521","-12.527893134287108","12591587","14962077","-15.843321752721899","-"
"108/11/25","105/4","1314","中石化","塑膠工業","2066599","1939183","2463561","6.570602155650086","-16.11334162214778","7376984","9862133","-25.198899670081513","-"
"108/11/25","105/4","1315","達新","塑膠工業","173762","268832","197009","-35.36409356029044","-11.799968529356526","889855","836566","6.36996961387386","-"
"108/11/25","105/4","1316","上曜","建材營造","56238","51210","113872","9.818394844756883","-50.612968947590275","180824","332093","-45.550192265419625","子公司減少軍用品銷售所致"
"108/11/25","105/4","1319","東陽","汽車工業","1899426","2248448","1915042","-15.522796168735056","-0.8154390347574623","7860926","7527591","4.42817629172467","-"
"108/11/25","105/4","1321","大洋","塑膠工業","401520","430978","403096","-6.835151678275921","-0.3909738623057535","1402760","1681625","-16.583066973909165","-"
"108/11/25","105/4","1323","永裕","塑膠工業","259416","266330","239305","-2.596027484699433","8.403919684085164","992201","987499","0.47615238091380346","-"
"108/11/25","105/4","1324","地球","塑膠工業","98876","113538","108559","-12.913738131726824","-8.919573688040604","382952","424390","-9.764132048351751","-"
"108/11/25","105/4","1325","恆大","塑膠工業","72595","102211","103457","-28.975354903092622","-29.83075094000406","332526","383436","-13.277313554282854","-"
"108/11/25","105/4","1326","台化","塑膠工業","26874740","28768227","30222154","-6.581868948684255","-11.076027208384948","102674244","111131202","-7.609886195597884","-"
"108/11/25","105/4","1337","再生-KY","塑膠工業","500529","480038","299772","4.26862040088493","66.96989712181258","1734858","1140384","52.12928276790976","主係今年度EVA發泡材料銷售價格趨於穩定及農曆年後廠商回補庫存使訂單量增加所致。"
"108/11/25","105/4","1338","廣華-KY","汽車工業","588553","697448","685335","-15.613350385978595","-14.121852816505797","2433890","2563497","-5.05586704411981","-"
"108/11/25","105/4","1339","昭輝","汽車工業","177527","245445","157894","-27.671372405223167","12.434291360026346","760042","535571","41.91246352024288","本公司104.4.15間接投資大陸常熟冠林致105年4月營收增加"
"108/11/25","105/4","1340","勝悅-KY","塑膠工業","320872","281657","272127","13.922963036601256","17.912592282279967","987697","864239","14.285168801685645","-"
"108/11/25","105/4","1402","遠東新","紡織纖維","18014292","18647674","18865899","-3.396573749626897","-4.5140016916236005","69661942","72438483","-3.8329640337719386","-"
"108/11/25","105/4","1409","新纖","紡織纖維","2798766","2920498","3421964","-4.168193232797968","-18.211705324778404","11143759","12424592","-10.308853602597171","-"
