出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"108/11/25","105/10","1101","台泥","水泥工業","8261376","7087046","8081068","16.570091403385838","2.2312397321740147","71286099","77199373","-7.6597435577617965","-"
"108/11/25","105/10","1102","亞泥","水泥工業","5513659","5078411","5901983","8.570554844812678","-6.579551313516152","49616878","55021225","-9.822294941633888","-"
"108/11/25","105/10","1103","嘉泥","水泥工業","299070","277340","321446","7.83514819355304","-6.961044778905322","2403650","2278968","5.47098511255972","-"
"108/11/25","105/10","1104","環泥","水泥工業","385127","293590","461991","31.178514254572704","-16.637553545415386","3747842","4232784","-11.456809513549475","-"
"108/11/25","105/10","1108","幸福","水泥工業","393978","335445","396102","17.449358315074008","-0.5362255176696912","3557672","4166497","-14.612395016725081","-"
"108/11/25","105/10","1109","信大","水泥工業","364969","345658","425539","5.5867360223110705","-14.233713008678405","3390672","3630501","-6.605947774150179","-"
"108/11/25","105/10","1110","東泥","水泥工業","110525","83555","149670","32.278140147208426","-26.154205919689986","1198236","1521521","-21.247488532856266","-"
"108/11/25","105/10","1201","味全","食品工業","1522441","1672012","1764637","-8.945569768638023","-13.724975731552721","14823250","17958716","-17.459299428756488","-"
"108/11/25","105/10","1203","味王","食品工業","519767","507478","617683","2.4215828075305725","-15.852144222845698","5262412","5751596","-8.505187081985591","-"
"108/11/25","105/10","1210","大成","食品工業","6502286","6539518","6659811","-0.5693385965142996","-2.365307363827592","61715145","65641415","-5.981391473660341","-"
"108/11/25","105/10","1213","大飲","食品工業","39048","48340","43499","-19.22217625155151","-10.232419136072094","574727","645534","-10.968748354075851","-"
"108/11/25","105/10","1215","卜蜂","食品工業","1540044","1532451","1428897","0.4954807690425338","7.77851727591282","14867891","13803424","7.711615610735423","-"
"108/11/25","105/10","1216","統一","食品工業","33945525","35517051","34146847","-4.424708571666043","-0.5895771284534704","352967979","355106377","-0.6021851868911946","-"
"108/11/25","105/10","1217","愛之味","食品工業","257937","337564","242388","-23.588712066452583","6.41492153076885","3571386","4081614","-12.500643127939094","自104年9月17日起第一生技(股)公司已非本公司合併個體，故合併營收已不含第一生技(股)公司。"
"108/11/25","105/10","1218","泰山","食品工業","666446","721550","668772","-7.636892800221744","-0.34780164241325895","6861057","6927688","-0.9618071714546036","-"
"108/11/25","105/10","1219","福壽","食品工業","894761","863652","971412","3.6020295211497224","-7.890678723342927","8912677","8099274","10.042912488205733","-"
"108/11/25","105/10","1220","台榮","食品工業","254440","202700","298229","25.52540700542674","-14.683012047788779","2379718","2728174","-12.77249911479253","-"
"108/11/25","105/10","1225","福懋油","食品工業","941735","849522","998208","10.854692403492788","-5.657438129127396","8869549","9049698","-1.9906631138409259","-"
"108/11/25","105/10","1227","佳格","食品工業","1883037","2646459","1846596","-28.846923379504464","1.9734148671393201","21430033","21080444","1.658356911268093","-"
"108/11/25","105/10","1229","聯華","食品工業","395946","415700","454724","-4.751984604281934","-12.926082634741073","4344458","4382730","-0.8732456710771597","-"
"108/11/25","105/10","1231","聯華食","食品工業","510753","544213","490125","-6.1483279524744905","4.208722264728386","5465719","5383150","1.53384170977959","-"
"108/11/25","105/10","1232","大統益","食品工業","1522468","1412122","1420021","7.814197356885595","7.214470771911119","14248179","14786110","-3.6380833092679548","-"
"108/11/25","105/10","1233","天仁","食品工業","159467","172743","167475","-7.685405486763574","-4.781609195402299","1760030","1770458","-0.5890001344284925","-"
"108/11/25","105/10","1234","黑松","食品工業","818890","833496","449101","-1.7523779358269267","82.33983001596523","7448404","5279229","41.088859755846926","主係新增代理銷售金酒公司50度以上金門高粱酒所致。"
"108/11/25","105/10","1235","興泰","食品工業","6922","19746","11900","-64.9447989466221","-41.831932773109244","109312","89936","21.54420921544209","本月合併投資公司認列股利收入20仟元,去年同期列於業外收入,累計認列股利20,609仟元"
"108/11/25","105/10","1236","宏亞","食品工業","158127","224374","178990","-29.52525693707827","-11.655958433432035","1632508","1875044","-12.934949793178188","-"
"108/11/25","105/10","1256","鮮活果汁-KY","食品工業","131744","300264","146755","-56.12394426238244","-10.228612313038738","2342832","2107820","11.149528897154406","-"
"108/11/25","105/10","1301","台塑","塑膠工業","15132776","13095242","16590594","15.559345905940493","-8.787015100242945","144858875","162290300","-10.740891476570072","-"
"108/11/25","105/10","1303","南亞","塑膠工業","22769489","22981375","23180126","-0.9219900898009802","-1.7715046070068816","225383514","256034317","-11.971365151023877","-"
"108/11/25","105/10","1304","台聚","塑膠工業","4386303","4093903","4482674","7.1423284821355075","-2.1498551980358154","43152306","44066430","-2.074422638729754","-"
"108/11/25","105/10","1305","華夏","塑膠工業","1038061","1051260","1324146","-1.2555409698837585","-21.605245947199176","11691429","11634109","0.4926892123840339","-"
"108/11/25","105/10","1307","三芳","塑膠工業","975090","982022","1077904","-0.7058904993981805","-9.538326233133933","9260001","9555359","-3.0910193955036123","-"
"108/11/25","105/10","1308","亞聚","塑膠工業","467221","449147","460185","4.024072297043062","1.5289503134608908","4489804","4182299","7.352535053089222","-"
"108/11/25","105/10","1309","台達化","塑膠工業","1421600","1256667","1265175","13.124638428477871","12.36390222696465","13134022","14457984","-9.157307132170018","-"
"108/11/25","105/10","1310","台苯","塑膠工業","1153534","1128310","1106135","2.235555831287501","4.285100824040465","11420602","10872790","5.038375614722624","-"
"108/11/25","105/10","1312","國喬","塑膠工業","1798221","1568418","1218082","14.651897644633","47.62725333762423","15914851","16973096","-6.234837769137699","-"
"108/11/25","105/10","1313","聯成","塑膠工業","4187541","3499966","3310465","19.645190838996722","26.494042377732434","33226549","36796425","-9.701692487789234","-"
"108/11/25","105/10","1314","中石化","塑膠工業","2295220","2414307","1368586","-4.932554144936828","67.70740019260755","21380257","22848959","-6.427872709649486","CPL銷售量較去年同期大幅成長"
"108/11/25","105/10","1315","達新","塑膠工業","208363","265971","216836","-21.659504231664354","-3.9075614750318213","2438403","2289659","6.496338537747324","-"
"108/11/25","105/10","1316","上曜","建材營造","62997","55731","55386","13.037627173386445","13.741739789838588","475740","767272","-37.9959127923344","-"
"108/11/25","105/10","1319","東陽","汽車工業","2202785","1898005","1948652","16.057913440691674","13.04147687734906","19804784","18283589","8.320002161501224","-"
"108/11/25","105/10","1321","大洋","塑膠工業","368798","361813","347681","1.930555286847073","6.0736709800075355","3671832","3998945","-8.179982470376562","-"
