出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"108/11/25","104/1","1101","台泥","水泥工業","8921719","9913147","9801691","-10.001142926660927","-8.977757001317427","8921719","9801691","-8.977757001317427","-"
"108/11/25","104/1","1102","亞泥","水泥工業","6851825","7217554","6016442","-5.067215292050465","13.885000470377674","6851825","6016442","13.885000470377674","-"
"108/11/25","104/1","1103","嘉泥","水泥工業","310280","350583","446206","-11.495993816015037","-30.462611439559307","310280","446206","-30.462611439559307","本月營收較去年同期減少，主係大陸子公司水泥銷貨減少所致"
"108/11/25","104/1","1104","環泥","水泥工業","520536","552257","512332","-5.74388373528991","1.6013054035274001","520536","512332","1.6013054035274001","-"
"108/11/25","104/1","1108","幸福","水泥工業","518826","450738","506782","15.105893002143151","2.3765642820778954","518826","506782","2.3765642820778954","-"
"108/11/25","104/1","1109","信大","水泥工業","436111","415015","466378","5.08318976422539","-6.489800119216601","436111","466378","-6.489800119216601","-"
"108/11/25","104/1","1110","東泥","水泥工業","189102","206019","180997","-8.21137856217145","4.477974773062537","189102","180997","4.477974773062537","-"
"108/11/25","104/1","1201","味全","食品工業","1657494","1435636","2345095","15.453638666068558","-29.320816427479485","1657494","2345095","-29.320816427479485","-"
"108/11/25","104/1","1203","味王","食品工業","586777","577309","516842","1.6400229339920216","13.531214568475471","586777","516842","13.531214568475471","-"
"108/11/25","104/1","1210","大成","食品工業","7571531","8633058","8245551","-12.296071681668304","-8.174347596661521","7571531","8245551","-8.174347596661521","-"
"108/11/25","104/1","1213","大飲","食品工業","83110","44773","86536","85.6252652268108","-3.9590459461958027","83110","86536","-3.9590459461958027","-"
"108/11/25","104/1","1215","卜蜂","食品工業","1546997","1568559","1488235","-1.3746374857432841","3.9484355629319294","1546997","1488235","3.9484355629319294","-"
"108/11/25","104/1","1216","統一","食品工業","38864361","30680662","41019463","26.67380188862939","-5.253852299334099","38864361","41019463","-5.253852299334099","-"
"108/11/25","104/1","1217","愛之味","食品工業","340294","272386","314326","24.930796736983545","8.261486482187284","340294","314326","8.261486482187284","-"
"108/11/25","104/1","1218","泰山","食品工業","755977","667855","815345","13.194780304107928","-7.281334895044429","755977","815345","-7.281334895044429","-"
"108/11/25","104/1","1219","福壽","食品工業","833595","939855","910962","-11.305999329683834","-8.492889933937969","833595","910962","-8.492889933937969","-"
"108/11/25","104/1","1220","台榮","食品工業","348898","498218","291072","-29.97081598818188","19.866562225153913","348898","291072","19.866562225153913","-"
"108/11/25","104/1","1225","福懋油","食品工業","1057958","1125364","1090934","-5.989706441649102","-3.0227309809759344","1057958","1090934","-3.0227309809759344","-"
