出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"109/03/16","108/10","1101","台泥","水泥工業","11211942","10120251","11753303","10.78719292634145","-4.606032874333283","98773809","101410658","-2.6001695009216883","-"
"109/03/16","108/10","1102","亞泥","水泥工業","7016219","7394901","7657714","-5.120852868753754","-8.377108364193283","73225486","68573326","6.784212275192835","-"
"109/03/16","108/10","1103","嘉泥","水泥工業","176879","151142","178401","17.02835743870003","-0.8531342313103626","1539872","1673608","-7.990879584705618","-"
"109/03/16","108/10","1104","環泥","水泥工業","503315","391206","457241","28.657280307561745","10.076524196211626","4054671","3893683","4.13459441870332","-"
"109/03/16","108/10","1108","幸福","水泥工業","348338","312444","300242","11.488138674450461","16.01907794379201","3007974","2760665","8.958312580483325","-"
"109/03/16","108/10","1109","信大","水泥工業","638725","722519","729870","-11.597480481482147","-12.487840300327456","6259154","5446888","14.912478464767405","-"
"109/03/16","108/10","1110","東泥","水泥工業","143344","121926","177767","17.566392730016567","-19.36411144925661","1282160","1353931","-5.300934833459017","-"
"109/03/16","108/10","1201","味全","食品工業","1739332","1797271","1772387","-3.2237208523366814","-1.8649990098099343","17172143","16271676","5.533953601337687","-"
"109/03/16","108/10","1203","味王","食品工業","514106","540815","515554","-4.938657396706822","-0.2808629163967305","5258963","5048065","4.177798819943879","-"
"109/03/16","108/10","1210","大成","食品工業","6863541","6685601","6123232","2.6615408248263694","12.090167414855422","64190152","59666930","7.580785537315227","-"
"109/03/16","108/10","1213","大飲","食品工業","27127","13552","36069","100.16971664698937","-24.791372092378495","382109","537716","-28.938510291678135","-"
"109/03/16","108/10","1215","卜蜂","食品工業","1908232","1808855","1871127","5.493917422900122","1.9830294790252079","17483590","17678186","-1.1007690494941054","-"
"109/03/16","108/10","1216","統一","食品工業","36972407","39494107","35398601","-6.385003210732173","4.4459553641682055","380327552","365657798","4.011880528799772","-"
"109/03/16","108/10","1217","愛之味","食品工業","284230","441377","244422","-35.60380355115921","16.28658631383427","3898696","3783268","3.05101303952033","-"
"109/03/16","108/10","1218","泰山","食品工業","690997","782187","637382","-11.658337456388306","8.411753077432373","6887438","6807909","1.1681854149343065","-"
"109/03/16","108/10","1219","福壽","食品工業","1083064","994450","1019854","8.910855246618734","6.197945980503092","10127804","9734039","4.045237542195999","-"
"109/03/16","108/10","1220","台榮","食品工業","309104","229760","250718","34.533426183844014","23.287518247592914","2384612","2193304","8.722365891823477","-"
"109/03/16","108/10","1225","福懋油","食品工業","1023560","837263","932581","22.250714530559694","9.755613721489071","8861930","9277446","-4.478775732027974","-"
"109/03/16","108/10","1227","佳格","食品工業","2305665","2745482","1904523","-16.01966430666819","21.062596776200657","23710561","21398795","10.803253173835255","-"
"109/03/16","108/10","1229","聯華","食品工業","716226","788561","427306","-9.173037976770345","67.61430918358272","6692813","4193324","59.606388631071674","本公司本年度合併營收成長主因自4月起納入子公司神通電腦及神通資訊營收所致。"
"109/03/16","108/10","1231","聯華食","食品工業","695551","586266","654976","18.640855857238865","6.194883476646472","7011674","6648528","5.462051148765561","-"
"109/03/16","108/10","1232","大統益","食品工業","1486022","1451185","1463517","2.400589862767325","1.53773410216622","14095352","14019455","0.5413691188423516","-"
"109/03/16","108/10","1233","天仁","食品工業","176532","193774","159372","-8.897994570995078","10.767261501392968","1858834","1822038","2.0194968491326746","-"
"109/03/16","108/10","1234","黑松","食品工業","729907","749900","714538","-2.666088811841579","2.150900302013329","7481706","7718233","-3.0645226698908936","-"
"109/03/16","108/10","1235","興泰","食品工業","10207","24344","3281","-58.07180414065068","211.0941786040841","58185","53343","9.077104774759574","10月合併投資公司獲配現金股利較去年同期增加7,392仟元"
"109/03/16","108/10","1236","宏亞","食品工業","149497","139678","152475","7.029739830180844","-1.9531070667322512","1425524","1563191","-8.8067932837382","-"
