出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"108/11/27","108/5","1101","台泥","水泥工業","10903967","10596314","11539982","2.9033964074677288","-5.511403743957313","46856612","46742616","0.24388023126476277","-"
"108/11/27","108/5","1102","亞泥","水泥工業","8435765","8434811","7698165","0.01131027120821083","9.581504163654586","36261181","31460310","15.260088028376071","-"
"108/11/27","108/5","1103","嘉泥","水泥工業","146479","160751","185856","-8.878327350996262","-21.186832816804408","759621","828000","-8.258333333333333","-"
"108/11/27","108/5","1104","環泥","水泥工業","421251","418992","426170","0.5391511055103677","-1.1542342257784453","2027540","1977280","2.541875708043373","-"
"108/11/27","108/5","1108","幸福","水泥工業","305274","323834","294581","-5.731331484649543","3.629901453250549","1463455","1407947","3.942477948388682","-"
"108/11/27","108/5","1109","信大","水泥工業","800417","753252","625561","6.261516730124845","27.951870401127948","2914103","2232150","30.551396635530768","-"
"108/11/27","108/5","1110","東泥","水泥工業","132249","118229","142543","11.858342707795888","-7.2216804753653285","667517","672790","-0.7837512448163617","-"
"108/11/27","108/5","1201","味全","食品工業","1809938","1695994","1693716","6.7184199944103575","6.861953243637068","8046332","7094306","13.419579025770808","-"
"108/11/27","108/5","1203","味王","食品工業","531311","469207","526103","13.235949165293784","0.9899202247468651","2502699","2464575","1.5468792793889412","-"
"108/11/27","108/5","1210","大成","食品工業","6390612","6424220","6115699","-0.5231452222993609","4.495201611459295","31092939","28872829","7.689270767336308","-"
"108/11/27","108/5","1213","大飲","食品工業","38938","28570","47299","36.28981449072454","-17.67690648850927","199906","233108","-14.243183417128542","-"
"108/11/27","108/5","1215","卜蜂","食品工業","1768590","1739496","1845422","1.6725534292691677","-4.163383768048718","8543383","8489469","0.635069166281189","-"
"108/11/27","108/5","1216","統一","食品工業","38716214","36918812","37995651","4.868526105336217","1.8964354631007638","183410899","177597582","3.2733086422314015","-"
"108/11/27","108/5","1217","愛之味","食品工業","318595","287677","316505","10.747470253096354","0.6603371194767855","1602551","1597471","0.31800264292747726","-"
"108/11/27","108/5","1218","泰山","食品工業","645123","592778","714359","8.830455921103685","-9.692045596121838","3011356","3238846","-7.023797982367794","-"
"108/11/27","108/5","1219","福壽","食品工業","1049658","1038477","1040713","1.07667285842633","0.8595068957531999","5058542","4930870","2.589238815868194","-"
"108/11/27","108/5","1220","台榮","食品工業","242992","209667","214200","15.894251360490683","13.441643323996265","1065942","990681","7.596895468874441","-"
"108/11/27","108/5","1225","福懋油","食品工業","857478","889193","906043","-3.5667172368653373","-5.360120877265207","4224441","4597836","-8.121103058047307","-"
"108/11/27","108/5","1227","佳格","食品工業","2130222","1776586","1738673","19.905369061784793","22.519990820585583","11243974","10542228","6.656524598026148","-"
"108/11/27","108/5","1229","聯華","食品工業","729961","616100","443093","18.480928420710924","64.74216473742533","2574715","2069765","24.396489456532503","本公司本年度合併營收成長主因自4月起納入子公司神通電腦及神通資訊營收所致。"
"108/11/27","108/5","1231","聯華食","食品工業","695419","642774","606265","8.190281498629378","14.705450586789604","3456263","3155534","9.530209466923823","-"
"108/11/27","108/5","1232","大統益","食品工業","1406554","1328619","1426938","5.865865232997571","-1.4285133621783146","6894446","6937135","-0.615369313124222","-"
"108/11/27","108/5","1233","天仁","食品工業","191640","165999","195663","15.446478593244537","-2.0560862298952793","926748","917109","1.0510201077516412","-"
"108/11/27","108/5","1234","黑松","食品工業","702807","618002","769606","13.722447500169903","-8.679636073523335","3466066","3752714","-7.638418488592523","-"
"108/11/27","108/5","1235","興泰","食品工業","3028","2555","2691","18.512720156555773","12.523225566703827","10279","10774","-4.594393911267867","-"
"108/11/27","108/5","1236","宏亞","食品工業","99992","123213","98968","-18.84622564177481","1.0346778756769865","723154","792708","-8.774227079832675","-"
"108/11/27","108/5","1256","鮮活果汁-KY","食品工業","364169","313992","327761","15.980343448240719","11.108094007523775","1364954","1308526","4.312333113747836","-"
"108/11/27","108/5","1301","台塑","塑膠工業","19007532","19209008","22361241","-1.0488620755428912","-14.997866173885429","91228616","96084506","-5.0537700636146266","-"
"108/11/27","108/5","1303","南亞","塑膠工業","24787501","25074397","30047319","-1.1441790604176842","-17.5051158474405","120782017","140171490","-13.832679527056465","-"
"108/11/27","108/5","1304","台聚","塑膠工業","5127061","4838177","5599285","5.970926652745446","-8.433648224728692","23453086","25289913","-7.263081529778296","-"
"108/11/27","108/5","1305","華夏","塑膠工業","1645849","1322372","1360529","24.46187608328065","20.971254563482294","6195934","6536258","-5.206710016648669","-"
"108/11/27","108/5","1307","三芳","塑膠工業","810708","892304","695464","-9.144417149312343","16.570807403402622","4331254","3805948","13.80223797067117","-"
"108/11/27","108/5","1308","亞聚","塑膠工業","542154","622183","615776","-12.862614375513314","-11.955971002442446","2873942","2453526","17.135176069053273","-"
"108/11/27","108/5","1309","台達化","塑膠工業","1544984","1588471","2135878","-2.737664080741795","-27.66515690502922","7733446","8903276","-13.139320852234615","-"
"108/11/27","108/5","1310","台苯","塑膠工業","1152782","1058511","1372041","8.906000976843888","-15.980499125026148","5148450","6669515","-22.806231037789104","-"
"108/11/27","108/5","1312","國喬","塑膠工業","1903657","1880808","1813414","1.2148502133125763","4.976414652142313","8790589","10062188","-12.637400533561886","-"
"108/11/27","108/5","1313","聯成","塑膠工業","5234388","5712007","5812236","-8.36166692372751","-9.941922523448808","26323853","25230697","4.332642891316082","-"
"108/11/27","108/5","1314","中石化","塑膠工業","2592197","2737182","3043541","-5.296871015518881","-14.82956858475046","13467410","15602344","-13.683418337654906","-"
"108/11/27","108/5","1315","達新","塑膠工業","195678","153983","206606","27.077664417500632","-5.2892945993824","864876","937472","-7.743804614964501","-"
"108/11/27","108/5","1316","上曜","建材營造","47647","48168","212680","-1.0816309583125727","-77.59685913108896","230058","1098758","-79.0619954530479","本月減少房地收入"
"108/11/27","108/5","1319","東陽","汽車工業","1818753","1817693","2099362","0.058315678170076025","-13.36639417118153","8946339","10222525","-12.484058488484989","-"
"108/11/27","108/5","1321","大洋","塑膠工業","416766","399857","472755","4.228761782337186","-11.84313227781832","1859944","2048569","-9.20764689888405","-"
"108/11/27","108/5","1323","永裕","塑膠工業","304514","311253","332325","-2.165119693625443","-8.368615060558188","1462058","1475902","-0.9380026587131124","-"
"108/11/27","108/5","1324","地球","塑膠工業","98271","99656","101081","-1.3897808461106205","-2.7799487539695886","488866","456087","7.187005987892661","-"
"108/11/27","108/5","1325","恆大","塑膠工業","77676","67408","81403","15.232613339662947","-4.578455339483803","340737","373442","-8.757718735439505","-"
"108/11/27","108/5","1326","台化","塑膠工業","27148487","28942093","32644221","-6.197222847704898","-16.835243211960854","147523250","164718966","-10.439426872070094","-"
"108/11/27","108/5","1337","再生-KY","塑膠工業","92226","68526","124601","34.585412836003854","-25.98293753661688","535558","581442","-7.891414792877019","-"
"108/11/27","108/5","1338","廣華-KY","汽車工業","630301","607961","694413","3.674577810089792","-9.23254604968513","2940749","3358477","-12.438018780536535","-"
"108/11/27","108/5","1339","昭輝","汽車工業","233456","234720","267098","-0.5385139740967961","-12.595376977738509","1110892","1221292","-9.039607235616053","-"
"108/11/27","108/5","1340","勝悅-KY","塑膠工業","83337","126134","253570","-33.929788954603836","-67.13451906771306","528790","980559","-46.07259736538036","近月持續受中美貿易爭端影響，加上中國大陸經濟低迷，訂單減少，致公司營收下滑。"
"108/11/27","108/5","1341","富林-KY","塑膠工業","260512","266548","240143","-2.2645077059291383","8.48202945744827","1180668","1143316","3.2669883041958654","-"
"108/11/27","108/5","1402","遠東新","紡織纖維","22998106","21737013","18475002","5.801592886750355","24.482292342918285","106633970","86915673","22.686698865002175","-"
"108/11/27","108/5","1409","新纖","紡織纖維","3700502","3549872","3928361","4.243251587662879","-5.8003579609918745","17100466","16653101","2.6863765493285605","-"
"108/11/27","108/5","1410","南染","紡織纖維","43565","33432","57751","30.30928451782723","-24.56407681252273","173346","224143","-22.66276439594366","-"
"108/11/27","108/5","1413","宏洲","紡織纖維","335144","294785","307897","13.690995132045389","8.84938794466981","1517702","1479743","2.5652427482339837","-"
"108/11/27","108/5","1414","東和","紡織纖維","90644","64024","96876","41.578158190678494","-6.432965853255708","365805","429568","-14.843517207985697","-"
"108/11/27","108/5","1416","廣豐","紡織纖維","46756","19058","18808","145.3352922657152","148.59634198213527","121892","97136","25.485916652940208","本月餘屋出售1戶營建收入26,881仟元；去年同期金額為0."
"108/11/27","108/5","1417","嘉裕","紡織纖維","115889","108302","99104","7.005410795737844","16.936753309654506","597762","663699","-9.934774649351588","-"
"108/11/27","108/5","1418","東華","紡織纖維","21933","22990","64554","-4.597651152675076","-66.02379403290269","127126","277244","-54.14652796814359","配合客戶生產線出貨"
"108/11/27","108/5","1419","新紡","紡織纖維","179713","146762","136606","22.45199711096878","31.55571497591614","730952","619806","17.93238529475352","-"
"108/11/27","108/5","1423","利華","紡織纖維","50847","63594","87834","-20.044343806019437","-42.1101168112576","226541","363585","-37.69242405489776","-"
"108/11/27","108/5","1432","大魯閣","貿易百貨","91769","98458","69776","-6.793759775741941","31.519433616143086","506673","339762","49.125858689317816","-"
"108/11/27","108/5","1434","福懋","紡織纖維","4291437","4285409","4089179","0.1406633532528634","4.946176237332726","20295694","18691657","8.581566631572578","-"
"108/11/27","108/5","1435","中福","其他","1799","1787","2341","0.6715165081141579","-23.152498932080306","8950","14475","-38.1692573402418","-"
"108/11/27","108/5","1436","華友聯","建材營造","33977","40703","156572","-16.52458049775201","-78.29944051299083","579846","937377","-38.141644183716906","5月營收較去年減少之原因，係今年可售成屋較去年減少"
"108/11/27","108/5","1437","勤益控","其他","43836","42797","43288","2.427740262167909","1.2659397523563112","281409","265412","6.027233131885521","-"
"108/11/27","108/5","1438","裕豐","建材營造","0","1","0","-100.0","","6","4","50.0","108年累計銷售商品6仟元,107年累計銷售商品4仟元,故營收變化大。"
"108/11/27","108/5","1439","中和","紡織纖維","15025","17363","31176","-13.465414962852043","-51.80587631511419","87840","122604","-28.354702946070276","主係因去年基期偏高，加上持續受乾旱影響，羊毛價格仍維持高檔，降低客戶進貨需求，且因出售投資性不動產減少租賃收入所致。"
"108/11/27","108/5","1440","南紡","紡織纖維","2022479","1972090","2440906","2.555106511366114","-17.14228241480827","9759956","10318242","-5.410669763318209","-"
"108/11/27","108/5","1441","大東","紡織纖維","128569","131661","158496","-2.348455503148237","-18.881864526549567","637461","730830","-12.775748121998276","-"
"108/11/27","108/5","1442","名軒","建材營造","72815","47969","60096","51.79595155204403","21.164470181043665","280752","668370","-57.99452399120248","本年累計認收11戶，去年累計認收63戶，故兩期差異大。"
"108/11/27","108/5","1443","立益","紡織纖維","50886","63051","92656","-19.293904934100965","-45.08072871697462","291275","466024","-37.49785418776715","-"
"108/11/27","108/5","1444","力麗","紡織纖維","1164734","1020252","1148778","14.161403261155087","1.388954175654478","5372063","5148886","4.334471573074254","-"
"108/11/27","108/5","1445","大宇","紡織纖維","120637","124374","152275","-3.0046472735459178","-20.776883927105565","636409","660583","-3.6594947190587708","-"
"108/11/27","108/5","1446","宏和","紡織纖維","49037","43963","50497","11.541523553897596","-2.891260866982197","176428","173646","1.6021100399663684","-"
"108/11/27","108/5","1447","力鵬","紡織纖維","1423554","1422954","1651811","0.042165804375967175","-13.818590625682962","6671849","8035298","-16.9682443638058","-"
"108/11/27","108/5","1449","佳和","紡織纖維","207809","220943","205682","-5.944519627234174","1.03412063282154","992357","971366","2.160977427663723","-"
"108/11/27","108/5","1451","年興","紡織纖維","833821","639664","821951","30.352966557442656","1.4441250147514877","3570058","3268281","9.233508379481446","-"
"108/11/27","108/5","1452","宏益","紡織纖維","183280","178997","157216","2.392777532584345","16.578465296153063","873106","837394","4.26465916880226","-"
"108/11/27","108/5","1453","大將","紡織纖維","38","37","810","2.7027027027027026","-95.30864197530865","311","4561","-93.18131988598991","本年營收減少，係因紗支產品及建案餘屋銷售減少所致。"
"108/11/27","108/5","1454","台富","紡織纖維","183391","176514","184446","3.896008248637502","-0.5719831278531385","831941","807636","3.009400274381033","-"
"108/11/27","108/5","1455","集盛","紡織纖維","1133999","1117121","1363389","1.5108479743913148","-16.824985385682297","5794192","6768473","-14.394398854808168","-"
"108/11/27","108/5","1456","怡華","紡織纖維","84448","114232","36332","-26.073254429581905","132.43421776945942","394105","169097","133.06445412987813","本月及本年累計認列建設收入較去年本月及去年累計增加所致"
"108/11/27","108/5","1457","宜進","紡織纖維","488601","483979","469712","0.9550001136412943","4.021400347446947","2339738","2310231","1.2772315842008872","-"
"108/11/27","108/5","1459","聯發","紡織纖維","267160","294357","336367","-9.239460926697854","-20.574848305571","1476707","1496741","-1.3385081320014618","-"
"108/11/27","108/5","1460","宏遠","紡織纖維","646421","734719","761617","-12.01792794251952","-15.125187594289518","3633607","3883376","-6.431749076061654","-"
"108/11/27","108/5","1463","強盛","紡織纖維","43251","47524","45521","-8.991246528070027","-4.9867094308121525","245150","436165","-43.79420632100237","-"
"108/11/27","108/5","1464","得力","紡織纖維","850935","815113","764264","4.3947280929147245","11.340453037170402","3935376","3528918","11.517921357197872","-"
"108/11/27","108/5","1465","偉全","紡織纖維","92501","92688","153373","-0.20175211462109444","-39.688863098459315","486418","649789","-25.142161532435914","-"
"108/11/27","108/5","1466","聚隆","紡織纖維","284402","305811","376079","-7.000729208563459","-24.37705907535385","1588491","1656408","-4.100257907472072","-"
"108/11/27","108/5","1467","南緯","紡織纖維","540949","611395","618384","-11.522174698844445","-12.522154518875004","2709847","2714088","-0.15625875063741484","-"
"108/11/27","108/5","1468","昶和","紡織纖維","102112","94992","107017","7.495368030992084","-4.583383948344656","432544","361733","19.575487998053813","-"
"108/11/27","108/5","1470","大統新創","紡織纖維","72063","73403","68686","-1.8255384657302836","4.916576886119442","354963","300533","18.11115584644615","-"
"108/11/27","108/5","1471","首利","電子零組件業","71597","53522","77820","33.771159523186725","-7.996658956566435","433264","528264","-17.983432526161163","-"
"108/11/27","108/5","1472","三洋紡","紡織纖維","26377","27124","32120","-2.7540185813301874","-17.879825653798257","132928","251824","-47.213927187241886","-"
"108/11/27","108/5","1473","台南","紡織纖維","705402","391520","526060","80.17010625255415","34.09154849256739","3213586","3320521","-3.2204283604892123","-"
"108/11/27","108/5","1474","弘裕","紡織纖維","296464","304444","308233","-2.6211717097397225","-3.8182154409164495","1464845","1471698","-0.46565259992199487","-"
"108/11/27","108/5","1475","本盟","紡織纖維","4582","4594","4615","-0.26121027427078797","-0.7150595882990249","23502","23856","-1.4839034205231387","-"
"108/11/27","108/5","1476","儒鴻","紡織纖維","2568553","2040691","2313682","25.866826481814247","11.015818076987244","10854222","11208829","-3.1636400198450705","-"
"108/11/27","108/5","1477","聚陽","紡織纖維","2062743","1819006","1470164","13.399461024317677","40.306999763291714","10601324","8219036","28.985005054120702","-"
"108/11/27","108/5","1503","士電","電機機械","2134006","1952433","2051431","9.299832567878129","4.0252389673354845","10752115","9884819","8.77402004022532","-"
"108/11/27","108/5","1504","東元","電機機械","4335615","3883445","4332559","11.643527847053326","0.07053568110670853","19698879","20924235","-5.856156748382916","-"
"108/11/27","108/5","1506","正道","電機機械","113681","107664","106569","5.58868331104176","6.67361052463662","516955","529722","-2.410132107029725","-"
"108/11/27","108/5","1507","永大","電機機械","1076722","1035330","1316559","3.997952343697179","-18.21695799428662","5268986","6736588","-21.785538910795793","此為本公司自結數"
"108/11/27","108/5","1512","瑞利","汽車工業","133812","141025","259357","-5.1146959758907995","-48.406250843432026","692223","1176947","-41.18486219005614","-"
