# 2023-08-01 全池(1185 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
1101 台泥|水泥工業|-4 10 -4|95 95 -3 3|0.7 653|21 -19 -1 -0 15|PB位32 PE位90 殖1.3|益1.0→0.6
1102 亞泥|水泥工業|-14 -14 -9|94 94 -5 -1|1.3 289|16 -26 10 11 37|PB位12 PE位88 殖5.8|益9.5→7.6
1103 嘉泥|水泥工業|51 41 18|93 93 8 19|0.5 14|6 12 0 -23 -28|PB位93 PE位na 殖2.4|益-17.5→-8.6
1104 環泥|水泥工業|5 10 -9|98 98 7 33|0.7 63|16 -2 0 26 13|PB位93 PE位57 殖6.2|益11.9→10.6
1108 幸福|水泥工業|33 32 -1|100 100 7 57|1.7 17|6 12 0 31 2|PB位100 PE位13 殖4.4|益17.1→13.3
1110 東泥|水泥工業|58 96 57|99 99 8 12|0.9 8|6 5 0 -11 -13|PB位86 PE位25 殖0.5|益-1.8→2.6
1201 味全|食品工業|3 7 4|95 95 -1 4|1.1 10|10 -34 0 -0 46|PB位12 PE位87 殖1.2|益1.7→2.3
1210 大成|食品工業|-6 2 -7|100 100 21 39|2.1 288|13 11 0 345 13|PB位93 PE位83 殖2.4|益2.7→4.0
1215 卜蜂|食品工業|4 8 -1|95 95 -5 19|0.5 63|40 12 -6 5 -8|PB位98 PE位95 殖3.7|益6.9→7.8
1216 統一|食品工業|6 5 -4|97 97 4 13|1.0 539|39 -29 12 -25 41|PB位45 PE位97 殖4.1|益5.5→5.2
1217 愛之味|食品工業|4 7 2|100 100 28 37|2.6 64|10 3 0 69 73|PB位100 PE位64 殖2.8|益3.6→4.1
1218 泰山|食品工業|8 -2 -6|58 83 -9 -12|0.4 48|2 -0 -0 -22 59|PB位2 PE位2 殖2.1|益-3.5→-4.1
1219 福壽|食品工業|-1 -5 -10|94 94 -1 8|0.5 18|4 -0 0 -25 -14|PB位33 PE位93 殖4.0|益1.8→1.9
1225 福懋油|食品工業|-14 -8 -18|90 90 -6 -1|0.3 7|1 -1 0 15 3|PB位69 PE位97 殖3.5|益2.4→2.0
1227 佳格|食品工業|13 6 13|96 96 0 -2|0.5 32|6 -8 1 -7 20|PB位3 PE位93 殖3.2|益5.0→4.9
1229 聯華|食品工業|-19 -5 -5|98 98 13 31|1.5 123|12 8 0 12 8|PB位96 PE位95 殖3.1|益12.6→3.8
1231 聯華食|食品工業|-0 -1 -12|99 99 7 24|0.8 31|3 -2 0 -36 8|PB位85 PE位92 殖2.9|益10.9→9.1
1232 大統益|食品工業|-8 -5 -18|94 99 0 4|0.6 5|1 -8 0 -73 -9|PB位3 PE位94 殖4.1|益6.0→6.9
1234 黑松|食品工業|10 15 -3|99 99 14 26|0.5 11|6 -2 0 49 9|PB位98 PE位72 殖4.5|益6.2→5.2
1268 漢來美食|觀光餐旅|92 113 16|93 93 18 32|0.8 36|2 -5 0 -7 19|PB位99 PE位64 殖1.7|益0.8→12.5
1301 台塑|塑膠工業|-34 -34 -7|93 93 -6 -1|0.7 737|32 -12 -9 70 6|PB位24 PE位70 殖5.0|益10.6→0.0
1303 南亞|塑膠工業|-38 -33 -2|91 91 -5 -2|0.7 410|30 11 -18 26 -12|PB位36 PE位83 殖4.2|益9.0→1.6
1304 台聚|塑膠工業|-35 -29 -8|90 90 -0 0|1.6 48|34 -18 -1 13 4|PB位37 PE位99 殖3.0|益8.6→5.6
1305 華夏|塑膠工業|-32 -31 -2|85 87 3 -12|3.4 65|10 -6 1 85 8|PB位36 PE位na 殖1.2|益-5.6→10.0
1307 三芳|塑膠工業|-15 -15 -36|92 92 9 17|0.4 11|12 -1 0 -27 26|PB位87 PE位20 殖3.4|益2.7→9.7
1308 亞聚|塑膠工業|-39 -27 -14|90 90 3 -8|1.6 24|7 -10 -0 -9 17|PB位18 PE位74 殖4.6|益30.0→16.1
1309 台達化|塑膠工業|-41 -29 -6|83 89 4 -11|1.5 12|2 7 -1 -12 -31|PB位15 PE位99 殖2.5|益1.2→-3.2
1310 台苯|塑膠工業|-44 -39 -15|95 95 -0 18|0.8 17|7 10 -1 4 -2|PB位66 PE位na 殖1.2|益-4.2→-1.5
1312 國喬|塑膠工業|-40 -29 -6|90 90 -3 -4|1.2 35|12 -7 -1 -3 -1|PB位20 PE位na 殖2.7|益-4.3→-4.3
1313 聯成|塑膠工業|-18 -13 7|100 100 20 16|3.2 53|11 3 0 37 -1|PB位56 PE位na 殖1.1|益-3.3→-1.0
1316 上曜|建材營造|-88 -79 -110|67 84 -14 -4|1.1 13|1 -0 0 -21 -2|PB位11 PE位32 殖6.0|益7.3→-11.7
1319 東陽|汽車工業|-1 3 -9|100 100 26 40|2.6 249|23 -1 3 -7 3|PB位100 PE位25 殖4.1|益9.1→12.9
1326 台化|塑膠工業|-31 -30 -17|89 94 -2 -6|0.8 192|34 -30 -0 76 42|PB位18 PE位95 殖1.4|益-1.4→-2.8
1336 台翰|電子零組|-11 -8 -25|78 78 -11 -18|0.5 5|3 -18 0 14 23|PB位58 PE位47 殖1.7|益9.2→5.5
1338 廣華-KY|汽車工業|-33 -14 -1|68 84 -10 -12|1.2 7|7 -19 0 -7 16|PB位1 PE位na 殖5.2|益2.9→0.8
1342 八貫|其他|5 -2 -11|71 71 -16 -4|1.7 75|43 -1 0 6 -3|PB位80 PE位35 殖4.6|益21.3→20.7
1402 遠東新|紡織纖維|-9 -9 -9|92 92 -4 -4|0.9 214|16 -29 -5 57 3|PB位23 PE位93 殖4.5|益5.4→4.8
1409 新纖|紡織纖維|-12 -20 -5|92 92 -2 -5|0.6 22|12 -14 0 6 3|PB位42 PE位98 殖5.8|益na→na
1417 嘉裕|紡織纖維|-10 20 1|85 93 -3 -5|0.7 7|3 -2 0 -5 -35|PB位45 PE位39 殖2.8|益-10.9→0.6
1432 大魯閣|運動休閒|42 44 -14|78 78 15 27|0.2 8|0 1 0 na na|PB位87 PE位na 殖0.0|益-0.6→7.0
1434 福懋|紡織纖維|-21 -22 -15|97 97 -3 1|1.4 55|8 -18 -0 48 30|PB位48 PE位46 殖5.8|益3.7→2.9
1440 南紡|紡織纖維|-11 -10 -12|84 88 -6 -9|1.0 16|6 -9 0 -19 11|PB位15 PE位na 殖2.2|益1.7→-10.0
1442 名軒|建材營造|-17 23 -406|98 99 17 18|3.1 27|5 10 0 11 6|PB位92 PE位21 殖4.5|益26.4→36.9
1444 力麗|紡織纖維|-41 -39 -21|92 97 3 5|0.4 23|6 9 2 -6 -20|PB位37 PE位79 殖3.8|益0.3→-7.1
1446 宏和|紡織纖維|-14 -0 -14|98 98 25 17|0.7 6|1 -2 0 -1 -15|PB位100 PE位na 殖0.5|益-26.4→-27.9
1449 佳和|紡織纖維|-3 -11 -3|77 77 21 18|0.3 5|1 -2 1 -15 43|PB位27 PE位65 殖1.6|益-2.4→0.2
1467 南緯|紡織纖維|-35 -31 -5|96 99 6 8|1.4 46|21 1 0 -1 -13|PB位40 PE位na 殖0.0|益0.5→-11.1
1471 首利|電子零組|-26 -5 5|79 79 55 84|1.2 114|1 -1 0 -31 -37|PB位86 PE位na 殖0.0|益-64.2→-48.3
1476 儒鴻|紡織纖維|-34 -30 -18|97 97 14 14|1.0 323|41 -9 0 -12 -23|PB位69 PE位45 殖3.1|益19.5→17.4
1477 聚陽|紡織纖維|7 -2 -4|98 98 36 52|0.9 1204|37 13 -1 -54 -30|PB位100 PE位52 殖4.7|益13.8→15.5
1503 士電|電機機械|-16 2 -10|88 88 29 122|0.4 1227|29 -1 -1 -1 83|PB位95 PE位95 殖1.4|益7.3→11.1
1504 東元|電機機械|1 4 -4|90 90 20 90|1.5 1217|18 -2 -1 -1 -9|PB位97 PE位92 殖2.8|益8.7→11.4
1513 中興電|電機機械|9 13 1|81 81 8 46|0.8 2713|12 -3 -4 15 65|PB位90 PE位74 殖2.9|益15.4→17.6
1514 亞力|電機機械|9 17 -12|89 89 25 85|0.4 736|11 -2 -0 -10 30|PB位98 PE位98 殖2.1|益6.4→8.9
1515 力山|電機機械|29 8 60|92 92 19 15|0.4 37|6 -6 0 22 39|PB位42 PE位na 殖0.0|益-9.4→-13.2
1517 利奇|電機機械|-76 -66 -36|67 81 -11 -18|0.9 6|2 -9 0 -5 8|PB位12 PE位21 殖5.3|益11.8→-2.0
1519 華城|電機機械|50 57 49|90 90 120 289|0.3 330|13 4 4 -34 -30|PB位99 PE位99 殖1.2|益5.5→14.4
1522 堤維西|汽車工業|-9 -4 -10|92 92 18 23|0.9 118|9 -9 0 -33 24|PB位94 PE位21 殖5.5|益4.6→8.3
1524 耿鼎|汽車工業|-3 -2 -14|78 84 -6 -11|0.4 30|1 -7 0 -11 9|PB位68 PE位1 殖4.5|益11.6→11.8
1525 江申|汽車工業|-2 19 -21|78 78 38 62|0.2 43|2 6 0 -10 25|PB位94 PE位78 殖2.2|益3.0→5.9
1527 鑽全|電機機械|-40 -45 -13|91 91 -1 -2|0.9 9|9 -20 0 6 11|PB位2 PE位22 殖5.8|益18.7→13.4
1528 恩德|電機機械|-18 -8 -11|78 78 12 37|0.4 73|5 4 0 -20 -4|PB位92 PE位93 殖0.7|益3.1→3.1
1529 樂事綠能|電機機械|15 214 72|83 83 0 72|0.4 200|2 2 -0 1 -21|PB位93 PE位89 殖1.4|益26.6→11.8
1532 勤美|電機機械|148 47 65|99 99 17 30|1.8 34|12 12 -4 0 -35|PB位95 PE位78 殖3.1|益7.2→0.8
1533 車王電|汽車工業|-3 48 19|89 89 8 19|0.3 68|6 1 -0 -19 -5|PB位71 PE位na 殖0.0|益-2.7→-8.6
1535 中宇|電機機械|14 21 13|99 99 17 44|1.0 21|2 0 2 -61 -11|PB位99 PE位57 殖5.0|益3.8→2.8
1536 和大|汽車工業|-25 -7 -14|72 90 -3 -7|0.6 48|11 -25 -1 0 73|PB位2 PE位1 殖2.4|益7.3→8.5
