# 2023-02-01 全池(872 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
1101 台泥|水泥工業|16 11 5|83 92 19 -6|0.9 537|21 -1 3 -26 -31|PB位40 PE位100 殖5.4|益-3.7→-1.5
1102 亞泥|水泥工業|-11 -13 -15|95 95 14 3|0.8 162|19 8 3 -4 -60|PB位18 PE位37 殖8.0|益12.4→11.3
1104 環泥|水泥工業|27 16 -1|100 100 18 8|1.5 8|13 3 0 60 -4|PB位77 PE位7 殖4.2|益10.8→10.9
1210 大成|食品工業|11 16 4|86 93 13 1|1.6 48|10 6 0 -0 -1|PB位19 PE位79 殖4.4|益2.6→2.6
1215 卜蜂|食品工業|13 14 -3|97 97 4 10|1.1 28|39 11 -15 19 -18|PB位81 PE位86 殖5.1|益7.5→7.2
1216 統一|食品工業|20 11 0|99 99 2 3|1.1 442|41 -1 -1 -17 -40|PB位13 PE位86 殖4.0|益5.9→6.1
1217 愛之味|食品工業|7 3 1|87 99 18 5|0.5 12|8 2 0 -15 -44|PB位82 PE位50 殖2.7|益4.8→5.7
1218 泰山|食品工業|7 4 -7|66 66 -30 -3|0.6 69|3 2 0 -14 14|PB位74 PE位79 殖3.2|益2.3→1.6
1219 福壽|食品工業|8 10 -6|74 90 3 -4|2.7 11|5 -4 0 -40 -19|PB位31 PE位73 殖5.6|益4.3→2.4
1227 佳格|食品工業|0 -15 -0|84 100 9 0|2.2 16|6 14 0 -0 -18|PB位16 PE位100 殖4.5|益4.8→5.7
1229 聯華|食品工業|5 -6 -14|78 91 11 -6|1.5 41|11 -8 0 18 1|PB位85 PE位83 殖4.4|益24.0→16.6
1231 聯華食|食品工業|20 17 4|98 100 23 4|2.0 12|2 7 0 -3 -2|PB位96 PE位96 殖3.2|益10.5→10.4
