# 2025-04-01 全池(1165 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
1101 台泥|水泥工業|90 78 20|92 92 0 -1|1.0 498|18 1 4 -19 5|PB位8 PE位18 殖3.1|益11.2→11.1
1102 亞泥|水泥工業|16 6 9|98 98 15 2|2.0 335|22 38 -9 13 73|PB位63 PE位52 殖4.7|益8.6→10.4
1103 嘉泥|水泥工業|8 6 3|86 87 -7 -11|0.7 6|5 -14 0 -2 9|PB位14 PE位41 殖3.5|益-3.7→-5.1
1104 環泥|水泥工業|13 5 3|80 94 6 -3|0.8 10|15 1 0 -6 -6|PB位56 PE位98 殖5.7|益13.3→13.3
1110 東泥|水泥工業|31 28 -3|76 83 -10 -13|1.4 6|7 -3 0 5 4|PB位1 PE位1 殖1.6|益13.4→11.7
1210 大成|食品工業|12 1 6|100 100 11 14|1.1 68|10 30 17 -47 -28|PB位35 PE位45 殖4.8|益5.0→5.2
1215 卜蜂|食品工業|-0 -2 2|88 96 10 1|0.8 33|40 25 9 -26 -21|PB位37 PE位43 殖4.5|益7.0→8.2
1216 統一|食品工業|-1 5 -5|91 91 -2 -8|1.0 625|38 -13 15 84 80|PB位72 PE位52 殖3.6|益5.8→5.1
1217 愛之味|食品工業|-3 2 -2|89 94 0 -5|1.1 7|9 -6 0 -5 -1|PB位17 PE位35 殖3.1|益3.6→2.8
1218 泰山|食品工業|-0 -8 -1|87 95 3 1|0.9 18|4 18 0 -4 -0|PB位9 PE位48 殖6.6|益6.3→5.8
1220 台榮|食品工業|43 7 3|75 75 -18 -10|0.8 8|9 -16 0 -19 22|PB位1 PE位13 殖4.8|益9.8→7.2
1225 福懋油|食品工業|18 1 10|17 21 -33 -79|0.4 40|5 10 0 -9 2|PB位0 PE位0 殖2.2|益3.6→3.7
1227 佳格|食品工業|22 10 8|82 88 -6 -10|0.9 14|7 1 0 -17 -7|PB位0 PE位5 殖4.0|益6.7→6.6
1229 聯華|食品工業|0 -18 -14|72 82 -4 -17|1.0 55|10 -7 0 -3 -11|PB位0 PE位25 殖3.6|益11.6→10.3
1231 聯華食|食品工業|-6 10 -1|72 72 -2 19|0.5 75|4 -15 0 -29 64|PB位90 PE位92 殖2.0|益7.9→8.5
1232 大統益|食品工業|2 -5 1|96 96 3 1|0.9 9|2 0 0 117 -9|PB位10 PE位28 殖4.7|益7.3→7.4
1301 台塑|塑膠工業|25 5 3|53 71 1 -24|0.6 817|27 -3 1 2 11|PB位9 PE位na 殖1.3|益-1.9→-2.1
1303 南亞|塑膠工業|32 16 11|54 67 1 -28|1.0 481|27 -19 4 6 69|PB位4 PE位69 殖2.2|益0.4→0.2
1304 台聚|塑膠工業|17 -1 -0|64 67 -2 -29|0.5 30|29 -7 0 8 -2|PB位5 PE位na 殖1.8|益-3.3→-3.9
1305 華夏|塑膠工業|-1 -18 -2|65 69 -2 -24|0.6 12|5 -5 0 -12 10|PB位5 PE位na 殖1.2|益-6.7→-7.6
1307 三芳|塑膠工業|42 15 4|81 81 15 16|0.4 95|20 -0 -5 3 12|PB位92 PE位2 殖6.2|益14.8→14.5
1308 亞聚|塑膠工業|7 -10 2|68 68 -3 -25|0.8 11|4 -6 -3 -11 5|PB位7 PE位na 殖1.8|益-1.5→-1.8
1309 台達化|塑膠工業|33 14 -10|61 61 -9 -33|0.7 15|2 -8 0 -1 1|PB位3 PE位na 殖1.5|益-2.5→-1.9
1312 國喬|塑膠工業|65 27 14|69 78 -0 -18|0.6 36|7 -7 0 9 -7|PB位4 PE位na 殖0.0|益-8.1→-10.2
1316 上曜|建材營造|351 267 95|78 92 27 6|4.2 577|2 -1 0 67 46|PB位73 PE位na 殖0.0|益-3.8→-6.8
1319 東陽|汽車工業|56 20 10|93 93 14 20|1.2 594|18 16 0 -56 6|PB位96 PE位53 殖4.0|益18.6→18.8
1321 大洋|塑膠工業|19 2 1|84 96 12 -1|0.6 7|7 7 0 -11 -16|PB位65 PE位33 殖1.0|益-1.7→-2.0
1325 恆大|塑膠工業|-13 -30 -5|68 68 7 -0|0.1 10|1 8 0 -16 0|PB位60 PE位na 殖1.1|益-24.2→-25.2
1326 台化|塑膠工業|6 -5 -10|48 61 -6 -35|0.7 478|32 1 -13 19 33|PB位7 PE位88 殖1.8|益-0.3→-0.4
1336 台翰|電子零組|30 16 1|86 86 -3 -13|1.9 17|7 -4 0 10 7|PB位47 PE位6 殖3.9|益8.3→8.4
1342 八貫|其他|14 26 23|70 88 -4 3|1.0 25|29 -8 0 -14 24|PB位20 PE位42 殖5.0|益22.2→20.9
1402 遠東新|紡織纖維|1 2 -2|88 88 9 -11|0.7 228|19 -5 14 -40 31|PB位43 PE位27 殖4.7|益6.5→6.5
1409 新纖|紡織纖維|7 13 -1|78 84 -8 -13|1.5 25|13 -17 0 -11 44|PB位0 PE位38 殖4.3|益na→na
1414 東和|紡織纖維|5 -8 -0|81 81 -14 -5|0.8 11|1 -4 0 -3 -25|PB位73 PE位55 殖1.1|益-1.8→-3.0
1432 大魯閣|運動休閒|-11 4 7|77 77 -16 -6|0.9 9|1 -7 0 na na|PB位36 PE位na 殖0.0|益0.6→-1.2
1434 福懋|紡織纖維|19 8 5|77 86 -6 -10|1.2 23|7 2 0 3 -1|PB位85 PE位33 殖4.4|益2.3→2.3
1436 華友聯|建材營造|400 4010 1832|65 85 0 -6|1.1 94|3 -9 2 -20 57|PB位60 PE位11 殖10.4|益41.9→41.7
1438 三地開發|建材營造|na na na|47 65 -16 -29|0.7 6|1 -18 0 -12 -1|PB位49 PE位na 殖0.0|益-1.6→-2.5
1440 南紡|紡織纖維|13 -1 6|68 83 -6 -14|1.4 9|7 -10 0 -4 1|PB位3 PE位na 殖2.2|益-4.3→-5.0
1442 名軒|建材營造|80 -23 -631|95 95 18 20|0.9 50|11 3 3 -2 17|PB位92 PE位31 殖4.3|益33.5→34.3
1446 宏和|紡織纖維|-98 14 -2480|53 54 -23 -29|1.1 26|3 -4 0 -21 13|PB位0 PE位1 殖6.3|益42.2→41.0
1449 佳和|紡織纖維|21 -4 -2|57 57 -27 -11|0.5 13|8 16 0 -28 3|PB位32 PE位49 殖0.0|益5.1→3.3
1451 年興|紡織纖維|-16 -17 -15|95 95 7 7|2.1 17|7 12 0 645 -3|PB位88 PE位64 殖4.7|益2.1→2.4
1457 宜進|紡織纖維|4 8 2|78 95 3 -2|1.6 5|2 -7 0 18 -12|PB位79 PE位71 殖5.0|益17.2→15.5
1459 聯發|紡織纖維|56 4 -8|100 100 44 35|1.6 7|2 1 0 na na|PB位99 PE位22 殖0.0|益-16.5→-15.7
1463 強盛新|紡織纖維|630 1244 945|87 87 8 17|1.6 58|10 4 0 12 30|PB位77 PE位0 殖7.8|益-29.1→2.2
1464 得力|紡織纖維|94 44 12|92 92 9 28|0.9 35|7 6 0 -10 7|PB位95 PE位16 殖5.3|益5.0→4.9
1466 聚隆|紡織纖維|52 27 5|91 91 44 36|1.1 37|2 2 0 202 4|PB位99 PE位98 殖0.0|益-0.6→0.1
1472 三洋實業|建材營造|59 45 22|100 100 65 74|1.6 17|2 6 0 40 16|PB位87 PE位69 殖2.9|益7.1→6.5
