# 2024-03-01 全池(1192 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
1449 佳和|紡織纖維|204 93 62|87 87 -10 18|0.7 24|8 7 0 -3 3|PB位62 PE位86 殖1.3|益-1.7→-0.1
1455 集盛|紡織纖維|84 50 50|100 100 13 33|1.9 9|3 5 0 22 2|PB位65 PE位na 殖0.8|益-8.6→-9.0
1471 首利|電子零組|86 33 9|69 69 -10 -22|1.2 21|2 3 0 0 na|PB位82 PE位na 殖0.0|益-49.4→-38.2
1476 儒鴻|紡織纖維|25 12 26|95 95 -3 14|1.3 336|41 1 -10 -18 -1|PB位40 PE位68 殖3.0|益19.5→20.7
1477 聚陽|紡織纖維|15 15 10|93 93 1 12|0.5 350|36 -14 -9 -26 -8|PB位94 PE位74 殖3.9|益14.7→15.1
1503 士電|電機機械|24 5 -1|98 98 77 44|2.8 2694|31 3 0 47 -20|PB位100 PE位100 殖1.1|益8.7→8.4
1504 東元|電機機械|9 -0 -4|82 93 3 -2|1.6 325|12 -1 2 -9 -31|PB位93 PE位75 殖3.1|益11.6→11.4
1513 中興電|電機機械|9 17 -1|100 100 44 52|3.7 4543|14 2 0 23 19|PB位100 PE位100 殖1.9|益24.4→20.9
1514 亞力|電機機械|23 39 17|100 100 66 110|2.2 1595|20 1 0 6 24|PB位100 PE位100 殖1.2|益8.6→8.4
1515 力山|電機機械|266 209 109|80 80 -17 40|0.6 52|13 3 0 -1 -7|PB位61 PE位75 殖2.5|益-5.9→3.3
1519 華城|電機機械|267 157 53|96 96 102 84|0.3 5889|22 2 0 -35 -30|PB位100 PE位100 殖0.5|益17.5→19.2
1522 堤維西|汽車工業|23 7 4|100 100 30 58|3.6 206|19 14 -0 -17 -26|PB位100 PE位51 殖3.5|益7.8→8.2
1524 耿鼎|汽車工業|71 40 18|95 95 23 65|1.6 141|6 4 0 -5 -30|PB位99 PE位46 殖2.8|益12.3→14.4
1527 鑽全|電機機械|12 -1 21|96 98 2 5|1.2 6|9 7 0 2 -30|PB位19 PE位83 殖5.8|益11.4→12.2
1528 恩德|電機機械|-6 -6 -8|82 90 27 16|0.5 89|2 0 0 -11 -7|PB位94 PE位98 殖0.7|益1.9→0.3
1529 樂事綠能|電機機械|-35 86 -118|74 97 12 5|1.8 83|1 0 0 -6 -2|PB位88 PE位80 殖1.6|益8.3→13.3
1532 勤美|電機機械|66 56 22|92 92 -0 8|0.8 33|14 -5 -2 -5 -0|PB位91 PE位68 殖3.1|益7.5→9.4
1533 車王電|汽車工業|-11 -21 -46|76 88 -8 -5|0.9 6|6 12 0 -6 -13|PB位23 PE位na 殖0.0|益-8.2→-6.3
1535 中宇|電機機械|19 24 10|100 100 20 27|3.7 8|1 4 0 173 -21|PB位100 PE位70 殖5.0|益4.1→4.3
1536 和大|汽車工業|3 -10 -2|75 82 -12 -16|4.5 80|8 -15 -1 36 8|PB位3 PE位20 殖2.9|益9.7→7.8
1537 廣隆|電機機械|29 20 26|99 100 0 2|1.4 10|17 -15 0 -30 -12|PB位29 PE位100 殖7.4|益11.4→11.5
