# 2024-03-01 全池(1192 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
2301 光寶科|電腦及週|-7 -11 2|72 82 5 -19|1.6 1570|34 -18 -2 17 138|PB位84 PE位90 殖4.0|益9.1→10.0
2302 麗正|半導體業|0 -20 -8|88 96 10 8|2.4 8|2 9 0 7 -6|PB位78 PE位90 殖4.1|益8.6→10.6
2303 聯電|半導體業|-3 -13 7|90 90 -2 4|0.8 2790|31 -15 -0 -1 11|PB位10 PE位61 殖6.2|益27.3→27.1
2305 全友|電腦及週|193 86 57|100 100 24 42|4.1 14|2 12 0 3 -36|PB位94 PE位na 殖0.0|益-27.1→-19.7
2308 台達電|電子零組|10 -1 -6|79 84 -7 -15|1.0 1756|62 -14 -1 2 -17|PB位11 PE位12 殖3.4|益9.7→10.2
2312 金寶|其他電子|-13 -18 -6|86 90 -2 -6|0.6 66|10 -13 -0 -1 20|PB位18 PE位43 殖2.0|益1.9→2.1
2313 華通|電子零組|18 5 14|93 93 7 65|1.6 1692|28 -2 -1 -1 16|PB位99 PE位99 殖3.6|益5.0→6.7
2314 台揚|通信網路|-69 -69 -39|64 79 -11 -15|0.5 30|1 -2 0 -100 na|PB位23 PE位na 殖0.0|益-6.1→-10.7
2316 楠梓電|電子零組|20 -3 21|76 90 0 6|0.6 41|25 5 -1 -10 -7|PB位82 PE位94 殖1.4|益-18.6→-18.7
2317 鴻海|其他電子|-21 -10 1|91 95 0 -4|1.1 2106|38 3 -1 -2 -17|PB位8 PE位57 殖5.2|益2.6→2.7
2323 中環|光電業|15 6 7|72 86 1 -14|0.5 39|8 9 0 1 -14|PB位67 PE位35 殖0.0|益-7.2→-5.0
2324 仁寶|電腦及週|2 1 7|91 91 21 12|0.7 863|45 -7 1 -25 -20|PB位97 PE位96 殖3.3|益1.1→1.2
2327 國巨*|電子零組|18 4 12|89 89 -1 17|1.8 822|51 -16 -4 32 7|PB位37 PE位80 殖1.8|益18.9→19.2
2328 廣宇|電子零組|-17 -14 -13|75 85 -6 -12|1.1 32|12 -11 -0 -3 11|PB位1 PE位4 殖4.3|益5.9→6.0
2329 華泰|半導體業|46 35 21|86 86 48 59|1.4 3221|16 -0 -0 -12 50|PB位99 PE位86 殖1.2|益7.2→10.3
2330 台積電|半導體業|8 -3 2|99 99 22 25|1.1 25347|74 17 -0 16 -68|PB位49 PE位59 殖1.9|益43.8→43.0
2331 精英|電腦及週|-27 -18 16|79 79 10 -19|1.2 130|14 -1 -0 13 -8|PB位86 PE位24 殖3.1|益3.4→3.0
2332 友訊|通信網路|-20 -17 -8|74 76 1 -24|1.0 65|8 -13 0 -1 17|PB位52 PE位57 殖2.8|益2.4→1.7
2337 旺宏|半導體業|-13 -26 8|81 81 -0 -19|0.6 203|14 -24 -2 4 25|PB位3 PE位na 殖1.8|益-4.2→-5.8
2338 光罩|半導體業|46 15 16|74 90 2 -1|1.2 57|7 8 -2 -4 -12|PB位10 PE位49 殖3.6|益10.6→10.0
2340 台亞|半導體業|24 22 24|73 80 -15 -16|1.3 53|13 -2 0 -12 -11|PB位64 PE位77 殖2.4|益0.7→3.0
2342 茂矽|半導體業|-8 -28 2|67 83 -12 -14|1.0 10|0 3 0 -4 -1|PB位2 PE位na 殖6.4|益-7.3→-7.4
2344 華邦電|半導體業|31 10 22|90 90 3 10|0.5 612|22 -4 -3 3 19|PB位48 PE位na 殖3.6|益-3.9→-2.2
2345 智邦|通信網路|-6 -5 -15|89 89 -4 6|1.5 1634|67 8 -12 -25 5|PB位81 PE位66 殖1.5|益13.0→13.3
2347 聯強|電子通路|47 20 21|99 99 12 27|1.1 213|29 26 5 95 -22|PB位82 PE位100 殖4.6|益2.2→2.1
2348 海悅|其他|641 330 237|100 100 18 49|1.1 24|3 22 0 -3 1|PB位71 PE位91 殖4.8|益25.6→28.3
2351 順德|半導體業|11 -3 2|77 84 -11 1|0.6 47|15 -15 -3 3 6|PB位16 PE位36 殖2.5|益9.8→9.4
2352 佳世達|電腦及週|3 -5 8|81 98 8 5|0.5 351|13 1 0 -2 14|PB位96 PE位98 殖4.3|益2.7→2.7
2353 宏碁|電腦及週|12 7 14|85 85 31 26|0.5 1730|37 -6 0 -18 16|PB位96 PE位96 殖3.3|益1.2→1.6
2354 鴻準|其他電子|-63 -67 -51|81 81 -7 -11|1.0 81|17 -9 -0 -3 10|PB位10 PE位22 殖3.2|益1.6→1.8
2355 敬鵬|電子零組|15 5 7|93 93 6 30|1.1 468|23 -9 0 23 68|PB位98 PE位31 殖1.7|益2.3→3.8
2356 英業達|電腦及週|18 9 11|78 96 37 3|0.5 2529|21 -0 -0 -18 -3|PB位93 PE位94 殖2.7|益1.1→1.3
2357 華碩|電腦及週|34 6 9|93 93 21 13|0.9 1545|57 -12 -4 -38 0|PB位98 PE位80 殖3.3|益-0.6→2.1
2359 所羅門|其他電子|-23 -14 1|91 94 9 -6|1.1 55|3 -3 0 -11 -4|PB位92 PE位36 殖3.8|益2.9→2.6
2360 致茂|其他電子|5 1 12|79 83 10 -18|2.0 731|66 -5 2 26 68|PB位61 PE位87 殖2.8|益27.3→26.7
2362 藍天|電腦及週|17 24 -4|84 84 20 27|0.3 110|5 2 0 -5 -36|PB位95 PE位78 殖3.8|益7.7→7.4
2363 矽統|半導體業|70 8 -29|75 75 -5 27|1.5 517|5 -1 -0 5 -5|PB位91 PE位55 殖0.7|益-345.3→-226.2
2364 倫飛|電腦及週|25 19 2|65 65 -21 21|0.5 30|16 -5 0 -4 -5|PB位48 PE位39 殖2.6|益5.6→5.5
2365 昆盈|電腦及週|58 43 46|100 100 113 125|0.3 254|5 0 0 51 29|PB位100 PE位91 殖0.8|益-0.7→3.0
2367 燿華|電子零組|29 10 18|96 96 8 25|1.7 163|7 0 -0 7 13|PB位96 PE位na 殖1.4|益-4.1→-2.7
2368 金像電|電子零組|69 24 25|95 95 24 25|1.0 2440|23 5 1 -25 -49|PB位99 PE位99 殖1.3|益13.4→16.0
2369 菱生|半導體業|22 16 13|93 93 14 41|1.2 549|16 -1 0 54 22|PB位88 PE位na 殖1.1|益-5.4→-4.3
2371 大同|電機機械|-5 20 -31|94 100 32 4|2.6 913|13 -4 -0 -17 6|PB位95 PE位86 殖0.0|益5.7→5.0
2374 佳能|光電業|48 22 22|95 95 -2 12|0.6 32|11 6 -0 -33 -27|PB位86 PE位59 殖1.7|益-4.4→1.0
2375 凱美|電子零組|54 13 22|84 85 -11 5|0.8 19|6 -8 0 2 14|PB位24 PE位83 殖2.3|益3.5→4.6
2376 技嘉|電腦及週|106 66 23|95 95 57 2|1.1 7674|23 2 2 -6 -8|PB位99 PE位98 殖1.7|益4.2→3.7
2377 微星|電腦及週|25 14 5|94 94 14 19|0.6 704|33 -3 -3 -12 12|PB位80 PE位96 殖3.5|益6.1→5.6
2379 瑞昱|半導體業|60 25 30|99 99 26 41|2.1 1905|47 7 8 64 9|PB位66 PE位99 殖4.8|益7.6→7.6
2382 廣達|電腦及週|-19 -13 1|87 89 21 -5|0.8 8130|26 -2 -4 -4 -0|PB位89 PE位88 殖2.5|益3.7→4.0
2383 台光電|電子零組|104 67 48|91 91 24 19|1.2 3352|30 5 2 -4 -39|PB位90 PE位90 殖1.7|益14.4→17.2
2385 群光|電子零組|9 -4 7|98 98 20 82|1.1 548|37 8 2 83 -8|PB位100 PE位100 殖4.0|益7.9→9.2
2387 精元|電腦及週|54 6 8|99 99 17 44|1.0 111|21 20 1 -21 -20|PB位87 PE位93 殖5.5|益5.7→7.4
2388 威盛|半導體業|43 78 30|74 74 -18 14|0.3 929|9 -2 -0 -1 20|PB位86 PE位89 殖0.1|益-3.2→-1.9
2390 云辰|其他電子|10 8 -3|81 81 -15 10|0.6 20|3 -5 0 -9 1|PB位48 PE位na 殖0.0|益0.3→-2.0
2392 正崴|電子零組|4 9 13|89 89 6 1|0.8 60|18 -3 -0 -26 -8|PB位84 PE位60 殖4.8|益0.9→2.7
2393 億光|光電業|16 5 11|100 100 11 12|1.3 57|29 1 0 1 -15|PB位83 PE位95 殖4.8|益10.4→10.3
2395 研華|電腦及週|-12 -12 -6|96 100 13 12|1.3 505|42 20 -0 -50 84|PB位40 PE位59 殖2.4|益20.1→19.1
2399 映泰|電腦及週|15 6 -2|93 97 13 10|1.8 62|4 5 0 6 -38|PB位89 PE位na 殖0.0|益-1.9→-3.5
2401 凌陽|半導體業|42 31 35|89 89 -9 2|0.6 100|17 1 0 -2 -9|PB位71 PE位na 殖1.8|益-5.0→-3.4
2402 毅嘉|電子零組|13 8 -6|72 72 -1 -20|0.8 125|6 4 0 -5 -18|PB位80 PE位41 殖2.9|益3.8→5.3
2404 漢唐|其他電子|-1 7 -55|100 100 20 37|1.1 236|28 -5 6 5 9|PB位85 PE位83 殖5.0|益9.1→8.7
2405 輔信|電腦及週|5 15 15|95 95 16 41|2.0 224|15 6 0 1 -15|PB位98 PE位na 殖1.0|益-2.3→-1.8
2406 國碩|光電業|56 28 57|86 100 7 13|1.5 17|7 17 0 5 -33|PB位38 PE位na 殖0.0|益-27.5→-26.5
2408 南亞科|半導體業|36 24 52|83 83 -5 -1|1.0 925|17 -14 -5 -33 21|PB位48 PE位na 殖3.2|益-45.1→-49.1
2409 友達|光電業|16 18 7|83 89 5 -4|0.6 529|23 -7 -3 -10 -28|PB位56 PE位na 殖4.7|益-13.6→-9.2
2412 中華電|通信網路|1 4 1|98 99 1 3|1.5 736|16 -18 -1 17 53|PB位58 PE位51 殖3.9|益22.7→22.3
2413 環科|電子零組|19 -12 -17|72 95 9 6|0.5 11|1 16 0 -3 -24|PB位61 PE位30 殖1.7|益2.1→3.0
2417 圓剛|電腦及週|29 0 12|98 98 0 89|2.3 67|5 3 0 28 -2|PB位86 PE位na 殖0.5|益-7.1→-5.0
2419 仲琦|通信網路|-34 -30 -5|59 78 2 -22|0.4 39|1 -1 0 -4 -1|PB位83 PE位100 殖1.0|益2.9→2.1
2420 新巨|電子零組|7 -11 6|100 100 11 17|3.4 17|6 12 -0 -15 -28|PB位100 PE位99 殖6.6|益24.2→25.3
2421 建準|電子零組|46 8 8|87 95 40 -1|1.1 2549|23 1 -0 -16 4|PB位90 PE位82 殖2.0|益11.9→12.0
2423 固緯|其他電子|-8 7 1|93 93 17 23|0.7 21|7 7 0 -32 35|PB位95 PE位57 殖5.3|益16.1→16.3
2425 承啟|電腦及週|35 24 8|81 91 8 -0|1.0 67|6 1 0 -5 -23|PB位84 PE位91 殖1.7|益3.3→3.6
2426 鼎元|光電業|29 26 26|89 95 2 8|1.2 17|11 13 0 -8 1|PB位56 PE位na 殖1.0|益-9.6→-7.7
2427 三商電|資訊服務|22 19 8|76 80 -13 7|0.4 17|3 1 0 -2 1|PB位78 PE位80 殖1.5|益8.4→6.1
2428 興勤|電子零組|7 1 3|100 100 19 15|1.9 83|14 4 0 13 -16|PB位66 PE位80 殖3.0|益21.3→21.9
2431 聯昌|電子零組|1 -19 16|98 98 28 35|2.7 25|1 -1 0 127 66|PB位98 PE位na 殖0.7|益-22.8→-20.3
2436 偉詮電|半導體業|63 30 15|84 84 -12 -9|0.6 94|8 7 0 -6 -40|PB位50 PE位67 殖1.8|益-3.0→-1.0
2438 翔耀|光電業|500 146 134|84 93 -1 3|4.1 6|1 2 0 na na|PB位87 PE位na 殖0.0|益-36.3→-43.1
2439 美律|通信網路|31 21 14|97 97 8 35|1.4 157|24 4 -0 29 12|PB位81 PE位85 殖4.1|益1.6→2.6
2440 太空梭|電子零組|248 95 72|89 89 17 -9|2.1 11|1 3 0 -30 na|PB位68 PE位na 殖0.0|益-3.1→-3.0
2441 超豐|半導體業|39 25 29|94 94 2 8|1.0 29|14 5 -8 1 -12|PB位32 PE位81 殖4.2|益16.7→16.1
2442 新美齊|建材營造|2139 4668 3433|98 98 14 44|1.0 50|5 7 0 3 21|PB位98 PE位51 殖0.6|益10.5→8.4
2449 京元電子|半導體業|9 1 9|94 94 11 16|1.8 784|38 -0 1 -10 -16|PB位96 PE位99 殖3.6|益21.2→22.1
2450 神腦|通信網路|-7 -6 -7|95 95 -1 7|1.2 8|3 -4 -0 -55 -20|PB位86 PE位60 殖5.2|益1.4→1.5
2451 創見|半導體業|37 16 22|99 99 3 16|1.2 31|13 -4 -0 -0 -34|PB位93 PE位66 殖6.8|益10.8→14.4
2453 凌群|資訊服務|1 8 1|72 92 3 6|0.6 54|4 -5 0 -7 -3|PB位76 PE位75 殖4.0|益5.5→4.5
2454 聯發科|半導體業|99 44 49|97 97 22 60|2.0 8977|61 15 -0 -22 -8|PB位100 PE位83 殖5.0|益15.0→15.5
2455 全新|通信網路|148 110 76|100 100 7 20|1.6 738|39 10 4 -15 -32|PB位99 PE位81 殖1.3|益11.8→15.4
2457 飛宏|電子零組|13 -13 -6|72 85 -4 -13|1.1 323|8 0 0 -5 1|PB位69 PE位23 殖0.0|益3.5→3.5
2458 義隆|半導體業|22 47 38|97 97 13 41|1.6 366|35 15 -1 -23 -1|PB位78 PE位81 殖3.0|益14.2→19.1
2459 敦吉|其他電子|-5 -8 -3|99 99 13 14|1.2 6|18 -14 0 -42 1|PB位75 PE位99 殖5.7|益6.6→9.0
2460 建通|電子零組|97 44 37|99 99 48 54|2.3 167|4 -0 0 74 -9|PB位98 PE位na 殖0.0|益-11.7→-11.2
2461 光群雷|其他電子|-1 -3 7|85 90 -8 -0|0.9 20|7 -12 0 -4 -9|PB位57 PE位90 殖7.7|益1.0→1.1
2462 良得電|電子零組|34 2 12|91 91 1 12|2.0 24|2 14 0 -24 -22|PB位90 PE位8 殖1.5|益4.1→6.3
2464 盟立|其他電子|-29 -24 -5|92 94 9 -3|3.8 26|3 -4 -1 56 22|PB位62 PE位100 殖4.6|益0.7→0.5
2465 麗臺|電腦及週|68 63 59|100 100 178 307|0.5 247|10 3 0 -21 na|PB位97 PE位na 殖0.0|益-7.5→-5.1
2467 志聖|電子零組|16 -0 28|92 92 129 177|1.8 518|7 -1 -0 22 91|PB位99 PE位99 殖2.9|益10.8→10.5
2468 華經|資訊服務|29 -10 -19|69 83 -1 3|0.8 9|1 1 0 1 -13|PB位81 PE位48 殖2.0|益3.7→3.6
2471 資通|資訊服務|-25 3 2|86 95 2 8|0.9 22|5 -14 0 -2 3|PB位86 PE位83 殖5.1|益7.9→6.9
2472 立隆電|電子零組|39 15 21|96 96 16 27|0.7 67|5 8 -0 3 -7|PB位63 PE位85 殖4.9|益15.2→15.5
2474 可成|其他電子|10 -25 -4|98 98 3 14|0.8 249|35 -9 6 7 -8|PB位84 PE位94 殖5.1|益13.0→10.7
2476 鉅祥|電子零組|25 -2 9|98 98 33 75|1.5 370|7 -4 -0 15 40|PB位98 PE位94 殖2.8|益11.2→12.6
2480 敦陽科|資訊服務|2 -2 -11|100 100 4 11|2.7 27|7 1 -0 -4 -17|PB位80 PE位100 殖4.9|益12.5→12.3
2481 強茂|半導體業|19 12 10|81 88 -2 -3|0.3 58|10 -0 -0 -6 -3|PB位12 PE位88 殖4.8|益7.0→7.0
2482 連宇|其他電子|-67 -56 -113|46 64 -16 -31|0.6 14|1 4 0 -2 -8|PB位64 PE位5 殖4.4|益23.1→17.2
2484 希華|電子零組|-10 -11 15|95 96 6 10|3.6 54|6 0 0 -6 -8|PB位37 PE位82 殖6.2|益14.7→13.3
2485 兆赫|通信網路|-7 -29 -22|72 72 -7 -19|0.7 25|6 4 -1 -2 -18|PB位76 PE位19 殖0.0|益-5.7→-3.3
2486 一詮|光電業|39 30 25|91 91 12 22|0.7 442|5 0 -0 -4 3|PB位80 PE位78 殖0.8|益2.8→2.4
2488 漢平|其他電子|8 -4 15|98 98 9 24|2.5 14|9 21 0 -19 -27|PB位98 PE位43 殖6.5|益13.0→15.8
2489 瑞軒|光電業|42 27 15|89 89 26 21|1.5 73|12 -1 0 41 208|PB位86 PE位na 殖0.0|益-1.0→-0.3
2492 華新科|電子零組|21 11 12|79 79 -8 15|0.8 276|12 -16 -0 8 47|PB位48 PE位67 殖2.2|益3.0→4.4
2493 揚博|電子零組|3 3 4|97 97 19 36|1.3 40|10 9 -0 -9 -13|PB位99 PE位76 殖4.4|益25.3→25.2
2495 普安|電腦及週|-1 -15 -15|92 99 19 16|6.3 20|18 -4 0 22 3|PB位94 PE位16 殖2.4|益14.0→15.7
2497 怡利電|汽車工業|13 3 -6|70 81 -12 -10|0.9 20|1 10 -1 -3 -14|PB位16 PE位9 殖1.2|益5.1→5.6
2498 宏達電|通信網路|5 5 2|73 89 1 -7|0.7 228|10 -11 -0 -2 11|PB位45 PE位na 殖0.0|益-97.9→-99.6
2501 國建|建材營造|102 39 0|95 95 15 22|0.6 30|8 -1 1 45 -14|PB位59 PE位15 殖2.7|益12.9→12.5
2504 國產|建材營造|47 16 8|100 100 27 26|2.1 124|16 36 1 -16 -38|PB位94 PE位74 殖5.9|益18.6→18.8
2505 國揚|建材營造|-51 -12 49|93 93 20 17|0.7 8|6 -3 0 1 10|PB位58 PE位96 殖0.0|益-12.6→-10.5
2506 太設|建材營造|154 299 207|94 94 9 11|0.4 10|5 21 0 -28 57|PB位55 PE位na 殖3.0|益14.1→11.5
2511 太子|建材營造|-15 -8 12|88 92 -6 -5|1.9 15|7 -45 0 3 51|PB位3 PE位78 殖4.8|益7.1→6.2
2514 龍邦|其他|625 293 144|84 95 -3 -5|1.9 8|2 8 0 12 3|PB位3 PE位53 殖0.0|益4.9→4.5
2515 中工|建材營造|58 29 -8|86 86 10 23|0.4 99|16 3 -0 2 -21|PB位96 PE位84 殖4.3|益4.8→4.8
2516 新建|建材營造|21 23 -5|85 85 3 65|0.6 20|3 3 0 na na|PB位95 PE位na 殖0.0|益2.1→2.4
2520 冠德|建材營造|28 -12 -16|96 96 4 23|0.7 57|17 4 0 2 31|PB位63 PE位88 殖4.5|益17.3→18.5
2527 宏璟|建材營造|244 178 13|98 98 20 35|1.5 13|43 15 0 1 1|PB位88 PE位74 殖3.2|益-10.7→16.2
2528 皇普|建材營造|-100 -78 -32092|96 96 28 36|0.8 24|1 0 0 -5 53|PB位99 PE位90 殖1.3|益21.1→19.1
2530 華建|建材營造|840 64811 48638|98 98 34 48|0.8 48|2 3 0 1 1|PB位99 PE位74 殖1.1|益-496.7→-596.5
2534 宏盛|建材營造|-79 -85 -26|90 97 -1 5|0.7 6|6 17 -0 -0 -25|PB位16 PE位26 殖8.7|益25.8→25.1
2535 達欣工|建材營造|31 9 20|99 99 15 27|0.7 14|8 -1 0 -1 20|PB位98 PE位98 殖5.0|益8.0→8.6
2537 聯上發|建材營造|221 73 -5895|98 98 16 40|1.2 25|6 13 0 54 1|PB位97 PE位na 殖0.0|益2.0→7.4
2538 基泰|建材營造|-11 16 -2|91 91 -4 7|0.4 7|12 -7 0 -6 -10|PB位91 PE位37 殖3.3|益-30.6→1.4
2539 櫻花建|建材營造|-23 na na|97 97 25 54|2.5 60|2 23 0 1 -4|PB位100 PE位100 殖2.9|益26.3→29.6
2540 愛山林|建材營造|250 178 73|95 95 -4 29|0.5 55|1 12 0 -1 -17|PB位97 PE位80 殖4.5|益23.0→24.0
2542 興富發|建材營造|-82 -74 -579|94 94 -3 2|0.7 74|9 -5 -1 -12 12|PB位6 PE位45 殖3.8|益26.8→27.9
2543 皇昌|建材營造|63 47 4|100 100 38 331|1.8 207|7 7 0 20 -27|PB位100 PE位76 殖0.7|益3.6→5.3
2545 皇翔|建材營造|17 142 151|98 98 8 10|0.9 9|4 12 0 -47 -21|PB位93 PE位99 殖10.7|益1.3→11.0
2546 根基|建材營造|26 -7 -16|100 100 19 19|2.5 11|3 6 -0 77 -17|PB位100 PE位97 殖5.1|益9.2→7.9
2548 華固|建材營造|-100 1820 1274|100 100 5 11|2.9 35|18 -12 -0 -13 37|PB位32 PE位33 殖7.5|益30.8→28.5
2596 綠意|建材營造|427 275 -13608|90 90 36 34|1.7 6|1 9 0 22 23|PB位98 PE位98 殖3.2|益-24.1→5.7
2597 潤弘|建材營造|60 15 16|100 100 16 20|1.1 12|1 6 0 -4 19|PB位83 PE位76 殖8.2|益8.1→9.4
2603 長榮|航運業|8 -16 32|100 100 45 56|0.7 2648|32 7 1 -18 16|PB位43 PE位79 殖42.4|益15.8→14.5
2605 新興|航運業|6 -8 -13|93 93 28 35|0.7 179|35 11 1 -12 -32|PB位58 PE位32 殖1.8|益13.1→10.7
2606 裕民|航運業|71 45 35|94 96 14 19|0.7 251|11 12 -0 -13 -50|PB位49 PE位78 殖5.5|益16.7→16.7
2607 榮運|航運業|45 30 30|92 92 12 18|0.3 69|15 4 4 -16 -2|PB位61 PE位43 殖3.8|益14.8→15.9
2608 嘉里大榮|航運業|34 10 10|98 98 0 1|1.3 6|5 -18 0 -4 -4|PB位15 PE位15 殖4.3|益12.0→12.5
2609 陽明|航運業|10 -23 31|85 85 17 16|0.4 1363|14 -4 -1 -1 22|PB位20 PE位81 殖40.7|益4.2→1.6
2610 華航|航運業|6 14 -9|72 86 -6 -14|0.7 337|10 -9 -0 -1 11|PB位19 PE位34 殖2.3|益7.3→6.6
2611 志信|航運業|86 65 62|95 95 26 38|0.4 21|3 6 0 -26 -0|PB位74 PE位45 殖0.0|益-9.9→-7.2
2612 中航|航運業|6 5 12|81 81 15 20|0.4 24|3 -5 0 -14 17|PB位57 PE位84 殖4.5|益9.6→8.6
2614 東森|其他|2 -0 0|52 79 -14 -2|1.0 13|3 6 0 5 -6|PB位21 PE位na 殖0.0|益-2.1→-1.3
2615 萬海|航運業|-3 -21 31|67 83 8 9|0.6 294|40 -1 -0 -8 1|PB位14 PE位na 殖10.0|益-9.8→-6.7
2617 台航|航運業|10 3 0|98 98 18 25|1.0 37|6 7 -0 -14 -40|PB位63 PE位44 殖6.2|益30.6→29.4
2618 長榮航|航運業|16 28 -16|77 93 0 -2|0.5 1122|26 3 -2 -5 28|PB位42 PE位8 殖2.6|益15.1→15.0
2630 亞航|航運業|1 21 -2|53 76 -13 -12|0.4 29|0 1 0 na 10|PB位71 PE位65 殖1.1|益-0.4→1.4
2633 台灣高鐵|航運業|-1 6 -30|92 97 0 0|1.6 72|10 -15 -2 -20 43|PB位16 PE位1 殖2.2|益41.8→41.0
2634 漢翔|航運業|31 13 -20|78 79 -4 -19|0.7 187|2 2 -1 -3 2|PB位73 PE位9 殖2.2|益7.6→7.1
2636 台驊控股|航運業|36 13 45|94 94 20 28|0.4 100|21 -4 -4 12 31|PB位54 PE位79 殖11.2|益8.2→6.1
2637 慧洋-KY|航運業|22 10 35|97 100 31 34|1.1 226|12 18 3 -14 -37|PB位48 PE位76 殖10.6|益na→16.2
2641 正德|航運業|59 46 44|90 90 17 35|0.4 56|5 7 0 -15 2|PB位40 PE位53 殖7.2|益36.0→39.0
2645 長榮航太|航運業|28 25 -2|na 77 0 -20|0.9 58|5 5 -0 -8 -18|PB位27 PE位34 殖3.8|益14.1→13.8
2705 六福|觀光餐旅|-20 7 -47|63 85 -5 -4|0.7 7|3 -4 0 -6 1|PB位49 PE位na 殖0.0|益-4.5→-1.0
2707 晶華|觀光餐旅|-10 2 -18|66 85 -4 -9|0.8 50|12 -6 -1 -2 1|PB位49 PE位37 殖4.3|益27.5→26.1
2722 夏都|觀光餐旅|-52 -31 -22|46 70 -20 -13|0.2 8|0 0 0 -8 2|PB位77 PE位74 殖1.0|益12.0→15.9
2723 美食-KY|觀光餐旅|-13 -5 -9|55 78 -12 -22|0.9 60|47 -28 -1 14 55|PB位2 PE位31 殖2.8|益na→6.2
2727 王品|觀光餐旅|-16 3 -18|71 87 -0 -3|0.7 219|20 -20 0 -0 67|PB位65 PE位4 殖2.0|益8.4→8.2
2729 瓦城|觀光餐旅|-31 -4 -25|77 81 0 -20|1.3 28|4 -22 -2 -24 50|PB位68 PE位30 殖2.2|益12.4→11.5
2731 雄獅|觀光餐旅|49 165 -513|61 76 -15 -12|0.8 105|10 3 -17 1 -13|PB位2 PE位2 殖0.0|益3.6→4.1
2732 六角|觀光餐旅|2 -0 2|69 96 14 7|0.6 46|5 1 0 9 0|PB位63 PE位16 殖4.8|益9.9→9.7
2734 易飛網|觀光餐旅|76 201 -244|49 71 -17 -7|0.8 5|7 4 0 na na|PB位47 PE位6 殖0.0|益2.0→2.2
2736 富野|觀光餐旅|-67 -47 -44|50 78 -11 -19|0.3 11|1 -2 0 -2 10|PB位73 PE位85 殖0.8|益6.0→-1.2
2739 寒舍|觀光餐旅|3 11 -39|60 76 -13 16|0.3 63|3 1 0 18 39|PB位70 PE位2 殖0.0|益9.9→11.5
2743 山富|觀光餐旅|77 256 -771|62 76 -14 -1|0.4 32|0 -0 0 -8 8|PB位72 PE位4 殖0.0|益8.8→8.1
2745 五福|觀光餐旅|150 530 -2283|67 79 -7 2|0.4 14|1 -2 0 na -50|PB位59 PE位5 殖0.0|益3.7→5.0
2748 雲品|觀光餐旅|10 9 -8|62 80 -10 -6|0.5 89|1 1 -6 17 -2|PB位62 PE位11 殖1.7|益12.1→11.4
2753 八方雲集|觀光餐旅|18 12 3|70 96 -1 3|1.1 27|8 -2 -1 2 -20|PB位40 PE位70 殖4.4|益9.7→9.5
2754 亞洲藏壽司|觀光餐旅|1 13 -15|52 78 -5 -19|1.0 9|74 -21 0 3 7|PB位54 PE位6 殖1.3|益7.8→7.2
2801 彰銀|金融保險|26 6 -8|98 98 -0 1|0.9 116|14 6 0 -14 -32|PB位15 PE位8 殖4.5|益na→na
2809 京城銀|金融保險|12 10 -155|100 100 13 20|2.4 45|16 14 1 -24 6|PB位95 PE位41 殖6.7|益na→na
2812 台中銀|金融保險|18 18 2|100 100 8 14|2.0 126|11 7 -0 65 -2|PB位99 PE位68 殖5.7|益na→na
2816 旺旺保|金融保險|19 13 -8|85 85 -11 34|0.3 23|2 3 0 1 -1|PB位90 PE位80 殖0.0|益na→14.6
2820 華票|金融保險|61 290 178|98 98 1 1|2.4 6|6 -18 0 -7 -8|PB位1 PE位65 殖3.4|益na→na
2832 台產|金融保險|20 16 2|99 99 7 13|0.6 7|4 -11 0 -4 6|PB位99 PE位45 殖3.8|益na→20.3
2834 臺企銀|金融保險|20 11 -1|98 100 4 4|1.9 115|17 8 -0 -8 -14|PB位74 PE位26 殖2.4|益na→na
2836 高雄銀|金融保險|9 1 -0|95 95 -2 -3|2.3 20|6 -15 0 5 52|PB位24 PE位51 殖0.0|益na→na
2838 聯邦銀|金融保險|6 4 -11|90 99 2 -1|1.2 17|3 -16 -0 9 -3|PB位63 PE位55 殖4.2|益na→na
2845 遠東銀|金融保險|17 -4 -16|97 97 4 6|1.1 30|10 -6 -0 20 -20|PB位92 PE位7 殖3.3|益na→na
2850 新產|金融保險|11 5 -1|98 98 -0 21|1.0 18|11 26 -0 21 -9|PB位98 PE位80 殖3.6|益na→17.3
2851 中再保|金融保險|15 10 3|89 92 -2 -6|1.7 11|2 -6 0 -1 33|PB位39 PE位48 殖0.0|益12.8→11.2
2855 統一證|金融保險|123 83 30|100 100 11 4|2.4 20|9 28 0 16 -14|PB位60 PE位65 殖1.9|益na→na
2880 華南金|金融保險|28 25 12|97 98 0 5|1.1 139|18 1 -0 4 -14|PB位53 PE位11 殖2.7|益na→na
2881 富邦金|金融保險|139 131 93|99 99 6 10|1.0 766|19 18 -1 -6 -2|PB位84 PE位83 殖2.2|益na→na
2882 國泰金|金融保險|27 196 150|94 95 -2 -3|1.2 667|20 -3 0 6 -11|PB位68 PE位72 殖2.0|益na→na
