score,exit,cell,fold,cagr,sortino,mdd,boot_p5,key
role20,grid,g_tp0.6_trnone_ab0.15_tdnone,WF,0.3177120272200513,1.762920118567208,-0.3254652105193831,-0.0179,role20|grid|g_tp0.6_trnone_ab0.15_tdnone
role20,grid,g_tp0.6_tr0.3_abnone_td50,WF,0.3154741609038245,1.8653081360477484,-0.3378362299836744,-0.0162,role20|grid|g_tp0.6_tr0.3_abnone_td50
role20,grid,g_tp0.6_tr0.3_ab0.15_td50,WF,0.3124416356067134,1.7716425935303166,-0.3545329372056855,-0.0151,role20|grid|g_tp0.6_tr0.3_ab0.15_td50
role20,grid,g_tp0.8_tr0.3_abnone_tdnone,WF,0.3110167586309351,1.6933844846010715,-0.3077795987409361,-0.0113,role20|grid|g_tp0.8_tr0.3_abnone_tdnone
role20,grid,g_tp0.8_tr0.3_ab0.15_tdnone,WF,0.3104920859734441,1.635818047573488,-0.2915244370722817,-0.0029,role20|grid|g_tp0.8_tr0.3_ab0.15_tdnone
role20,grid,g_tp0.4_tr0.3_abnone_tdnone,WF,0.3096018467463191,1.7436333530021049,-0.3244935280614964,0.0078,role20|grid|g_tp0.4_tr0.3_abnone_tdnone
role20,grid,g_tp0.4_tr0.3_ab0.15_td50,WF,0.3094677043799116,1.898626783349894,-0.2503535263848269,0.0362,role20|grid|g_tp0.4_tr0.3_ab0.15_td50
role20,grid,g_tp0.4_trnone_ab0.15_td50,WF,0.3094677043799116,1.898626783349894,-0.2503535263848269,0.0356,role20|grid|g_tp0.4_trnone_ab0.15_td50
role20,grid,g_tp0.6_trnone_ab0.15_td50,WF,0.3054978856374752,1.8003437203940915,-0.3144095462890751,-0.0183,role20|grid|g_tp0.6_trnone_ab0.15_td50
role20,grid,g_tp0.8_tr0.3_abnone_td50,WF,0.3024457345594669,1.7434071791558072,-0.3222489932331179,-0.0238,role20|grid|g_tp0.8_tr0.3_abnone_td50
role20,grid,g_tp0.4_tr0.3_ab0.15_tdnone,WF,0.302366202026378,1.695711089136174,-0.3090749827239365,-0.0076,role20|grid|g_tp0.4_tr0.3_ab0.15_tdnone
