# 2024-08-01 全池(1346 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|55 42 41|92 99 5 6|0.9 615
1102 亞泥|水泥工業|3 -10 2|94 94 -2 8|0.8 540
1103 嘉泥|水泥工業|-8 3 -13|89 99 1 3|0.7 9
1104 環泥|水泥工業|10 9 2|91 91 -5 17|1.4 62
1108 幸福|水泥工業|-20 -7 -18|92 95 -4 7|0.5 7
1109 信大|水泥工業|-19 -19 -11|87 87 -11 3|0.8 10
1110 東泥|水泥工業|6 -1 -9|100 100 20 37|1.6 16
1201 味全|食品工業|8 13 2|93 97 -2 -1|1.0 14
1210 大成|食品工業|-8 -8 -1|92 95 0 -1|1.2 76
1215 卜蜂|食品工業|-12 -10 -5|89 89 -5 4|0.8 63
1216 統一|食品工業|17 18 1|94 94 7 16|1.7 898
1217 愛之味|食品工業|-4 4 3|87 95 3 10|0.8 20
1218 泰山|食品工業|-14 -4 -5|79 90 -4 1|0.6 17
1219 福壽|食品工業|-22 -15 -4|88 94 -6 -5|0.8 6
1225 福懋油|食品工業|-17 -12 -2|100 100 127 177|1.0 18
1227 佳格|食品工業|-8 1 -1|95 95 7 10|0.4 36
1229 聯華|食品工業|-3 13 -3|90 90 -4 -2|1.8 107
1231 聯華食|食品工業|6 10 7|100 100 22 39|1.5 25
1232 大統益|食品工業|-9 -6 3|100 100 4 7|1.3 14
1234 黑松|食品工業|-3 -1 -4|95 95 -1 7|0.6 6
1256 鮮活果汁-KY|食品工業|-26 -19 -27|58 70 -15 -19|1.0 5
1268 漢來美食|觀光餐旅|32 18 -3|98 98 6 9|0.4 9
1301 台塑|塑膠工業|7 6 9|70 81 -14 -18|0.6 566
1303 南亞|塑膠工業|10 4 15|71 81 -12 -18|0.6 500
1304 台聚|塑膠工業|14 6 14|68 89 4 -10|0.8 61
1305 華夏|塑膠工業|13 -7 5|71 88 3 -10|0.7 36
1307 三芳|塑膠工業|2 9 8|95 95 1 27|0.6 15
1308 亞聚|塑膠工業|-4 -9 10|73 86 4 -13|1.7 45
1309 台達化|塑膠工業|53 38 29|93 96 25 18|1.0 49
1310 台苯|塑膠工業|90 55 42|85 97 6 -2|0.6 16
1312 國喬|塑膠工業|47 31 32|80 95 10 2|0.8 63
1313 聯成|塑膠工業|6 13 -7|74 83 -7 -12|0.7 23
1314 中石化|塑膠工業|18 22 -27|95 95 -3 14|0.9 336
1316 上曜|建材營造|340 171 153|87 87 9 74|1.5 354
1319 東陽|汽車工業|0 12 -3|76 76 -13 16|0.7 296
1321 大洋|塑膠工業|27 15 21|87 87 -13 3|0.6 7
1325 恆大|塑膠工業|-26 -25 -5|62 74 6 -21|0.4 19
1326 台化|塑膠工業|24 28 21|74 86 -12 -14|0.8 448
1336 台翰|電子零組|13 11 21|95 97 13 7|1.0 7
1339 昭輝|汽車工業|-7 -9 -14|77 77 -20 5|0.4 13
1342 八貫|其他|-2 5 4|69 69 -20 -13|0.5 42
1402 遠東新|紡織纖維|5 7 3|96 96 9 18|0.8 452
1409 新纖|紡織纖維|9 19 10|96 96 3 17|0.5 103
1414 東和|紡織纖維|-7 6 5|91 91 17 34|0.4 13
1416 廣豐|其他|23 23 -3|92 92 -8 12|0.9 5
1418 東華|紡織纖維|-57 109 81|88 88 14 65|0.2 7
1423 利華|紡織纖維|-48 -27 -20|97 97 39 43|0.4 7
1434 福懋|紡織纖維|4 5 14|88 95 -0 -5|1.3 24
1436 華友聯|建材營造|2815 2511 1856|91 91 12 118|1.4 188
1437 勤益控|其他|1 14 1|93 93 4 20|0.3 6
1438 三地開發|建材營造|na na na|100 100 72 131|2.7 39
1440 南紡|紡織纖維|-19 -14 2|91 91 -4 21|0.7 43
1442 名軒|建材營造|710 1619 -18659|100 100 12 89|0.7 133
1444 力麗|紡織纖維|-13 -9 12|94 98 6 1|0.8 26
1445 大宇|紡織纖維|-36 -25 2|72 72 -16 -7|0.9 5
1446 宏和|紡織纖維|3291 2184 855|90 90 11 53|0.5 63
1447 力鵬|紡織纖維|-34 51 39|98 98 32 37|0.8 60
1449 佳和|紡織纖維|-3 13 -20|79 90 14 8|6.6 27
1453 大將|建材營造|100 100 -29631|89 89 -11 85|1.0 28
1454 台富|紡織纖維|10 9 10|94 94 22 23|1.8 8
1455 集盛|紡織纖維|71 56 29|87 87 -7 28|0.3 18
1457 宜進|紡織纖維|2 3 4|84 84 -12 23|0.3 7
1463 強盛新|紡織纖維|-45 5 17|100 100 40 50|2.4 5
1464 得力|紡織纖維|22 30 30|90 90 1 2|0.9 6
1471 首利|電子零組|49 19 -4|64 84 2 -4|0.4 14
1473 台南|紡織纖維|-1 12 2|70 70 12 37|0.3 50
1474 弘裕|紡織纖維|38 39 22|91 91 0 14|0.5 7
1475 業旺|紡織纖維|74 67 44|98 98 26 40|1.6 25
1476 儒鴻|紡織纖維|27 23 16|93 96 9 1|0.6 369
1477 聚陽|紡織纖維|-2 7 -0|96 96 16 35|0.8 785
1503 士電|電機機械|13 6 3|70 70 -15 104|0.6 2524
1504 東元|電機機械|-11 -4 -1|83 83 -10 13|0.3 405
1506 正道|電機機械|-14 -8 -6|93 94 2 4|1.2 7
1513 中興電|電機機械|32 25 7|80 80 6 59|0.7 6146
1514 亞力|電機機械|4 -3 -18|75 75 3 65|0.5 2434
1515 力山|電機機械|6 51 -114|74 85 -12 -1|0.3 28
1516 川飛|其他|112 na na|83 83 17 33|0.2 9
1517 利奇|電機機械|27 20 56|99 99 11 18|0.9 9
1519 華城|電機機械|37 59 -60|68 68 -14 81|0.9 4970
1522 堤維西|汽車工業|7 9 3|97 97 40 82|0.5 281
1524 耿鼎|汽車工業|-14 -4 -21|84 84 -14 7|0.2 54
1527 鑽全|電機機械|30 22 23|98 98 4 11|1.1 19
1528 恩德|電機機械|-3 2 3|89 89 19 11|0.8 22
1529 樂事綠能|電機機械|327 142 21|81 83 -3 1|1.0 189
1532 勤美|電機機械|-26 94 31|81 81 -15 15|0.6 162
1533 車王電|汽車工業|-45 -35 -27|72 83 -6 -15|0.9 6
1535 中宇|電機機械|-9 7 -8|69 69 -14 7|0.7 22
1536 和大|汽車工業|45 -4 9|96 96 35 34|1.1 949
1537 廣隆|電機機械|35 33 21|99 99 7 12|1.0 28
1540 喬福|電機機械|380 114 63|100 100 71 99|2.9 293
1558 伸興|電機機械|4 9 -10|91 100 4 2|1.6 9
1560 中砂|電機機械|11 10 9|82 82 17 56|1.0 870
1565 精華|生技醫療|-1 -7 -0|87 87 -4 -8|1.0 25
1568 倉佑|汽車工業|-36 -41 -15|82 88 8 9|0.4 22
1569 濱川|電腦及週|-16 -16 3|95 95 27 24|1.2 82
1570 力肯|電機機械|173 191 173|71 71 7 39|0.2 16
1580 新麥|電機機械|0 6 -8|96 96 1 6|0.8 16
1582 信錦|電子零組|7 17 0|93 93 6 46|0.5 277
1584 精剛|其他|36 28 -5|95 100 7 9|1.8 96
1586 和勤|電機機械|22 11 -6|96 96 9 11|1.3 16
1587 吉茂|汽車工業|-10 -10 3|67 67 -27 133|0.2 43
1589 永冠-KY|電機機械|-4 -23 1|68 68 -7 -15|0.8 17
1590 亞德客-KY|電機機械|-1 5 -11|71 71 -22 -11|1.9 409
1591 駿吉-KY|電機機械|646 797 608|73 73 -17 23|0.2 26
1597 直得|電機機械|15 -10 16|96 96 52 58|1.7 668
1598 岱宇|運動休閒|12 -0 -4|83 94 1 -5|0.5 9
1603 華電|電器電纜|-2 16 -6|79 79 -1 23|0.3 70
1604 聲寶|電器電纜|-5 -0 -2|95 95 -2 5|0.5 11
1605 華新|電器電纜|13 -2 2|88 90 -0 0|0.7 340
1608 華榮|電器電纜|53 41 31|82 82 9 76|0.3 400
1609 大亞|電器電纜|18 20 10|87 87 7 63|0.8 1603
1611 中電|電器電纜|-7 -2 6|90 90 17 19|0.5 68
1612 宏泰|電器電纜|20 27 17|81 81 1 34|0.3 120
1614 三洋電|電器電纜|-17 -7 1|83 83 -8 9|0.2 8
1615 大山|電器電纜|3 46 13|90 90 15 48|0.2 22
1616 億泰|電器電纜|13 10 -3|83 83 -10 81|0.3 57
1617 榮星|電器電纜|38 38 31|84 84 6 53|0.3 46
1618 合機|電器電纜|-26 12 -36|77 77 5 67|0.2 264
1701 中化|生技醫療|7 7 3|84 90 -1 -6|0.7 16
1702 南僑|食品工業|3 3 -5|94 94 2 21|1.1 46
1707 葡萄王|生技醫療|-6 4 1|81 93 -5 -3|1.9 50
1708 東鹼|化學工業|7 16 28|100 100 21 18|0.7 56
1709 和益|化學工業|10 27 22|92 92 25 18|0.5 67
1710 東聯|化學工業|44 25 15|81 93 5 -3|1.0 26
1711 永光|化學工業|9 16 13|99 99 9 14|2.7 46
