# 2026-01-02 全池(1043 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-20 -12 -25|68 93 -3 -6|1.1 499
1102 亞泥|水泥工業|-18 -10 -7|84 92 1 -3|2.4 491
1104 環泥|水泥工業|-7 8 8|91 91 -2 9|0.6 16
1210 大成|食品工業|-1 -1 1|81 84 0 -15|0.4 53
1215 卜蜂|食品工業|2 1 0|90 90 -4 4|0.9 166
1216 統一|食品工業|-1 -0 -3|92 92 0 -4|1.2 655
1227 佳格|食品工業|-5 0 0|83 89 0 -4|0.6 9
1229 聯華|食品工業|15 24 24|91 93 -3 6|0.7 47
1231 聯華食|食品工業|0 6 -3|54 63 -21 -30|0.7 23
1232 大統益|食品工業|-3 0 3|92 95 -1 -4|0.8 6
1295 生合|食品工業|2 13 3|na 55 -25 -35|0.4 8
1301 台塑|塑膠工業|-26 -19 -9|88 88 5 14|0.6 587
1303 南亞|塑膠工業|-4 -2 -5|84 84 48 113|0.7 3963
1304 台聚|塑膠工業|-28 -19 -8|85 87 8 17|0.7 38
1305 華夏|塑膠工業|-36 -29 -12|78 85 -1 11|0.8 12
1307 三芳|塑膠工業|-6 1 -2|63 88 3 -8|0.7 23
1308 亞聚|塑膠工業|-12 8 11|86 88 12 17|0.5 19
1309 台達化|塑膠工業|-45 -35 -19|72 87 2 10|0.7 11
1312 國喬|塑膠工業|59 84 41|89 93 24 23|1.2 52
1316 上曜|建材營造|266 197 -19|77 91 2 12|0.8 44
1319 東陽|汽車工業|-8 -7 -8|73 90 5 3|1.0 231
1325 恆大|塑膠工業|-9 -11 -2|74 93 -1 5|0.4 10
1326 台化|塑膠工業|-23 -19 -3|87 87 13 36|0.5 323
1342 八貫|其他|5 7 -7|83 97 5 8|0.9 8
1402 遠東新|紡織纖維|-6 -3 3|83 89 1 -9|0.4 120
1409 新纖|紡織纖維|-21 -16 -8|86 86 4 26|0.5 55
1419 新紡|紡織纖維|21 16 -6|84 91 27 18|0.2 18
1434 福懋|紡織纖維|-10 -12 -9|84 93 4 1|0.9 21
1436 華友聯|建材營造|-83 -90 -1358|47 58 -8 -41|0.6 9
1440 南紡|紡織纖維|-19 -23 -8|90 90 -2 3|0.4 16
1442 名軒|建材營造|-37 -65 -10|36 42 -27 -57|1.3 53
1449 佳和|紡織纖維|40 -15 -5|48 81 -9 -7|1.0 6
1476 儒鴻|紡織纖維|2 -1 -8|70 84 -14 -5|0.9 225
1477 聚陽|紡織纖維|0 -16 -15|77 88 4 15|0.8 341
1503 士電|電機機械|3 2 -5|83 83 -5 -3|0.3 147
1504 東元|電機機械|2 13 8|71 71 -26 81|0.4 1480
1513 中興電|電機機械|2 0 -8|87 87 -4 -6|0.3 296
1514 亞力|電機機械|35 27 8|84 84 -1 -4|0.3 186
1515 力山|電機機械|118 60 71|76 83 -3 -1|0.7 6
1519 華城|電機機械|17 13 -17|92 92 30 31|0.5 2707
1522 堤維西|汽車工業|57 61 43|73 91 12 6|0.4 43
1524 耿鼎|汽車工業|-29 -21 -14|66 83 2 0|0.4 19
1528 恩德|電機機械|-34 -26 -1|96 96 50 86|6.1 118
1529 樂事綠能|電機機械|-39 -22 -76|64 69 -15 -28|0.4 7
1532 勤美|電機機械|10 41 47|84 92 -5 6|0.9 11
1536 和大|汽車工業|2 -5 13|65 77 -8 5|0.7 65
1537 廣隆|電機機械|-19 -27 -12|86 93 -4 -2|0.6 5
