# 2024-05-02 全池(1248 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|16 -6 0|82 92 -1 0|1.0 593
1102 亞泥|水泥工業|-21 -10 3|100 100 10 9|1.5 233
1103 嘉泥|水泥工業|2 8 -17|84 97 4 6|3.6 7
1104 環泥|水泥工業|1 6 -2|100 100 22 39|1.6 79
1108 幸福|水泥工業|3 12 -8|97 100 13 29|1.2 32
1109 信大|水泥工業|-35 -8 -4|100 100 17 20|1.6 11
1110 東泥|水泥工業|2 11 -21|100 100 12 15|2.4 6
1201 味全|食品工業|4 12 2|92 96 2 2|1.0 6
1210 大成|食品工業|-11 -7 -2|92 95 -0 13|0.6 98
1215 卜蜂|食品工業|-9 -4 -4|93 93 11 17|0.7 41
1216 統一|食品工業|16 21 6|96 96 7 12|0.9 586
1217 愛之味|食品工業|-10 -1 -2|85 100 7 8|1.7 11
1218 泰山|食品工業|3 4 2|70 99 7 12|1.4 21
1219 福壽|食品工業|-26 -15 -7|93 99 2 3|1.4 7
1220 台榮|食品工業|-1 20 17|100 100 25 29|3.9 6
1227 佳格|食品工業|4 12 9|95 97 2 2|1.3 20
1229 聯華|食品工業|-3 8 -4|96 96 3 7|0.7 50
1231 聯華食|食品工業|-9 6 6|99 99 14 12|0.5 16
1232 大統益|食品工業|-9 -9 -1|98 99 4 3|0.8 7
1234 黑松|食品工業|-7 4 -3|100 100 6 10|0.9 8
1268 漢來美食|觀光餐旅|40 37 -9|86 99 1 13|1.7 10
1301 台塑|塑膠工業|-12 -6 8|76 84 -5 -11|0.9 504
1303 南亞|塑膠工業|-9 -11 9|74 82 -5 -7|0.8 391
1304 台聚|塑膠工業|-14 -8 9|65 78 -13 -16|2.4 29
1305 華夏|塑膠工業|-16 -23 -5|69 77 -11 -15|1.0 27
1307 三芳|塑膠工業|9 2 7|100 100 24 34|1.2 22
1308 亞聚|塑膠工業|-11 1 25|72 78 -13 -18|0.8 15
1309 台達化|塑膠工業|-2 8 15|75 87 -1 -7|0.7 6
1310 台苯|塑膠工業|-45 9 20|76 79 -8 -14|1.0 9
1312 國喬|塑膠工業|-43 -21 -5|68 83 -6 -12|0.9 25
1313 聯成|塑膠工業|12 22 9|81 86 -2 -4|1.1 15
1314 中石化|塑膠工業|17 75 35|100 100 21 13|5.2 299
1316 上曜|建材營造|48 14 58|85 85 78 119|1.2 181
1319 東陽|汽車工業|5 14 1|93 93 51 67|0.4 503
1321 大洋|塑膠工業|-10 -16 4|98 98 12 16|3.5 15
1325 恆大|塑膠工業|-41 -11 11|58 58 -27 25|0.2 9
1326 台化|塑膠工業|2 1 9|80 86 -2 -9|1.1 255
1339 昭輝|汽車工業|9 11 5|100 100 33 36|2.6 34
1342 八貫|其他|-5 3 4|84 86 7 14|0.4 52
1402 遠東新|紡織纖維|-0 7 7|100 100 8 13|1.2 144
1409 新纖|紡織纖維|26 20 21|100 100 15 14|1.5 56
1414 東和|紡織纖維|-1 4 12|97 97 16 18|1.4 14
1416 廣豐|其他|-37 14 -5|98 98 18 30|1.2 15
1434 福懋|紡織纖維|-4 -6 9|85 89 -4 -9|0.9 25
1436 華友聯|建材營造|-87 139 -119|100 100 75 119|3.0 52
1437 勤益控|其他|1 3 -7|100 100 10 15|1.5 7
1438 三地開發|建材營造|-100 -100 na|100 100 39 92|0.8 20
1440 南紡|紡織纖維|-27 -20 -5|99 99 32 41|7.4 31
1442 名軒|建材營造|164 2431 -17448|100 100 61 67|3.3 116
1445 大宇|紡織纖維|-49 -38 -17|89 89 16 29|2.2 17
1446 宏和|紡織纖維|981 2166 1383|100 100 25 18|6.1 7
1449 佳和|紡織纖維|-2 65 38|70 70 -9 30|0.4 7
1453 大將|建材營造|102 102 -29600|100 100 73 78|3.2 41
