# 2023-08-01 全池(1185 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-4 10 -4|95 95 -3 3|0.7 653
1102 亞泥|水泥工業|-14 -14 -9|94 94 -5 -1|1.3 289
1103 嘉泥|水泥工業|51 41 18|93 93 8 19|0.5 14
1104 環泥|水泥工業|5 10 -9|98 98 7 33|0.7 63
1108 幸福|水泥工業|33 32 -1|100 100 7 57|1.7 17
1110 東泥|水泥工業|58 96 57|99 99 8 12|0.9 8
1201 味全|食品工業|3 7 4|95 95 -1 4|1.1 10
1210 大成|食品工業|-6 2 -7|100 100 21 39|2.1 288
1215 卜蜂|食品工業|4 8 -1|95 95 -5 19|0.5 63
1216 統一|食品工業|6 5 -4|97 97 4 13|1.0 539
1217 愛之味|食品工業|4 7 2|100 100 28 37|2.6 64
1218 泰山|食品工業|8 -2 -6|58 83 -9 -12|0.4 48
1219 福壽|食品工業|-1 -5 -10|94 94 -1 8|0.5 18
1225 福懋油|食品工業|-14 -8 -18|90 90 -6 -1|0.3 7
1227 佳格|食品工業|13 6 13|96 96 0 -2|0.5 32
1229 聯華|食品工業|-19 -5 -5|98 98 13 31|1.5 123
1231 聯華食|食品工業|-0 -1 -12|99 99 7 24|0.8 31
1232 大統益|食品工業|-8 -5 -18|94 99 0 4|0.6 5
1234 黑松|食品工業|10 15 -3|99 99 14 26|0.5 11
1268 漢來美食|觀光餐旅|92 113 16|93 93 18 32|0.8 36
1301 台塑|塑膠工業|-34 -34 -7|93 93 -6 -1|0.7 737
1303 南亞|塑膠工業|-38 -33 -2|91 91 -5 -2|0.7 410
1304 台聚|塑膠工業|-35 -29 -8|90 90 -0 0|1.6 48
1305 華夏|塑膠工業|-32 -31 -2|85 87 3 -12|3.4 65
1307 三芳|塑膠工業|-15 -15 -36|92 92 9 17|0.4 11
1308 亞聚|塑膠工業|-39 -27 -14|90 90 3 -8|1.6 24
1309 台達化|塑膠工業|-41 -29 -6|83 89 4 -11|1.5 12
1310 台苯|塑膠工業|-44 -39 -15|95 95 -0 18|0.8 17
1312 國喬|塑膠工業|-40 -29 -6|90 90 -3 -4|1.2 35
1313 聯成|塑膠工業|-18 -13 7|100 100 20 16|3.2 53
1316 上曜|建材營造|-88 -79 -110|67 84 -14 -4|1.1 13
1319 東陽|汽車工業|-1 3 -9|100 100 26 40|2.6 249
1326 台化|塑膠工業|-31 -30 -17|89 94 -2 -6|0.8 192
1336 台翰|電子零組|-11 -8 -25|78 78 -11 -18|0.5 5
1338 廣華-KY|汽車工業|-33 -14 -1|68 84 -10 -12|1.2 7
1342 八貫|其他|5 -2 -11|71 71 -16 -4|1.7 75
