# 2025-06-02 全池(1074 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|9 33 -22|79 79 -20 -17|2.7 621
1102 亞泥|水泥工業|10 10 7|87 88 -5 -2|0.9 340
1104 環泥|水泥工業|2 3 1|81 97 -1 3|1.9 10
1210 大成|食品工業|2 5 9|97 97 15 20|1.5 228
1215 卜蜂|食品工業|9 2 4|100 100 12 16|2.8 155
1216 統一|食品工業|7 5 -4|88 91 -3 -9|1.5 1123
1217 愛之味|食品工業|7 4 -2|85 92 -7 -5|0.7 7
1218 泰山|食品工業|-10 -5 4|90 93 5 0|0.8 26
1219 福壽|食品工業|-1 6 13|79 90 2 -10|0.6 9
1220 台榮|食品工業|5 14 10|70 70 -20 -20|0.4 5
1227 佳格|食品工業|-3 5 4|79 88 -6 -11|1.1 28
1229 聯華|食品工業|-2 -13 -2|63 76 -14 -24|1.0 49
1231 聯華食|食品工業|16 7 -7|76 76 2 12|0.4 32
1232 大統益|食品工業|2 2 6|99 99 7 12|1.1 23
1234 黑松|食品工業|20 -1 5|91 97 -0 -2|0.8 7
1268 漢來美食|觀光餐旅|6 -7 -21|93 98 -1 2|0.9 6
1301 台塑|塑膠工業|-3 6 4|49 78 -11 -23|0.8 399
1303 南亞|塑膠工業|6 15 9|49 69 -14 -30|1.3 272
1305 華夏|塑膠工業|-9 -8 7|56 74 -21 -28|0.6 6
1307 三芳|塑膠工業|1 17 8|70 70 -26 -6|0.5 54
1308 亞聚|塑膠工業|-16 2 13|58 70 -20 -30|0.7 8
1312 國喬|塑膠工業|56 103 68|68 83 0 -9|0.4 29
1316 上曜|建材營造|167 251 52|63 75 -6 0|0.2 114
1319 東陽|汽車工業|11 26 17|94 94 10 15|0.5 425
1321 大洋|塑膠工業|-18 -6 -5|83 95 2 10|0.7 6
1325 恆大|塑膠工業|17 9 27|100 100 33 50|9.3 56
1326 台化|塑膠工業|-22 -8 -8|40 66 -18 -34|0.8 208
1342 八貫|其他|35 24 14|80 84 -13 -4|0.6 16
1402 遠東新|紡織纖維|-9 -4 -6|83 91 0 -8|2.7 664
1409 新纖|紡織纖維|-13 -5 -13|71 79 -17 -21|2.7 20
1414 東和|紡織纖維|-7 -2 9|74 74 -15 -17|0.8 6
1419 新紡|紡織纖維|-4 13 -16|84 84 61 50|3.3 65
1434 福懋|紡織纖維|4 10 6|67 78 -16 -22|1.2 16
1436 華友聯|建材營造|-82 1316 -1037|60 78 -18 -5|0.5 32
1440 南紡|紡織纖維|-11 -1 4|71 86 -11 -12|1.8 37
1442 名軒|建材營造|-78 -10 -304|83 83 -14 -11|0.5 44
