# 2023-12-01 全池(1083 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-18 -15 -18|87 90 -2 -9|2.0 747
1102 亞泥|水泥工業|-12 -8 -1|98 98 3 -2|1.1 164
1104 環泥|水泥工業|3 3 -11|95 95 -0 3|0.9 20
1108 幸福|水泥工業|12 13 -15|84 84 -2 2|0.6 5
1201 味全|食品工業|10 6 2|93 97 3 -4|0.9 5
1210 大成|食品工業|-10 -6 -8|90 90 1 7|1.1 83
1215 卜蜂|食品工業|1 2 -3|98 98 2 7|0.9 28
1216 統一|食品工業|16 17 6|98 98 5 3|2.8 665
1217 愛之味|食品工業|2 3 0|80 80 -7 1|0.4 17
1218 泰山|食品工業|6 5 3|47 72 -10 -27|1.1 16
1227 佳格|食品工業|-7 0 3|95 98 4 -1|1.1 16
1229 聯華|食品工業|32 11 7|100 100 11 17|1.4 59
1231 聯華食|食品工業|1 1 -4|98 98 4 10|1.0 9
1268 漢來美食|觀光餐旅|14 12 -30|82 85 2 -18|0.4 12
1301 台塑|塑膠工業|-4 -4 18|90 90 -2 -10|1.0 386
1303 南亞|塑膠工業|-18 -17 11|88 89 0 -11|1.6 399
1304 台聚|塑膠工業|-15 -12 10|76 81 -8 -12|0.7 16
1305 華夏|塑膠工業|-4 -3 18|81 88 -6 -1|0.4 24
1307 三芳|塑膠工業|3 -8 -3|100 100 3 15|0.4 14
1308 亞聚|塑膠工業|-39 -34 -6|83 89 -5 -4|1.1 15
1309 台達化|塑膠工業|12 1 20|76 85 -3 -12|0.8 6
1310 台苯|塑膠工業|16 1 26|95 100 8 1|1.0 13
1312 國喬|塑膠工業|-6 -6 10|79 86 -5 -14|2.5 22
1313 聯成|塑膠工業|25 31 33|93 93 2 11|0.9 24
1316 上曜|建材營造|-80 -72 -32|98 100 21 7|1.1 21
1319 東陽|汽車工業|19 17 7|89 89 13 60|0.4 350
1321 大洋|塑膠工業|-25 -24 2|100 100 17 20|3.5 7
1324 地球|塑膠工業|24 10 13|92 92 59 62|0.2 27
1326 台化|塑膠工業|-1 0 14|85 94 0 -6|1.2 169
1338 廣華-KY|汽車工業|-22 -20 4|95 100 17 3|2.7 6
1339 昭輝|汽車工業|12 12 8|100 100 62 75|0.6 33
1342 八貫|其他|4 5 1|72 93 3 -7|1.0 58
1402 遠東新|紡織纖維|0 -1 4|96 96 7 -0|2.1 290
1409 新纖|紡織纖維|-7 -6 12|90 95 1 -4|0.8 18
1432 大魯閣|運動休閒|11 12 -10|82 93 8 -3|1.6 10
1434 福懋|紡織纖維|-16 -15 1|95 96 -1 -4|1.4 31
1437 勤益控|其他|14 33 23|99 99 5 5|2.8 6
1440 南紡|紡織纖維|-7 -8 -1|94 100 9 4|2.1 24
1442 名軒|建材營造|3637 2025 1063|96 96 9 26|2.0 34
1444 力麗|紡織纖維|-37 -35 -3|97 97 -1 -1|0.7 12
1449 佳和|紡織纖維|19 20 20|91 91 17 24|3.3 119
