# 2024-09-02 全池(1221 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|61 54 46|92 94 0 3|0.5 357
1102 亞泥|水泥工業|-1 -3 7|100 100 15 17|0.5 263
1104 環泥|水泥工業|-3 6 -0|83 83 -10 -2|0.4 16
1108 幸福|水泥工業|-22 -17 -23|93 93 -5 3|1.7 8
1110 東泥|水泥工業|63 21 11|91 91 -7 26|0.5 14
1201 味全|食品工業|8 11 0|95 97 -1 -1|0.5 9
1210 大成|食品工業|-4 -8 -1|91 91 -4 -8|0.9 47
1215 卜蜂|食品工業|-2 -6 -2|87 87 -8 -0|0.2 26
1216 統一|食品工業|10 15 -2|97 97 7 13|1.0 701
1217 愛之味|食品工業|7 5 3|94 94 3 8|1.0 10
1218 泰山|食品工業|-9 -9 -9|84 88 -9 -3|0.5 13
1220 台榮|食品工業|-2 -1 -4|99 99 12 24|1.5 10
1225 福懋油|食品工業|-12 -16 -5|98 98 76 196|0.3 10
1227 佳格|食品工業|-1 0 -1|92 92 -4 7|0.3 15
1229 聯華|食品工業|-7 -1 -15|89 89 -5 -3|0.5 53
1231 聯華食|食品工業|17 13 8|90 90 8 25|0.5 23
1232 大統益|食品工業|6 -4 4|100 100 7 8|0.8 11
1268 漢來美食|觀光餐旅|13 20 0|93 93 -5 6|0.5 7
1301 台塑|塑膠工業|6 7 9|62 71 -18 -25|0.6 529
1303 南亞|塑膠工業|5 5 13|65 77 -12 -19|1.0 475
1304 台聚|塑膠工業|14 10 14|69 86 -2 -11|0.3 22
1305 華夏|塑膠工業|-2 -1 9|64 88 -2 -11|0.4 14
1307 三芳|塑膠工業|21 9 6|99 99 9 33|1.3 39
1308 亞聚|塑膠工業|2 -9 6|70 87 1 -13|0.3 14
1309 台達化|塑膠工業|48 45 29|92 92 19 17|0.7 25
1310 台苯|塑膠工業|50 69 48|79 92 2 -3|0.4 8
1312 國喬|塑膠工業|31 35 32|76 84 -5 -4|0.4 33
1313 聯成|塑膠工業|-1 9 -10|72 83 -7 -13|0.5 13
1316 上曜|建材營造|133 203 167|76 88 6 -12|0.7 222
