# 2023-01-03 全池(921 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-1 9 3|75 84 -2 -9|0.4 671
1102 亞泥|水泥工業|-8 -13 -16|90 91 2 -0|0.5 231
1104 環泥|水泥工業|7 11 -3|98 98 9 4|0.8 8
1210 大成|食品工業|14 13 1|86 92 2 1|1.2 26
1215 卜蜂|食品工業|15 16 -2|96 96 -0 14|1.0 37
1216 統一|食品工業|3 8 -2|98 98 1 0|0.6 451
1217 愛之味|食品工業|-1 1 -2|86 98 15 4|0.7 17
1218 泰山|食品工業|4 9 -4|70 70 -6 -7|0.7 154
1219 福壽|食品工業|3 16 -1|70 86 -3 -4|0.6 11
1227 佳格|食品工業|-25 -19 -4|78 93 4 -6|0.7 12
1229 聯華|食品工業|-17 -5 -15|75 87 0 -4|0.9 31
1231 聯華食|食品工業|16 16 3|91 94 6 2|0.6 8
1232 大統益|食品工業|7 14 -3|87 87 -8 -8|1.5 22
1234 黑松|食品工業|17 12 9|94 96 -2 -0|1.4 8
1268 漢來美食|觀光餐旅|12 36 -44|95 95 15 28|2.0 27
1301 台塑|塑膠工業|-29 -25 -24|86 92 2 0|0.5 689
1303 南亞|塑膠工業|-30 -28 -20|85 93 7 15|0.4 606
1304 台聚|塑膠工業|-31 -24 -18|76 92 8 -0|0.7 90
1305 華夏|塑膠工業|-38 -41 -29|81 99 29 8|1.4 172
1308 亞聚|塑膠工業|-25 -14 -22|78 96 1 14|0.5 41
1309 台達化|塑膠工業|-38 -28 -16|73 89 8 -7|0.7 29
1310 台苯|塑膠工業|-32 -20 -34|76 91 2 -0|0.7 5
1312 國喬|塑膠工業|-34 -30 -12|73 92 7 0|0.5 77
1313 聯成|塑膠工業|-20 -26 -20|64 88 7 -7|0.7 21
1316 上曜|建材營造|19 60 -115|41 67 -10 -29|0.5 10
1319 東陽|汽車工業|7 16 -0|77 77 -11 -10|1.1 264
1325 恆大|塑膠工業|-10 -19 28|49 91 15 3|1.2 20
1326 台化|塑膠工業|-16 -6 -12|91 93 4 7|0.5 139
1336 台翰|電子零組|23 37 7|84 84 1 32|0.3 6
1338 廣華-KY|汽車工業|-18 -7 -15|72 72 -22 -23|0.8 5
1339 昭輝|汽車工業|7 7 5|92 92 5 8|0.7 5
1342 八貫|其他|36 24 -10|91 91 68 99|2.0 165
1402 遠東新|紡織纖維|-6 5 -7|95 95 -1 4|0.4 407
1409 新纖|紡織纖維|-31 -13 -19|88 95 4 7|0.5 24
1410 南染|紡織纖維|-30 -18 2|86 86 -3 24|0.1 6
1417 嘉裕|紡織纖維|-20 26 -2|91 91 41 46|2.5 106
1434 福懋|紡織纖維|-9 -0 -9|94 97 -1 6|1.1 17
1437 勤益控|其他|24 7 -11|90 97 4 10|2.8 5
1440 南紡|紡織纖維|3 22 11|68 88 0 -2|0.7 14
1442 名軒|建材營造|-97 -93 -25|94 94 26 67|1.1 36
1444 力麗|紡織纖維|-6 -0 -25|84 84 -4 4|1.0 14
1449 佳和|紡織纖維|-33 -13 -11|71 71 3 19|0.2 6
1451 年興|紡織纖維|2 2 -13|77 77 -10 3|0.6 6
1455 集盛|紡織纖維|-40 -37 -28|65 94 6 -1|0.6 5
1467 南緯|紡織纖維|-30 -23 -19|74 84 -4 -17|0.7 13
1475 業旺|紡織纖維|26 46 -318|84 94 17 11|0.6 7
1476 儒鴻|紡織纖維|-13 6 -12|77 97 20 12|1.0 401
1477 聚陽|紡織纖維|9 5 -15|92 92 14 63|0.8 294
1503 士電|電機機械|23 21 11|95 95 9 3|0.9 9
1504 東元|電機機械|10 10 -1|85 91 -2 -3|0.5 56
1513 中興電|電機機械|23 9 3|100 100 26 35|1.3 1151
1514 亞力|電機機械|17 45 16|86 86 11 -0|1.1 47
1515 力山|電機機械|-81 -82 -13|56 82 1 -14|0.5 20
1517 利奇|電機機械|-39 -12 -24|77 81 -13 -7|0.3 11
1519 華城|電機機械|-3 6 15|100 100 27 45|2.0 265
1522 堤維西|汽車工業|8 15 -1|87 87 2 -2|1.8 80
1524 耿鼎|汽車工業|5 14 -8|84 84 -2 15|1.4 96
1526 日馳|電機機械|-4 9 -22|72 72 -14 4|0.3 10
1527 鑽全|電機機械|-20 -25 -13|92 95 1 6|0.5 6
1528 恩德|電機機械|38 17 7|85 91 3 9|1.0 5
1529 樂事綠能|電機機械|42 33 -80|66 97 8 30|2.2 61
1533 車王電|汽車工業|53 41 18|67 77 -8 -18|0.4 9
1536 和大|汽車工業|1 5 -4|71 71 -23 -4|0.9 91
1537 廣隆|電機機械|-12 102 49|96 96 -3 4|0.3 7
1539 巨庭|電機機械|-68 -55 -49|59 59 -3 7|0.2 13
1558 伸興|電機機械|43 69 65|86 90 5 -6|0.8 9
1560 中砂|電機機械|2 9 -7|64 64 -8 -18|0.4 379
1565 精華|生技醫療|-25 -11 -3|79 93 12 3|0.3 25
1568 倉佑|汽車工業|-7 -8 -8|73 73 -6 -17|0.6 9
1580 新麥|電機機械|-21 -18 -13|89 91 0 -1|1.6 8
1584 精剛|其他|40 28 -37|87 87 27 23|0.8 319
1589 永冠-KY|電機機械|17 19 16|80 91 -7 3|0.3 8
1590 亞德客-KY|電機機械|15 12 7|88 95 25 5|0.5 342
1598 岱宇|運動休閒|3 -29 12|79 92 5 7|0.7 19
1603 華電|電器電纜|84 25 -18|82 90 -6 -4|0.5 11
1604 聲寶|電器電纜|-12 -13 -18|89 92 2 5|1.0 8
1605 華新|電器電纜|-1 -0 -25|96 96 20 41|1.0 3408
1608 華榮|電器電纜|-8 -11 -21|64 87 6 -4|0.3 7
1609 大亞|電器電纜|-12 -9 -11|73 94 15 -3|0.8 84
1611 中電|電器電纜|-23 -16 -4|62 68 -13 -30|0.7 9
1612 宏泰|電器電纜|-2 2 2|58 93 11 0|0.3 8
1618 合機|電器電纜|147 68 42|90 90 5 24|0.5 7
1701 中化|生技醫療|7 9 6|85 85 48 52|1.8 378
1702 南僑|食品工業|11 5 0|94 97 5 1|0.5 5
1707 葡萄王|生技醫療|10 8 3|100 100 24 28|2.1 205
1708 東鹼|化學工業|9 44 -37|59 78 -5 -6|0.4 67
1709 和益|化學工業|-3 14 -2|74 89 -1 7|0.5 13
1710 東聯|化學工業|-16 -19 -4|83 98 4 9|1.9 25
1711 永光|化學工業|-19 -12 -10|66 86 1 -3|0.6 22
1712 興農|化學工業|3 23 -2|81 81 1 17|0.4 35
1717 長興|化學工業|-8 -8 -8|78 87 -1 -4|0.6 45
