# 2026-04-01 全池(1192 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-6 -7 1|73 89 5 -1|0.7 626
1102 亞泥|水泥工業|-17 -9 -2|79 91 -3 -5|1.1 317
1104 環泥|水泥工業|-15 -2 -1|90 90 -2 -4|0.8 18
1210 大成|食品工業|-6 4 4|86 98 7 5|1.2 116
1215 卜蜂|食品工業|-0 9 5|85 85 3 -0|1.1 138
1216 統一|食品工業|8 4 1|86 89 -8 -8|1.0 758
1217 愛之味|食品工業|2 -2 -1|88 95 -2 -3|1.0 5
1218 泰山|食品工業|6 9 11|92 100 7 2|1.1 18
1225 福懋油|食品工業|-17 -0 5|62 92 8 6|0.8 10
1227 佳格|食品工業|17 5 6|85 91 2 2|1.1 24
1229 聯華|食品工業|-13 5 -1|89 89 -6 -8|1.1 103
1231 聯華食|食品工業|32 8 0|61 72 -5 -28|0.7 33
1232 大統益|食品工業|2 8 8|95 98 4 2|0.8 11
1256 鮮活果汁-KY|食品工業|88 66 47|81 83 6 -15|0.7 9
1264 德麥|食品工業|9 2 2|90 93 -1 -7|1.0 6
1294 漢田生技|食品工業|3 56 36|88 88 4 -2|0.3 5
1301 台塑|塑膠工業|-33 -16 -1|87 87 17 20|0.9 1815
1303 南亞|塑膠工業|-16 -3 -1|83 83 35 92|0.8 6640
1304 台聚|塑膠工業|-32 -18 -2|95 95 53 67|3.7 383
1305 華夏|塑膠工業|-8 -5 8|92 92 52 44|3.6 387
1307 三芳|塑膠工業|-17 1 2|74 90 -1 6|1.3 55
1308 亞聚|塑膠工業|-29 -13 -9|92 92 34 50|4.2 267
1309 台達化|塑膠工業|-43 -29 -3|97 97 108 117|3.8 257
1310 台苯|塑膠工業|-13 -26 -2|89 89 29 24|2.1 238
1312 國喬|塑膠工業|16 55 5|92 92 16 38|1.5 258
1313 聯成|塑膠工業|-40 -13 2|93 93 22 18|1.5 218
1316 上曜|建材營造|109 183 -11|63 74 -25 -19|0.5 18
1319 東陽|汽車工業|-43 -18 -9|61 71 -14 -13|0.5 213
1321 大洋|塑膠工業|-36 -20 5|89 92 -4 -8|1.3 5
1325 恆大|塑膠工業|-36 -22 -15|68 78 -8 -8|0.5 6
1326 台化|塑膠工業|-15 -10 7|89 89 41 53|1.6 1863
1342 八貫|其他|1 16 4|88 88 3 5|0.4 29
1402 遠東新|紡織纖維|-9 -5 2|81 93 -2 -2|1.3 463
1409 新纖|紡織纖維|-18 -18 -2|91 92 2 9|0.7 79
1414 東和|紡織纖維|-20 -6 5|74 83 -3 -9|0.6 6
1419 新紡|紡織纖維|15 23 8|78 78 -9 11|0.4 6
1432 大魯閣|運動休閒|-33 -27 -25|89 90 -4 0|0.5 14
1434 福懋|紡織纖維|-27 -9 -2|88 90 5 9|0.5 33
1436 華友聯|建材營造|-83 -51 -305|43 74 -17 -26|0.6 12
1440 南紡|紡織纖維|-39 -20 -0|88 88 -5 -6|0.8 17
1442 名軒|建材營造|-83 -30 27|34 61 -14 -40|0.4 13
1449 佳和|紡織纖維|22 58 52|63 84 3 -4|0.7 12
1471 首利|電子零組|-61 -53 -13|84 84 40 27|0.6 18
1476 儒鴻|紡織纖維|-7 -1 -2|69 73 -14 -26|1.3 407
1477 聚陽|紡織纖維|-1 -10 -3|70 70 -21 -20|1.8 481
1503 士電|電機機械|-3 7 2|74 74 6 -0|0.3 409
1504 東元|電機機械|-0 8 -0|52 52 -28 -37|0.4 505
1513 中興電|電機機械|-13 2 -4|78 78 -3 -8|0.5 588
1514 亞力|電機機械|15 31 4|72 72 1 -0|0.2 284
1515 力山|電機機械|20 51 34|70 81 -13 -17|0.5 5
1519 華城|電機機械|16 11 -7|75 75 4 39|0.8 2635
1522 堤維西|汽車工業|24 44 15|58 61 -31 -24|0.4 31
1524 耿鼎|汽車工業|-41 -21 -6|73 86 8 7|0.7 22
1527 鑽全|電機機械|-46 -24 -11|81 88 -0 -1|0.3 7
1528 恩德|電機機械|19 12 27|82 82 43 65|3.1 98
1529 樂事綠能|電機機械|-51 124 69|80 81 24 1|0.3 67
1532 勤美|電機機械|16 3 -1|75 77 -19 -21|0.9 15
1536 和大|汽車工業|-34 -7 8|68 76 -14 -23|0.4 75
1537 廣隆|電機機械|9 -4 13|85 95 -1 -4|0.6 6
1540 喬福|電機機械|-24 -1 -5|62 80 -3 -14|0.3 5
1560 中砂|電機機械|24 25 6|86 86 22 33|0.5 898
1563 巧新|汽車工業|-12 -7 -1|64 86 -9 -15|2.3 16
1565 精華|生技醫療|-30 -20 -8|56 74 -11 -26|0.7 12
1569 濱川|電腦及週|-16 -13 -13|61 73 -8 -18|0.7 29
1582 信錦|電子零組|-23 -13 -3|100 100 64 56|3.8 899
1584 精剛|其他|-33 -14 -3|72 83 -2 -13|0.4 14
1586 和勤|電機機械|-8 -0 6|75 75 -11 -17|0.4 8
1587 吉茂|汽車工業|43 39 10|64 64 -31 -12|0.3 19
1590 亞德客-KY|電機機械|-8 26 10|82 82 8 36|0.8 747
1591 駿吉-KY|電機機械|417 467 379|70 70 -18 -27|0.6 8
1595 川寶|半導體業|-43 -14 1|90 92 12 11|0.6 9
1597 直得|電機機械|19 35 21|93 98 19 7|1.8 44
1598 岱宇|運動休閒|-16 -24 -5|73 82 -5 -12|1.0 6
1603 華電|電器電纜|-37 10 -12|75 75 -13 -20|0.5 17
1604 聲寶|電器電纜|-6 -10 -5|93 100 4 2|1.0 9
1605 華新|電器電纜|-23 -5 2|70 70 -3 18|0.2 950
1608 華榮|電器電纜|25 18 12|78 78 -14 -3|0.2 84
1609 大亞|電器電纜|-6 12 6|69 69 -14 -20|0.3 119
1611 中電|電器電纜|-28 -14 -6|83 93 3 -1|0.8 11
1612 宏泰|電器電纜|-21 12 -1|86 86 1 -8|0.4 18
1616 億泰|電器電纜|-22 8 -7|56 62 -18 -33|0.3 21
1618 合機|電器電纜|-74 106 55|77 78 -6 -17|0.3 23
1702 南僑|食品工業|1 -5 -1|76 92 -6 -8|0.7 13
1707 葡萄王|生技醫療|-1 -6 -1|88 96 -1 -4|1.1 12
1708 東鹼|化學工業|-19 0 5|91 91 27 37|2.2 455
1709 和益|化學工業|-21 -12 2|92 97 9 10|1.0 16
1710 東聯|化學工業|-39 -21 -13|90 93 21 16|2.7 180
1711 永光|化學工業|-25 -7 2|90 90 103 97|0.2 516
1712 興農|化學工業|-9 -4 -1|98 98 6 6|0.7 39
1713 國化|化學工業|-8 -8 1|87 89 7 -4|0.2 11
1717 長興|化學工業|-19 -3 5|85 85 48 47|0.3 1308
1720 生達|生技醫療|-16 2 -2|98 98 7 14|0.7 20
1721 三晃|化學工業|-40 -9 15|79 79 36 30|0.3 27
1722 台肥|化學工業|-6 3 -1|82 93 -3 -7|1.1 195
1723 中碳|化學工業|-34 -32 -3|93 97 27 6|4.4 71
1725 元禎|化學工業|-24 -10 -3|79 84 9 10|0.9 7
1727 中華化|化學工業|-0 5 11|81 81 11 37|0.6 376
1734 杏輝|生技醫療|-17 4 -5|97 98 3 2|1.3 8
1735 日勝化|化學工業|-44 -10 5|80 80 36 73|0.4 18
1736 喬山|運動休閒|5 12 1|62 71 -9 -24|0.6 64
1760 寶齡富錦|生技醫療|-4 12 6|78 90 0 -11|0.8 8
1773 勝一|化學工業|-10 7 1|84 84 3 4|0.4 119
1784 訊聯|生技醫療|-14 8 5|68 68 -30 -2|0.4 20
1785 光洋科|其他電子|63 58 18|91 91 31 47|2.3 3309
1786 科妍|生技醫療|0 1 1|48 54 -21 -38|1.3 14
1789 神隆|生技醫療|26 -10 -10|77 77 26 13|0.3 24
1795 美時|生技醫療|132 64 44|59 59 -23 -8|0.5 692
1802 台玻|玻璃陶瓷|-18 -2 -1|80 80 54 88|0.6 2407
1808 潤隆|建材營造|117766 43167 30734|72 72 -9 -3|0.4 26
1809 中釉|玻璃陶瓷|1 7 -1|80 80 49 33|0.4 95
1810 和成|玻璃陶瓷|-23 -7 -1|72 84 0 -11|0.3 13
1815 富喬|電子零組|61 29 -9|85 85 8 53|0.6 2045
1903 士紙|造紙工業|-16 -5 -2|69 81 -8 -6|1.1 9
1904 正隆|造紙工業|-25 -6 -2|93 93 8 6|4.8 37
1905 華紙|造紙工業|-36 -14 -3|90 90 43 35|5.9 27
1907 永豐餘|造紙工業|-21 -6 1|92 95 4 4|3.1 30
1909 榮成|造紙工業|-23 1 5|89 89 2 -0|5.2 19
2002 中鋼|鋼鐵工業|-13 -9 3|81 92 5 -1|0.9 758
2006 東和鋼鐵|鋼鐵工業|-31 -9 -4|87 87 14 20|1.0 352
2009 第一銅|鋼鐵工業|42 34 30|74 74 -9 7|0.1 63
2010 春源|鋼鐵工業|1 7 5|98 98 21 22|0.8 42
2013 中鋼構|鋼鐵工業|-10 -9 -10|90 98 6 4|0.5 9
2014 中鴻|鋼鐵工業|-24 -27 7|75 92 18 12|0.5 125
2015 豐興|鋼鐵工業|-42 -18 -3|90 93 6 -1|1.9 37
2020 美亞|鋼鐵工業|-35 3 4|92 100 7 1|1.7 9
2023 燁輝|鋼鐵工業|-22 -15 -6|87 91 -2 -11|0.8 32
2027 大成鋼|鋼鐵工業|14 19 4|72 92 6 -5|1.9 585
2030 彰源|鋼鐵工業|-5 -3 13|90 91 15 14|0.6 9
2031 新光鋼|鋼鐵工業|-39 -15 -23|81 94 6 -7|0.7 33
2032 新鋼|鋼鐵工業|-29 3 1|83 92 14 7|1.1 8
2034 允強|鋼鐵工業|-41 -30 -9|79 90 -2 1|0.5 19
2038 海光|鋼鐵工業|-56 -26 -11|79 93 10 -1|0.6 9
2049 上銀|電機機械|-3 6 7|83 90 19 6|1.2 952
2059 川湖|電子零組|31 43 -19|80 80 -7 9|0.8 2175
2070 精湛|電機機械|-15 25 25|65 83 1 3|0.4 5
2101 南港|橡膠工業|-24 -6 9|76 93 -2 -8|0.7 69
2102 泰豐|橡膠工業|-64 -17 -10|91 95 3 5|0.8 10
2103 台橡|橡膠工業|-17 -6 -2|88 88 25 19|0.8 172
2104 國際中橡|橡膠工業|-23 -17 -1|89 89 7 10|0.9 56
2105 正新|橡膠工業|-17 -4 2|64 84 7 -17|0.8 389
2106 建大|橡膠工業|-12 -5 -2|70 88 -7 -10|1.3 16
2107 厚生|橡膠工業|-47 -16 -10|98 98 4 6|1.2 6
2108 南帝|橡膠工業|0 0 14|84 97 19 14|2.4 26
2201 裕隆|汽車工業|-4 -8 5|62 64 -21 -22|0.6 77
2204 中華|汽車工業|4 24 26|76 89 -7 -11|1.1 70
2206 三陽工業|汽車工業|-11 1 2|86 94 -2 -6|0.9 53
2207 和泰車|汽車工業|-15 -5 -4|78 79 -13 -17|1.2 271
2208 台船|航運業|39 62 -5|69 84 1 -14|0.7 78
2211 長榮鋼|鋼鐵工業|-31 -19 -26|83 83 -2 3|0.7 71
2228 劍麟|汽車工業|-5 -4 -1|71 79 -17 -19|0.2 18
2230 泰茂|居家生活|89 29 18|30 30 -66 -69|0.6 10
2231 為升|汽車工業|-17 -5 12|82 88 27 4|4.4 51
2233 宇隆|汽車工業|-22 -11 2|78 78 12 6|0.3 151
2236 百達-KY|汽車工業|-1 69 -297|93 93 -3 4|1.0 30
2241 艾姆勒|汽車工業|45 47 26|71 71 -22 0|0.8 10
2243 宏旭-KY|汽車工業|739 270 180|96 96 90 83|1.8 17
2247 汎德永業|汽車工業|-47 -26 -11|72 80 -15 -18|0.3 15
2258 鴻華先進-創|汽車工業|-30 -56 7|55 63 -33 -30|1.4 28
2301 光寶科|電腦及週|17 15 -5|77 77 -9 -13|0.6 2415
2302 麗正|半導體業|39 18 8|77 83 2 1|0.4 12
2303 聯電|半導體業|6 4 2|75 75 16 30|0.4 3702
2305 全友|電腦及週|34 31 19|92 92 45 35|2.7 34
2308 台達電|電子零組|31 34 2|95 95 54 67|1.1 18387
2312 金寶|其他電子|-19 -10 -2|63 63 -3 10|0.3 315
2313 華通|電子零組|0 18 10|99 99 169 258|1.5 17570
2314 台揚|通信網路|3 21 1|25 74 -17 -25|1.3 7
2316 楠梓電|電子零組|-4 19 3|82 82 -3 0|0.7 431
2317 鴻海|其他電子|8 25 7|75 75 -12 -14|0.8 11467
2323 中環|光電業|13 13 13|84 84 5 21|0.7 124
2324 仁寶|電腦及週|-22 -4 13|78 79 -5 -22|1.4 993
2327 國巨*|電子零組|18 25 13|84 84 13 48|0.4 5141
2328 廣宇|電子零組|-34 -21 -14|73 77 -7 -21|0.3 119
2329 華泰|半導體業|12 25 -2|72 72 -2 10|0.4 668
2330 台積電|半導體業|22 26 -5|92 92 24 41|1.1 75406
2331 精英|電腦及週|67 37 14|72 72 -7 1|0.2 54
2332 友訊|通信網路|-1 3 9|72 86 -2 -13|1.1 45
2337 旺宏|半導體業|60 52 32|79 79 226 398|0.2 7398
2338 光罩|半導體業|-14 -14 5|77 77 20 7|0.7 181
2340 台亞|半導體業|-3 -1 -3|79 86 -5 -9|0.8 83
2342 茂矽|半導體業|-15 -15 -15|74 74 -0 -8|0.3 39
2344 華邦電|半導體業|88 79 53|72 72 22 180|1.0 19190
2345 智邦|通信網路|83 74 -48|99 99 39 70|1.0 7512
2347 聯強|電子通路|6 20 17|96 96 33 23|0.9 424
2348 海悅|其他|240 86 75|53 90 -5 -10|0.5 29
2349 錸德|光電業|-22 -3 -10|80 80 -10 22|0.4 59
2351 順德|半導體業|2 5 8|99 99 37 28|1.6 262
2352 佳世達|電腦及週|-7 0 -2|61 66 -3 -34|0.7 114
2353 宏碁|電腦及週|26 27 18|74 87 8 -14|0.5 508
2354 鴻準|其他電子|-24 8 -113|69 72 -14 -27|0.7 215
2355 敬鵬|電子零組|-5 6 7|100 100 65 49|3.5 685
2356 英業達|電腦及週|-1 7 -1|80 80 -5 -13|0.7 560
2357 華碩|電腦及週|19 48 16|79 79 4 -18|0.7 2402
2359 所羅門|其他電子|-38 -3 -17|67 78 -13 -25|0.4 99
2360 致茂|其他電子|86 72 37|98 98 109 170|1.4 5149
2362 藍天|電腦及週|19 11 25|75 88 -6 -10|0.7 17
2363 矽統|半導體業|211 181 -526|75 77 1 -17|0.3 137
2364 倫飛|電腦及週|-1 -11 -25|51 78 -11 -22|0.5 5
2365 昆盈|電腦及週|1 10 11|62 74 -11 -27|0.3 59
2367 燿華|電子零組|-19 -10 5|95 95 172 174|1.7 4909
2368 金像電|電子零組|54 56 -4|94 94 42 116|0.7 8340
2369 菱生|半導體業|26 42 28|85 85 35 60|0.7 520
2371 大同|電機機械|-2 10 1|71 72 -2 -22|0.4 420
2374 佳能|光電業|32 83 19|64 72 -10 -24|0.3 235
2375 凱美|電子零組|5 14 7|71 71 -15 -3|0.3 74
2376 技嘉|電腦及週|47 59 27|74 74 -1 -21|0.7 1403
2377 微星|電腦及週|-3 22 3|53 76 -10 -25|0.6 530
2379 瑞昱|半導體業|-7 1 -2|84 84 -1 -10|0.7 1410
2382 廣達|電腦及週|43 67 17|94 94 10 2|0.9 4287
2383 台光電|電子零組|45 45 1|97 97 69 128|0.9 10112
2385 群光|電子零組|-13 -5 1|74 87 2 -14|0.8 515
2387 精元|電腦及週|-33 -17 4|72 95 11 5|1.5 83
2388 威盛|半導體業|-4 -29 5|56 79 -4 -9|1.3 229
2392 正崴|電子零組|-21 -23 -15|59 70 -5 -26|0.7 41
2393 億光|光電業|-5 2 8|86 98 24 7|0.6 257
2395 研華|電腦及週|6 14 -4|85 88 16 3|0.8 909
2397 友通|電腦及週|3 8 -7|65 77 -12 -24|0.6 7
2399 映泰|電腦及週|3 -9 0|86 86 23 66|0.4 158
2401 凌陽|半導體業|-7 7 10|70 84 -0 -15|0.6 43
2402 毅嘉|電子零組|11 16 2|77 77 -21 -1|0.7 238
2404 漢唐|其他電子|69 56 5|68 73 -10 -12|0.9 3647
2405 輔信|電腦及週|-21 1 -4|70 77 -16 -19|0.9 27
2406 國碩|光電業|160 179 131|85 85 23 54|0.7 1044
2408 南亞科|半導體業|587 547 325|65 65 12 175|1.5 26813
