# 2024-10-01 全池(1211 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|39 52 40|96 96 -1 4|1.3 327
1102 亞泥|水泥工業|4 2 11|99 99 8 19|1.2 332
1103 嘉泥|水泥工業|12 0 -9|96 98 0 6|0.9 6
1104 環泥|水泥工業|6 4 -2|83 83 -17 -9|0.4 12
1110 東泥|水泥工業|104 58 37|88 88 3 20|0.4 7
1201 味全|食品工業|10 9 -3|94 96 -1 -2|0.8 7
1210 大成|食品工業|-12 -8 -0|89 92 -7 -7|0.8 47
1215 卜蜂|食品工業|-4 -6 -0|85 85 -7 -12|1.7 33
1216 統一|食品工業|7 11 -5|99 99 10 21|0.8 694
1217 愛之味|食品工業|6 3 1|94 94 -3 7|0.7 12
1218 泰山|食品工業|-11 -11 -9|87 87 -6 -7|0.6 9
1225 福懋油|食品工業|-13 -14 -3|74 74 9 137|0.8 16
1227 佳格|食品工業|-2 -3 -5|93 93 -4 5|1.0 18
1229 聯華|食品工業|3 -3 -16|88 88 -10 -7|0.7 54
1231 聯華食|食品工業|10 11 6|91 91 -4 13|0.6 16
1232 大統益|食品工業|-18 -7 2|100 100 6 7|5.0 11
1256 鮮活果汁-KY|食品工業|-26 -25 -27|64 76 -11 -24|5.2 7
1268 漢來美食|觀光餐旅|18 21 1|92 92 -7 3|0.6 8
1301 台塑|塑膠工業|-8 2 5|65 75 -6 -25|1.6 768
1303 南亞|塑膠工業|-5 3 11|67 80 -5 -20|1.1 503
1304 台聚|塑膠工業|-16 4 10|76 95 7 0|1.2 34
1305 華夏|塑膠工業|-53 -14 1|68 94 7 -6|1.8 17
1307 三芳|塑膠工業|6 10 6|100 100 31 38|1.8 61
1308 亞聚|塑膠工業|-31 -11 4|74 94 10 -3|1.3 16
1309 台達化|塑膠工業|35 45 25|100 100 24 37|3.3 73
1310 台苯|塑膠工業|27 56 32|77 90 -3 -5|1.2 10
1312 國喬|塑膠工業|17 32 27|79 87 -6 -1|0.8 36
1313 聯成|塑膠工業|-13 -3 -19|77 88 0 -8|2.2 20
1316 上曜|建材營造|70 181 133|65 74 -11 -15|0.2 77
1319 東陽|汽車工業|2 3 -11|81 81 -6 -13|1.0 531
1321 大洋|塑膠工業|-13 2 6|85 85 1 7|0.3 18
1326 台化|塑膠工業|1 13 3|67 76 -12 -22|1.1 466
1336 台翰|電子零組|19 15 18|93 93 27 36|3.7 25
1339 昭輝|汽車工業|-20 -14 -14|75 75 -8 -13|0.6 7
1342 八貫|其他|-7 -7 -7|68 73 -19 -28|0.6 11
1402 遠東新|紡織纖維|6 5 -0|100 100 6 23|0.9 277
1409 新纖|紡織纖維|3 10 -3|92 92 -4 5|0.5 43
1414 東和|紡織纖維|-24 -10 -12|89 89 -7 21|0.9 10
1416 廣豐|其他|18 23 -7|98 98 9 12|1.0 5
1434 福懋|紡織纖維|-2 1 7|82 88 -7 -7|0.9 22
