# 2025-01-02 全池(1118 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1709 和益|化學工業|5 -1 -15|79 79 -15 -12|0.4 7
1710 東聯|化學工業|11 9 -6|69 74 -25 -20|0.7 16
1711 永光|化學工業|8 -2 -6|73 73 -21 0|0.3 37
1712 興農|化學工業|-13 -8 -7|90 90 -1 -3|0.4 12
1717 長興|化學工業|3 -1 -6|79 79 -17 -14|0.4 30
1720 生達|生技醫療|2 8 -0|81 81 -6 -12|0.9 10
1721 三晃|化學工業|-37 -9 -15|61 61 -39 7|0.2 26
1722 台肥|化學工業|3 4 17|77 81 -11 -18|1.1 82
1723 中碳|化學工業|12 -2 3|74 86 -10 -15|0.6 15
1727 中華化|化學工業|3 30 11|68 68 -29 -11|0.2 16
1734 杏輝|生技醫療|4 1 -5|82 83 -5 -17|1.6 9
1736 喬山|運動休閒|39 34 12|93 93 12 95|0.7 175
1760 寶齡富錦|生技醫療|-6 -0 -11|74 82 -7 -17|1.7 9
1773 勝一|化學工業|15 14 1|81 84 -15 -3|0.6 24
1783 和康生|生技醫療|33 37 32|99 100 13 7|1.5 6
1784 訊聯|生技醫療|21 9 -0|54 54 -19 -41|0.5 29
1785 光洋科|其他電子|48 31 1|82 82 -7 -16|0.5 545
1786 科妍|生技醫療|31 24 -9|77 77 -19 -16|2.3 44
1789 神隆|生技醫療|-28 -15 -28|74 76 -13 -25|0.9 7
1795 美時|生技醫療|-7 36 24|79 90 2 -12|0.7 315
1799 易威|生技醫療|452 204 9|28 28 -45 -54|1.4 33
1802 台玻|玻璃陶瓷|-3 -12 -6|76 76 -15 -15|0.5 194
1808 潤隆|建材營造|-99 -96 -606|29 29 -28 -66|0.4 67
1809 中釉|玻璃陶瓷|2 -5 -9|55 73 -19 -25|0.3 10
1810 和成|玻璃陶瓷|-6 -1 -2|80 89 -9 -8|1.6 10
1815 富喬|電子零組|80 55 31|85 85 9 3|0.3 1032
1904 正隆|造紙工業|-0 14 8|63 66 -23 -35|0.5 25
1905 華紙|造紙工業|-8 -11 -12|65 75 -22 -25|0.5 11
1907 永豐餘|造紙工業|5 2 -4|89 89 -10 -7|0.6 16
1909 榮成|造紙工業|7 4 1|71 76 -24 -19|0.5 10
2002 中鋼|鋼鐵工業|-3 -5 -4|72 81 -19 -17|0.9 382
2006 東和鋼鐵|鋼鐵工業|-12 -13 -14|83 83 -17 -6|0.9 61
2009 第一銅|鋼鐵工業|7 10 -10|61 72 -19 -28|0.4 19
2010 春源|鋼鐵工業|26 21 7|78 93 -7 -8|0.4 8
2014 中鴻|鋼鐵工業|-26 -32 -18|62 76 -21 -19|0.3 44
2015 豐興|鋼鐵工業|0 -6 -5|79 79 -21 -13|1.3 27
2020 美亞|鋼鐵工業|-19 -16 1|71 77 -7 -21|0.9 9
2023 燁輝|鋼鐵工業|-8 -10 -12|81 90 -10 -4|1.1 24
2027 大成鋼|鋼鐵工業|-4 -8 4|78 79 -15 -15|0.4 132
2031 新光鋼|鋼鐵工業|-26 -15 -9|66 75 -25 -24|0.5 21
2033 佳大|鋼鐵工業|14 3 3|84 84 -1 43|0.6 9
2034 允強|鋼鐵工業|32 10 15|73 77 -19 -21|0.4 12
2049 上銀|電機機械|12 7 7|94 94 41 43|2.2 3166
2059 川湖|電子零組|66 62 -9|92 92 38 8|1.0 1558
2062 橋椿|居家生活|-30 -21 -31|78 78 -20 20|0.4 59
2066 世德|電機機械|-14 3 2|62 66 -12 -32|0.6 15
2070 精湛|電機機械|3 19 -18|62 62 -34 25|0.2 46
2101 南港|橡膠工業|2 296 208|70 83 -10 -11|0.6 75
2102 泰豐|橡膠工業|89 124 122|77 77 -17 -12|0.5 9
2103 台橡|橡膠工業|10 23 6|78 78 -20 -16|0.5 22
2104 國際中橡|橡膠工業|-11 -14 -14|64 70 -25 -29|1.0 13
2105 正新|橡膠工業|-5 -2 -2|82 91 -8 4|0.4 147
2106 建大|橡膠工業|-14 -7 -7|77 79 -16 -22|0.4 12
2107 厚生|橡膠工業|25 36 26|91 91 0 1|0.7 6
2108 南帝|橡膠工業|45 42 16|73 76 -6 -27|1.5 15
2201 裕隆|汽車工業|-13 -9 -16|70 81 -14 -18|0.8 94
2204 中華|汽車工業|-41 -32 -41|55 61 12 -37|0.4 242
2206 三陽工業|汽車工業|-8 -6 -9|83 88 -6 -9|0.4 97
2207 和泰車|汽車工業|3 3 0|85 85 -9 -1|0.9 108
2208 台船|航運業|-12 -34 -2|72 79 -17 -15|0.7 19
2211 長榮鋼|鋼鐵工業|114 84 57|58 64 -22 -33|4.4 539
2227 裕日車|汽車工業|-25 -28 -20|41 57 -38 -43|0.8 6
2228 劍麟|汽車工業|5 3 -4|79 79 -14 -14|0.2 21
2230 泰茂|居家生活|320 269 100|58 63 -35 -33|0.4 83
2231 為升|汽車工業|78 48 39|79 90 3 -10|0.8 58
2233 宇隆|汽車工業|-2 2 -10|97 97 71 92|3.3 1351
2236 百達-KY|汽車工業|-9 -20 -14|89 89 7 23|0.4 47
2241 艾姆勒|汽車工業|-41 -41 -26|56 74 -7 -23|0.5 12
2243 宏旭-KY|汽車工業|-44 -57 -147|54 54 -41 -8|0.3 6
2247 汎德永業|汽車工業|70 37 25|89 99 3 0|0.9 11
2250 IKKA-KY|汽車工業|-15 -9 -12|92 92 36 28|2.9 102
2254 巨鎧精密-創|汽車工業|-1 -39 -86|83 83 6 -2|1.3 18
2258 鴻華先進-創|汽車工業|367 538 -488|85 91 -9 -8|0.9 11
2301 光寶科|電腦及週|1 -4 5|85 92 -0 -5|0.6 546
2302 麗正|半導體業|58 37 34|90 90 4 -2|0.6 13
2303 聯電|半導體業|7 6 4|76 78 -17 -21|0.6 2431
