# 2023-10-02 全池(1022 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-12 -9 -17|84 84 -10 -8|1.1 729
1102 亞泥|水泥工業|-8 -12 -4|93 93 -6 -5|0.6 135
1103 嘉泥|水泥工業|31 44 15|83 83 -10 2|0.4 6
1104 環泥|水泥工業|2 6 -10|87 87 -8 7|0.3 20
1108 幸福|水泥工業|10 26 -5|80 80 -7 2|0.3 6
1210 大成|食品工業|-3 -4 -9|86 86 6 7|0.3 80
1215 卜蜂|食品工業|5 2 -5|95 95 6 13|0.6 53
1216 統一|食品工業|18 13 3|93 93 -1 1|0.7 305
1217 愛之味|食品工業|4 1 -2|84 84 0 10|0.4 32
1218 泰山|食品工業|10 7 4|49 70 -15 -25|0.6 17
1219 福壽|食品工業|1 2 -2|93 96 -2 -3|0.5 5
1227 佳格|食品工業|-1 4 10|90 92 -6 -3|0.6 14
1229 聯華|食品工業|7 1 -2|94 94 -1 15|0.5 50
1231 聯華食|食品工業|7 1 -7|96 96 5 10|0.4 11
1234 黑松|食品工業|4 6 -9|95 95 -2 10|0.5 5
1268 漢來美食|觀光餐旅|15 45 -3|87 87 2 18|0.9 21
1301 台塑|塑膠工業|0 -17 9|88 88 -4 -9|0.7 418
1303 南亞|塑膠工業|-14 -25 4|85 85 -4 -11|0.7 203
1304 台聚|塑膠工業|-4 -23 -1|79 79 -10 -21|0.3 21
1305 華夏|塑膠工業|16 -17 9|85 92 8 -8|0.6 60
1307 三芳|塑膠工業|-7 -8 -15|98 98 13 31|0.8 46
1308 亞聚|塑膠工業|-37 -40 -15|84 85 -5 -16|0.5 19
1309 台達化|塑膠工業|-9 -27 -3|78 85 -8 -14|0.4 5
1310 台苯|塑膠工業|-4 -32 -4|91 91 -0 13|0.6 12
1312 國喬|塑膠工業|-9 -20 0|80 80 -9 -16|0.5 18
1313 聯成|塑膠工業|29 4 17|86 86 3 0|0.3 18
1316 上曜|建材營造|-73 -82 -68|66 80 -7 -20|0.8 23
1319 東陽|汽車工業|18 7 -3|98 98 52 75|0.9 913
1324 地球|塑膠工業|1 3 12|94 94 19 23|2.2 20
1326 台化|塑膠工業|1 -15 -1|82 89 -5 -10|0.8 206
1339 昭輝|汽車工業|16 2 -1|96 96 41 42|4.6 78
1342 八貫|其他|7 -0 -6|64 67 -13 -33|0.4 26
1402 遠東新|紡織纖維|-2 -6 -3|91 91 -6 -3|0.5 131
1409 新纖|紡織纖維|-11 -14 5|88 90 -4 -9|0.7 22
