# 2025-05-02 全池(1104 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-0 53 -3|85 85 -6 -7|0.5 437
1102 亞泥|水泥工業|2 3 3|94 94 10 -4|0.9 312
1104 環泥|水泥工業|-6 2 1|77 91 -1 -6|0.7 9
1110 東泥|水泥工業|24 29 -5|78 88 -2 -11|1.1 7
1210 大成|食品工業|2 2 6|99 99 13 17|1.7 134
1215 卜蜂|食品工業|-2 -3 1|89 97 8 5|0.6 29
1216 統一|食品工業|7 6 -4|87 87 -1 -12|0.9 1196
1217 愛之味|食品工業|8 2 -3|88 94 -2 -2|0.8 11
1218 泰山|食品工業|-5 -8 -1|88 96 7 4|0.7 15
1227 佳格|食品工業|-3 5 3|83 92 1 -7|1.0 16
1229 聯華|食品工業|-36 -18 -11|63 73 -13 -26|0.9 50
1231 聯華食|食品工業|10 7 -6|76 76 -10 21|0.3 39
1232 大統益|食品工業|1 -3 1|97 99 5 0|1.2 15
1301 台塑|塑膠工業|-3 0 -2|51 71 1 -27|0.5 381
1303 南亞|塑膠工業|7 13 7|54 71 -1 -26|0.4 245
1304 台聚|塑膠工業|5 2 1|60 71 -8 -27|0.4 13
1305 華夏|塑膠工業|-15 -14 2|60 69 -9 -31|0.4 7
1307 三芳|塑膠工業|9 16 5|75 75 5 -2|0.7 59
1308 亞聚|塑膠工業|16 -0 9|64 64 -11 -23|0.8 7
1309 台達化|塑膠工業|11 13 -12|56 63 -8 -33|0.3 6
1312 國喬|塑膠工業|189 85 52|76 95 5 -4|0.7 63
1316 上曜|建材營造|233 252 65|70 83 16 10|0.5 206
1319 東陽|汽車工業|12 22 11|94 94 22 25|0.9 798
1321 大洋|塑膠工業|-17 -6 -7|81 93 -0 4|0.4 6
1325 恆大|塑膠工業|22 -9 12|71 71 -23 -0|0.9 6
1326 台化|塑膠工業|-8 -6 -10|44 64 -10 -36|0.4 177
1336 台翰|電子零組|16 15 -1|75 75 -6 -12|0.7 9
1342 八貫|其他|24 26 20|78 87 -9 0|0.8 26
1402 遠東新|紡織纖維|-3 -2 -6|86 88 9 -12|0.6 181
1409 新纖|紡織纖維|-7 -3 -14|73 80 -14 -17|0.6 13
1414 東和|紡織纖維|-3 -4 3|77 77 -20 -11|0.7 7
1434 福懋|紡織纖維|7 8 3|71 81 -10 -15|0.6 15
1436 華友聯|建材營造|3631 3283 795|63 83 1 -2|0.4 32
1440 南紡|紡織纖維|-3 -0 5|66 85 -3 -13|1.4 9
1442 名軒|建材營造|-30 -4 -596|85 85 -12 15|0.7 60
1446 宏和|紡織纖維|-31 25 -2386|45 46 -33 -36|0.3 9
1449 佳和|紡織纖維|-20 -17 -14|48 48 -28 -39|0.7 7
1463 強盛新|紡織纖維|-19 789 491|77 77 -2 1|0.5 12
1464 得力|紡織纖維|21 43 10|75 75 -15 -12|0.4 13
1466 聚隆|紡織纖維|-1 19 -2|76 76 25 14|0.5 9
1472 三洋實業|建材營造|50 59 41|92 92 40 69|1.4 30
1473 台南|紡織纖維|12 8 -0|56 80 -11 -17|0.7 7
1476 儒鴻|紡織纖維|21 23 2|70 70 -25 -24|1.1 378
1477 聚陽|紡織纖維|10 15 5|64 75 -18 -15|0.7 531
1503 士電|電機機械|-0 3 -5|46 73 -12 -23|0.6 155
1504 東元|電機機械|7 0 5|86 92 -7 5|0.7 164
1513 中興電|電機機械|1 5 -11|58 79 -11 -13|1.1 505
1514 亞力|電機機械|-10 -0 6|56 85 5 -9|0.5 247
1515 力山|電機機械|-44 -54 -28|62 86 1 -8|0.5 16
1519 華城|電機機械|26 54 6|45 68 -16 -17|0.9 1716
1522 堤維西|汽車工業|6 -3 -5|67 73 -25 -19|0.9 72
1524 耿鼎|汽車工業|11 5 -2|83 83 0 7|1.2 197
1527 鑽全|電機機械|3 2 -12|78 85 -10 -14|0.3 6
1528 恩德|電機機械|-31 -24 -17|61 62 -4 -37|0.6 22
1529 樂事綠能|電機機械|20 145 81|63 86 12 -9|1.0 13
1532 勤美|電機機械|-50 -36 -37|51 71 -10 -26|0.6 24
1536 和大|汽車工業|-17 -17 -4|76 76 13 19|1.1 422
1537 廣隆|電機機械|1 0 -22|88 88 -4 -3|0.6 18
1540 喬福|電機機械|11 6 -8|67 79 7 -22|0.8 28
1558 伸興|電機機械|-1 16 4|85 88 -5 -7|0.5 7
