# 2025-09-01 全池(1166 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-6 -14 -51|66 67 -15 -33|1.3 515
1102 亞泥|水泥工業|-13 -9 -10|81 81 -9 -13|0.8 220
1103 嘉泥|水泥工業|-3 -1 -5|75 81 -9 -17|0.9 5
1104 環泥|水泥工業|-7 -9 -6|97 97 3 3|1.7 18
1210 大成|食品工業|-7 -5 -2|84 84 -9 -1|0.5 135
1215 卜蜂|食品工業|2 3 3|97 97 18 33|0.4 98
1216 統一|食品工業|-4 1 -5|89 92 2 -3|0.7 666
1217 愛之味|食品工業|-6 -1 -5|91 93 2 -8|1.6 6
1218 泰山|食品工業|-9 -3 4|88 88 -8 -4|0.5 9
1225 福懋油|食品工業|-5 -1 4|17 49 -18 -51|0.3 6
1227 佳格|食品工業|-10 -5 -6|80 83 -6 -14|0.9 15
1229 聯華|食品工業|3 2 12|79 96 8 -3|1.2 80
1231 聯華食|食品工業|3 8 -4|76 88 3 -7|0.9 56
1232 大統益|食品工業|-5 -7 -2|94 94 -5 1|0.4 7
1268 漢來美食|觀光餐旅|4 7 -4|100 100 6 7|1.4 8
1295 生合|食品工業|-19 4 na|na na 24 na|1.7 148
1301 台塑|塑膠工業|-18 -16 -13|74 91 11 1|1.0 954
1303 南亞|塑膠工業|-6 -5 -9|92 92 49 29|1.6 3912
1304 台聚|塑膠工業|-22 -18 -10|65 87 9 -14|0.9 21
1305 華夏|塑膠工業|-25 -19 1|67 87 12 -15|0.9 12
1307 三芳|塑膠工業|-12 -5 -11|62 67 -12 -35|0.4 31
1308 亞聚|塑膠工業|-18 -10 1|62 83 3 -19|1.0 16
1309 台達化|塑膠工業|-29 -27 -30|54 79 4 -25|1.1 9
1313 聯成|塑膠工業|-15 -19 -4|83 92 26 10|0.6 33
1316 上曜|建材營造|176 157 -30|61 66 -12 -14|0.9 43
1319 東陽|汽車工業|-18 -14 -19|77 77 -11 -11|0.6 213
1321 大洋|塑膠工業|-13 -26 -16|83 95 1 -0|2.1 7
1325 恆大|塑膠工業|-20 -3 8|68 68 -23 -6|0.6 11
1326 台化|塑膠工業|-22 -24 -12|69 98 26 5|0.8 483
1336 台翰|電子零組|-16 -8 -19|63 66 -10 -28|0.8 6
