# 2024-04-01 全池(1276 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-34 -20 -13|82 92 -7 -3|1.0 496
1102 亞泥|水泥工業|-42 -11 0|97 98 1 4|0.9 192
1103 嘉泥|水泥工業|-5 15 -11|78 90 -8 -6|1.3 6
1104 環泥|水泥工業|-19 6 -4|98 98 8 23|1.0 49
1108 幸福|水泥工業|-21 14 -9|89 98 1 11|1.6 19
1109 信大|水泥工業|-45 7 6|100 100 6 9|1.5 9
1201 味全|食品工業|16 17 7|92 97 -1 3|0.9 7
1210 大成|食品工業|-12 -6 -4|94 96 0 8|0.6 114
1215 卜蜂|食品工業|-10 -6 -7|100 100 16 19|1.8 70
1216 統一|食品工業|18 19 5|98 98 4 9|2.1 823
1217 愛之味|食品工業|5 0 -3|81 96 1 -3|1.1 12
1218 泰山|食品工業|-6 -2 -2|69 97 -1 -1|0.9 22
1219 福壽|食品工業|-20 -13 -7|90 94 -3 -6|0.8 7
1220 台榮|食品工業|6 22 19|89 99 7 10|3.0 5
1227 佳格|食品工業|-7 5 3|95 96 -1 2|1.5 16
1229 聯華|食品工業|-3 28 15|98 98 3 9|0.7 88
1231 聯華食|食品工業|19 6 3|100 100 13 12|1.1 27
1232 大統益|食品工業|-23 -13 -5|99 100 2 4|1.4 9
1234 黑松|食品工業|16 2 -6|100 100 3 8|1.0 6
1268 漢來美食|觀光餐旅|75 28 -15|86 97 5 -0|0.7 15
1301 台塑|塑膠工業|-27 -5 10|79 86 -10 -11|1.1 577
1303 南亞|塑膠工業|-23 -13 9|74 83 -13 -14|1.1 517
1304 台聚|塑膠工業|-21 -10 8|62 79 -18 -21|1.4 28
1305 華夏|塑膠工業|-36 -26 -6|70 77 -17 -25|1.3 28
1307 三芳|塑膠工業|-30 -1 7|100 100 13 12|2.0 21
1308 亞聚|塑膠工業|-12 -3 21|67 79 -17 -20|1.0 19
1309 台達化|塑膠工業|-10 9 18|75 88 -5 -11|0.9 10
1310 台苯|塑膠工業|23 20 28|77 81 -14 -15|0.6 12
1312 國喬|塑膠工業|-18 -8 5|67 83 -10 -17|0.9 29
1313 聯成|塑膠工業|-42 25 15|78 83 -11 -8|0.8 20
1316 上曜|建材營造|-73 -18 35|76 76 54 96|0.9 601
1319 東陽|汽車工業|-17 20 6|97 97 63 57|1.7 1302
1325 恆大|塑膠工業|-20 2 21|62 62 -26 30|0.2 21
1326 台化|塑膠工業|-8 0 10|81 86 -9 -9|1.1 248
1339 昭輝|汽車工業|-28 8 3|94 94 9 16|0.6 28
1342 八貫|其他|43 3 3|88 99 20 38|2.3 127
1402 遠東新|紡織纖維|-1 11 11|100 100 7 16|0.7 155
1409 新纖|紡織纖維|1 15 20|93 93 3 3|0.4 45
