# 2026-06-01 全池(1303 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-4 -6 3|84 92 -7 16|1.2 717
1102 亞泥|水泥工業|-9 -15 -4|79 87 -5 -12|4.2 320
1104 環泥|水泥工業|-9 -14 -10|85 87 -7 -10|1.1 19
1201 味全|食品工業|-3 -0 7|74 82 -15 -18|1.5 5
1210 大成|食品工業|4 1 1|83 95 2 2|1.1 113
1215 卜蜂|食品工業|-3 2 -2|78 78 -18 -6|2.4 263
1216 統一|食品工業|2 4 3|88 92 0 -2|1.8 1174
1218 泰山|食品工業|6 6 6|92 99 6 7|1.2 9
1219 福壽|食品工業|1 -2 -2|82 87 -6 -7|0.9 7
1225 福懋油|食品工業|9 -2 1|62 87 -9 -3|0.5 6
1227 佳格|食品工業|-5 6 6|82 90 -6 -8|1.5 28
1229 聯華|食品工業|-45 -12 -19|80 83 -10 -16|1.4 139
1231 聯華食|食品工業|1 10 5|56 85 0 -11|1.2 27
1232 大統益|食品工業|3 3 2|93 96 -4 1|1.8 13
1234 黑松|食品工業|-14 3 6|85 91 -7 -8|0.7 7
1256 鮮活果汁-KY|食品工業|56 67 35|100 100 31 55|2.5 24
1264 德麥|食品工業|11 7 8|86 92 -4 -8|1.7 8
1268 漢來美食|觀光餐旅|25 36 24|99 99 6 7|0.7 7
1301 台塑|塑膠工業|13 -6 7|92 92 -1 23|1.1 905
1303 南亞|塑膠工業|19 7 7|100 100 20 96|1.2 5598
1304 台聚|塑膠工業|13 -6 8|71 71 6 29|0.3 66
1305 華夏|塑膠工業|43 22 27|70 70 5 22|0.3 45
1307 三芳|塑膠工業|9 -3 -2|88 90 -5 -3|1.0 27
1308 亞聚|塑膠工業|16 -9 -6|70 70 -0 11|0.3 41
1309 台達化|塑膠工業|-8 -20 8|61 61 31 54|0.4 96
1312 國喬|塑膠工業|-5 9 -22|81 81 -6 17|0.9 69
1313 聯成|塑膠工業|6 -8 2|81 81 -4 17|0.4 35
1316 上曜|建材營造|115 112 -69|63 63 -23 -28|1.2 25
1319 東陽|汽車工業|-14 -26 -12|68 76 -11 -8|2.3 229
1321 大洋|塑膠工業|11 -8 13|75 79 -16 -21|1.4 6
1325 恆大|塑膠工業|-13 -30 -15|65 75 -8 -18|1.2 9
1326 台化|塑膠工業|28 11 22|99 99 12 68|1.0 884
1339 昭輝|汽車工業|-10 -21 -2|87 95 2 -1|3.7 6
1342 八貫|其他|45 26 13|93 93 -2 17|0.7 26
1402 遠東新|紡織纖維|14 1 6|78 86 -14 -11|5.0 626
1409 新纖|紡織纖維|25 4 15|100 100 65 63|2.2 143
1419 新紡|紡織纖維|40 32 12|83 83 -2 -11|2.0 9
1434 福懋|紡織纖維|-5 -12 -3|84 84 -13 -1|1.5 30
1436 華友聯|建材營造|-25 -56 -7|39 68 -20 -28|1.2 14
1440 南紡|紡織纖維|-16 -20 1|89 90 -2 -6|2.3 24
1442 名軒|建材營造|-76 -82 -20|35 81 -7 -14|0.7 11
1449 佳和|紡織纖維|75 44 27|86 86 31 40|0.8 15
1471 首利|電子零組|-52 -58 -12|84 84 -14 46|1.3 6
1476 儒鴻|紡織纖維|-4 -2 1|78 81 -15 -19|1.6 433
1477 聚陽|紡織纖維|10 -0 8|68 68 -28 -25|1.3 579
1503 士電|電機機械|33 22 10|90 90 -2 36|3.0 549
1504 東元|電機機械|14 6 -3|66 87 -2 -15|3.6 1371
1513 中興電|電機機械|6 -1 -6|91 91 -2 11|3.2 950
1514 亞力|電機機械|40 19 -12|89 89 2 33|2.1 658
1515 力山|電機機械|-19 -9 -28|68 75 -18 -18|2.7 11
1519 華城|電機機械|6 9 -4|81 81 -16 23|1.1 2938
1522 堤維西|汽車工業|53 41 4|62 62 -25 -32|3.1 34
1524 耿鼎|汽車工業|2 -23 -4|96 96 14 17|4.1 28
1527 鑽全|電機機械|-3 -18 -4|90 90 -0 0|1.5 10
1528 恩德|電機機械|1 17 24|86 86 17 89|0.4 153
1529 樂事綠能|電機機械|-72 -64 -98|77 78 -13 22|0.6 16
1532 勤美|電機機械|5 12 -3|77 77 -10 -20|1.2 18
1533 車王電|汽車工業|73 72 13|100 100 30 27|2.2 18
1536 和大|汽車工業|-5 -10 2|74 83 -13 -3|2.2 152
1537 廣隆|電機機械|-9 -3 15|93 100 1 2|1.5 12
1540 喬福|電機機械|-24 -30 -27|73 79 -5 5|1.7 7
1558 伸興|電機機械|11 1 6|88 88 -6 -6|1.7 5
1560 中砂|電機機械|19 25 5|97 97 42 134|0.7 1677
1563 巧新|汽車工業|6 -3 3|100 100 61 71|4.7 38
1565 精華|生技醫療|-17 -22 -6|58 72 -11 -26|0.9 16
1568 倉佑|汽車工業|33 10 7|100 100 128 141|6.4 11
1569 濱川|電腦及週|-11 -5 -2|75 81 0 -8|0.5 63
1570 力肯|電機機械|17 12 38|100 100 75 78|2.1 13
1580 新麥|電機機械|-10 -6 -4|87 88 -4 -10|1.5 8
