# 2024-07-01 全池(1308 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|44 30 33|88 96 5 -4|1.0 547
1102 亞泥|水泥工業|-11 -18 -5|96 96 7 8|1.2 371
1103 嘉泥|水泥工業|7 6 -15|82 96 6 -3|0.5 7
1104 環泥|水泥工業|11 6 -1|100 100 14 22|0.8 24
1108 幸福|水泥工業|-10 0 -15|94 97 6 5|0.2 7
1110 東泥|水泥工業|-4 -3 -15|89 89 21 14|0.8 14
1201 味全|食品工業|17 11 1|93 97 -1 -2|0.7 8
1210 大成|食品工業|-12 -9 -2|92 94 -1 -1|0.7 68
1215 卜蜂|食品工業|-6 -9 -5|91 91 -9 8|2.9 86
1216 統一|食品工業|18 18 1|98 98 8 10|0.8 763
1217 愛之味|食品工業|12 2 0|89 100 10 10|2.2 17
1218 泰山|食品工業|-5 2 -1|77 93 1 -2|0.8 23
1219 福壽|食品工業|-16 -16 -7|92 97 1 -2|1.0 5
1225 福懋油|食品工業|-18 -11 -2|100 100 93 98|1.0 8
1227 佳格|食品工業|8 4 1|99 99 13 11|1.2 52
1229 聯華|食品工業|7 13 -2|98 98 1 3|0.9 54
1231 聯華食|食品工業|16 5 2|100 100 16 31|1.0 16
1232 大統益|食品工業|-8 -5 3|99 99 -0 2|0.8 9
1234 黑松|食品工業|4 -2 -6|96 96 4 8|1.6 8
1256 鮮活果汁-KY|食品工業|-24 -22 -35|62 75 -18 -18|0.8 5
1268 漢來美食|觀光餐旅|16 21 -6|99 99 10 14|0.6 17
1301 台塑|塑膠工業|6 -1 6|65 72 -19 -28|1.8 897
1303 南亞|塑膠工業|1 -2 13|65 73 -15 -26|1.3 805
1304 台聚|塑膠工業|1 -3 9|62 76 -6 -24|0.5 24
1305 華夏|塑膠工業|-14 -17 -1|63 74 -12 -26|0.8 27
1307 三芳|塑膠工業|4 11 12|91 91 6 20|0.5 12
1308 亞聚|塑膠工業|-25 -12 10|64 73 -11 -26|0.7 18
1309 台達化|塑膠工業|35 20 18|85 91 10 5|2.6 10
1310 台苯|塑膠工業|67 10 8|79 84 -1 -16|0.6 11
1312 國喬|塑膠工業|27 1 9|76 93 6 -7|0.8 40
1313 聯成|塑膠工業|22 15 -3|72 80 -8 -18|0.6 17
1314 中石化|塑膠工業|35 22 -24|91 91 8 6|0.6 184
1316 上曜|建材營造|137 74 91|72 72 -6 48|0.3 99
1319 東陽|汽車工業|15 13 -2|85 85 -10 48|1.6 572
1321 大洋|塑膠工業|16 2 15|86 86 7 -1|0.7 14
1325 恆大|塑膠工業|-31 -30 -10|74 74 21 -13|2.4 93
1326 台化|塑膠工業|35 21 19|73 79 -11 -21|1.5 347
1339 昭輝|汽車工業|-8 -4 -8|81 81 -5 4|0.3 13
1342 八貫|其他|34 4 3|82 82 -16 1|1.7 35
1402 遠東新|紡織纖維|6 5 2|98 98 9 15|3.9 302
1409 新纖|紡織纖維|25 25 18|96 96 4 8|0.6 45
1414 東和|紡織纖維|-7 8 9|100 100 28 41|1.4 13
1416 廣豐|其他|23 3 -17|89 89 4 7|0.4 6
1423 利華|紡織纖維|7 -23 -20|100 100 45 45|2.6 13
1434 福懋|紡織纖維|5 3 14|85 89 0 -10|0.8 19
1436 華友聯|建材營造|3184 1544 1131|100 100 49 102|1.4 69
1437 勤益控|其他|26 13 1|95 95 17 26|1.7 14
1438 三地開發|建材營造|na na na|96 96 27 91|0.9 20
1440 南紡|紡織纖維|-8 -16 -1|89 89 15 13|0.3 39
1442 名軒|建材營造|654 1437 -18780|98 98 42 64|0.4 104
1445 大宇|紡織纖維|-0 -29 -6|79 79 -2 5|0.3 21
1446 宏和|紡織纖維|1083 1415 361|87 87 55 41|0.4 77
1449 佳和|紡織纖維|14 14 -19|77 85 3 -3|2.6 10
1453 大將|建材營造|102 101 -29622|84 84 64 70|0.2 46
1455 集盛|紡織纖維|59 33 15|88 88 -9 22|0.5 31
1457 宜進|紡織纖維|7 11 14|85 85 6 21|0.3 12
1464 得力|紡織纖維|34 25 31|95 95 10 6|1.2 7
1471 首利|電子零組|12 7 -10|65 84 -5 -9|0.5 13
1473 台南|紡織纖維|42 30 20|80 80 43 51|0.6 216
1474 弘裕|紡織纖維|32 35 23|98 98 15 20|0.9 5
1475 業旺|紡織纖維|66 49 32|94 94 21 40|0.6 14
1476 儒鴻|紡織纖維|28 20 18|88 91 -4 -6|1.3 430
1477 聚陽|紡織纖維|17 12 4|100 100 14 30|1.8 502
1503 士電|電機機械|-3 2 0|84 84 -6 153|0.8 4180
1504 東元|電機機械|-5 -6 -4|90 90 -1 19|0.5 886
1513 中興電|電機機械|11 19 3|88 88 4 60|0.3 2041
1514 亞力|電機機械|4 2 -13|80 80 34 87|1.1 4055
1515 力山|電機機械|79 136 -31|77 85 -1 -9|0.4 28
1516 川飛|其他|na na na|85 85 46 28|0.8 15
1517 利奇|電機機械|37 1 46|96 96 7 10|1.0 6
1519 華城|電機機械|104 62 -57|98 98 18 196|0.1 2467
1522 堤維西|汽車工業|1 5 0|98 98 20 79|0.7 589
1524 耿鼎|汽車工業|-4 6 -12|91 91 -5 10|0.4 124
1527 鑽全|電機機械|23 5 13|98 98 3 5|0.5 12
1528 恩德|電機機械|5 -2 -0|75 83 3 14|1.2 11
1529 樂事綠能|電機機械|-54 35 -60|71 88 0 6|0.9 53
1532 勤美|電機機械|153 134 57|85 85 27 13|0.4 197
1535 中宇|電機機械|5 18 2|78 78 -3 28|0.3 13
1536 和大|汽車工業|-32 -27 -8|78 92 6 -8|0.5 70
1537 廣隆|電機機械|16 22 15|96 96 2 8|0.9 19
1540 喬福|電機機械|-10 1 -24|98 98 17 26|3.4 10
1560 中砂|電機機械|12 5 7|100 100 27 81|1.5 1117
1565 精華|生技醫療|-7 -9 1|86 91 -2 -2|0.8 22
1568 倉佑|汽車工業|-50 -38 -14|77 86 -3 -10|0.5 6
1569 濱川|電腦及週|-30 -17 4|95 95 -3 0|2.0 5
1570 力肯|電機機械|332 118 118|68 68 -18 44|0.9 67
1580 新麥|電機機械|15 0 -14|99 99 1 9|1.2 12
1582 信錦|電子零組|20 19 5|92 92 24 33|0.3 405
1584 精剛|其他|23 10 -23|89 95 -2 -4|0.5 39
1587 吉茂|汽車工業|-12 -9 6|82 82 82 187|0.6 224
1589 永冠-KY|電機機械|-32 -37 -10|63 72 -10 -12|0.6 19
1590 亞德客-KY|電機機械|1 4 -13|81 81 -12 -3|1.1 408
1591 駿吉-KY|電機機械|620 630 502|84 84 5 26|0.3 49
1597 直得|電機機械|-17 -14 17|96 96 5 19|2.4 21
1598 岱宇|運動休閒|-4 -11 -14|80 88 3 -10|0.6 6
1603 華電|電器電纜|46 12 -11|84 84 7 18|0.2 159
1604 聲寶|電器電纜|-1 4 2|92 97 1 5|0.7 9
1605 華新|電器電纜|-11 -11 -6|78 90 -0 -6|0.5 435
1608 華榮|電器電纜|29 20 17|87 87 28 81|0.2 273
1609 大亞|電器電纜|24 12 4|85 85 31 61|0.6 1153
1611 中電|電器電纜|-7 -11 -2|94 95 16 18|2.6 114
1612 宏泰|電器電纜|4 29 19|87 87 26 43|0.3 133
1614 三洋電|電器電纜|-9 -7 -1|91 91 17 20|0.7 15
1615 大山|電器電纜|49 45 11|94 94 24 62|0.2 40
1616 億泰|電器電纜|-0 5 -8|82 82 10 74|0.3 57
1617 榮星|電器電纜|39 25 23|81 81 23 48|0.8 66
1618 合機|電器電纜|88 29 -42|89 89 53 82|0.3 489
1701 中化|生技醫療|7 7 3|88 93 0 -6|1.1 14
1702 南僑|食品工業|1 2 -6|92 92 5 21|0.9 42
1707 葡萄王|生技醫療|2 7 2|86 99 -0 3|0.5 37
1708 東鹼|化學工業|14 9 25|94 98 15 9|0.8 30
1709 和益|化學工業|64 20 16|99 99 20 13|7.9 16
1710 東聯|化學工業|19 4 -2|76 85 -5 -14|0.7 19
1711 永光|化學工業|17 11 11|88 89 -6 -2|0.6 21
1712 興農|化學工業|7 5 13|100 100 15 24|1.3 45
1713 國化|化學工業|50 33 20|100 100 20 45|2.0 33
1714 和桐|化學工業|14 1 10|99 99 15 10|0.6 26
1717 長興|化學工業|6 3 4|97 97 -2 10|0.8 48
1720 生達|生技醫療|15 11 5|100 100 13 13|1.0 46
1721 三晃|化學工業|-3 0 12|77 85 -5 -6|0.4 9
1722 台肥|化學工業|-10 -15 -17|94 94 1 -3|0.7 164
1723 中碳|化學工業|27 -7 12|87 87 -8 -9|1.1 72
1725 元禎|化學工業|11 5 9|82 82 22 106|0.2 23
1727 中華化|化學工業|36 24 34|79 88 -2 2|0.9 11
1731 美吾華|生技醫療|14 1 -7|92 92 -3 13|1.1 10
1732 毛寶|化學工業|-6 1 1|83 83 7 -3|1.7 27
1733 五鼎|生技醫療|6 -7 8|84 87 6 -9|1.1 10
1734 杏輝|生技醫療|-3 -7 -7|100 100 6 14|1.3 31
1736 喬山|運動休閒|7 16 -2|93 93 29 32|0.5 49
1737 臺鹽|食品工業|-7 -7 -0|91 97 1 -0|0.5 8
1752 南光|生技醫療|3 -9 -7|85 96 16 1|1.4 27
1760 寶齡富錦|生技醫療|4 3 3|76 91 -8 -9|1.9 37
1762 中化生|生技醫療|-8 -36 -1|56 90 7 -8|1.9 14
1773 勝一|化學工業|12 11 10|81 81 -15 14|1.2 82
1777 生泰|生技醫療|15 19 5|100 100 10 8|1.9 6
1781 合世|生技醫療|123 31 32|97 97 34 25|6.1 7
1783 和康生|生技醫療|16 -6 -3|80 100 8 4|3.0 11
1784 訊聯|生技醫療|-1 2 -13|100 100 114 139|2.6 267
1785 光洋科|其他電子|16 28 12|93 93 34 65|2.9 1845
1786 科妍|生技醫療|18 19 -22|100 100 18 71|1.1 177
1789 神隆|生技醫療|30 28 11|87 100 7 12|0.9 33
1795 美時|生技醫療|17 0 -8|93 93 2 18|1.4 973
1799 易威|生技醫療|173 150 66|100 100 97 236|2.3 42
1802 台玻|玻璃陶瓷|-1 -7 -13|84 94 10 -0|0.9 345
1806 冠軍|玻璃陶瓷|-7 6 -14|93 93 27 5|2.5 6
1808 潤隆|建材營造|4 2264 -8149|88 88 -4 12|0.4 172
1809 中釉|玻璃陶瓷|7 -4 -4|70 70 -7 59|1.4 58
1810 和成|玻璃陶瓷|-9 -0 -3|72 84 5 -1|0.2 17
1815 富喬|電子零組|24 19 38|88 88 34 63|0.8 1647
1817 凱撒衛|玻璃陶瓷|-1 1 -3|98 98 7 8|0.9 7
1903 士紙|造紙工業|-3 -13 -13|80 87 3 6|0.2 24
1904 正隆|造紙工業|6 3 1|82 95 -1 -5|1.1 23
1905 華紙|造紙工業|11 2 9|66 88 -8 -11|0.5 44
