# 2025-12-01 全池(1079 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-15 -7 -29|67 87 3 -14|1.0 540
1102 亞泥|水泥工業|-11 -10 -8|87 94 7 -2|1.0 202
1104 環泥|水泥工業|13 8 8|95 95 7 10|0.5 18
1210 大成|食品工業|-2 -2 -0|83 83 -2 -9|0.4 81
1215 卜蜂|食品工業|-4 -1 -2|99 99 8 28|1.3 163
1216 統一|食品工業|-1 -0 -4|91 91 -2 0|1.0 592
1218 泰山|食品工業|-5 -5 1|86 87 -2 -9|0.3 6
1227 佳格|食品工業|4 -1 -2|85 91 3 -2|0.6 13
1229 聯華|食品工業|22 22 24|83 94 -1 7|0.6 67
1231 聯華食|食品工業|1 6 -4|57 66 -28 -23|0.7 31
1232 大統益|食品工業|0 1 3|92 93 -2 -7|0.7 8
1256 鮮活果汁-KY|食品工業|13 11 16|75 75 -5 20|0.2 7
1268 漢來美食|觀光餐旅|17 7 -1|97 97 4 8|0.5 5
1295 生合|食品工業|40 -0 -10|na 60 -34 -11|0.2 17
1301 台塑|塑膠工業|-15 -16 -10|93 97 10 20|1.2 1085
1303 南亞|塑膠工業|-7 -3 -7|100 100 53 113|2.1 7231
1304 台聚|塑膠工業|-18 -17 -8|84 98 9 19|1.3 38
1305 華夏|塑膠工業|-33 -11 5|77 90 -1 11|1.3 12
1307 三芳|塑膠工業|7 -2 -6|67 93 10 -4|0.7 41
1308 亞聚|塑膠工業|-5 11 13|79 97 11 14|0.9 19
1309 台達化|塑膠工業|-29 -34 -25|69 92 1 6|0.9 8
1312 國喬|塑膠工業|118 59 20|92 100 20 10|1.4 39
1313 聯成|塑膠工業|-14 -8 4|97 97 5 35|1.2 20
1316 上曜|建材營造|152 216 17|77 91 14 2|0.3 40
1319 東陽|汽車工業|-3 -10 -11|71 83 -5 -18|0.8 253
1325 恆大|塑膠工業|-17 -12 -4|79 94 16 -5|1.1 15
1326 台化|塑膠工業|-17 -18 -4|94 95 15 40|1.1 623
1342 八貫|其他|7 2 -11|80 94 -1 -5|1.0 11
1402 遠東新|紡織纖維|-0 -5 -1|79 89 5 -8|0.9 229
1409 新纖|紡織纖維|-9 -10 -6|94 94 11 33|1.2 128
1414 東和|紡織纖維|-15 -17 -3|69 91 2 -6|0.5 6
1419 新紡|紡織纖維|14 9 -10|88 95 33 7|1.4 40
1434 福懋|紡織纖維|-16 -12 -10|81 95 2 5|0.6 23
1436 華友聯|建材營造|-93 -84 -1355|47 58 -7 -38|0.6 12
1437 勤益控|其他|26 12 1|98 100 10 7|1.2 7
1440 南紡|紡織纖維|-27 -28 -13|92 95 3 8|0.4 16
1442 名軒|建材營造|-79 -79 -20|39 41 -37 -58|0.7 30
1476 儒鴻|紡織纖維|-7 -5 -12|80 95 8 10|0.9 297
1477 聚陽|紡織纖維|-20 -19 -19|87 100 19 31|0.9 363
1503 士電|電機機械|2 5 -3|81 81 -11 -3|0.4 355
1504 東元|電機機械|17 13 9|71 71 28 70|0.4 3080
1513 中興電|電機機械|-5 1 -9|86 86 -9 -4|0.7 683
1514 亞力|電機機械|19 41 27|82 82 -10 -12|0.5 273
1515 力山|電機機械|35 15 42|77 84 -14 -4|0.4 7
1519 華城|電機機械|13 9 -18|90 90 18 52|1.2 1893
1522 堤維西|汽車工業|66 56 43|77 96 19 13|0.6 86
1524 耿鼎|汽車工業|-16 -16 -12|69 87 3 -4|0.3 27
1528 恩德|電機機械|-28 -24 -2|69 69 -14 14|1.1 30
1529 樂事綠能|電機機械|3 -10 -69|65 66 -25 -34|0.3 11
1532 勤美|電機機械|18 87 94|87 99 15 18|1.1 16
1536 和大|汽車工業|-3 -12 8|65 78 -19 -3|0.5 71
1537 廣隆|電機機械|-31 -30 -19|82 92 -4 -7|0.4 7
1558 伸興|電機機械|-12 -9 -12|93 99 6 10|1.0 9
1560 中砂|電機機械|19 15 -1|88 88 -4 13|0.5 468
1563 巧新|汽車工業|-12 -7 -0|63 78 -14 -20|0.8 14
1565 精華|生技醫療|-23 -20 -17|56 82 -8 -18|0.4 14
1569 濱川|電腦及週|-11 -5 -18|67 82 2 11|0.2 107
1582 信錦|電子零組|7 -1 1|67 91 -3 -8|0.8 28
1584 精剛|其他|1 -10 -1|69 77 -14 -15|0.5 18
1586 和勤|電機機械|12 -7 2|82 88 -5 -4|0.9 10
1587 吉茂|汽車工業|30 25 4|89 96 23 40|1.1 39
1589 永冠-KY|電機機械|-0 6 -11|43 66 -19 -35|0.3 14
1590 亞德客-KY|電機機械|17 15 2|89 89 15 -3|0.6 572
1591 駿吉-KY|電機機械|-32 -58 -62|76 80 -6 -7|0.3 14
1597 直得|電機機械|27 7 -1|59 80 -12 -16|0.4 15
