# 2026-05-04 全池(1243 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-9 -5 4|81 92 -5 7|0.9 648
1102 亞泥|水泥工業|-18 -11 -2|81 89 -2 -4|0.9 334
1104 環泥|水泥工業|-17 -9 -6|86 88 -6 -12|1.2 15
1201 味全|食品工業|-5 -3 4|72 81 -15 -19|1.4 6
1210 大成|食品工業|5 4 4|83 95 0 -1|1.0 128
1215 卜蜂|食品工業|8 7 3|86 86 -8 2|1.3 159
1216 統一|食品工業|3 4 2|83 86 -6 -12|1.1 714
1218 泰山|食品工業|6 6 7|88 96 2 1|0.8 14
1219 福壽|食品工業|1 -0 -0|84 92 0 -2|0.9 6
1225 福懋油|食品工業|2 2 6|63 94 12 4|1.0 8
1227 佳格|食品工業|5 13 13|80 92 -1 -7|1.0 29
1229 聯華|食品工業|21 8 -2|82 83 -11 -14|1.5 107
1231 聯華食|食品工業|-3 9 3|57 77 -8 -23|0.8 30
1232 大統益|食品工業|4 9 8|94 97 1 1|1.0 12
1256 鮮活果汁-KY|食品工業|57 60 36|91 97 6 11|0.7 8
1264 德麥|食品工業|1 6 6|88 92 -2 -8|0.9 9
1301 台塑|塑膠工業|2 -11 3|93 93 17 28|0.4 1138
1303 南亞|塑膠工業|18 5 6|93 93 14 109|0.8 8131
1304 台聚|塑膠工業|1 -11 5|74 74 18 22|0.5 259
1305 華夏|塑膠工業|29 9 19|74 74 15 19|0.5 189
1307 三芳|塑膠工業|-1 1 3|84 87 -3 1|0.6 23
1308 亞聚|塑膠工業|-16 -14 -8|72 72 4 6|0.5 123
1309 台達化|塑膠工業|-8 -21 7|72 72 63 71|1.3 375
1312 國喬|塑膠工業|18 39 3|79 79 -14 10|0.4 180
1313 聯成|塑膠工業|11 -3 10|80 80 4 5|0.3 72
1316 上曜|建材營造|111 151 -34|65 67 -22 -30|1.2 22
1319 東陽|汽車工業|-20 -22 -10|58 65 -32 -24|0.9 189
1321 大洋|塑膠工業|1 -11 12|81 84 -10 -15|1.4 6
1323 永裕|塑膠工業|4 1 15|80 80 5 1|1.9 5
1325 恆大|塑膠工業|-39 -31 -19|64 74 -9 -13|0.5 5
1326 台化|塑膠工業|22 3 19|93 93 45 67|0.5 1455
1342 八貫|其他|32 17 5|94 94 4 22|1.3 34
1402 遠東新|紡織纖維|-3 -4 3|76 87 -10 -6|0.7 381
1409 新纖|紡織纖維|5 -5 9|95 95 10 16|1.0 125
1419 新紡|紡織纖維|42 36 19|81 81 -16 12|0.6 6
1434 福懋|紡織纖維|-5 -9 -1|87 87 -2 4|0.6 29
1436 華友聯|建材營造|-59 -75 -21|43 75 -21 -22|1.0 12
1440 南紡|紡織纖維|-4 -20 0|86 86 -7 -1|0.9 20
1442 名軒|建材營造|-86 -76 -14|35 74 -11 -25|1.2 20
1449 佳和|紡織纖維|34 22 12|80 80 10 12|0.6 42
1471 首利|電子零組|-59 -54 -12|77 77 2 25|0.3 8
1476 儒鴻|紡織纖維|6 2 3|75 75 -19 -22|0.8 444
1477 聚陽|紡織纖維|-9 -10 -1|64 64 -33 -23|1.0 381
1503 士電|電機機械|35 13 4|82 82 -15 15|0.6 278
1504 東元|電機機械|3 4 -4|57 59 -23 -41|1.0 537
1513 中興電|電機機械|5 1 -5|84 84 -15 4|1.0 637
1514 亞力|電機機械|3 29 0|85 85 -14 24|0.5 202
1515 力山|電機機械|-29 8 -10|67 74 -24 -21|1.0 6
1519 華城|電機機械|3 9 -7|85 85 -15 48|0.9 2640
