# 2023-04 月末(2023-04-28)全池量化快照(1134 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
1101 台泥|水泥工業|18 16 8|93 98 8 26|2.0 608
1102 亞泥|水泥工業|-0 6 5|98 98 3 18|1.0 161
1103 嘉泥|水泥工業|13 30 19|95 95 12 27|1.8 10
1104 環泥|水泥工業|25 27 5|100 100 22 41|3.0 51
1108 幸福|水泥工業|26 30 5|95 95 46 57|2.1 43
1109 信大|水泥工業|27 35 28|93 100 10 19|1.3 5
1201 味全|食品工業|8 6 5|90 95 6 10|0.6 6
1210 大成|食品工業|13 5 -4|97 97 12 23|0.6 90
1215 卜蜂|食品工業|5 1 -9|95 95 14 19|1.4 123
1216 統一|食品工業|6 7 -4|100 100 8 13|1.0 503
1217 愛之味|食品工業|7 2 1|90 96 5 25|0.4 11
1218 泰山|食品工業|-10 1 -7|62 62 -6 -26|0.4 35
1219 福壽|食品工業|-2 2 -11|79 94 8 13|1.5 22
1220 台榮|食品工業|2 -18 -20|70 89 3 16|0.6 8
1225 福懋油|食品工業|4 11 -5|96 96 6 13|2.5 10
1227 佳格|食品工業|-12 -9 5|84 94 -1 7|1.4 37
1229 聯華|食品工業|15 12 4|98 98 18 30|2.4 79
1231 聯華食|食品工業|24 11 -4|99 99 15 38|3.6 18
1232 大統益|食品工業|-4 12 -8|93 96 5 2|0.7 7
1234 黑松|食品工業|10 31 18|100 100 11 12|0.7 8
1256 鮮活果汁-KY|食品工業|11 5 14|87 87 12 42|0.3 7
1268 漢來美食|觀光餐旅|12 23 -63|94 94 14 41|0.6 36
1301 台塑|塑膠工業|-24 -26 -8|93 100 6 15|1.4 533
1303 南亞|塑膠工業|-36 -35 -10|97 100 4 14|1.5 359
1304 台聚|塑膠工業|-17 -22 -9|94 94 9 24|0.6 50
1305 華夏|塑膠工業|-37 -28 -9|81 86 -14 29|0.4 32
1308 亞聚|塑膠工業|-23 -26 -20|82 91 -5 12|0.8 72
1309 台達化|塑膠工業|-15 -21 -4|74 90 -4 6|0.8 13
1310 台苯|塑膠工業|-11 -36 -24|95 95 22 35|9.4 24
1312 國喬|塑膠工業|-6 -5 12|85 96 2 18|1.8 70
1313 聯成|塑膠工業|-20 -14 4|86 96 5 25|0.8 17
1314 中石化|塑膠工業|-11 -30 5|85 97 2 9|1.2 84
1316 上曜|建材營造|-60 4 -150|62 96 15 8|0.6 22
1319 東陽|汽車工業|15 13 -3|86 97 11 4|0.6 199
1321 大洋|塑膠工業|-27 -24 -16|89 90 2 4|0.6 7
1326 台化|塑膠工業|-19 -12 -10|89 91 -5 1|0.8 132
1336 台翰|電子零組|3 11 -10|84 84 1 15|0.4 10
1339 昭輝|汽車工業|0 1 -5|89 89 6 21|0.4 9
1342 八貫|其他|9 2 -17|91 91 31 81|0.3 268
1402 遠東新|紡織纖維|-2 -3 -10|96 96 -1 1|0.9 173
1409 新纖|紡織纖維|-30 -26 -18|94 95 -1 11|0.9 33
1416 廣豐|其他|140 46 38|99 99 14 16|2.3 8
1417 嘉裕|紡織纖維|9 9 -7|90 90 5 35|0.3 11
1432 大魯閣|運動休閒|2 19 -66|70 70 23 36|0.1 6
1434 福懋|紡織纖維|-18 -14 -14|100 100 5 10|0.7 26
1437 勤益控|其他|10 -3 -16|92 92 12 19|0.3 16
1438 三地開發|建材營造|551733 na na|82 82 -2 7|0.6 5
1440 南紡|紡織纖維|-0 -6 -13|79 93 1 4|0.6 11
1442 名軒|建材營造|170 153 -255|85 85 -2 12|0.5 28
1444 力麗|紡織纖維|-18 -22 -25|89 95 4 3|0.5 20
1445 大宇|紡織纖維|34 18 -1|99 99 24 23|1.6 6
1451 年興|紡織纖維|-17 -24 -25|84 96 9 10|0.5 6
1455 集盛|紡織纖維|-31 -36 -7|73 90 -1 10|0.8 6
1467 南緯|紡織纖維|-53 -37 -21|81 92 -3 -1|0.9 9
1476 儒鴻|紡織纖維|-36 -35 -34|95 95 -1 21|0.4 196
1477 聚陽|紡織纖維|9 -1 -9|97 97 1 23|0.6 270
1503 士電|電機機械|15 18 4|99 99 60 84|2.7 1216
1504 東元|電機機械|8 6 -4|96 96 57 60|0.8 1349
1506 正道|電機機械|1 -2 -8|89 89 20 30|0.4 6
1513 中興電|電機機械|5 26 14|88 88 39 95|0.5 2081
1514 亞力|電機機械|21 23 -13|94 94 48 91|0.6 451
1515 力山|電機機械|-42 -60 15|75 89 -1 6|0.9 13
1517 利奇|電機機械|-54 -48 -37|75 80 -5 -13|0.9 7
1519 華城|電機機械|84 1 11|96 96 81 147|1.1 1684
1522 堤維西|汽車工業|-3 2 -10|92 95 10 15|0.6 55
1524 耿鼎|汽車工業|1 16 -10|84 90 5 14|0.3 84
1525 江申|汽車工業|47 50 16|100 100 26 34|1.5 8
1526 日馳|電機機械|-44 -30 -31|70 86 -1 -5|0.8 8
1527 鑽全|電機機械|-36 -30 -8|92 92 1 10|0.6 10
1528 恩德|電機機械|4 15 5|100 100 24 36|2.7 17
1529 樂事綠能|電機機械|514 309 225|99 99 75 143|0.4 140
1532 勤美|電機機械|-39 -36 -5|95 95 16 25|0.4 20
1533 車王電|汽車工業|73 26 6|83 97 18 22|3.4 29
1535 中宇|電機機械|6 -3 -8|96 96 23 31|0.4 12
1536 和大|汽車工業|2 10 -2|74 91 3 -6|0.8 54
1537 廣隆|電機機械|-6 -13 -65|100 100 4 8|0.8 7
1539 巨庭|電機機械|-60 -69 -29|60 86 5 10|0.3 15
1558 伸興|電機機械|-17 -12 -19|85 88 -6 4|0.9 10
1560 中砂|電機機械|-1 -5 -15|65 85 -5 7|0.8 156
1565 精華|生技醫療|-21 -14 -3|92 92 -1 18|0.7 26
1568 倉佑|汽車工業|-32 -32 -22|76 90 5 4|0.6 7
1569 濱川|電腦及週|-49 -41 -32|86 92 7 9|0.5 8
1580 新麥|電機機械|21 12 16|98 98 15 24|0.8 15
1582 信錦|電子零組|-32 -33 -18|87 95 1 -0|0.7 6
1584 精剛|其他|70 103 33|96 96 84 169|0.2 299
1589 永冠-KY|電機機械|46 25 10|95 95 29 51|0.7 169
1590 亞德客-KY|電機機械|8 7 4|90 90 11 59|1.6 897
1591 駿吉-KY|電機機械|-89 -89 na|85 85 56 79|0.2 8
1597 直得|電機機械|-29 -21 -6|89 89 9 7|0.5 7
1598 岱宇|運動休閒|-19 -1 28|82 82 3 18|0.3 10
1603 華電|電器電纜|-0 38 -17|84 88 2 4|0.4 17
1604 聲寶|電器電纜|-3 -2 1|96 100 5 20|3.3 10
1605 華新|電器電纜|10 20 8|85 85 4 37|0.5 1507
1608 華榮|電器電纜|-6 -10 -5|77 96 13 24|0.7 18
1609 大亞|電器電纜|-2 -5 1|95 95 33 64|0.5 800
1611 中電|電器電纜|-16 -15 -3|87 92 36 26|1.2 79
1612 宏泰|電器電纜|-12 -17 -13|78 98 13 44|0.5 28
1618 合機|電器電纜|29 18 -8|94 94 25 24|0.8 58
1701 中化|生技醫療|5 9 0|74 74 0 36|0.6 59
1702 南僑|食品工業|17 13 7|99 99 6 10|1.0 14
1707 葡萄王|生技醫療|9 10 3|97 97 13 46|0.3 71
1708 東鹼|化學工業|-0 -16 -57|60 92 1 3|0.6 76
1709 和益|化學工業|-1 -15 -20|98 99 18 30|3.9 40
1710 東聯|化學工業|-18 -20 4|98 98 13 23|5.1 47
1711 永光|化學工業|-21 -18 -9|91 97 20 28|8.8 21
1712 興農|化學工業|-21 -14 -28|87 93 6 11|0.6 48
1717 長興|化學工業|-24 -21 -11|84 93 5 11|2.9 75
1720 生達|生技醫療|26 23 -8|100 100 37 74|3.0 195
1721 三晃|化學工業|-34 -23 -23|80 97 19 35|9.5 9
1722 台肥|化學工業|-19 -15 -21|77 100 9 14|1.4 93
1723 中碳|化學工業|-14 -2 -24|92 99 7 12|0.9 23
1727 中華化|化學工業|-31 -26 -27|85 100 68 73|9.7 15
1733 五鼎|生技醫療|-9 -16 -21|96 100 11 18|1.1 8
1734 杏輝|生技醫療|26 16 -3|89 89 6 18|1.2 23
1736 喬山|運動休閒|12 -7 -13|79 79 -5 -10|0.5 28
1737 臺鹽|食品工業|-21 -3 9|98 98 3 11|0.6 5
1752 南光|生技醫療|71 56 30|99 99 46 145|1.7 486
1760 寶齡富錦|生技醫療|-14 -12 -29|85 85 -2 16|0.5 747
1762 中化生|生技醫療|-19 69 36|100 100 57 84|0.8 361
1773 勝一|化學工業|-22 -19 -10|75 93 10 26|0.9 33
1777 生泰|生技醫療|34 36 -20|100 100 15 27|3.3 10
1783 和康生|生技醫療|24 16 -5|94 94 24 95|0.5 53
1784 訊聯|生技醫療|27 12 2|100 100 47 68|2.7 140
1785 光洋科|其他電子|-43 -35 -8|74 93 9 28|0.6 51
1786 科妍|生技醫療|6 29 6|95 95 38 63|0.8 27
1789 神隆|生技醫療|-18 -11 -27|97 100 12 20|2.3 28
1795 美時|生技醫療|21 46 16|88 88 7 76|0.6 1945
1796 金穎生技|食品工業|29 30 7|97 97 77 98|1.9 86
1802 台玻|玻璃陶瓷|12 -9 9|81 81 -10 5|1.3 82
1808 潤隆|建材營造|799 428 378|98 98 8 19|0.6 22
1809 中釉|玻璃陶瓷|-15 -7 -21|100 100 17 31|2.3 21
1810 和成|玻璃陶瓷|-11 -13 -4|98 98 58 165|0.7 148
1815 富喬|電子零組|-1 -14 -1|77 91 -3 5|0.5 7
1903 士紙|造紙工業|8 -7 11|73 82 -10 -12|0.8 14
