# 2023-05 月末(2023-05-31)全池量化快照(1109 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
1701 中化|生技醫療|2 9 1|70 70 -7 23|0.3 35
1702 南僑|食品工業|16 21 14|98 98 7 17|1.5 34
1707 葡萄王|生技醫療|-5 10 4|93 93 -6 33|0.4 51
1708 東鹼|化學工業|-33 -19 -53|64 82 -13 -16|0.3 38
1709 和益|化學工業|29 6 -2|92 92 1 11|0.5 37
1710 東聯|化學工業|-19 -19 6|96 96 13 17|0.4 50
1711 永光|化學工業|-24 -14 -3|85 89 7 12|0.3 45
1712 興農|化學工業|-23 -15 -24|84 89 -9 -1|0.3 25
1717 長興|化學工業|-18 -14 -3|95 95 6 6|0.8 43
1720 生達|生技醫療|15 27 -4|93 93 18 51|0.4 109
1721 三晃|化學工業|-48 -26 -17|76 87 7 13|0.3 39
1722 台肥|化學工業|-3 -8 -9|91 99 5 11|1.0 73
1723 中碳|化學工業|-23 -3 -15|91 98 1 5|1.0 21
1727 中華化|化學工業|-26 -27 -24|86 93 54 59|0.8 121
1731 美吾華|生技醫療|15 19 20|100 100 20 34|1.2 18
1733 五鼎|生技醫療|-28 -21 -21|94 96 4 12|0.7 7
1734 杏輝|生技醫療|10 21 1|92 92 5 12|0.6 35
1736 喬山|運動休閒|12 4 -4|72 72 -11 -21|0.5 21
1737 臺鹽|食品工業|-13 -5 8|99 99 1 6|0.7 5
1742 台蠟|化學工業|-33 -27 -13|89 94 12 11|0.6 7
1752 南光|生技醫療|10 54 28|79 79 3 83|0.3 149
1760 寶齡富錦|生技醫療|-35 -16 -22|79 79 -9 -13|0.3 353
1762 中化生|生技醫療|-3 41 22|87 87 23 51|0.5 273
1773 勝一|化學工業|-23 -17 -5|76 94 8 17|0.8 18
1776 展宇|化學工業|-48 -34 -19|80 80 10 13|0.5 8
1777 生泰|生技醫療|-7 19 -37|91 91 -2 10|0.4 10
1783 和康生|生技醫療|33 20 -1|80 80 -10 36|0.6 89
1784 訊聯|生技醫療|10 18 7|86 86 43 59|0.5 180
1785 光洋科|其他電子|2 -20 4|81 94 2 8|1.9 47
1786 科妍|生技醫療|57 22 -6|88 88 3 39|0.4 27
1789 神隆|生技醫療|19 -1 -21|89 91 -3 6|0.6 30
1795 美時|生技醫療|102 43 3|95 95 15 50|0.6 3776
1796 金穎生技|食品工業|64 51 24|86 86 52 136|1.0 107
1802 台玻|玻璃陶瓷|11 2 17|73 73 -18 -26|1.1 90
1808 潤隆|建材營造|-78 393 342|99 99 8 25|0.5 14
1809 中釉|玻璃陶瓷|-10 4 -7|95 95 10 7|0.9 23
1810 和成|玻璃陶瓷|-6 -7 1|83 83 21 40|0.4 105
1815 富喬|電子零組|-55 -24 -5|79 93 -4 -4|1.2 8
1903 士紙|造紙工業|45 15 28|74 84 -10 -13|0.2 7
1904 正隆|造紙工業|-17 -6 2|94 94 10 17|0.4 102
1905 華紙|造紙工業|-8 3 -5|98 98 48 48|1.2 471
1907 永豐餘|造紙工業|-3 0 6|93 93 17 16|0.9 150
1909 榮成|造紙工業|-4 -6 9|88 88 -10 4|0.4 30
2002 中鋼|鋼鐵工業|-29 -18 -2|90 90 -5 0|1.8 534
2006 東和鋼鐵|鋼鐵工業|-13 -4 1|85 93 -4 14|0.8 48
2009 第一銅|鋼鐵工業|-25 -13 6|86 86 -10 3|0.5 27
2010 春源|鋼鐵工業|-21 -16 1|81 96 -1 6|0.9 7
2014 中鴻|鋼鐵工業|-37 -26 4|76 78 -18 2|0.5 82
2015 豐興|鋼鐵工業|-22 -7 3|91 95 -1 15|1.0 15
2017 官田鋼|鋼鐵工業|-36 -33 -12|86 86 -6 34|0.5 10
2022 聚亨|鋼鐵工業|-33 -12 -2|91 91 18 26|0.7 27
2023 燁輝|鋼鐵工業|-17 -20 -0|81 89 -10 3|0.9 28
2027 大成鋼|鋼鐵工業|-26 -14 -16|97 97 4 13|0.5 194
2028 威致|鋼鐵工業|-34 -9 6|84 84 -10 11|0.9 6
2029 盛餘|鋼鐵工業|-38 -29 -0|89 95 -1 6|0.7 5
2030 彰源|鋼鐵工業|-21 -18 -6|83 93 -3 2|0.8 14
2031 新光鋼|鋼鐵工業|-12 -13 -17|89 89 6 29|0.7 105
2034 允強|鋼鐵工業|-19 -3 9|92 92 -6 5|0.7 16
2049 上銀|電機機械|-22 -19 -10|91 91 -4 32|0.5 236
2059 川湖|電子零組|-28 -31 -34|88 97 6 5|2.1 245
2065 世豐|鋼鐵工業|-8 9 14|96 96 6 25|0.5 6
2066 世德|電機機械|-6 6 -16|91 91 6 26|0.5 21
2101 南港|橡膠工業|-22 -4 4|93 94 4 10|1.1 23
2102 泰豐|橡膠工業|-58 -34 -42|83 93 -5 3|0.4 5
2103 台橡|橡膠工業|-13 -6 -6|85 85 -12 -3|2.2 42
2104 國際中橡|橡膠工業|-28 -14 -13|92 96 -0 -1|1.1 51
2105 正新|橡膠工業|13 9 8|96 96 14 15|1.6 205
2106 建大|橡膠工業|-3 -7 -12|82 97 -1 -0|0.8 18
2108 南帝|橡膠工業|-37 -31 13|75 85 -8 8|0.9 15
2201 裕隆|汽車工業|12 10 7|100 100 11 53|1.6 1018
2204 中華|汽車工業|3 29 19|100 100 70 93|1.5 502
2206 三陽工業|汽車工業|42 53 20|100 100 102 119|1.2 1588
2207 和泰車|汽車工業|26 27 18|93 93 32 30|2.7 353
2208 台船|航運業|88 37 14|86 86 5 31|0.4 151
2211 長榮鋼|鋼鐵工業|5 2 23|100 100 19 20|0.6 47
2227 裕日車|汽車工業|34 19 14|83 92 -3 3|1.6 9
2228 劍麟|汽車工業|12 10 -9|97 97 3 8|1.2 8
