# 2023-08 月末(2023-08-31)全池量化快照(1064 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
1101 台泥|水泥工業|-11 3 -8|89 89 -9 -7|1.3 600
1102 亞泥|水泥工業|-14 -12 -5|94 94 -6 -6|0.7 190
1103 嘉泥|水泥工業|49 47 19|83 83 -5 -1|0.4 8
1104 環泥|水泥工業|10 13 -5|94 94 8 24|0.3 24
1108 幸福|水泥工業|35 38 2|84 84 3 13|1.0 22
1201 味全|食品工業|4 4 1|90 91 -7 -10|0.7 6
1210 大成|食品工業|-3 2 -7|88 88 6 10|0.4 121
1215 卜蜂|食品工業|-2 4 -5|98 98 7 16|0.6 64
1216 統一|食品工業|14 9 -0|94 94 -1 7|1.0 464
1217 愛之味|食品工業|-6 0 -3|86 86 12 12|0.9 133
1218 泰山|食品工業|5 3 -1|53 75 -19 -18|0.5 27
1219 福壽|食品工業|6 1 -4|93 94 0 -6|0.5 7
1227 佳格|食品工業|0 7 13|92 92 -5 -8|0.4 17
1229 聯華|食品工業|13 1 -1|93 93 7 22|0.5 69
1231 聯華食|食品工業|-3 -2 -11|93 93 6 9|0.6 22
1234 黑松|食品工業|3 14 -3|96 96 7 14|0.5 10
1268 漢來美食|觀光餐旅|28 96 36|78 78 -14 -6|0.3 27
1301 台塑|塑膠工業|-17 -28 -0|88 88 -11 -9|0.8 526
1303 南亞|塑膠工業|-23 -31 -0|85 85 -13 -10|1.0 238
1304 台聚|塑膠工業|-30 -30 -7|81 81 -6 -12|0.6 32
1305 華夏|塑膠工業|-35 -32 -1|84 87 1 -14|0.5 59
1307 三芳|塑膠工業|-3 -8 -24|94 94 5 19|0.4 9
1308 亞聚|塑膠工業|-42 -38 -20|87 87 -0 -9|0.8 27
1309 台達化|塑膠工業|-31 -32 -7|77 78 -12 -21|0.5 10
1310 台苯|塑膠工業|-48 -47 -17|87 87 -12 8|0.4 16
1312 國喬|塑膠工業|-11 -26 -4|81 81 -12 -14|0.4 21
1313 聯成|塑膠工業|3 -11 7|86 86 3 -1|0.3 25
1316 上曜|建材營造|-85 -86 -82|64 79 -14 -8|0.9 19
1319 東陽|汽車工業|3 5 -5|100 100 38 61|1.8 375
1326 台化|塑膠工業|-14 -25 -11|83 88 -9 -11|1.2 259
1338 廣華-KY|汽車工業|-38 -27 -9|67 82 -13 -18|3.0 8
1339 昭輝|汽車工業|0 -3 -5|97 97 7 6|1.8 8
1342 八貫|其他|-12 -4 -11|70 70 -10 -26|0.7 38
1402 遠東新|紡織纖維|-6 -8 -6|88 88 -9 -10|1.0 159
1409 新纖|紡織纖維|-18 -17 1|90 90 -5 -10|2.1 31
1434 福懋|紡織纖維|-24 -21 -11|95 95 -4 -4|0.8 24
1440 南紡|紡織纖維|-15 -12 -13|81 86 -7 -16|0.6 9
1442 名軒|建材營造|-7 25 -411|94 95 12 12|0.2 15
1444 力麗|紡織纖維|-42 -36 -14|90 95 2 1|0.3 12
1446 宏和|紡織纖維|-55 -14 -20|95 95 22 18|0.4 6
1467 南緯|紡織纖維|-20 -29 -2|90 90 1 0|0.5 17
1471 首利|電子零組|36 17 23|93 93 103 136|1.8 191
1476 儒鴻|紡織纖維|-26 -28 -13|92 92 9 12|1.0 342
1477 聚陽|紡織纖維|-20 -6 -4|99 99 47 64|0.7 832
1503 士電|電機機械|5 -1 -12|79 79 -16 53|0.3 439
1504 東元|電機機械|-7 0 -5|85 85 -6 46|0.2 606
1513 中興電|電機機械|31 24 11|80 80 1 18|0.3 1512
1514 亞力|電機機械|16 15 -16|77 77 -11 29|0.2 168
1515 力山|電機機械|70 37 77|88 88 6 13|0.4 39
1519 華城|電機機械|251 100 67|100 100 94 340|1.1 3190
1522 堤維西|汽車工業|-1 -1 -7|96 96 22 24|0.6 41
1524 耿鼎|汽車工業|8 5 -5|78 84 -6 -10|0.5 14
1525 江申|汽車工業|-15 7 -29|67 67 -24 32|0.2 10
1527 鑽全|電機機械|-34 -41 -10|91 91 -2 -9|0.6 11
1528 恩德|電機機械|8 -4 -9|70 70 -9 12|0.1 20
1529 樂事綠能|電機機械|241 295 139|70 70 -14 37|0.3 69
1532 勤美|電機機械|121 90 96|93 93 3 7|0.6 56
1533 車王電|汽車工業|-13 32 7|79 79 -6 5|0.1 15
1535 中宇|電機機械|-2 14 7|87 87 3 12|0.3 8
1536 和大|汽車工業|-21 -14 -17|71 89 -7 -9|0.4 31
1537 廣隆|電機機械|-27 -19 -56|98 98 2 0|1.5 26
1539 巨庭|電機機械|-61 -47 6|54 79 -9 -19|1.3 5
1540 喬福|電機機械|16 37 -39|95 95 18 8|0.9 11
1558 伸興|電機機械|50 16 -4|80 85 -4 -16|1.0 15
1560 中砂|電機機械|-15 -15 -13|79 86 15 14|0.3 203
1565 精華|生技醫療|-17 -17 -4|78 78 -13 -20|0.5 49
1568 倉佑|汽車工業|-41 -21 -3|89 95 -2 10|1.2 8
1569 濱川|電腦及週|-26 -28 1|84 91 0 -6|0.7 5
1580 新麥|電機機械|4 4 3|89 89 -4 28|0.3 20
1582 信錦|電子零組|-23 -25 2|92 100 6 1|1.2 10
1584 精剛|其他|32 46 -13|83 83 -3 28|1.4 168
1587 吉茂|汽車工業|-35 -22 -13|87 87 10 5|0.4 12
1589 永冠-KY|電機機械|-24 -16 -28|65 65 -25 -18|0.5 29
1590 亞德客-KY|電機機械|22 12 4|74 74 -11 -20|0.6 510
1591 駿吉-KY|電機機械|-90 -93 -57|100 100 36 63|1.0 44
1598 岱宇|運動休閒|15 9 18|65 65 -20 -33|0.3 6
1603 華電|電器電纜|38 38 -6|98 98 33 41|0.7 62
1604 聲寶|電器電纜|-2 2 7|84 84 3 8|0.2 10
1605 華新|電器電纜|0 0 -3|67 74 -16 -27|0.4 630
1608 華榮|電器電纜|-17 -20 -7|84 84 -12 34|0.2 30
1609 大亞|電器電纜|-1 -6 0|93 93 9 46|0.3 568
1611 中電|電器電纜|-10 -17 -2|83 83 -4 19|0.1 13
1612 宏泰|電器電纜|-1 6 6|91 91 11 40|0.7 42
1615 大山|電器電纜|90 30 18|89 89 8 24|0.5 5
1616 億泰|電器電纜|13 15 4|93 93 4 31|0.3 10
1618 合機|電器電纜|122 118 40|85 85 20 71|0.2 48
1701 中化|生技醫療|5 3 -6|65 86 -8 -14|0.4 13
