# 2023-06 月末(2023-06-30)全池量化快照(1183 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
1101 台泥|水泥工業|24 17 3|95 95 5 12|0.5 531
1102 亞泥|水泥工業|-10 -9 -6|99 99 3 9|1.1 199
1103 嘉泥|水泥工業|39 28 9|92 92 13 23|1.1 19
1104 環泥|水泥工業|25 17 -5|97 97 18 38|0.4 46
1108 幸福|水泥工業|45 30 -0|99 99 20 58|0.6 19
1201 味全|食品工業|6 9 6|96 96 2 7|1.5 10
1210 大成|食品工業|13 8 -2|99 99 6 21|0.7 72
1215 卜蜂|食品工業|9 9 -2|95 95 14 22|0.5 101
1216 統一|食品工業|7 5 -4|97 97 6 17|0.8 477
1217 愛之味|食品工業|3 8 5|100 100 14 22|5.1 18
1218 泰山|食品工業|-3 -8 -12|60 86 -2 -14|0.6 83
1219 福壽|食品工業|-1 -5 -13|95 95 1 16|0.9 10
1227 佳格|食品工業|9 -2 8|92 97 2 6|0.8 48
1229 聯華|食品工業|9 7 2|100 100 22 39|1.7 56
1231 聯華食|食品工業|-3 7 -5|99 99 7 30|1.0 14
1232 大統益|食品工業|1 -3 -21|94 99 3 8|2.0 10
1234 黑松|食品工業|28 15 -2|98 98 15 26|2.9 19
1268 漢來美食|觀光餐旅|166 86 -24|85 85 17 24|0.7 59
1301 台塑|塑膠工業|-34 -31 -7|89 95 -3 5|1.5 735
1303 南亞|塑膠工業|-31 -32 -4|93 93 -3 7|1.3 388
1304 台聚|塑膠工業|-26 -23 -5|85 85 -13 10|0.6 22
1305 華夏|塑膠工業|-28 -33 -6|80 80 -10 -3|0.6 21
1307 三芳|塑膠工業|-4 -15 -39|97 97 24 26|1.1 34
1308 亞聚|塑膠工業|-32 -22 -13|87 87 -8 -5|0.4 23
1309 台達化|塑膠工業|-24 -21 -1|77 86 -5 -5|0.9 9
1310 台苯|塑膠工業|-49 -28 -8|94 94 19 25|0.2 22
1312 國喬|塑膠工業|-26 -18 2|91 92 -2 7|0.4 23
1313 聯成|塑膠工業|-18 -14 5|89 96 3 12|3.0 14
1316 上曜|建材營造|-84 -70 -185|58 87 -8 2|0.4 10
1319 東陽|汽車工業|11 8 -6|98 98 18 34|0.8 308
1326 台化|塑膠工業|-30 -26 -17|89 92 -2 -2|1.2 167
1339 昭輝|汽車工業|1 1 -4|94 94 -0 13|0.8 5
1340 勝悅-KY|塑膠工業|35 66 71|99 99 31 40|0.9 5
1342 八貫|其他|-6 -0 -10|76 76 -19 -4|0.2 46
1402 遠東新|紡織纖維|-8 -6 -9|100 100 7 7|1.0 165
1409 新纖|紡織纖維|-21 -26 -13|92 92 -4 -4|0.4 27
1417 嘉裕|紡織纖維|61 27 5|89 93 6 1|1.1 8
1419 新紡|紡織纖維|-2 -2 -18|94 94 5 9|0.6 6
1432 大魯閣|運動休閒|45 30 -58|84 84 15 58|0.6 21
1434 福懋|紡織纖維|-20 -21 -17|99 99 -1 7|0.7 21
1437 勤益控|其他|0 3 -7|93 93 4 15|0.6 7
1440 南紡|紡織纖維|-11 -7 -10|84 91 -2 -3|0.7 13
1442 名軒|建材營造|99 85 -338|85 87 1 -11|0.5 18
1444 力麗|紡織纖維|-27 -32 -18|95 100 11 12|2.4 24
1445 大宇|紡織纖維|-7 7 -5|86 86 26 27|0.3 7
1449 佳和|紡織纖維|-14 -10 0|91 91 41 38|1.1 14
