# 2025-04 月末(2025-04-30)全池量化快照(1105 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
1101 台泥|水泥工業|-0 53 -3|84 84 -7 -8|0.5 443
1102 亞泥|水泥工業|2 3 3|94 95 9 -4|1.0 324
1104 環泥|水泥工業|-6 2 1|76 90 -2 -9|0.7 9
1110 東泥|水泥工業|24 29 -5|74 84 -8 -16|0.8 7
1210 大成|食品工業|2 2 6|99 99 16 17|1.8 126
1215 卜蜂|食品工業|-2 -3 1|88 96 8 4|0.6 29
1216 統一|食品工業|7 6 -4|85 85 -2 -14|1.0 1196
1217 愛之味|食品工業|8 2 -3|87 94 -1 -3|0.8 11
1218 泰山|食品工業|-5 -8 -1|87 95 6 2|0.7 15
1227 佳格|食品工業|-3 5 3|80 88 -4 -11|0.7 15
1229 聯華|食品工業|-36 -18 -11|62 72 -12 -27|0.7 50
1231 聯華食|食品工業|10 7 -6|73 73 -12 17|0.2 39
1232 大統益|食品工業|1 -3 1|96 97 4 -2|0.8 13
1301 台塑|塑膠工業|-3 0 -2|50 70 -6 -30|0.5 400
1303 南亞|塑膠工業|7 13 7|54 71 -5 -28|0.4 258
1304 台聚|塑膠工業|5 2 1|59 70 -12 -29|0.4 14
1305 華夏|塑膠工業|-15 -14 2|60 68 -12 -31|0.4 7
1307 三芳|塑膠工業|9 16 5|73 73 3 -7|0.6 59
1308 亞聚|塑膠工業|16 -0 9|63 63 -13 -24|0.6 7
1309 台達化|塑膠工業|11 13 -12|55 63 -10 -37|0.3 6
1312 國喬|塑膠工業|189 85 52|76 95 4 -6|1.0 63
1316 上曜|建材營造|233 252 65|64 75 7 -2|0.5 206
1319 東陽|汽車工業|12 22 11|93 93 21 25|1.2 798
1321 大洋|塑膠工業|-17 -6 -7|79 91 -3 2|0.3 6
1325 恆大|塑膠工業|22 -9 12|72 72 -18 -2|0.3 6
1326 台化|塑膠工業|-8 -6 -10|44 63 -11 -37|0.4 186
1336 台翰|電子零組|16 15 -1|75 75 -9 -13|0.7 9
1342 八貫|其他|24 26 20|78 87 -8 0|0.9 26
1402 遠東新|紡織纖維|-3 -2 -6|84 86 5 -13|0.6 181
1409 新纖|紡織纖維|-7 -3 -14|70 78 -18 -20|0.4 13
1414 東和|紡織纖維|-3 -4 3|74 74 -22 -15|0.8 7
1434 福懋|紡織纖維|7 8 3|71 81 -13 -17|0.5 15
1436 華友聯|建材營造|3631 3283 795|61 79 1 -7|0.3 32
1440 南紡|紡織纖維|-3 -0 5|60 77 -13 -22|0.8 9
1442 名軒|建材營造|-30 -4 -596|83 83 -12 10|0.7 64
1446 宏和|紡織纖維|-31 25 -2386|43 45 -33 -39|0.3 10
1449 佳和|紡織纖維|-20 -17 -14|48 48 -28 -36|0.6 8
1463 強盛新|紡織纖維|-19 789 491|73 73 -9 -5|0.4 12
