# 2024-03 月末(2024-03-29)全池量化快照(1277 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
3046 建碁|電腦及週|-16 81 -2|63 83 -1 -11|0.2 19
3047 訊舟|通信網路|-16 -24 3|77 77 -7 9|0.2 39
3048 益登|電子通路|-20 -1 5|88 90 -4 3|0.7 12
3050 鈺德|光電業|13 5 1|94 94 38 56|1.7 98
3051 力特|光電業|-31 -24 3|86 86 4 22|0.4 165
3052 夆典|建材營造|-5 44 17|100 100 13 16|2.0 16
3055 蔚華科|電子通路|-87 -22 11|83 83 82 108|0.2 219
3056 富華新|建材營造|-91 -75 -120|76 95 -4 -1|1.1 39
3058 立德|電子零組|-33 -18 -2|75 94 19 22|3.8 27
3059 華晶科|光電業|-37 -24 7|88 88 -2 7|3.9 82
3060 銘異|電腦及週|33 34 32|91 91 -2 12|0.6 14
3062 建漢|通信網路|-26 -31 -2|95 95 12 12|6.8 119
3066 李洲|光電業|4 14 29|76 76 33 21|0.3 7
3071 協禧|電腦及週|-21 -11 2|76 92 7 1|0.6 57
3078 僑威|電子零組|-40 10 -63|90 90 -4 5|0.4 188
3081 聯亞|通信網路|6 -9 38|85 85 32 19|0.4 516
3083 網龍|文化創意|74 6 9|90 90 15 20|3.1 64
3086 華義*|文化創意|55 72 52|63 63 -14 92|0.1 25
3088 艾訊|電腦及週|-13 -9 -10|90 98 5 1|1.1 84
3090 日電貿|電子零組|-13 13 8|95 95 3 0|0.9 37
3092 鴻碩|電子零組|-34 -4 21|76 83 -9 -15|0.9 11
3094 聯傑|半導體業|-57 -32 -6|80 80 -13 2|0.2 19
3105 穩懋|半導體業|53 60 48|80 85 -7 12|0.7 477
3122 笙泉|半導體業|-21 18 25|70 70 -14 6|0.4 17
3128 昇銳|光電業|18 5 14|72 92 6 10|0.5 9
3130 一零四|數位雲端|-4 9 1|97 97 8 13|0.8 5
3131 弘塑|半導體業|11 12 10|86 86 52 75|1.0 1344
3138 耀登|通信網路|-3 -10 -7|79 79 -12 -8|0.3 39
3141 晶宏|半導體業|-45 -39 -15|71 75 -24 -12|0.7 45
3147 大綜|資訊服務|13 44 18|87 87 49 102|0.7 275
3149 正達|光電業|-20 11 25|80 80 5 14|0.8 19
3152 璟德|通信網路|15 27 15|84 84 -5 10|0.7 52
3162 精確|電機機械|-65 2 -34|61 74 -17 -21|0.7 29
3163 波若威|通信網路|-18 5 15|84 84 15 5|0.9 1536
3167 大量|電機機械|36 29 50|88 88 22 21|0.8 25
3169 亞信|半導體業|-20 4 28|83 83 -2 8|0.5 197
3171 炎洲流通|居家生活|-20 -2 10|93 93 48 56|2.0 17
3176 基亞|生技醫療|35 33 -24|64 64 -10 15|1.2 11
3178 公準|半導體業|-36 -11 -16|92 92 20 40|0.8 108
3188 鑫龍騰|建材營造|3149 1145 na|98 98 73 75|2.3 46
3189 景碩|半導體業|6 1 30|82 91 -1 -6|0.8 291
3202 樺晟|電子零組|16 29 1|58 71 -20 -21|1.1 6
3206 志豐|電子零組|-13 -3 7|88 88 8 3|0.7 15
3207 耀勝|電子零組|-22 -25 -10|96 96 61 72|1.2 444
3209 全科|電子通路|10 -16 -9|92 96 2 4|0.7 25
3211 順達|電腦及週|-7 -10 -3|95 95 6 18|1.3 191
3213 茂訊|電腦及週|-38 3 -6|91 91 3 25|0.6 43
3217 優群|電子零組|3 20 -4|92 92 8 33|1.1 334
3218 大學光|生技醫療|4 4 -11|67 80 -2 -20|0.7 160
3221 台嘉碩|通信網路|3 -2 20|82 82 2 6|0.3 18
3227 原相|半導體業|50 76 42|87 87 3 29|0.5 249
3228 金麗科|半導體業|-17 46 32|98 98 118 413|1.0 785
3231 緯創|電腦及週|31 10 16|79 96 29 21|1.0 9654
3232 昱捷|電子通路|20 38 22|85 85 35 28|0.2 12
3234 光環|通信網路|8 7 29|99 99 43 60|0.7 97
3257 虹冠電|半導體業|30 84 -68|79 88 1 -2|0.9 28
3260 威剛|半導體業|34 44 33|93 93 -1 13|0.7 516
3264 欣銓|半導體業|1 -6 -2|97 97 15 35|1.7 867
3265 台星科|半導體業|18 26 26|96 96 39 43|0.5 249
3266 昇陽|建材營造|-82 175 -138|85 85 -3 36|0.6 9
3268 海德威|半導體業|86 39 32|72 72 -0 30|0.4 16
3276 宇環|電子零組|5 68 12|72 72 -11 17|1.3 9
3284 太普高|其他|45 45 38|89 89 40 55|0.5 17
3287 廣寰科|電腦及週|112 100 33|74 74 -3 29|0.1 17
3289 宜特|其他電子|-7 0 1|88 88 37 38|0.4 348
3290 東浦|電子零組|-10 16 6|82 82 -6 -4|1.3 9
3293 鈊象|文化創意|32 22 2|98 98 60 74|2.0 2880
3294 英濟|電子零組|-35 17 12|79 79 151 147|2.5 369
3296 勝德|電子零組|12 -5 28|94 94 15 45|0.3 25
3303 岱稜|其他電子|-4 19 21|96 96 15 23|0.7 13
3305 昇貿|其他電子|-11 -1 17|81 81 -15 4|0.7 78
3306 鼎天|通信網路|-43 4 -6|76 92 11 11|2.1 27
3311 閎暉|通信網路|8 16 10|91 92 7 -0|0.3 6
3312 弘憶股|電子通路|-7 13 24|93 93 98 134|1.7 446
3313 斐成|建材營造|na na na|72 72 78 92|1.3 22
3317 尼克森|半導體業|-36 -7 -7|80 80 -17 -10|0.7 13
3321 同泰|電子零組|-9 28 13|80 80 17 17|0.3 13
3322 建舜電|電子零組|-38 18 9|86 86 10 2|1.3 96
3324 雙鴻|其他電子|-26 0 3|95 95 99 117|1.0 6654
3325 旭品|電腦及週|33 37 -30|88 88 -1 15|0.6 144
3338 泰碩|電子零組|-33 4 13|85 85 8 2|0.4 171
3339 泰谷|光電業|3 10 13|100 100 68 74|2.3 68
3346 麗清|汽車工業|31 37 -9|87 87 -12 -0|0.6 74
3354 律勝|電子零組|28 32 38|75 75 57 69|0.3 25
3356 奇偶|光電業|19 6 9|89 96 20 15|0.7 127
3357 臺慶科|電子零組|-22 -6 8|94 94 2 10|2.1 53
3360 尚立|電子通路|-57 -48 -23|68 68 21 24|0.2 30
3362 先進光|光電業|-16 30 11|79 79 33 55|0.6 489
3363 上詮|通信網路|-11 -6 10|72 72 41 37|0.6 448
3372 典範|半導體業|12 27 34|75 75 26 42|0.6 49
3374 精材|半導體業|11 14 26|86 89 -1 5|0.5 174
3376 新日興|電子零組|51 46 44|83 83 55 130|1.2 690
3380 明泰|通信網路|-43 -26 -6|77 90 -2 -10|0.4 69
3388 崇越電|電子零組|-29 5 17|100 100 8 10|1.6 7
3390 旭軟|電子零組|-26 -6 2|81 81 22 80|0.4 67
3402 漢科|其他電子|13 38 35|92 92 36 86|0.3 65
3406 玉晶光|光電業|43 38 23|97 97 22 34|2.1 980
3413 京鼎|半導體業|-2 -5 6|97 97 49 59|1.4 751
3416 融程電|電腦及週|20 11 11|94 94 21 27|3.6 58
3419 譁裕|通信網路|-42 -33 -0|71 85 -11 -13|0.5 7
3430 奇鈦科|化學工業|-2 0 15|91 91 -1 7|0.9 6
3437 榮創|光電業|22 28 19|78 78 6 70|0.3 66
3438 類比科|半導體業|21 28 22|91 91 21 21|0.7 89
3441 聯一光電|光電業|-64 0 25|70 86 -8 -11|3.3 5
3443 創意|半導體業|-22 -23 -27|65 66 -28 -8|0.6 3310
3444 利機|電子通路|3 11 9|80 80 -5 15|0.6 47
3450 聯鈞|半導體業|-9 -0 15|93 93 28 25|0.6 586
3454 晶睿|光電業|-52 -42 -26|55 86 -7 -5|0.8 29
3455 由田|光電業|-18 -10 25|96 99 12 20|1.4 33
3466 德晉|通信網路|-73 -49 -64|74 97 11 14|1.5 6
3479 安勤|電腦及週|-17 -15 -14|95 95 2 25|1.6 195
3481 群創|光電業|-10 12 6|86 89 10 14|0.5 937
