# 2023-03 月末(2023-03-31)全池量化快照(1128 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
1101 台泥|水泥工業|34 16 8|82 92 6 4|0.9 602
1102 亞泥|水泥工業|52 2 0|96 97 4 9|0.8 178
1103 嘉泥|水泥工業|57 37 27|90 90 8 12|0.3 5
1104 環泥|水泥工業|70 27 7|100 100 19 28|2.4 33
1108 幸福|水泥工業|72 31 9|97 97 30 39|0.8 20
1201 味全|食品工業|15 0 -1|90 95 5 2|0.7 8
1210 大成|食品工業|10 4 -4|97 100 15 13|0.6 68
1215 卜蜂|食品工業|10 4 -8|98 98 7 6|0.4 52
1216 統一|食品工業|19 11 1|100 100 9 8|1.3 481
1217 愛之味|食品工業|-1 2 0|92 98 7 27|0.7 20
1218 泰山|食品工業|12 6 -3|61 61 -10 -15|0.5 35
1219 福壽|食品工業|14 5 -10|80 95 15 11|0.6 24
1220 台榮|食品工業|-14 -21 -23|71 90 8 17|1.0 15
1227 佳格|食品工業|8 -5 6|84 95 3 10|0.7 23
1229 聯華|食品工業|26 8 0|90 99 14 10|1.2 55
1231 聯華食|食品工業|7 9 -4|100 100 22 30|0.9 18
1232 大統益|食品工業|41 27 5|92 95 5 -2|0.7 6
1234 黑松|食品工業|71 26 16|100 100 9 9|0.5 8
1256 鮮活果汁-KY|食品工業|58 3 13|94 94 22 37|0.9 11
1268 漢來美食|觀光餐旅|17 25 -61|88 88 7 29|0.4 38
1301 台塑|塑膠工業|-14 -29 -14|91 99 5 8|0.9 436
1303 南亞|塑膠工業|-27 -33 -12|91 99 9 19|1.0 347
1304 台聚|塑膠工業|-14 -19 -6|96 99 22 35|0.9 50
1305 華夏|塑膠工業|-15 -15 1|80 90 0 35|0.3 71
1308 亞聚|塑膠工業|-15 -22 -18|83 97 1 8|0.7 35
1309 台達化|塑膠工業|-15 -20 -3|70 91 -5 4|0.5 19
1310 台苯|塑膠工業|-49 -31 -28|80 96 3 7|0.8 5
1312 國喬|塑膠工業|11 -13 5|80 96 7 20|0.9 43
1313 聯成|塑膠工業|19 -16 -2|77 93 4 22|0.4 14
1316 上曜|建材營造|127 35 -135|58 83 10 -17|0.8 27
1319 東陽|汽車工業|39 9 -7|83 93 13 -6|0.9 225
1321 大洋|塑膠工業|-12 -19 -13|96 100 11 8|0.7 8
1326 台化|塑膠工業|-2 -9 -9|89 91 -1 3|0.8 171
1336 台翰|電子零組|35 15 -11|86 86 6 10|0.4 14
1339 昭輝|汽車工業|41 3 -2|94 94 12 16|0.7 14
1342 八貫|其他|-21 1 -19|94 94 21 123|1.4 233
1402 遠東新|紡織纖維|1 -5 -13|94 94 -5 -3|0.7 178
1409 新纖|紡織纖維|-14 -22 -18|91 97 1 12|0.6 37
1417 嘉裕|紡織纖維|31 2 -17|83 83 -8 29|0.3 11
1432 大魯閣|運動休閒|-0 24 -64|74 74 38 41|0.5 28
1434 福懋|紡織纖維|-8 -11 -13|99 99 7 6|1.0 37
1437 勤益控|其他|2 -10 -23|91 91 12 16|0.9 17
1438 三地開發|建材營造|na na na|84 84 1 0|1.1 9
1440 南紡|紡織纖維|3 -8 -14|74 93 -4 5|0.7 19
1442 名軒|建材營造|362 1778 1384|85 85 -12 13|0.8 34
1444 力麗|紡織纖維|-15 -32 -38|86 95 0 -0|0.3 14
1451 年興|紡織纖維|-38 -32 -34|84 97 10 2|0.6 9
1453 大將|建材營造|-100 -50 -38440|47 90 9 6|0.7 5
1455 集盛|紡織纖維|-24 -41 -19|67 93 3 18|0.9 6
1467 南緯|紡織纖維|-26 -31 -20|82 92 5 -1|0.5 34
