# 2023-01 月末(2023-01-31)全池量化快照(864 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
1101 台泥|水泥工業|16 11 5|81 91 20 -8|1.1 537
1102 亞泥|水泥工業|-11 -13 -15|94 94 13 2|0.9 171
1104 環泥|水泥工業|27 16 -1|100 100 18 7|1.5 6
1210 大成|食品工業|11 16 4|87 94 16 0|1.4 45
1215 卜蜂|食品工業|13 14 -3|97 97 4 11|1.1 26
1216 統一|食品工業|20 11 0|99 99 3 0|1.0 442
1217 愛之味|食品工業|7 3 1|87 99 19 0|0.5 13
1218 泰山|食品工業|7 4 -7|66 66 -27 -7|0.6 71
1219 福壽|食品工業|8 10 -6|73 90 3 -6|2.7 11
1227 佳格|食品工業|0 -15 -0|83 99 7 -2|1.9 15
1229 聯華|食品工業|5 -6 -14|78 91 12 -7|1.5 35
1231 聯華食|食品工業|20 17 4|98 100 25 2|1.9 11
1232 大統益|食品工業|42 20 -1|89 89 -3 -6|0.7 10
1234 黑松|食品工業|-3 7 4|96 98 2 -1|1.9 13
1268 漢來美食|觀光餐旅|16 17 -64|93 93 22 22|0.6 13
1301 台塑|塑膠工業|-34 -31 -25|88 94 8 -3|1.1 470
1303 南亞|塑膠工業|-31 -30 -18|89 97 10 10|0.9 323
1304 台聚|塑膠工業|-7 -21 -15|83 98 16 4|1.2 71
1305 華夏|塑膠工業|3 -28 -17|85 97 44 10|1.0 133
1308 亞聚|塑膠工業|-10 -14 -18|81 98 19 11|1.4 35
1309 台達化|塑膠工業|-13 -27 -15|74 98 12 -5|0.8 21
1312 國喬|塑膠工業|-28 -31 -12|77 96 16 1|0.8 64
1313 聯成|塑膠工業|-29 -25 -14|70 98 22 -4|1.9 21
1314 中石化|塑膠工業|-57 -57 -30|75 91 9 -2|0.8 47
1316 上曜|建材營造|33 50 -123|42 69 -6 -28|0.6 6
1319 東陽|汽車工業|2 8 -8|81 81 0 -10|0.6 168
1325 恆大|塑膠工業|-27 -22 20|47 86 17 1|0.4 14
1326 台化|塑膠工業|-8 -9 -13|93 95 5 3|1.5 158
1336 台翰|電子零組|15 28 -3|98 98 36 46|2.7 6
1342 八貫|其他|7 11 -18|85 85 48 77|0.6 241
1402 遠東新|紡織纖維|-8 -3 -14|98 98 3 9|0.6 185
1409 新纖|紡織纖維|-19 -21 -26|91 98 14 5|0.6 22
1417 嘉裕|紡織纖維|-11 -10 -30|88 88 32 39|0.2 50
1434 福懋|紡織纖維|-11 -8 -14|97 98 5 3|1.0 17
1440 南紡|紡織纖維|-4 7 -4|70 90 6 -5|0.8 10
1442 名軒|建材營造|5046 1621 1262|83 83 9 46|0.8 34
1444 力麗|紡織纖維|-48 -19 -36|86 86 1 3|0.4 16
