# 2023-02 月末(2023-02-24)全池量化快照(1027 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
1101 台泥|水泥工業|-3 4 -3|88 98 19 -1|1.3 626
1102 亞泥|水泥工業|-35 -18 -17|100 100 9 5|0.8 175
1103 嘉泥|水泥工業|21 22 17|96 96 19 14|7.1 6
1104 環泥|水泥工業|-15 6 -8|100 100 13 11|1.2 15
1201 味全|食品工業|-5 -6 -5|92 100 10 2|1.4 10
1210 大成|食品工業|-8 6 -4|96 100 17 5|2.6 64
1215 卜蜂|食品工業|-11 5 -8|99 99 3 0|1.5 38
1216 統一|食品工業|-4 6 -4|99 99 5 2|0.7 349
1217 愛之味|食品工業|1 2 1|90 98 12 14|1.2 15
1218 泰山|食品工業|-1 3 -7|64 64 -20 -14|0.6 61
1219 福壽|食品工業|-7 1 -13|78 96 11 -2|1.7 18
1227 佳格|食品工業|-22 -15 -2|85 99 5 0|0.9 20
1229 聯華|食品工業|-7 -6 -13|81 95 11 -5|0.8 47
1231 聯華食|食品工業|1 12 -0|100 100 25 15|0.8 17
1232 大統益|食品工業|-1 16 -3|91 91 0 -5|0.5 8
1234 黑松|食品工業|11 8 6|100 100 6 4|0.9 11
1256 鮮活果汁-KY|食品工業|-53 -19 -4|98 98 34 27|3.0 9
1268 漢來美食|觀光餐旅|41 23 -59|100 100 38 43|3.3 58
1301 台塑|塑膠工業|-40 -34 -22|90 98 3 -3|0.8 446
1303 南亞|塑膠工業|-42 -34 -17|89 97 2 7|0.5 288
1304 台聚|塑膠工業|-36 -25 -14|88 100 22 4|0.6 45
1305 華夏|塑膠工業|-32 -23 -8|87 98 40 17|0.4 63
1308 亞聚|塑膠工業|-40 -25 -25|80 98 8 3|0.5 39
1309 台達化|塑膠工業|-33 -28 -13|76 99 16 1|0.5 23
1310 台苯|塑膠工業|-47 -25 -31|80 98 9 -3|1.1 5
1312 國喬|塑膠工業|-21 -28 -7|76 96 15 4|0.4 51
1313 聯成|塑膠工業|-40 -30 -16|74 99 23 11|0.8 31
1314 中石化|塑膠工業|-55 -58 -26|76 96 5 -5|1.2 77
1316 上曜|建材營造|-54 -1 -170|45 69 -2 -28|1.1 10
1319 東陽|汽車工業|-14 -2 -15|78 78 -5 -16|0.4 104
1326 台化|塑膠工業|-16 -13 -15|92 94 -2 1|0.7 156
1336 台翰|電子零組|-5 11 -19|96 96 14 8|0.9 34
1339 昭輝|汽車工業|-39 -8 -8|95 95 4 -3|0.9 6
1342 八貫|其他|17 20 -9|96 96 63 116|2.3 865
