"109年04月01日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,011.80","-","40.04","-0.36","",
"發行量加權股價指數","9,663.63","-","44.43","-0.46","",
"臺灣公司治理100指數","5,561.69","-","42.80","-0.76","",
"臺灣50指數","7,548.18","-","58.29","-0.77","",
"臺灣50權重上限30%指數","7,420.03","-","55.17","-0.74","",
"臺灣中型100指數","7,042.44","+","41.46","0.59","",
"臺灣資訊科技指數","11,014.69","-","48.36","-0.44","",
"臺灣發達指數","6,879.69","-","45.65","-0.66","",
"臺灣高股息指數","5,711.60","-","24.13","-0.42","",
"臺灣就業99指數","5,487.21","+","8.53","0.16","",
"臺灣高薪100指數","5,260.56","-","26.58","-0.50","",
"未含金融指數","8,170.70","-","34.50","-0.42","",
"未含電子指數","12,086.68","-","87.34","-0.72","",
"未含金融電子指數","9,862.02","-","72.66","-0.73","",
"小型股300指數","5,398.35","+","36.91","0.69","",
"水泥窯製類指數","517.88","-","7.09","-1.35","",
"塑膠化工類指數","643.79","-","5.21","-0.80","",
"機電類指數","2,397.25","-","5.93","-0.25","",
"水泥類指數","147.51","-","2.14","-1.43","",
"食品類指數","1,602.66","+","0.12","0.01","",
"塑膠類指數","194.90","-","2.30","-1.17","",
"紡織纖維類指數","392.49","-","1.05","-0.27","",
"電機機械類指數","150.13","+","0.49","0.33","",
"電器電纜類指數","38.57","+","0.27","0.70","",
"化學生技醫療類指數","80.31","+","0.30","0.37","",
"化學類指數","83.80","+","0.18","0.22","",
"生技醫療類指數","52.94","+","0.28","0.53","",
"玻璃陶瓷類指數","20.81","-","0.05","-0.24","",
"造紙類指數","175.89","+","1.43","0.82","",
"鋼鐵類指數","81.89","-","0.66","-0.80","",
"橡膠類指數","198.87","-","1.63","-0.81","",
"汽車類指數","246.51","-","4.99","-1.98","",
"電子工業類指數","428.76","-","1.14","-0.27","",
"半導體類指數","181.35","-","0.95","-0.52","",
"電腦及週邊設備類指數","91.80","-","0.32","-0.35","",
"光電類指數","31.04","+","0.32","1.04","",
"通信網路類指數","114.64","-","0.64","-0.56","",
"電子零組件類指數","91.18","+","0.18","0.20","",
"電子通路類指數","106.06","-","0.54","-0.51","",
"資訊服務類指數","106.61","+","1.12","1.06","",
"其他電子類指數","68.88","+","0.25","0.36","",
"建材營造類指數","255.11","-","0.95","-0.37","",
"航運類指數","49.42","+","0.17","0.35","",
"觀光類指數","70.03","-","0.25","-0.36","",
"金融保險類指數","1,113.29","-","7.72","-0.69","",
"貿易百貨類指數","236.74","+","1.08","0.46","",
"油電燃氣類指數","101.52","-","4.04","-3.83","",
"其他類指數","206.39","+","1.02","0.50","",
"臺指日報酬兩倍指數","12,719.50","-","117.50","-0.92","",
"臺指反向一倍指數","7,711.58","+","35.13","0.46","",
"電子類兩倍槓桿指數","11,391.01","-","60.74","-0.53","",
"電子類反向指數","7,550.96","+","19.97","0.27","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,347.26","+","35.46","1.07","",
"臺灣中小型公司治理指數","4,810.73","+","29.24","0.61","",
"臺灣IPO指數","4,550.31","-","5.86","-0.13","",
"智慧中立指數","4,999.33","+","1.76","0.04","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","14,712.59","-","205.47","-1.38","",
