"109年04月01日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬反向一倍指數","7,366.94","+","50.39","0.69","",
"漲升股利150指數","5,239.28","-","12.55","-0.24","",
"漲升股利100指數","5,249.59","-","30.01","-0.57","",
"藍籌30指數","5,090.45","-","47.14","-0.92","",
"工業菁英30指數","5,296.21","-","24.64","-0.46","",
"電子菁英30指數","5,551.23","-","29.46","-0.53","",
"低波動股利精選30指數","5,163.84","-","37.23","-0.72","",
"低貝塔100指數","5,176.94","-","31.20","-0.60","",
"藍籌30反向一倍指數","9,089.28","+","82.64","0.92","",
"中小型精選50指數","4,864.72","+","17.77","0.37","",
"中小型A級動能50指數","6,122.17","+","6.52","0.11","",
"特選高息低波指數","4,661.75","-","5.94","-0.13","",
"臺灣永續指數","4,840.19","-","27.65","-0.57","",
"工業菁英30反向一倍指數","10,049.86","+","46.32","0.46","",
"特選內需高收益指數","5,080.97","-","46.96","-0.92","",
"價值投資指數","4,956.88","-","29.23","-0.59","",
"中小型300指數","4,942.64","+","33.33","0.68","",
"臺灣勞工權益指數","4,676.45","-","28.47","-0.61","",
"智慧投資多因子30指數","4,328.65","-","14.94","-0.34","",
"臺股期貨指數","4,162.41","-","19.17","-0.46","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","13,869.59","-","50.42","-0.36","",
"發行量加權股價報酬指數","18,066.47","-","83.05","-0.46","",
"臺灣公司治理100報酬指數","6,867.08","-","52.84","-0.76","",
"臺灣50報酬指數","14,312.54","-","110.52","-0.77","",
"臺灣50權重上限30%報酬指數","14,054.11","-","104.50","-0.74","",
"臺灣中型100報酬指數","12,275.68","+","72.28","0.59","",
"臺灣資訊科技股報酬指數","19,877.12","-","87.26","-0.44","",
"臺灣發達報酬指數","11,689.10","-","77.57","-0.66","",
"臺灣高股息報酬指數","12,861.83","-","54.35","-0.42","",
"臺灣就業99報酬指數","7,592.03","+","11.79","0.16","",
"臺灣高薪100報酬指數","6,606.91","-","33.37","-0.50","",
"未含金融電子報酬指數","18,585.91","-","136.93","-0.73","",
"小型股300報酬指數","6,365.41","+","43.52","0.69","",
"水泥類報酬指數","246.99","-","3.59","-1.43","",
"食品類報酬指數","2,233.73","+","0.17","0.01","",
"塑膠類報酬指數","307.23","-","3.63","-1.17","",
"紡織纖維類報酬指數","574.71","-","1.54","-0.27","",
"電機機械類報酬指數","211.63","+","0.69","0.33","",
"電器電纜類報酬指數","52.51","+","0.36","0.69","",
"化學生技醫療類報酬指數","115.47","+","0.43","0.37","",
"化學類報酬指數","127.04","+","0.27","0.21","",
"生技醫療類報酬指數","69.83","+","0.37","0.53","",
"玻璃陶瓷類報酬指數","23.81","-","0.06","-0.25","",
"造紙類報酬指數","245.05","+","1.99","0.82","",
"鋼鐵類報酬指數","122.00","-","0.98","-0.80","",
"橡膠類報酬指數","290.01","-","2.37","-0.81","",
"汽車類報酬指數","357.80","-","7.25","-1.99","",
"電子工業類報酬指數","734.54","-","1.97","-0.27","",
"半導體類報酬指數","297.25","-","1.56","-0.52","",
"電腦及週邊設備類報酬指數","171.19","-","0.60","-0.35","",
"光電類報酬指數","41.68","+","0.43","1.04","",
"通信網路類報酬指數","216.62","-","1.21","-0.56","",
"電子零組件類報酬指數","154.10","+","0.30","0.20","",
"電子通路類報酬指數","210.63","-","1.08","-0.51","",
"資訊服務類報酬指數","210.96","+","2.21","1.06","",
"其他電子類報酬指數","97.62","+","0.36","0.37","",
"建材營造類報酬指數","441.33","-","1.64","-0.37","",
"航運類報酬指數","66.76","+","0.22","0.33","",
"觀光類報酬指數","90.07","-","0.32","-0.35","",
"金融保險類報酬指數","1,699.27","-","11.79","-0.69","",
"貿易百貨類報酬指數","338.38","+","1.54","0.46","",
"油電燃氣類報酬指數","147.79","-","5.90","-3.84","",
"其他類報酬指數","317.84","+","1.57","0.50","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","3,519.00","+","37.29","1.07","",
"臺灣中小型公司治理報酬指數","5,528.33","+","33.60","0.61","",
"臺灣IPO報酬指數","4,841.98","-","6.23","-0.13","",
"智慧中立報酬指數","5,008.45","+","1.74","0.03","",
"加權指數掩護性臺指買權價外5%報酬指數","4,180.05","+","5.95","0.14","",
"臺灣5G報酬指數","4,296.74","+","0.56","0.01","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","6,210.83","-","14.87","-0.24","",
"漲升股利100報酬指數","6,240.51","-","35.68","-0.57","",
"藍籌30報酬指數","5,799.51","-","53.71","-0.92","",
"工業菁英30報酬指數","6,041.40","-","28.11","-0.46","",
"電子菁英30報酬指數","6,273.89","-","33.29","-0.53","",
"低波動股利精選30報酬指數","5,902.21","-","42.56","-0.72","",
"低貝塔100報酬指數","5,904.37","-","35.59","-0.60","",
"中小型精選50報酬指數","5,639.39","+","20.60","0.37","",
"中小型A級動能50報酬指數","6,660.52","+","7.09","0.11","",
"特選高息低波報酬指數","5,417.05","-","6.90","-0.13","",
"臺灣永續報酬指數","5,506.62","-","31.45","-0.57","",
"特選內需高收益報酬指數","5,656.36","-","52.28","-0.92","",
"價值投資報酬指數","5,622.01","-","33.16","-0.59","",
"存股雙十等權重報酬指數","4,654.61","-","28.06","-0.60","",
"特選大蘋果報酬指數","5,194.32","-","21.68","-0.42","",
"中小型300報酬指數","5,155.52","+","34.76","0.68","",
"特股高息20報酬指數","5,146.86","-","13.49","-0.26","",
"臺灣500報酬指數","5,199.48","-","25.39","-0.49","",
"特選外資豐擁50報酬指數","5,236.38","-","39.92","-0.76","",
"臺灣勞工權益報酬指數","4,903.96","-","29.86","-0.61","",
"微波高息精選20報酬指數","4,374.42","-","27.42","-0.62","",
"特選世代行動通訊報酬指數","4,127.83","+","60.55","1.49","",
"智慧投資多因子30報酬指數","4,336.41","-","14.97","-0.34","",
"特選大蘋果報酬正向兩倍指數","6,123.48","-","51.33","-0.83","",
"特選大蘋果報酬反向一倍指數","12,104.84","+","50.10","0.42","",
"特選價值成長報酬指數","3,978.82","+","66.58","1.70","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

