"109年04月16日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,849.53","-","70.62","-0.59","",
"發行量加權股價指數","10,375.48","-","71.73","-0.69","",
"臺灣公司治理100指數","5,941.37","-","52.29","-0.87","",
"臺灣50指數","8,040.77","-","66.97","-0.83","",
"臺灣50權重上限30%指數","7,918.62","-","73.26","-0.92","",
"臺灣中型100指數","7,667.16","-","31.50","-0.41","",
"臺灣資訊科技指數","11,691.27","-","47.33","-0.40","",
"臺灣發達指數","7,404.29","-","64.69","-0.87","",
"臺灣高股息指數","6,161.13","-","26.71","-0.43","",
"臺灣就業99指數","5,957.57","-","58.49","-0.97","",
"臺灣高薪100指數","5,631.99","-","56.10","-0.99","",
"未含金融指數","8,769.47","-","49.03","-0.56","",
"未含電子指數","13,029.38","-","153.75","-1.17","",
"未含金融電子指數","10,640.58","-","108.28","-1.01","",
"小型股300指數","5,939.47","-","5.42","-0.09","",
"水泥窯製類指數","566.43","-","1.21","-0.21","",
"塑膠化工類指數","703.37","-","8.23","-1.16","",
"機電類指數","2,569.17","-","8.49","-0.33","",
"水泥類指數","160.67","-","0.08","-0.05","",
"食品類指數","1,674.09","-","11.54","-0.68","",
"塑膠類指數","213.97","-","3.00","-1.38","",
"紡織纖維類指數","431.48","-","7.51","-1.71","",
"電機機械類指數","166.39","-","0.18","-0.11","",
"電器電纜類指數","43.22","-","0.51","-1.17","",
"化學生技醫療類指數","87.23","-","0.23","-0.26","",
"化學類指數","90.90","-","0.68","-0.74","",
"生技醫療類指數","57.57","+","0.12","0.21","",
"玻璃陶瓷類指數","24.02","-","0.55","-2.24","",
"造紙類指數","185.35","-","0.15","-0.08","",
"鋼鐵類指數","86.02","-","0.99","-1.14","",
"橡膠類指數","213.18","-","3.22","-1.49","",
"汽車類指數","267.41","-","4.95","-1.82","",
"電子工業類指數","458.98","-","1.52","-0.33","",
"半導體類指數","193.53","-","0.68","-0.35","",
"電腦及週邊設備類指數","97.19","-","0.39","-0.40","",
"光電類指數","32.82","-","0.24","-0.73","",
"通信網路類指數","120.08","-","0.77","-0.64","",
"電子零組件類指數","104.13","+","0.20","0.19","",
"電子通路類指數","113.24","-","0.32","-0.28","",
"資訊服務類指數","116.00","+","0.96","0.83","",
"其他電子類指數","73.59","-","0.08","-0.11","",
"建材營造類指數","274.39","-","1.35","-0.49","",
"航運類指數","54.78","-","0.68","-1.23","",
"觀光類指數","76.50","-","1.21","-1.56","",
"金融保險類指數","1,197.94","-","18.15","-1.49","",
"貿易百貨類指數","246.38","-","1.61","-0.65","",
"油電燃氣類指數","106.87","-","1.05","-0.97","",
"其他類指數","223.81","-","2.73","-1.21","",
"臺指日報酬兩倍指數","14,640.62","-","203.84","-1.37","",
"臺指反向一倍指數","7,171.44","+","48.90","0.69","",
"電子類兩倍槓桿指數","13,030.93","-","86.60","-0.66","",
"電子類反向指數","7,041.20","+","23.16","0.33","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,741.98","+","34.89","0.94","",
"臺灣中小型公司治理指數","5,209.94","-","1.37","-0.03","",
"臺灣IPO指數","4,828.86","-","48.84","-1.00","",
"智慧中立指數","4,978.18","-","25.97","-0.52","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","16,999.70","-","523.05","-2.98","",
"金融類日報酬反向一倍指數","6,831.71","+","100.46","1.49","",
"漲升股利150指數","5,671.63","-","43.73","-0.77","",
"漲升股利100指數","5,665.84","-","43.04","-0.75","",
"藍籌30指數","5,437.24","-","56.74","-1.03","",
"工業菁英30指數","5,665.23","-","52.07","-0.91","",
"電子菁英30指數","5,911.99","-","40.62","-0.68","",
"低波動股利精選30指數","5,515.02","-","71.40","-1.28","",
"低貝塔100指數","5,484.96","-","53.08","-0.96","",
"藍籌30反向一倍指數","8,494.63","+","86.83","1.03","",
"中小型精選50指數","5,300.40","-","7.03","-0.13","",
"中小型A級動能50指數","6,811.60","+","15.99","0.24","",
"特選高息低波指數","4,978.58","-","34.57","-0.69","",
"臺灣永續指數","5,168.18","-","43.68","-0.84","",
"工業菁英30反向一倍指數","9,373.58","+","84.60","0.91","",
"特選內需高收益指數","5,354.54","-","46.68","-0.86","",
"價值投資指數","5,610.19","-","7.68","-0.14","",
"中小型300指數","5,427.54","-","15.92","-0.29","",
"臺灣勞工權益指數","4,989.50","-","43.19","-0.86","",
"智慧投資多因子30指數","4,622.91","-","30.55","-0.66","",
"臺股期貨指數","4,527.29","-","8.79","-0.19","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","14,927.83","-","88.86","-0.59","",
"發行量加權股價報酬指數","19,401.34","-","134.14","-0.69","",
"臺灣公司治理100報酬指數","7,337.85","-","64.58","-0.87","",
"臺灣50報酬指數","15,246.57","-","126.98","-0.83","",
"臺灣50權重上限30%報酬指數","14,998.47","-","138.77","-0.92","",
"臺灣中型100報酬指數","13,378.14","-","54.97","-0.41","",
"臺灣資訊科技股報酬指數","21,105.69","-","85.43","-0.40","",
"臺灣發達報酬指數","12,580.44","-","109.91","-0.87","",
"臺灣高股息報酬指數","13,903.84","-","60.29","-0.43","",
"臺灣就業99報酬指數","8,242.82","-","80.93","-0.97","",
"臺灣高薪100報酬指數","7,075.61","-","70.47","-0.99","",
"未含金融電子報酬指數","20,054.97","-","204.09","-1.01","",
"小型股300報酬指數","7,007.11","-","6.40","-0.09","",
"水泥類報酬指數","269.03","-","0.13","-0.05","",
"食品類報酬指數","2,333.29","-","16.07","-0.68","",
"塑膠類報酬指數","337.30","-","4.73","-1.38","",
"紡織纖維類報酬指數","632.03","-","10.99","-1.71","",
"電機機械類報酬指數","234.55","-","0.26","-0.11","",
"電器電纜類報酬指數","58.84","-","0.71","-1.19","",
"化學生技醫療類報酬指數","125.57","-","0.34","-0.27","",
"化學類報酬指數","138.14","-","1.02","-0.73","",
"生技醫療類報酬指數","75.94","+","0.16","0.21","",
"玻璃陶瓷類報酬指數","27.48","-","0.63","-2.24","",
"造紙類報酬指數","258.23","-","0.20","-0.08","",
"鋼鐵類報酬指數","128.15","-","1.47","-1.13","",
"橡膠類報酬指數","310.88","-","4.69","-1.49","",
"汽車類報酬指數","388.19","-","7.19","-1.82","",
"電子工業類報酬指數","786.57","-","2.61","-0.33","",
"半導體類報酬指數","317.21","-","1.12","-0.35","",
"電腦及週邊設備類報酬指數","181.24","-","0.72","-0.40","",
"光電類報酬指數","44.07","-","0.33","-0.74","",
"通信網路類報酬指數","226.90","-","1.44","-0.63","",
