"109年04月07日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,394.41","+","203.88","1.82","",
"發行量加權股價指數","9,996.39","+","177.65","1.81","",
"臺灣公司治理100指數","5,761.50","+","101.54","1.79","",
"臺灣50指數","7,809.36","+","141.94","1.85","",
"臺灣50權重上限30%指數","7,665.66","+","126.88","1.68","",
"臺灣中型100指數","7,299.99","+","113.27","1.58","",
"臺灣資訊科技指數","11,481.45","+","255.83","2.28","",
"臺灣發達指數","7,119.29","+","109.71","1.57","",
"臺灣高股息指數","5,888.74","+","82.34","1.42","",
"臺灣就業99指數","5,664.66","+","96.68","1.74","",
"臺灣高薪100指數","5,413.21","+","71.77","1.34","",
"未含金融指數","8,479.80","+","163.62","1.97","",
"未含電子指數","12,407.20","+","157.86","1.29","",
"未含金融電子指數","10,187.17","+","152.39","1.52","",
"小型股300指數","5,570.77","+","114.72","2.10","",
"水泥窯製類指數","531.30","+","11.38","2.19","",
"塑膠化工類指數","673.87","+","14.20","2.15","",
"機電類指數","2,493.99","+","52.78","2.16","",
"水泥類指數","151.31","+","3.14","2.12","",
"食品類指數","1,667.40","+","3.08","0.19","",
"塑膠類指數","206.10","+","4.96","2.47","",
"紡織纖維類指數","407.03","+","10.20","2.57","",
"電機機械類指數","157.41","+","2.02","1.30","",
"電器電纜類指數","39.54","+","0.61","1.57","",
"化學生技醫療類指數","82.49","+","0.81","0.99","",
"化學類指數","86.11","+","1.34","1.58","",
"生技醫療類指數","54.35","+","0.21","0.39","",
"玻璃陶瓷類指數","21.38","+","0.65","3.14","",
"造紙類指數","176.90","-","0.17","-0.10","",
"鋼鐵類指數","83.37","+","0.43","0.52","",
"橡膠類指數","202.51","+","4.91","2.48","",
"汽車類指數","255.35","+","1.41","0.56","",
"電子工業類指數","446.00","+","9.55","2.19","",
"半導體類指數","189.84","+","5.27","2.86","",
"電腦及週邊設備類指數","94.86","+","0.46","0.49","",
"光電類指數","32.44","+","0.61","1.92","",
"通信網路類指數","117.44","+","0.77","0.66","",
"電子零組件類指數","95.23","+","2.51","2.71","",
"電子通路類指數","108.14","+","0.81","0.75","",
"資訊服務類指數","110.31","+","1.84","1.70","",
"其他電子類指數","70.30","+","1.09","1.57","",
"建材營造類指數","257.91","+","2.55","1.00","",
"航運類指數","50.18","+","0.69","1.39","",
"觀光類指數","71.46","+","1.21","1.72","",
"金融保險類指數","1,128.00","+","9.05","0.81","",
"貿易百貨類指數","239.14","+","2.77","1.17","",
"油電燃氣類指數","105.77","+","1.37","1.31","",
"其他類指數","211.30","+","4.57","2.21","",
"臺指日報酬兩倍指數","13,602.86","+","475.04","3.62","",
"臺指反向一倍指數","7,450.51","-","137.29","-1.81","",
"電子類兩倍槓桿指數","12,316.00","+","516.38","4.38","",
"電子類反向指數","7,253.27","-","162.26","-2.19","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,475.75","+","46.82","1.37","",
"臺灣中小型公司治理指數","4,961.98","+","35.37","0.72","",
"臺灣IPO指數","4,754.65","+","130.14","2.81","",
"智慧中立指數","4,957.93","-","4.16","-0.08","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","15,102.60","+","240.41","1.62","",
"金融類日報酬反向一倍指數","7,270.21","-","59.28","-0.81","",
"漲升股利150指數","5,455.35","+","108.79","2.03","",
"漲升股利100指數","5,485.19","+","113.53","2.11","",
"藍籌30指數","5,282.02","+","90.95","1.75","",
"工業菁英30指數","5,546.93","+","121.51","2.24","",
"電子菁英30指數","5,774.64","+","101.05","1.78","",
"低波動股利精選30指數","5,279.36","+","40.63","0.78","",
"低貝塔100指數","5,266.43","+","37.87","0.72","",
"藍籌30反向一倍指數","8,753.52","-","156.10","-1.75","",
"中小型精選50指數","5,017.86","+","74.50","1.51","",
"中小型A級動能50指數","6,414.91","+","133.92","2.13","",
"特選高息低波指數","4,757.47","+","42.24","0.90","",
"臺灣永續指數","4,988.15","+","78.61","1.60","",
"工業菁英30反向一倍指數","9,585.09","-","219.59","-2.24","",
"特選內需高收益指數","5,197.51","+","47.50","0.92","",
"價值投資指數","5,216.16","+","164.33","3.25","",
"中小型300指數","5,110.07","+","94.81","1.89","",
"臺灣勞工權益指數","4,820.56","+","68.19","1.43","",
"智慧投資多因子30指數","4,459.99","+","60.33","1.37","",
"臺股期貨指數","4,356.33","+","74.52","1.74","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","14,351.50","+","256.79","1.82","",
"發行量加權股價報酬指數","18,688.58","+","332.13","1.81","",
"臺灣公司治理100報酬指數","7,113.79","+","125.37","1.79","",
"臺灣50報酬指數","14,807.78","+","269.14","1.85","",
"臺灣50權重上限30%報酬指數","14,519.35","+","240.32","1.68","",
"臺灣中型100報酬指數","12,724.62","+","197.45","1.58","",
"臺灣資訊科技股報酬指數","20,719.42","+","461.67","2.28","",
"臺灣發達報酬指數","12,096.21","+","186.41","1.57","",
"臺灣高股息報酬指數","13,260.74","+","185.42","1.42","",
"臺灣就業99報酬指數","7,837.56","+","133.77","1.74","",
"臺灣高薪100報酬指數","6,798.63","+","90.15","1.34","",
"未含金融電子報酬指數","19,198.69","+","287.19","1.52","",
"小型股300報酬指數","6,568.72","+","135.28","2.10","",
"水泥類報酬指數","253.36","+","5.25","2.12","",
"食品類報酬指數","2,323.96","+","4.29","0.18","",
"塑膠類報酬指數","324.89","+","7.82","2.47","",
"紡織纖維類報酬指數","595.99","+","14.94","2.57","",
"電機機械類報酬指數","221.88","+","2.84","1.30","",
"電器電纜類報酬指數","53.84","+","0.84","1.58","",
"化學生技醫療類報酬指數","118.61","+","1.16","0.99","",
"化學類報酬指數","130.56","+","2.04","1.59","",
"生技醫療類報酬指數","71.68","+","0.27","0.38","",
"玻璃陶瓷類報酬指數","24.46","+","0.74","3.12","",
"造紙類報酬指數","246.45","-","0.24","-0.10","",
"鋼鐵類報酬指數","124.21","+","0.65","0.53","",
"橡膠類報酬指數","295.32","+","7.16","2.48","",
"汽車類報酬指數","370.64","+","2.05","0.56","",
"電子工業類報酬指數","764.09","+","16.36","2.19","",
"半導體類報酬指數","311.16","+","8.64","2.86","",
"電腦及週邊設備類報酬指數","176.90","+","0.86","0.49","",
"光電類報酬指數","43.56","+","0.82","1.92","",
"通信網路類報酬指數","221.90","+","1.46","0.66","",
"電子零組件類報酬指數","160.95","+","4.23","2.70","",
"電子通路類報酬指數","214.75","+","1.60","0.75","",
"資訊服務類報酬指數","218.29","+","3.65","1.70","",
"其他電子類報酬指數","99.63","+","1.54","1.57","",
"建材營造類報酬指數","446.18","+","4.41","1.00","",
"航運類報酬指數","67.79","+","0.93","1.39","",
"觀光類報酬指數","91.92","+","1.56","1.73","",
"金融保險類報酬指數","1,721.73","+","13.82","0.81","",
"貿易百貨類報酬指數","341.81","+","3.96","1.17","",
"油電燃氣類報酬指數","153.99","+","2.00","1.32","",
"其他類報酬指數","325.40","+","7.03","2.21","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","3,654.08","+","49.23","1.37","",
"臺灣中小型公司治理報酬指數","5,702.14","+","40.65","0.72","",
"臺灣IPO報酬指數","5,059.42","+","138.49","2.81","",
"智慧中立報酬指數","4,967.18","-","4.09","-0.08","",
"加權指數掩護性臺指買權價外5%報酬指數","4,255.75","+","35.33","0.84","",
"臺灣5G報酬指數","4,474.00","+","91.26","2.08","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","6,466.96","+","128.97","2.03","",
"漲升股利100報酬指數","6,520.59","+","134.96","2.11","",
"藍籌30報酬指數","6,017.77","+","103.62","1.75","",
"工業菁英30報酬指數","6,327.40","+","138.60","2.24","",
"電子菁英30報酬指數","6,526.38","+","114.20","1.78","",
"低波動股利精選30報酬指數","6,034.26","+","46.44","0.78","",
"低貝塔100報酬指數","6,006.43","+","43.19","0.72","",
