"109年04月21日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,743.37","-","334.94","-2.77","",
"發行量加權股價指數","10,288.42","-","298.29","-2.82","",
"臺灣公司治理100指數","5,914.53","-","167.65","-2.76","",
"臺灣50指數","8,031.37","-","244.56","-2.96","",
"臺灣50權重上限30%指數","7,862.71","-","239.33","-2.95","",
"臺灣中型100指數","7,567.51","-","189.92","-2.45","",
"臺灣資訊科技指數","11,873.88","-","361.32","-2.95","",
"臺灣發達指數","7,289.76","-","199.20","-2.66","",
"臺灣高股息指數","6,067.23","-","159.99","-2.57","",
"臺灣就業99指數","5,831.55","-","173.37","-2.89","",
"臺灣高薪100指數","5,538.50","-","162.58","-2.85","",
"未含金融指數","8,727.49","-","250.54","-2.79","",
"未含電子指數","12,712.44","-","365.86","-2.80","",
"未含金融電子指數","10,415.27","-","289.55","-2.70","",
"小型股300指數","5,793.51","-","175.29","-2.94","",
"水泥窯製類指數","559.31","-","11.14","-1.95","",
"塑膠化工類指數","682.31","-","21.58","-3.07","",
"機電類指數","2,576.94","-","74.92","-2.83","",
"水泥類指數","158.87","-","2.94","-1.82","",
"食品類指數","1,645.21","-","42.77","-2.53","",
"塑膠類指數","206.96","-","6.53","-3.06","",
"紡織纖維類指數","421.61","-","12.73","-2.93","",
"電機機械類指數","165.48","-","4.78","-2.81","",
"電器電纜類指數","42.60","-","0.73","-1.68","",
"化學生技醫療類指數","85.42","-","2.64","-3.00","",
"化學類指數","89.31","-","2.12","-2.32","",
"生技醫療類指數","56.19","-","2.15","-3.69","",
"玻璃陶瓷類指數","23.31","-","0.87","-3.60","",
"造紙類指數","183.85","-","4.36","-2.32","",
"鋼鐵類指數","83.81","-","2.16","-2.51","",
"橡膠類指數","206.74","-","6.92","-3.24","",
"汽車類指數","260.10","-","9.40","-3.49","",
"電子工業類指數","460.52","-","13.42","-2.83","",
"半導體類指數","197.21","-","6.12","-3.01","",
"電腦及週邊設備類指數","95.12","-","2.26","-2.32","",
