"109年04月10日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,588.21","+","48.14","0.42","",
"發行量加權股價指數","10,157.61","+","38.18","0.38","",
"臺灣公司治理100指數","5,833.50","+","17.50","0.30","",
"臺灣50指數","7,888.73","+","7.28","0.09","",
"臺灣50權重上限30%指數","7,777.24","+","27.03","0.35","",
"臺灣中型100指數","7,455.40","+","35.80","0.48","",
"臺灣資訊科技指數","11,397.89","-","99.85","-0.87","",
"臺灣發達指數","7,286.90","+","30.73","0.42","",
"臺灣高股息指數","6,007.65","+","34.25","0.57","",
"臺灣就業99指數","5,819.88","+","54.06","0.94","",
"臺灣高薪100指數","5,541.75","+","46.25","0.84","",
"未含金融指數","8,577.84","+","2.12","0.02","",
"未含電子指數","12,846.69","+","193.76","1.53","",
"未含金融電子指數","10,499.92","+","105.58","1.02","",
"小型股300指數","5,747.67","+","57.26","1.01","",
"水泥窯製類指數","553.71","+","4.83","0.88","",
"塑膠化工類指數","694.57","+","7.58","1.10","",
"機電類指數","2,501.91","-","9.52","-0.38","",
"水泥類指數","157.02","+","1.26","0.81","",
"食品類指數","1,672.33","-","6.41","-0.38","",
"塑膠類指數","211.95","+","2.13","1.02","",
"紡織纖維類指數","423.95","+","4.76","1.14","",
"電機機械類指數","162.11","+","3.83","2.42","",
"電器電纜類指數","41.64","+","0.83","2.03","",
"化學生技醫療類指數","84.80","+","0.67","0.80","",
"化學類指數","88.72","+","1.29","1.48","",
"生技醫療類指數","55.74","+","0.06","0.11","",
"玻璃陶瓷類指數","23.56","+","0.43","1.86","",
"造紙類指數","180.87","-","0.03","-0.02","",
"鋼鐵類指數","85.75","+","0.92","1.08","",
"橡膠類指數","212.87","+","4.71","2.26","",
"汽車類指數","264.51","+","4.18","1.61","",
"電子工業類指數","446.99","-","2.09","-0.47","",
"半導體類指數","188.40","-","2.03","-1.07","",
"電腦及週邊設備類指數","94.71","+","0.36","0.38","",
"光電類指數","31.96","-","0.37","-1.14","",
"通信網路類指數","118.73","+","1.03","0.88","",
"電子零組件類指數","98.97","+","0.93","0.95","",
"電子通路類指數","110.75","+","1.13","1.03","",
"資訊服務類指數","111.89","+","0.65","0.58","",
"其他電子類指數","72.37","-","0.26","-0.36","",
"建材營造類指數","268.34","+","5.08","1.93","",
"航運類指數","53.90","+","0.04","0.07","",
"觀光類指數","73.58","+","0.04","0.05","",
"金融保險類指數","1,179.15","+","30.07","2.62","",
"貿易百貨類指數","242.95","+","0.66","0.27","",
"油電燃氣類指數","106.96","+","0.93","0.88","",
"其他類指數","219.85","+","2.84","1.31","",
"臺指日報酬兩倍指數","14,042.21","+","105.17","0.75","",
"臺指反向一倍指數","7,330.67","-","27.76","-0.38","",
"電子類兩倍槓桿指數","12,367.65","-","116.20","-0.93","",
"電子類反向指數","7,235.36","+","33.52","0.47","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,563.46","+","7.13","0.20","",
"臺灣中小型公司治理指數","5,046.75","+","37.98","0.76","",
"臺灣IPO指數","4,756.31","+","7.98","0.17","",
"智慧中立指數","4,993.88","-","14.70","-0.29","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","16,489.79","+","820.11","5.23","",
"金融類日報酬反向一倍指數","6,948.87","-","186.73","-2.62","",
"漲升股利150指數","5,555.05","+","15.19","0.27","",
"漲升股利100指數","5,559.85","+","7.74","0.14","",
"藍籌30指數","5,342.90","+","17.04","0.32","",
"工業菁英30指數","5,554.00","-","31.41","-0.56","",
"電子菁英30指數","5,776.41","-","26.18","-0.45","",
"低波動股利精選30指數","5,445.06","+","88.15","1.65","",
"低貝塔100指數","5,417.77","+","72.71","1.36","",
"藍籌30反向一倍指數","8,652.44","-","27.77","-0.32","",
"中小型精選50指數","5,136.88","+","49.93","0.98","",
"中小型A級動能50指數","6,528.68","+","33.33","0.51","",
"特選高息低波指數","4,868.12","+","44.74","0.93","",
"臺灣永續指數","5,068.88","+","19.78","0.39","",
"工業菁英30反向一倍指數","9,571.10","+","53.52","0.56","",
"特選內需高收益指數","5,299.65","+","34.04","0.65","",
"價值投資指數","5,443.76","+","53.39","0.99","",
"中小型300指數","5,262.07","+","42.19","0.81","",
"臺灣勞工權益指數","4,906.93","+","28.82","0.59","",
"智慧投資多因子30指數","4,537.01","-","2.91","-0.06","",
"臺股期貨指數","4,411.06","+","11.00","0.25","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","14,598.43","+","60.65","0.42","",
"發行量加權股價報酬指數","18,993.95","+","71.38","0.38","",
"臺灣公司治理100報酬指數","7,204.64","+","21.63","0.30","",
"臺灣50報酬指數","14,958.28","+","13.82","0.09","",
"臺灣50權重上限30%報酬指數","14,730.70","+","51.19","0.35","",
"臺灣中型100報酬指數","13,008.66","+","62.47","0.48","",
"臺灣資訊科技股報酬指數","20,576.06","-","180.27","-0.87","",
"臺灣發達報酬指數","12,380.99","+","52.22","0.42","",
"臺灣高股息報酬指數","13,557.50","+","77.31","0.57","",
"臺灣就業99報酬指數","8,052.32","+","74.80","0.94","",
"臺灣高薪100報酬指數","6,962.23","+","58.11","0.84","",
"未含金融電子報酬指數","19,789.85","+","198.98","1.02","",
"小型股300報酬指數","6,780.84","+","67.56","1.01","",
