"109年04月08日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,561.77","+","167.36","1.47","",
"發行量加權股價指數","10,137.47","+","141.08","1.41","",
"臺灣公司治理100指數","5,818.96","+","57.46","1.00","",
"臺灣50指數","7,905.33","+","95.97","1.23","",
"臺灣50權重上限30%指數","7,767.66","+","102.00","1.33","",
"臺灣中型100指數","7,420.89","+","120.90","1.66","",
"臺灣資訊科技指數","11,562.46","+","81.01","0.71","",
"臺灣發達指數","7,285.68","+","166.39","2.34","",
"臺灣高股息指數","6,013.81","+","125.07","2.12","",
"臺灣就業99指數","5,740.04","+","75.38","1.33","",
"臺灣高薪100指數","5,492.22","+","79.01","1.46","",
"未含金融指數","8,606.58","+","126.78","1.50","",
"未含電子指數","12,589.57","+","182.37","1.47","",
"未含金融電子指數","10,365.79","+","178.62","1.75","",
"小型股300指數","5,687.78","+","117.01","2.10","",
"水泥窯製類指數","551.42","+","20.12","3.79","",
"塑膠化工類指數","685.69","+","11.82","1.75","",
"機電類指數","2,528.16","+","34.17","1.37","",
"水泥類指數","156.62","+","5.31","3.51","",
"食品類指數","1,687.10","+","19.70","1.18","",
"塑膠類指數","209.70","+","3.60","1.75","",
"紡織纖維類指數","415.36","+","8.33","2.05","",
"電機機械類指數","159.17","+","1.76","1.12","",
"電器電纜類指數","40.66","+","1.12","2.83","",
"化學生技醫療類指數","83.45","+","0.96","1.16","",
"化學類指數","87.60","+","1.49","1.73","",
"生技醫療類指數","54.67","+","0.32","0.59","",
"玻璃陶瓷類指數","22.98","+","1.60","7.48","",
"造紙類指數","179.69","+","2.79","1.58","",
"鋼鐵類指數","84.73","+","1.36","1.63","",
"橡膠類指數","208.55","+","6.04","2.98","",
"汽車類指數","259.05","+","3.70","1.45","",
"電子工業類指數","452.11","+","6.11","1.37","",
"半導體類指數","191.43","+","1.59","0.84","",
"電腦及週邊設備類指數","94.83","-","0.03","-0.03","",
"光電類指數","33.09","+","0.65","2.00","",
"通信網路類指數","118.58","+","1.14","0.97","",
"電子零組件類指數","98.76","+","3.53","3.71","",
"電子通路類指數","109.26","+","1.12","1.04","",
"資訊服務類指數","110.37","+","0.06","0.05","",
"其他電子類指數","73.13","+","2.83","4.03","",
"建材營造類指數","262.04","+","4.13","1.60","",
"航運類指數","51.96","+","1.78","3.55","",
"觀光類指數","73.21","+","1.75","2.45","",
"金融保險類指數","1,137.86","+","9.86","0.87","",
"貿易百貨類指數","240.83","+","1.69","0.71","",
"油電燃氣類指數","106.86","+","1.09","1.03","",
"其他類指數","215.63","+","4.33","2.05","",
"臺指日報酬兩倍指數","13,986.82","+","383.96","2.82","",
"臺指反向一倍指數","7,345.36","-","105.15","-1.41","",
"電子類兩倍槓桿指數","12,653.45","+","337.45","2.74","",
"電子類反向指數","7,153.90","-","99.37","-1.37","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,513.77","+","38.02","1.09","",
"臺灣中小型公司治理指數","5,008.60","+","46.62","0.94","",
"臺灣IPO指數","4,781.03","+","26.38","0.55","",
"智慧中立指數","5,005.03","+","47.10","0.95","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","15,366.63","+","264.03","1.75","",
"金融類日報酬反向一倍指數","7,206.66","-","63.55","-0.87","",
"漲升股利150指數","5,547.79","+","92.44","1.69","",
"漲升股利100指數","5,575.84","+","90.65","1.65","",
"藍籌30指數","5,343.06","+","61.04","1.16","",
"工業菁英30指數","5,611.14","+","64.21","1.16","",
"電子菁英30指數","5,843.53","+","68.89","1.19","",
"低波動股利精選30指數","5,336.32","+","56.96","1.08","",
"低貝塔100指數","5,319.27","+","52.84","1.00","",
"藍籌30反向一倍指數","8,652.36","-","101.16","-1.16","",
"中小型精選50指數","5,098.82","+","80.96","1.61","",
"中小型A級動能50指數","6,509.25","+","94.34","1.47","",
"特選高息低波指數","4,811.70","+","54.23","1.14","",
