"109年04月08日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣永續指數","5,054.67","+","66.52","1.33","",
"工業菁英30反向一倍指數","9,474.14","-","110.95","-1.16","",
"特選內需高收益指數","5,274.66","+","77.15","1.48","",
"價值投資指數","5,423.77","+","207.61","3.98","",
"中小型300指數","5,211.03","+","100.96","1.98","",
"臺灣勞工權益指數","4,874.91","+","54.35","1.13","",
"智慧投資多因子30指數","4,548.01","+","88.02","1.97","",
"臺股期貨指數","4,412.98","+","56.65","1.30","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","14,562.53","+","211.03","1.47","",
"發行量加權股價報酬指數","18,952.66","+","264.08","1.41","",
"臺灣公司治理100報酬指數","7,184.73","+","70.94","1.00","",
"臺灣50報酬指數","14,989.75","+","181.97","1.23","",
"臺灣50權重上限30%報酬指數","14,712.56","+","193.21","1.33","",
"臺灣中型100報酬指數","12,935.36","+","210.74","1.66","",
"臺灣資訊科技股報酬指數","20,865.62","+","146.20","0.71","",
"臺灣發達報酬指數","12,378.91","+","282.70","2.34","",
"臺灣高股息報酬指數","13,542.37","+","281.63","2.12","",
"臺灣就業99報酬指數","7,941.86","+","104.30","1.33","",
"臺灣高薪100報酬指數","6,897.85","+","99.22","1.46","",
"未含金融電子報酬指數","19,536.56","+","337.87","1.76","",
"小型股300報酬指數","6,707.77","+","139.05","2.12","",
"水泥類報酬指數","262.25","+","8.89","3.51","",
"食品類報酬指數","2,351.41","+","27.45","1.18","",
"塑膠類報酬指數","330.56","+","5.67","1.75","",
"紡織纖維類報酬指數","608.19","+","12.20","2.05","",
"電機機械類報酬指數","224.36","+","2.48","1.12","",
"電器電纜類報酬指數","55.36","+","1.52","2.82","",
"化學生技醫療類報酬指數","120.13","+","1.52","1.28","",
"化學類報酬指數","133.13","+","2.57","1.97","",
"生技醫療類報酬指數","72.11","+","0.43","0.60","",
"玻璃陶瓷類報酬指數","26.30","+","1.84","7.52","",
"造紙類報酬指數","250.34","+","3.89","1.58","",
"鋼鐵類報酬指數","126.22","+","2.01","1.62","",
"橡膠類報酬指數","304.12","+","8.80","2.98","",
"汽車類報酬指數","376.00","+","5.36","1.45","",
"電子工業類報酬指數","774.55","+","10.46","1.37","",
"半導體類報酬指數","313.77","+","2.61","0.84","",
"電腦及週邊設備類報酬指數","176.85","-","0.05","-0.03","",
"光電類報酬指數","44.43","+","0.87","2.00","",
"通信網路類報酬指數","224.05","+","2.15","0.97","",
"電子零組件類報酬指數","166.92","+","5.97","3.71","",
"電子通路類報酬指數","216.98","+","2.23","1.04","",
"資訊服務類報酬指數","218.40","+","0.11","0.05","",
"其他電子類報酬指數","103.64","+","4.01","4.02","",
"建材營造類報酬指數","453.32","+","7.14","1.60","",
"航運類報酬指數","70.20","+","2.41","3.56","",
"觀光類報酬指數","94.17","+","2.25","2.45","",
"金融保險類報酬指數","1,736.78","+","15.05","0.87","",
"貿易百貨類報酬指數","344.23","+","2.42","0.71","",
"油電燃氣類報酬指數","155.58","+","1.59","1.03","",
"其他類報酬指數","332.07","+","6.67","2.05","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","3,694.05","+","39.97","1.09","",
"臺灣中小型公司治理報酬指數","5,755.72","+","53.58","0.94","",
"臺灣IPO報酬指數","5,087.49","+","28.07","0.55","",
"智慧中立報酬指數","5,014.42","+","47.24","0.95","",
"加權指數掩護性臺指買權價外5%報酬指數","4,274.55","+","18.80","0.44","",
"臺灣5G報酬指數","4,542.70","+","68.70","1.54","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","6,576.54","+","109.58","1.69","",
"漲升股利100報酬指數","6,628.35","+","107.76","1.65","",
"藍籌30報酬指數","6,087.31","+","69.54","1.16","",
"工業菁英30報酬指數","6,400.65","+","73.25","1.16","",
"電子菁英30報酬指數","6,604.24","+","77.86","1.19","",
"低波動股利精選30報酬指數","6,099.36","+","65.10","1.08","",
"低貝塔100報酬指數","6,067.51","+","61.08","1.02","",
"中小型精選50報酬指數","5,915.30","+","98.38","1.69","",
"中小型A級動能50報酬指數","7,081.63","+","102.64","1.47","",
"特選高息低波報酬指數","5,591.29","+","63.01","1.14","",
"臺灣永續報酬指數","5,750.62","+","75.68","1.33","",
"特選內需高收益報酬指數","5,871.99","+","85.89","1.48","",
"價值投資報酬指數","6,151.55","+","235.47","3.98","",
"存股雙十等權重報酬指數","4,935.34","+","103.03","2.13","",
"特選大蘋果報酬指數","5,518.02","+","114.84","2.13","",
"中小型300報酬指數","5,435.91","+","105.75","1.98","",
"特股高息20報酬指數","5,222.77","+","16.04","0.31","",
"臺灣500報酬指數","5,454.24","+","74.95","1.39","",
"特選外資豐擁50報酬指數","5,493.85","+","74.29","1.37","",
"臺灣勞工權益報酬指數","5,112.61","+","57.54","1.14","",
"微波高息精選20報酬指數","4,569.90","+","59.01","1.31","",
"特選世代行動通訊報酬指數","4,360.03","+","81.95","1.92","",
"智慧投資多因子30報酬指數","4,556.16","+","88.18","1.97","",
"特選大蘋果報酬正向兩倍指數","6,902.09","+","281.43","4.25","",
"特選大蘋果報酬反向一倍指數","11,380.34","-","247.13","-2.13","",
"特選價值成長報酬指數","4,226.55","+","120.17","2.93","",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",
"特殊處理註記說明如下：<br>(1)A:指數公司重新計算指數收盤點數。<br>(2)B:依據編製規則，採商品(指數)非收盤價(點數)計算指數收盤點數。<br>(3)空白:無特殊處理。<br>(4)有關A、B兩種特殊處理註記，其原因及說明請至<a href= 'https://www.taiwanindex.com.tw/' target='_blank'>臺灣指數公司網站</a>查閱相關指數編製規則。",

