name,full_days,oos_days,cagr,log_cagr,sortino,sharpe,mdd,calmar,ulcer_index,upi,cdar_95,tail_ratio,k_ratio,oos_cagr,oos_log_cagr,oos_sortino,oos_sharpe,oos_mdd,oos_calmar,oos_ulcer_index,oos_upi,oos_cdar_95,oos_tail_ratio,oos_k_ratio,lo_p,boot_cagr_lb,boot_cagr_ub,boot_sortino_lb,boot_sortino_ub,dsr,pbo,recent_1y_start,recent_1y_end,recent_1y_cagr,timing,topn,min_fscore,min_adv30,stop_loss_pct,avg_positions,max_positions,rebalance_count,max_active,trade_days,avg_turnover_trade_day,requested_notional,filled_notional,fill_ratio,total_commission,total_tax,total_slippage_cost,blocked_orders,partial_orders,exit_orders,exit_notional,exit_notional_ratio,robust_growth_score,b0050_final_relative_nav,b0050_first_outperform_date,b0050_first_permanent_outperform_date,b0050_pct_days_ahead,b0050_longest_below_start_days,b0050_max_relative_drawdown,b0050_start_3y_win_rate,b0050_start_5y_win_rate,b0050_rolling_1y_win_rate,b0050_rolling_1y_median_excess,b0050_rolling_1y_min_excess,b0050_rolling_3y_win_rate,b0050_rolling_3y_median_excess,b0050_rolling_3y_min_excess,b0050_rolling_5y_win_rate,b0050_rolling_5y_median_excess,b0050_rolling_5y_min_excess,b2330_final_relative_nav,b2330_first_outperform_date,b2330_first_permanent_outperform_date,b2330_pct_days_ahead,b2330_longest_below_start_days,b2330_max_relative_drawdown,b2330_start_3y_win_rate,b2330_start_5y_win_rate,b2330_rolling_1y_win_rate,b2330_rolling_1y_median_excess,b2330_rolling_1y_min_excess,b2330_rolling_3y_win_rate,b2330_rolling_3y_median_excess,b2330_rolling_3y_min_excess,b2330_rolling_5y_win_rate,b2330_rolling_5y_median_excess,b2330_rolling_5y_min_excess
Iter95 champion,3954,3865,0.4704172850353254,0.3855462278788956,2.802340899667639,1.9071955043270021,-0.2208728335650409,2.1298105223827837,0.08207890225656536,5.6094474021611,0.1702345017954742,1.3023541879112974,240.98709316444797,0.40462278554130693,0.3397687866967162,2.548042560171118,1.7348179267995976,-0.22087283356504162,1.8319264484020643,0.08247815893545384,4.784573160151802,0.16994561948614748,1.2542338352457947,238.82228136623738,4.7663428759392445e-11,0.22175919807134423,0.6577713707046982,1.401752855835369,4.161574442116369,0.9999952849052653,0.046,2025-05-22,2026-05-22,3.1263924602178585,champion,,,,,,,,,,,,,,,,,,,,,,0.3085100583206183,44.79403292287454,2010-04-06,2011-04-11,0.9706254748037478,32,-0.2883632523755575,1.0,1.0,0.8747971876690103,0.22040816364674026,-0.41973614403462545,1.0,0.239939077272725,0.009275170842997005,1.0,0.28317197743484446,0.0603311976044929,8.51421792374028,2010-08-13,2020-07-31,0.5781487101669196,550,-0.42658641317696444,0.7481412639405205,0.8037928519328957,0.6305698082635701,0.09013880714925082,-0.7992977837908148,0.7474275023386342,0.11343738562893235,-0.12925696548044652,0.8043478260869565,0.11143455575455741,-0.07951847923612432
2330 TR,3968,3879,0.28826604232163344,0.25329716095023963,1.710788325789985,1.079720181185136,-0.44799007783540445,0.6434652385929515,0.10523457261015526,2.6442454738945784,0.2917632624933893,1.1391553335937088,406.8490265926293,0.265670955248557,0.2356023809734107,1.5709642713781098,1.0024920835610327,-0.44799007783540423,0.5930286593226,0.10620912712996292,2.407240904406501,0.2929868545515206,1.1318392414440106,428.4802592122186,0.000011332980001221848,0.1351223767443755,0.4111778596901076,0.7671109770874345,2.410676561778296,0.9412344422347421,0.81,2025-05-22,2026-05-22,1.3319503770022365,benchmark,,,,,,,,,,,,,,,,,,,,,,0.006152191225975131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mf_piot_f8_top10_pit_adv50,3949,3860,0.1733822616517482,0.1598904003438401,0.6416549607715571,0.38695756016753846,-0.6160445591416552,0.2814443518392963,0.1808736702261243,0.9032948877937361,0.45094150037976727,0.9900779564958793,122.19856115333468,0.1739298619037073,0.1603569767794135,0.6479692445535167,0.38640671255566844,-0.6160445591416556,0.2823332489877785,0.18267939300982236,0.8973637321801976,0.4533650809827169,0.9907010575240716,117.19193770487493,0.0013562424731333733,0.009625176292190566,0.37939933923366054,-0.0012230380819315554,1.6021172620460964,0.011107439527996251,0.55,2025-05-22,2026-05-22,0.8282637763199949,pit_buffer,10,8,50000000.0,,9.127120790073436,14,60,14.0,61.0,1.3189707423311616,450475701.5115697,434711183.9219018,0.9650047326930841,229663.37113634896,651889.1332339612,224713.57553281193,28.0,99.0,0.0,0.0,0.0,0.00003362618651483763,1.1735968749650678,2010-04-19,2012-01-31,0.9123828817422133,209,-0.7257979096696683,0.4479553903345725,0.40663749088256745,0.5067604110329909,0.006300818689846666,-0.6239163131166314,0.44690818238600877,-0.049110851317724746,-0.30842325469457454,0.40605389442598744,-0.06127075476680721,-0.23699418362218405,0.22307121944741234,2010-04-22,,0.32691820714104836,1621,-0.8906760377376033,0.30607187112763323,0.39350838803792854,0.35127095727420227,-0.11814360044279831,-1.116945393670477,0.30730793254216116,-0.13566490102676332,-0.5179556897533376,0.3935031376891842,-0.1601213892143214,-0.38415803901630685
mf_piot_opt_top5_rsv90_pit_adv1,3949,3860,0.17801379825609143,0.16382979845119505,0.4697993229874754,0.28025177472099627,-0.679448595804404,0.2619974481591792,0.12452447292313178,1.349243199445665,0.29637602346556574,1.086748910441335,257.30999721560016,0.16506211103867008,0.15277439979279603,0.4296002646819869,0.25667816310658476,-0.6794485958044039,0.24293539210755438,0.12560892514549118,1.2344832252888371,0.2969471874612778,1.0851352928662712,249.5426580310752,0.0008174523186060823,0.0810151149370088,0.27315820795269574,0.19797398221028972,1.1041907982206252,0.002638910744138168,0.972,2025-05-22,2026-05-22,0.6456078454677459,pit_buffer,5,8,1000000.0,,5.299822739934161,11,47,11.0,48.0,1.367258798559136,353594527.4068728,260474890.62988958,0.7366485350893661,134430.11975825753,389999.00246819074,147214.12356376895,10.0,193.0,0.0,0.0,0.0,0.000052986780509399114,1.2506378666496398,2010-04-19,2023-06-09,0.6105343124841732,701,-0.7025707506990804,0.6533457249070632,0.7902990517870168,0.5189291508923742,0.014889248676336009,-0.7035809561179001,0.6530293566520925,0.05463869997577042,-0.26093460978681726,0.7888519748984866,0.06381613628170757,-0.12856971642321846,0.23771477238208336,2010-04-22,,0.01215497594327678,3842,-0.8480957398997789,0.27726146220570014,0.2439824945295405,0.36641427798810167,-0.13489615084445428,-1.1492378198405435,0.2767020612117427,-0.07239987684136195,-0.46264773544401594,0.24363233665559247,-0.05972017533268481,-0.3098339543053166
mf_piot_opt_top5_rsv90_article_adv50,3949,3860,0.161180153769916,0.14943686188373287,0.5475775644471769,0.4692667578473623,-0.5793663086216314,0.2782007710344414,0.17738202095324443,0.8522856654664291,0.49364137809081554,1.0657654052606071,177.2648894638401,0.1547838640908743,0.14391319580537912,0.5332760386319352,0.4552667950436245,-0.5793663086216321,0.26716062323182016,0.17884106937418912,0.8095672017479556,0.4946488323419269,1.0812538759673134,183.41932983790576,0.0045661100974391244,0.038530336823842146,0.31686262671705645,0.12249467418506296,1.0510074727204883,0.01094129381496635,0.972,2025-05-22,2026-05-22,0.7792365735447673,article_deadline,5,8,50000000.0,,2.5160800202582934,6,42,6.0,48.0,1.6653103261313316,242496353.8865426,241392183.84927294,0.9954466530338586,122634.25917287363,378071.2968289675,128851.31986525934,0.0,44.0,0.0,0.0,0.0,0.000025342679492010427,0.9913942810726563,2010-04-19,,0.4051658647758926,645,-0.5643328104083039,0.5452292441140025,0.5594456601021153,0.4943212547322877,-0.003938505088319499,-0.45926018829187976,0.5452841973766396,0.011459643296418798,-0.24714942202123114,0.5618309339239572,0.005408787419976413,-0.14848101432100058,0.18843909348229196,2010-04-22,,0.01215497594327678,3842,-0.862986265182686,0.18711276332094176,0.02224653537563822,0.3071930773391022,-0.15951168958320772,-0.7507741714414535,0.18550905683947533,-0.10247365737748992,-0.4338362854650939,0.02177925433739387,-0.11788132040355892,-0.2564548779642589
0050 TR,3963,3874,0.1627363213638191,0.1507761250140155,1.1542526920787215,0.840670724334006,-0.3395700541458192,0.4792422634945789,0.09232949533834858,1.6542527477715006,0.23154216664631336,1.0532016721773503,229.94013987497976,0.1383078570483829,0.12954282376603005,0.9750482023655265,0.7208304942199057,-0.3395700541458177,0.4073028683176842,0.09320245403290806,1.3766574966264273,0.2325301419422171,1.0335313941368185,244.42946116914518,0.0005634211768041908,0.044482462395274563,0.2400541217514994,0.26412991606116676,1.7229377976849904,0.6649809513201301,0.77,2025-05-22,2026-05-22,1.1259098611168614,benchmark,,,,,,,,,,,,,,,,,,,,,,0.0024622104410634174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mf_piot_opt_top5_rsv90_acc_pit_adv50,3949,3860,0.15372123560979123,0.14299257530835463,0.3818254030206742,0.26310435752208844,-0.6610510683983053,0.23254063560059032,0.149679863390338,0.9601908523592932,0.3943323259421785,1.0359482742672736,191.25616183071457,0.12900342120325203,0.12133531545810818,0.31398528385396945,0.21691227066286672,-0.6610510683983051,0.1951489489546112,0.1512157866064758,0.7869774966878738,0.39535330178043626,1.0085435437818524,185.8629119148019,0.00755320884919819,0.04990440117636663,0.23041169619186094,0.14081754250604606,0.5793087908273673,0.0007759742660727872,0.972,2025-05-22,2026-05-22,1.0162185711946141,pit_buffer,5,8,50000000.0,,3.0106356039503672,6,45,6.0,47.0,1.6736109026247892,246253166.94223756,228563035.86061907,0.9281628281119001,115693.32445263572,342031.72923376714,114040.86784075556,3.0,58.0,0.0,0.0,0.0,0.0000166368904881961,0.8934620976215127,2010-04-19,,0.283109648012155,1561,-0.6564345333924693,0.46623296158612143,0.5619985412107951,0.42184964845862627,-0.04275424015963747,-0.5691795702162005,0.4603372891942536,-0.013265743647466133,-0.25743268091893134,0.5644149132521226,0.012819169612749981,-0.14829484632539058,0.16982465094959132,2010-04-22,,0.01215497594327678,3842,-0.8889820242001687,0.21530359355638165,0.09445660102115244,0.2717685235262304,-0.17052810698087983,-1.1211915855951382,0.21174266083697688,-0.13996293865343123,-0.3996960998859347,0.09560723514211886,-0.10402993703965624,-0.2679879536000971
mf_piot_opt_top10_pit_adv50,3949,3860,0.14772000743656655,0.1377773721887389,0.45079905728969766,0.30184850048494327,-0.6579014944497836,0.22453210500776835,0.17608170053663244,0.7821369683325778,0.4454562685350746,0.9409314812408631,177.5852019727009,0.12340835658241534,0.11636723974120386,0.371417947235345,0.24779768068931393,-0.6579014944497839,0.18757877527793762,0.1779361224710481,0.6373543213569126,0.44758553329907724,0.9344380204671678,169.2576617703306,0.00969322103686443,-0.014252261499436416,0.2974675541833221,-0.09809639239108313,1.049238388800306,0.001177026820892258,0.972,2025-05-22,2026-05-22,1.1605087862214991,pit_buffer,10,8,50000000.0,,7.548493289440365,11,48,11.0,48.0,1.4614119392580538,255498550.5273993,251340833.239357,0.98372704158415,129061.97805147181,376269.78906361444,121574.59377759858,15.0,53.0,0.0,0.0,0.0,0.000010301150581889069,0.82133614791023,2010-04-19,,0.648771840972398,520,-0.6872789317251409,0.3674101610904585,0.43690736688548504,0.40886965927528396,-0.05890989129652824,-0.6223772265311404,0.3688319800124922,-0.031152040708158912,-0.30223863190307065,0.4363233665559247,-0.025121161276143944,-0.22993449589037307,0.1561153237529102,2010-04-22,,0.01215497594327678,3842,-0.87206401052628,0.23296158612143741,0.17286652078774617,0.24283396430502974,-0.1600087008084209,-1.019006854151994,0.2348532167395378,-0.14769547114077702,-0.4173164102489031,0.17423403469915097,-0.1358808766899091,-0.3379083595336314
mf_piot_opt_top5_pit_adv50,3949,3860,0.12030093202876313,0.11359733852789032,0.30526268479336754,0.1387772991487137,-0.77737206425797,0.15475335114285946,0.2701850195183833,0.4082422194442142,0.5711063380661907,1.0188547565583492,86.65339118597834,0.12069112634293888,0.11394557208513245,0.3118871678007324,0.13822826330740431,-0.7773720642579701,0.15525529137472022,0.26798713955333014,0.4130464115831613,0.5723262187414656,1.0233261451757916,85.67664831545582,0.010097725067648389,-0.054768690942481386,0.33791440523342775,-0.23482782069475572,1.054900407957506,0.0001863101357263435,0.972,2025-05-22,2026-05-22,0.4224035909120287,pit_buffer,5,8,50000000.0,,4.090149404912636,7,48,7.0,48.0,1.4624184332623997,348619005.7947479,336390133.91704875,0.9649219587158739,177044.52684287162,504107.0221766823,181980.10063813557,10.0,67.0,0.0,0.0,0.0,3.832189098955068e-6,0.5559484959135532,2010-04-19,,0.6578880729298556,520,-0.8507554283719214,0.2781908302354399,0.42523705324580596,0.33504597079502435,-0.08062177218510125,-0.7475783115708661,0.2776389756402249,-0.09293227671115445,-0.4504502604557423,0.42414174972314506,-0.08975302457057932,-0.31379870876952976,0.10567181250979593,2010-04-22,,0.24613826285135476,1898,-0.946472987351553,0.2549566294919455,0.4022611232676878,0.20254191454840453,-0.19231523289986785,-1.1547520342443875,0.25452841973766394,-0.20380085139430681,-0.640262250161616,0.4023624953857512,-0.1951867766734019,-0.4217725724127881
mf_piot_opt_top5_rsv90_pit_adv50,3949,3860,0.13686559327520675,0.12827499606158765,0.3482931209253108,0.23322825408548667,-0.6670965428635708,0.20516609588126347,0.1726903620343708,0.7346420019083434,0.402850390608808,1.0561785466904472,145.95287280833114,0.11141273725966849,0.10563194235196989,0.2770956208929722,0.18576560005822368,-0.6670965428635707,0.16701141454191848,0.17448018583339844,0.5812278154982135,0.40387777997220575,1.0458307605550614,143.56827966777487,0.012667756016492615,0.0317023321416946,0.21078284992798788,0.08837775714323963,0.5479316923711415,0.0004262521379763867,0.972,2025-05-22,2026-05-22,1.1757622350202532,pit_buffer,5,8,50000000.0,,3.1868827551278804,8,46,8.0,48.0,1.7149073815966036,190141587.00400552,184934710.94180632,0.9726157957118055,90551.13939715523,276453.2875288663,89418.16728177098,2.0,53.0,0.0,0.0,0.0,8.880265387201655e-6,0.7045558641044728,2010-04-19,,0.0815396302861484,990,-0.7018754056449714,0.3621437422552664,0.36287381473377095,0.4445646295294754,-0.03793218212095384,-0.679918827827126,0.36352279825109307,-0.02993313649881668,-0.26811664123952395,0.3639719453672942,-0.017477992814786347,-0.17122554451720207,0.13391833186270896,2010-04-22,,0.01215497594327678,3842,-0.9185486786063009,0.12577447335811648,0.06673960612691467,0.29745808545159547,-0.16996937441486315,-1.2127213435537967,0.12554653341661462,-0.16501898677032423,-0.37825922330512607,0.06533776301218161,-0.14089107878807927,-0.3186645354133646
