# 2023-11-01 全池(994 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-16 -13 -19|82 84 -14 -16|0.8 593
1102 亞泥|水泥工業|-4 -9 -1|94 94 -1 -5|1.0 191
1104 環泥|水泥工業|4 5 -9|87 87 -12 -6|0.8 11
1210 大成|食品工業|-4 -3 -8|83 83 -8 1|0.5 57
1215 卜蜂|食品工業|1 1 -5|93 93 3 -1|0.3 27
1216 統一|食品工業|16 16 7|90 90 -4 -5|1.6 559
1217 愛之味|食品工業|4 1 -3|80 80 -17 6|0.2 25
1218 泰山|食品工業|1 5 3|44 64 -23 -35|0.8 20
1219 福壽|食品工業|-12 -2 -3|87 91 -8 -10|0.7 6
1227 佳格|食品工業|10 3 7|91 92 -5 -4|0.6 16
1229 聯華|食品工業|-5 5 4|94 94 -2 9|0.8 44
1231 聯華食|食品工業|-4 0 -7|95 95 -3 4|0.3 7
1232 大統益|食品工業|-9 -4 -10|94 95 -3 -3|1.0 5
1268 漢來美食|觀光餐旅|6 16 -26|80 80 -13 1|0.6 19
1301 台塑|塑膠工業|-9 -8 17|85 85 -9 -14|0.9 478
1303 南亞|塑膠工業|-18 -19 10|80 80 -11 -18|1.4 428
1304 台聚|塑膠工業|-16 -17 6|73 78 -21 -16|0.5 17
1305 華夏|塑膠工業|-22 -13 12|75 81 -15 -8|0.3 33
1307 三芳|塑膠工業|-18 -9 -7|87 87 1 9|0.2 8
1308 亞聚|塑膠工業|-26 -35 -10|81 87 -13 -6|0.4 9
1310 台苯|塑膠工業|-8 -20 7|88 90 -7 -5|1.0 9
1312 國喬|塑膠工業|-3 -8 11|76 82 -16 -17|0.5 15
1313 聯成|塑膠工業|39 23 30|85 85 -13 3|0.6 11
1314 中石化|塑膠工業|24 6 33|99 100 6 4|1.3 142
1316 上曜|建材營造|-63 -73 -49|76 83 -6 -17|0.3 15
1319 東陽|汽車工業|13 11 3|85 85 27 61|0.6 630
1324 地球|塑膠工業|6 7 13|92 92 62 63|1.6 95
1326 台化|塑膠工業|1 -4 10|81 88 -9 -11|0.7 207
1339 昭輝|汽車工業|8 8 5|90 90 42 47|0.6 56
1342 八貫|其他|4 -1 -3|68 84 -3 -17|1.4 45
1402 遠東新|紡織纖維|0 -3 2|91 91 -0 -5|0.9 182
1409 新纖|紡織纖維|-1 -10 9|86 91 -7 -8|0.6 13
1434 福懋|紡織纖維|-14 -18 -3|94 94 -4 -4|0.7 17
1437 勤益控|其他|104 36 29|97 100 6 7|1.5 7
1440 南紡|紡織纖維|-16 -11 -6|80 88 -9 -13|0.8 9
1442 名軒|建材營造|2462 811 159|94 94 2 17|0.4 17
1444 力麗|紡織纖維|-35 -37 -7|94 94 -4 1|0.3 11
1449 佳和|紡織纖維|-2 22 23|66 66 -19 4|1.8 6
1471 首利|電子零組|39 54 46|75 75 26 92|0.3 57
1473 台南|紡織纖維|3 -8 1|97 97 26 34|2.7 13
1476 儒鴻|紡織纖維|-18 -25 3|94 94 -5 11|0.6 255
1477 聚陽|紡織纖維|15 1 2|99 99 16 61|0.5 589
1503 士電|電機機械|-4 4 -6|58 58 -31 -20|0.6 205
1504 東元|電機機械|9 3 -2|77 77 -14 -1|0.5 330
1513 中興電|電機機械|4 20 6|67 67 -19 -6|0.5 484
1514 亞力|電機機械|12 12 -14|76 76 -14 6|0.6 189
1515 力山|電機機械|156 118 122|88 88 4 34|0.2 41
1519 華城|電機機械|84 141 94|75 75 5 120|0.8 2257
1522 堤維西|汽車工業|1 6 1|85 85 18 37|0.3 197
1524 耿鼎|汽車工業|25 22 10|100 100 38 34|2.5 362
1525 江申|汽車工業|-14 -14 -41|61 61 -22 5|1.7 7
1528 恩德|電機機械|-2 8 -0|62 62 -19 -8|0.5 6
1529 樂事綠能|電機機械|186 164 -19|62 62 -24 -21|0.4 26
1532 勤美|電機機械|4 56 51|90 90 -9 6|0.4 18
1533 車王電|汽車工業|18 21 -8|76 76 -14 -4|0.6 7
1536 和大|汽車工業|-22 -22 -19|81 85 -6 -10|0.5 20
1537 廣隆|電機機械|-15 -20 -13|96 96 -4 -0|0.5 14
1558 伸興|電機機械|32 54 31|88 93 -1 -1|0.4 7
1560 中砂|電機機械|-2 -9 -3|100 100 28 58|0.8 564
1565 精華|生技醫療|-20 -18 -4|72 80 -11 -20|0.6 14
1568 倉佑|汽車工業|-24 -30 -9|83 83 26 44|1.2 121
1580 新麥|電機機械|34 20 11|100 100 9 40|0.9 24
1582 信錦|電子零組|20 5 26|100 100 18 19|1.2 16
1584 精剛|其他|58 63 -5|77 83 -9 -16|0.4 123
1589 永冠-KY|電機機械|-21 -22 -29|60 60 -13 -39|0.7 14
1590 亞德客-KY|電機機械|22 25 11|83 92 5 -1|1.7 627
1591 駿吉-KY|電機機械|-88 -86 -29|90 90 -2 44|1.1 36
1603 華電|電器電纜|140 45 7|79 79 -4 29|0.6 112
1604 聲寶|電器電纜|1 -2 3|85 85 0 6|0.9 19
1605 華新|電器電纜|20 7 2|61 73 -12 -23|0.5 408
1608 華榮|電器電纜|-5 -13 1|79 79 -9 21|0.3 14
1609 大亞|電器電纜|-0 1 7|81 81 -15 9|0.4 257
1611 中電|電器電纜|-15 -13 3|75 75 -12 -13|0.5 6
1612 宏泰|電器電纜|-14 10 5|86 86 -8 22|0.3 31
1618 合機|電器電纜|57 84 16|84 84 -8 39|0.5 86
1701 中化|生技醫療|-2 3 -5|65 88 -5 -11|0.9 8
1702 南僑|食品工業|18 15 4|98 98 3 2|0.8 15
1707 葡萄王|生技醫療|-11 2 -2|81 81 -15 -15|0.7 42
1708 東鹼|化學工業|-35 -38 -23|72 79 -15 -12|0.7 20
1709 和益|化學工業|9 -7 -4|82 83 -12 -15|0.3 6
1710 東聯|化學工業|-9 13 22|79 79 -18 -12|0.5 29
1711 永光|化學工業|2 -7 8|87 88 -8 -5|0.8 16
1712 興農|化學工業|-3 -16 -5|91 93 1 -1|1.1 37
1717 長興|化學工業|3 -3 9|81 83 -8 -14|0.6 26
1720 生達|生技醫療|-14 8 -8|81 81 -0 -12|0.6 29
1721 三晃|化學工業|5 -19 6|90 90 13 5|6.8 6
1722 台肥|化學工業|-20 -21 -21|94 94 -1 2|0.6 102
1723 中碳|化學工業|-32 -29 -16|100 100 8 11|1.1 66
1727 中華化|化學工業|-24 -26 -5|66 66 -15 -29|0.7 10
1734 杏輝|生技醫療|-4 2 -8|85 85 -3 1|0.9 8
1736 喬山|運動休閒|10 22 5|79 83 -16 4|0.6 56
1737 臺鹽|食品工業|0 -6 3|89 89 1 3|0.1 6
1752 南光|生技醫療|5 10 -17|68 71 -10 -27|0.6 11
1760 寶齡富錦|生技醫療|-26 -28 -7|61 72 5 -28|4.2 76
1762 中化生|生技醫療|-58 -25 -41|54 54 -24 -40|0.5 14
1773 勝一|化學工業|-1 -8 9|89 89 -9 6|1.1 11
1783 和康生|生技醫療|-25 -1 -13|69 74 -20 -26|0.8 9
1784 訊聯|生技醫療|23 18 -0|79 79 -11 -19|0.4 17
1785 光洋科|其他電子|20 -1 21|95 95 5 12|2.1 92
1786 科妍|生技醫療|-16 36 5|80 80 -9 7|0.3 18
1789 神隆|生技醫療|25 -4 -15|79 79 -17 -2|0.7 13
1795 美時|生技醫療|-67 24 -11|74 74 -13 -9|2.2 896
1799 易威|生技醫療|150 81 -2|89 89 29 43|4.3 6
1802 台玻|玻璃陶瓷|17 18 19|73 82 -16 -3|0.2 92
1808 潤隆|建材營造|41065 33252 24365|100 100 19 30|0.6 43
1809 中釉|玻璃陶瓷|-19 -14 -7|85 85 -9 -4|0.3 8
1810 和成|玻璃陶瓷|-1 3 11|64 71 -16 -28|0.3 10
1815 富喬|電子零組|-24 -36 -9|92 92 15 44|1.5 423
1903 士紙|造紙工業|-19 6 6|69 69 -19 20|0.4 11
1904 正隆|造紙工業|2 -3 6|81 81 -18 -12|0.2 30
1905 華紙|造紙工業|-15 -20 -12|64 64 -33 -19|0.3 61
1907 永豐餘|造紙工業|-6 -10 0|74 74 -20 -7|1.1 86
1909 榮成|造紙工業|-12 -8 4|74 80 -18 -18|0.8 29
2002 中鋼|鋼鐵工業|-2 -15 7|78 83 -15 -15|0.7 592
2006 東和鋼鐵|鋼鐵工業|14 7 11|100 100 9 16|1.4 77
2009 第一銅|鋼鐵工業|24 -3 14|75 75 -17 -10|0.4 12
2010 春源|鋼鐵工業|-13 -8 10|86 86 -14 3|0.3 6
2014 中鴻|鋼鐵工業|17 21 41|73 82 -18 -10|0.4 77
2015 豐興|鋼鐵工業|-4 -8 5|87 87 -9 -6|0.8 14
2017 官田鋼|鋼鐵工業|14 0 21|73 82 -16 -15|0.4 7
2020 美亞|鋼鐵工業|-5 12 0|93 93 2 26|0.3 11
2022 聚亨|鋼鐵工業|18 6 11|74 74 -11 -7|0.2 5
2023 燁輝|鋼鐵工業|-0 -7 12|89 97 -3 2|0.8 24
2027 大成鋼|鋼鐵工業|-14 -13 -4|90 90 -9 4|0.5 121
2030 彰源|鋼鐵工業|-23 -23 2|76 79 -18 -17|0.6 7
2031 新光鋼|鋼鐵工業|10 8 6|88 89 -11 6|0.4 39
2034 允強|鋼鐵工業|-15 -6 9|88 93 -5 -5|0.4 8
2049 上銀|電機機械|-14 -17 2|76 80 -6 -12|0.9 159
2059 川湖|電子零組|-29 -34 -12|69 69 -14 72|1.1 928
2066 世德|電機機械|-13 -10 -16|73 73 -17 -18|0.5 8
2101 南港|橡膠工業|16 16 19|88 88 -4 -6|0.5 20
2103 台橡|橡膠工業|-10 -12 -2|80 89 -8 -11|0.4 11
2104 國際中橡|橡膠工業|-25 -29 -11|84 84 -10 -5|0.7 22
2105 正新|橡膠工業|-3 -5 -2|98 98 18 19|0.8 249
2106 建大|橡膠工業|-17 -13 -3|95 95 -1 -2|0.3 8
2107 厚生|橡膠工業|-15 -22 3|97 97 4 7|0.4 7
2108 南帝|橡膠工業|-10 -6 24|77 87 -6 -13|1.0 14
2201 裕隆|汽車工業|18 6 1|85 85 -6 0|0.7 800
2204 中華|汽車工業|32 24 -2|79 79 -2 16|0.5 257
2206 三陽工業|汽車工業|8 15 -13|70 70 -13 18|0.4 275
2207 和泰車|汽車工業|-1 14 -3|71 71 -16 -9|0.9 137
2208 台船|航運業|9 29 -10|72 79 -14 -16|0.3 31
2211 長榮鋼|鋼鐵工業|27 30 39|100 100 11 30|0.6 36
2228 劍麟|汽車工業|1 6 -6|82 82 -9 9|0.4 18
2230 泰茂|居家生活|65 39 25|98 98 56 76|1.9 119
2231 為升|汽車工業|2 13 -7|73 77 -8 -17|0.6 27
2233 宇隆|汽車工業|14 5 7|94 94 31 28|3.0 530
2236 百達-KY|汽車工業|34 34 10|84 84 12 82|0.3 31
2241 艾姆勒|汽車工業|77 63 63|75 75 -17 -2|0.3 11
2247 汎德永業|汽車工業|10 20 -2|89 89 -2 10|0.4 16
2301 光寶科|電腦及週|-12 -14 -2|66 66 -25 37|0.7 2212
2303 聯電|半導體業|-24 -24 -13|92 92 1 1|1.1 2398
2305 全友|電腦及週|-7 -10 -13|76 91 16 14|2.9 45
2308 台達電|電子零組|-4 2 -12|77 77 -21 -3|1.3 2250
2312 金寶|其他電子|-19 -22 -22|79 79 -16 9|0.3 53
2313 華通|電子零組|-7 -10 0|91 91 19 20|0.5 836
2314 台揚|通信網路|-62 -48 -54|68 73 -20 -28|0.7 28
2316 楠梓電|電子零組|-11 -23 6|72 72 -24 25|0.2 52
2317 鴻海|其他電子|-20 -10 -7|85 85 -14 -6|2.0 3253
2323 中環|光電業|14 4 14|74 74 -12 43|0.4 85
2324 仁寶|電腦及週|-19 -13 3|78 78 -4 13|0.4 550
2327 國巨*|電子零組|-7 -11 -4|95 98 16 10|1.3 968
2328 廣宇|電子零組|-2 7 3|78 78 -13 -4|0.8 50
2329 華泰|半導體業|39 24 26|83 83 -11 125|0.6 483
2330 台積電|半導體業|-13 -11 -17|90 90 -4 5|1.0 13379
2331 精英|電腦及週|-34 -41 -1|64 64 -11 0|0.2 58
2332 友訊|通信網路|-20 -14 -13|71 71 -8 2|0.2 60
2337 旺宏|半導體業|-40 -36 0|77 78 -14 -12|1.3 214
2338 光罩|半導體業|8 -6 -4|72 84 -6 -11|0.8 125
2340 台亞|半導體業|18 6 28|81 81 -11 35|0.6 151
2342 茂矽|半導體業|-23 -26 -3|71 80 -15 -14|0.7 7
2344 華邦電|半導體業|-8 -12 13|87 87 -4 7|1.1 758
2345 智邦|通信網路|2 9 -10|91 91 35 73|0.7 1957
2347 聯強|電子通路|-15 -8 1|100 100 18 16|1.1 224
2348 海悅|其他|52 44 49|99 99 24 30|0.5 5
2351 順德|半導體業|-10 -8 -2|77 77 0 -11|1.0 149
2352 佳世達|電腦及週|-9 -16 -1|76 76 -3 26|0.5 358
2353 宏碁|電腦及週|3 4 24|84 84 -3 20|0.6 362
2354 鴻準|其他電子|2 28 20|86 86 -5 -0|0.7 180
2355 敬鵬|電子零組|9 5 8|83 83 5 14|0.3 156
2356 英業達|電腦及週|-7 -4 1|57 57 -30 29|0.5 1341
2357 華碩|電腦及週|-18 -5 7|80 80 -5 23|0.4 1167
2358 廷鑫|其他|-55 -55 -13|63 76 8 -11|0.8 10
2359 所羅門|其他電子|-18 -9 3|78 78 -10 8|0.2 30
2360 致茂|其他電子|-28 -28 -29|72 72 -19 14|1.1 689
2362 藍天|電腦及週|23 7 -4|87 87 -4 5|0.6 10
2363 矽統|半導體業|504 176 148|99 99 176 228|0.2 1582
2364 倫飛|電腦及週|35 14 -11|94 94 107 73|0.4 111
2365 昆盈|電腦及週|13 -22 10|92 92 4 13|0.4 14
2367 燿華|電子零組|-34 -31 -20|86 86 7 4|0.7 80
