# 2024-02-01 全池(1097 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-24 -17 -16|82 88 -1 -13|0.8 294
1102 亞泥|水泥工業|-24 -18 -9|94 95 -1 0|0.4 82
1104 環泥|水泥工業|2 10 -3|97 97 11 4|0.5 14
1210 大成|食品工業|-10 -9 -7|93 98 9 7|0.5 66
1215 卜蜂|食品工業|-12 -6 -7|98 98 4 8|0.8 21
1216 統一|食品工業|10 15 4|97 99 5 2|0.6 307
1217 愛之味|食品工業|-7 -1 -3|81 89 1 -11|0.5 9
1218 泰山|食品工業|-14 -1 -2|65 83 1 -20|0.4 8
1227 佳格|食品工業|-17 -9 -7|90 94 -1 -3|0.6 9
1229 聯華|食品工業|57 38 26|96 96 5 5|1.0 45
1231 聯華食|食品工業|-9 -4 -6|95 97 -0 0|0.7 8
1268 漢來美食|觀光餐旅|14 15 -27|84 96 3 -2|0.4 14
1301 台塑|塑膠工業|-10 -7 12|82 88 -6 -12|1.0 446
1303 南亞|塑膠工業|-16 -17 9|80 90 -3 -10|0.7 211
1304 台聚|塑膠工業|-19 -15 6|71 82 -4 -21|0.6 15
1305 華夏|塑膠工業|-26 -6 14|72 78 -8 -19|0.6 15
1307 三芳|塑膠工業|2 1 7|97 97 6 10|1.1 6
1308 亞聚|塑膠工業|-24 -33 -3|77 87 -6 -12|0.6 11
1309 台達化|塑膠工業|1 6 20|73 91 -1 -13|2.5 8
1310 台苯|塑膠工業|-13 8 29|83 87 -9 -9|0.4 7
1312 國喬|塑膠工業|-3 -5 7|72 85 -7 -20|0.7 32
1313 聯成|塑膠工業|23 20 16|87 92 -1 -4|1.2 14
1316 上曜|建材營造|-47 -38 8|96 96 32 26|3.0 24
1319 東陽|汽車工業|24 23 11|97 97 6 40|1.3 332
1325 恆大|塑膠工業|-2 -17 8|82 82 74 74|0.9 135
1326 台化|塑膠工業|-0 2 13|79 87 -8 -12|0.9 211
1339 昭輝|汽車工業|-0 8 5|83 83 -2 39|0.2 13
1342 八貫|其他|-4 -4 -3|71 96 2 9|0.3 25
1402 遠東新|紡織纖維|12 5 7|97 98 4 6|0.4 91
1409 新纖|紡織纖維|11 7 19|86 96 -1 -6|0.6 18
1432 大魯閣|運動休閒|5 6 -15|92 94 26 15|2.2 13
1434 福懋|紡織纖維|-16 -17 1|90 94 -5 -7|0.7 18
1438 三地開發|建材營造|-100 -63 na|100 100 48 52|2.2 20
1440 南紡|紡織纖維|-28 -19 -8|84 87 3 -2|0.4 9
1442 名軒|建材營造|-9 76251 56942|92 92 -4 7|0.2 8
1444 力麗|紡織纖維|-20 -31 2|93 93 -2 -0|0.7 10
1449 佳和|紡織纖維|21 32 20|73 73 -7 6|0.2 20
1455 集盛|紡織纖維|44 29 41|86 86 -4 3|0.5 5
1471 首利|電子零組|-2 7 -7|66 66 -17 21|0.5 17
1476 儒鴻|紡織纖維|2 12 32|93 93 -5 8|0.7 210
1477 聚陽|紡織纖維|31 10 8|91 91 -7 18|0.5 586
1503 士電|電機機械|3 -6 -11|80 99 33 4|0.9 519
1504 東元|電機機械|-2 -4 -6|79 90 0 -6|0.5 275
1513 中興電|電機機械|28 22 2|89 97 25 10|0.6 971
1514 亞力|電機機械|42 37 15|97 97 61 62|0.5 1171
1515 力山|電機機械|141 219 148|73 73 2 13|0.1 58
1519 華城|電機機械|104 115 36|100 100 102 131|1.1 5511
1522 堤維西|汽車工業|-8 -2 -3|89 89 3 27|0.3 52
1524 耿鼎|汽車工業|15 19 5|81 81 5 48|0.2 73
1528 恩德|電機機械|14 -0 -4|83 96 32 16|1.5 96
1529 樂事綠能|電機機械|196 199 -22|71 91 12 -10|0.4 50
1532 勤美|電機機械|112 32 8|93 93 8 5|0.4 48
1535 中宇|電機機械|28 23 12|98 98 13 6|2.6 7
1536 和大|汽車工業|-22 -15 -6|71 78 -17 -17|0.8 47
1537 廣隆|電機機械|4 12 23|97 97 -2 -2|0.8 8
1558 伸興|電機機械|9 0 -11|84 88 -6 -4|0.7 6
1560 中砂|電機機械|-1 0 8|99 99 28 73|1.9 753
1565 精華|生技醫療|5 -1 10|75 96 4 -6|0.7 20
1568 倉佑|汽車工業|-48 -27 -4|75 75 -5 22|0.1 13
1569 濱川|電腦及週|-34 -20 5|97 97 6 9|0.9 7
1580 新麥|電機機械|24 16 1|94 94 2 14|0.4 8
1582 信錦|電子零組|33 27 33|81 81 5 29|0.4 89
1584 精剛|其他|-7 43 -23|80 86 -1 4|0.2 38
1589 永冠-KY|電機機械|-21 -21 -18|60 90 -2 -8|0.5 20
1590 亞德客-KY|電機機械|17 18 3|82 90 -9 8|2.0 408
