# 2023-09-01 全池(1062 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|-11 3 -8|90 90 -8 -5|1.3 629
1102 亞泥|水泥工業|-14 -12 -5|95 95 -5 -2|0.7 188
1103 嘉泥|水泥工業|49 47 19|84 84 -5 1|0.4 8
1104 環泥|水泥工業|10 13 -5|95 95 6 25|0.3 24
1108 幸福|水泥工業|35 38 2|85 85 3 15|0.9 20
1201 味全|食品工業|4 4 1|91 91 -6 -9|0.6 6
1210 大成|食品工業|-3 2 -7|88 88 7 10|0.4 108
1215 卜蜂|食品工業|-2 4 -5|98 98 6 16|0.7 66
1216 統一|食品工業|14 9 -0|94 94 -1 7|1.1 464
1217 愛之味|食品工業|-6 0 -3|87 87 13 12|0.8 133
1218 泰山|食品工業|5 3 -1|53 76 -17 -18|0.4 26
1219 福壽|食品工業|6 1 -4|93 96 -0 -6|0.3 6
1227 佳格|食品工業|0 7 13|92 93 -5 -8|0.4 17
1229 聯華|食品工業|13 1 -1|93 93 6 21|0.5 68
1231 聯華食|食品工業|-3 -2 -11|94 94 6 10|0.6 22
1234 黑松|食品工業|3 14 -3|96 96 7 14|0.3 10
1268 漢來美食|觀光餐旅|28 96 36|79 79 -17 -4|0.4 27
1301 台塑|塑膠工業|-17 -28 -0|89 89 -11 -8|0.7 526
1303 南亞|塑膠工業|-23 -31 -0|87 87 -12 -8|0.9 233
1304 台聚|塑膠工業|-30 -30 -7|81 81 -7 -12|0.5 28
1305 華夏|塑膠工業|-35 -32 -1|84 89 1 -12|0.6 49
1307 三芳|塑膠工業|-3 -8 -24|97 97 9 23|0.6 9
1308 亞聚|塑膠工業|-42 -38 -20|89 89 2 -8|0.9 27
1309 台達化|塑膠工業|-31 -32 -7|77 79 -11 -21|0.4 10
1310 台苯|塑膠工業|-48 -47 -17|88 88 -9 8|0.4 14
1312 國喬|塑膠工業|-11 -26 -4|82 82 -11 -13|0.5 21
1313 聯成|塑膠工業|3 -11 7|88 88 4 -1|0.3 24
1316 上曜|建材營造|-85 -86 -82|64 80 -13 -8|1.0 19
1319 東陽|汽車工業|3 5 -5|98 98 38 55|1.9 375
1326 台化|塑膠工業|-14 -25 -11|84 91 -8 -10|1.2 259
1338 廣華-KY|汽車工業|-38 -27 -9|65 82 -14 -20|3.3 9
1339 昭輝|汽車工業|0 -3 -5|97 97 7 6|1.9 9
1342 八貫|其他|-12 -4 -11|70 70 -10 -25|0.8 41
1402 遠東新|紡織纖維|-6 -8 -6|90 90 -8 -7|1.0 162
1409 新纖|紡織纖維|-18 -17 1|89 90 -5 -11|2.0 32
1434 福懋|紡織纖維|-24 -21 -11|96 96 -3 -4|0.9 24
1440 南紡|紡織纖維|-15 -12 -13|83 89 -5 -13|0.7 9
1442 名軒|建材營造|-7 25 -411|95 96 12 15|0.3 15
1444 力麗|紡織纖維|-42 -36 -14|92 97 1 2|0.5 12
1446 宏和|紡織纖維|-55 -14 -20|97 97 24 19|0.5 6
1467 南緯|紡織纖維|-20 -29 -2|91 91 2 1|0.6 17
1471 首利|電子零組|36 17 23|86 86 89 118|1.8 203
1476 儒鴻|紡織纖維|-26 -28 -13|93 93 9 13|1.0 375
1477 聚陽|紡織纖維|-20 -6 -4|97 97 46 59|0.5 798
1503 士電|電機機械|5 -1 -12|76 76 -18 48|0.3 396
1504 東元|電機機械|-7 0 -5|84 84 -7 47|0.2 590
1513 中興電|電機機械|31 24 11|79 79 1 14|0.3 1512
1514 亞力|電機機械|16 15 -16|75 75 -10 22|0.2 168
1515 力山|電機機械|70 37 77|90 90 8 15|0.3 38
1519 華城|電機機械|251 100 67|98 98 93 307|1.2 3237
1522 堤維西|汽車工業|-1 -1 -7|95 95 23 23|1.0 44
1524 耿鼎|汽車工業|8 5 -5|80 87 -2 -8|0.9 14
1525 江申|汽車工業|-15 7 -29|70 70 -21 37|0.3 10
1527 鑽全|電機機械|-34 -41 -10|92 92 -1 -8|0.5 11
1528 恩德|電機機械|8 -4 -9|70 70 -8 11|0.1 20
1529 樂事綠能|電機機械|241 295 139|70 70 -14 38|0.2 69
1532 勤美|電機機械|121 90 96|94 94 4 8|0.8 56
1533 車王電|汽車工業|-13 32 7|80 80 -3 6|0.1 15
1535 中宇|電機機械|-2 14 7|87 87 4 10|0.3 8
1536 和大|汽車工業|-21 -14 -17|71 90 -5 -11|0.4 30
1537 廣隆|電機機械|-27 -19 -56|98 98 2 0|1.2 25
1539 巨庭|電機機械|-61 -47 6|55 81 -8 -21|0.9 5
1540 喬福|電機機械|16 37 -39|94 94 17 5|1.0 13
1558 伸興|電機機械|50 16 -4|81 86 -4 -15|0.8 15
1560 中砂|電機機械|-15 -15 -13|77 84 11 10|0.2 203
1565 精華|生技醫療|-17 -17 -4|77 77 -14 -20|0.5 49
1568 倉佑|汽車工業|-41 -21 -3|89 94 -0 9|1.3 8
1569 濱川|電腦及週|-26 -28 1|84 91 -0 -6|0.6 5
1580 新麥|電機機械|4 4 3|90 90 -1 25|0.4 20
1582 信錦|電子零組|-23 -25 2|93 100 7 2|1.4 11
1584 精剛|其他|32 46 -13|84 84 -4 25|1.4 171
